年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2010,3,1440,南紡,資誠聯合會計師事務所,李明憲,林姿妤,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1441,大東紡織,安侯建業聯合會計師事務所,李慈慧,吳秋華,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1442,名軒,惠眾聯合會計師事務所,盧聯生,項文婷,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1443,立益紡織,第一聯合會計師事務所,高  佩,王戊昌,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1444,力麗,勤業眾信聯合會計師事務所,洪國田,盧啟昌,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1445,大宇紡織,勤業眾信聯合會計師事務所,韋亮發,王小蕙,99/10/18,標準式無保留核閱報告
2010,3,1446,宏和,安永聯合會計師事務所,黃世杰,陳政初,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1447,力鵬,勤業眾信聯合會計師事務所,洪國田,盧啟昌,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1449,佳和實業,安侯建業會計師事務所,張嘉信,許振隆,99/10/27,保留(附加其他事項說明段)--採用其他會計師查核且欲區分責任、依被投資公司未經會計師查核報告認列投資損益
2010,3,1451,年興紡織,勤業眾信聯合會計師事務所,卓明信,施景彬,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1452,宏益,立本台灣聯合會計師事務所,陳玉芳,柯俊榮,99/10/15,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1453,大將,勤業眾信聯合會計師事務所,賴國旺,何瑞軒,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1454,台富,勤業眾信會計師事務所,游素環,龔雙雄,99/10/25,標準式無保留核閱報告
2010,3,1455,集盛,第 一 聯 合 會 計 師 事 務 所,蕭英嘉,張福郎,99/10/20,標準式無保留核閱報告
2010,3,1456,怡華,惠 眾 聯 合 會 計 師 事 務 所,"盧聯生 (YYY代表會計�/td>項文婷 (YYY代表會計�/td>99/10/26
保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益","項文婷 (YYY代表會計�/td>99/10/26
保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益",99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1457,宜進,安侯建業聯合會計師事務所,曾國禓,賴麗真,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1459,聯發紡織,勤業眾信聯合會計師事務所,黃  海  悅,林  谷  同,99/10/21,保留(附加其他事項說明段)--依被投資公司未經會計師查核報告認列投資損益
2010,3,1460,宏遠,勤業眾信聯合會計師事務所,郭麗園,施景彬,99/10/15,保留(附加其他事項說明段)--欲強調某一事項、依被投資公司未經會計師查核報告認列投資損益
2010,3,1463,強盛染整,安 侯 建 業 聯 合 會 計 師 事 務 所,魏忠華,陳振乾,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1464,得力實業,勤 業 眾 信 聯 合 會 計 師 事 務 所,廖鴻儒,龔俊吉,99/10/19,標準式無保留核閱報告
2010,3,1465,偉全實業,立本台灣聯合會計師事務所,張書成,劉克宜,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1466,聚隆,建智聯合會計師事務所,紀敏滄,陳靜宜,99/10/15,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1467,南緯實業,安侯建業聯合會計師事務所,簡蒂暖,吳昭德,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1468,昶和纖維,勤業眾信會計師事務所,何瑞軒,郭榮芳,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1469,理隆纖維,資誠聯合會計師事務所,杜佩玲,蔡金拋,99/10/28,保留(附加其他事項說明段)--會計原則變動、依被投資公司未經會計師查核報告認列投資損益
2010,3,1470,大統染,勤業眾信聯合會計師事務所,林谷同,劉永富,99/10/22,標準式無保留核閱報告
2010,3,1471,首利,資誠聯合會計師事務所,蕭春鴛,徐永堅,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1472,三洋紡,勤業眾信聯合會計師事務所,林谷同,劉永富,99/10/20,保留(附加其他事項說明段)--欲強調某一事項、依被投資公司未經會計師查核報告認列投資損益
2010,3,1473,台南企業,資誠聯合會計師事務所,林姿妤,李明憲,99/10/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1474,弘裕,建 智 聯 合 會 計 師 事 務 所,黃祥穎,陳靜宜,99/10/18,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1475,本盟光電,資誠聯合會計師事務所,林鈞堯,蔡金拋,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1476,儒鴻,安侯建業聯合會計師事務所,寇惠植,吳秋華,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1477,聚陽實業,安侯建業聯合會計師事務所,陳蓓琪,于紀隆,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1503,士電,勤業眾信聯合會計師事務所,郭文吉,郭榮芳,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1504,東元電機,資誠聯合會計師事務所,支秉鈞,曾惠瑾,99/10/28,保留(附加其他事項說明段)--採用其他會計師查核且欲區分責任、欲強調某一事項、依被投資公司未經會計師查核報告認列投資損益
2010,3,1506,正道,安侯建業聯合會計師事務所,陳盈如,林琬琬,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1507,永大機電,建昇財稅聯合會計師事務所,陳仁基,張育堯,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1512,瑞利,勤業眾信聯合會計師事務所,吳秋燕,曾光敏,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1513,中興電,鼎信聯合會計師事務所,諶清,張亞荃,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1514,亞力電機,惠眾聯合會計師事務所,洪佑伶,盧聯生,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1515,力山,安侯建業會計師事務所,郭士華,魏忠華,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1516,川飛,弘基聯合會計事務所,張仕奇,莊俊華,100/03/04,修正式無保留核閱報告--欲強調某一事項
2010,3,1517,利奇機械,勤業眾信聯合會計師事務所,呂惠民,羅瑞霖,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1519,華城電機,勤業眾信聯合會計師事務所,張敬人,李東峰,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1521,大億,勤業眾信聯合會計師事務所,龔俊吉,李季珍,99/10/15,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1522,堤維西,安永聯合會計師事務所,黃世杰,林鴻光,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1524,耿鼎企業,正風聯合會計師事務所,曾國富,丁鴻勛,99/10/22,保留(附加其他事項說明段)--依被投資公司未經會計師查核報告認列投資損益
2010,3,1525,江申工業,勤業眾信聯合會計師事務所,許秀明,邵志明,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1526,日馳,立 本 台 灣 聯 合 會 計 師 事 務 所,柯 俊 輝,陳 玉 芳,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1527,鑽全,安侯建業聯合會計師事務所,陳君滿,郭士華,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1528,恩德,安 侯 建 業 聯 合 會 計 師 事 務 所,俞 安 恬,黃 柏 淑,99/10/20,保留(附加其他事項說明段)--會計原則變動、依被投資公司未經會計師查核報告認列投資損益
2010,3,1529,樂士,建 智 聯 合 會 計 師 事 務 所,陳宇頌,周芳文,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1530,亞崴機電,敬業聯合會計師事務所,王日春,黃勝義,99/10/14,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1531,高林股,勤業眾信聯合會計師事務所,洪玉美,陳清祥,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1532,勤美,安侯建業聯合會計師事務所,楊美雪,陳雅琳,99/10/20,保留(附加其他事項說明段)--欲強調某一事項、依被投資公司未經會計師查核報告認列投資損益
2010,3,1533,車王電,資誠聯合會計師事務所,楊明經,張志安,99/10/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1535,中宇,勤業眾信聯合會計師事務所,江佳玲,郭麗園,99/10/07,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1536,和大工業,資誠聯合會計師事務所,張志安,蕭珍琪,99/10/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1537,廣隆光電,資誠聯合會計師事務所,張志安,楊明經,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1538,正峰新,安侯建業聯合會計師事務所,寇惠植,吳秋華,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1539,巨庭機械,鼎 信 聯 合 會 計 師 事 務 所,林明壽,蕭溪明,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1540,喬福機械,資誠聯合會計師事務所,洪淑華,楊明經,99/10/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1541,錩泰,安 永 聯 合 會 計 師 事 務 所,嚴文筆,涂清淵,99/10/20,修正式無保留核閱報告--會計原則變動
2010,3,1558,伸興,安永聯合會計師事務所,涂清淵,林鴻光,99/10/15,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1560,中砂,勤業眾信聯合會計師事務所,張清福,陳清祥,99/10/14,標準式無保留核閱報告
2010,3,1582,信錦,勤業眾信聯合會計師事務所,李東峰,楊靜婷,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
