年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2005,1455,集盛,93,94/08/06, , , , , , ,0,0.25,0,94/07/29, ,"          9,245,344", , , ,"         13,868,016",94/07/12,16:11:21,新台幣                 10.0000元
2005,1455,集盛,93,94/08/16,0.75,0,94/08/10,                  0,                      0,0.00,0, , , , ,"          9,245,344",                  0,0,          0.00,"         13,868,016",94/07/13,09:16:59,新台幣                 10.0000元
2005,1459,聯發紡織,93,94/07/26,0.05,0.1,94/07/20,                  0,                      0,0.00,0,0.5,0,94/07/20, ,"          4,226,990",                  0,0,          0.00,"          6,340,485",94/07/06,14:05:49,新台幣                 10.0000元
2005,1463,強盛染整,93,94/07/22, , , , , , ,0,0.5,0,94/07/14, ,"          2,039,892", , , ,"          3,059,838",94/06/30,10:11:11,新台幣                 10.0000元
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,1465,偉全實業,93,94/08/13, , , , , , ,0,0.3,0,94/08/05, ,                  0, , , ,                  0,94/07/19,15:09:15,新台幣                 10.0000元
2005,1467,南緯實業,93,94/08/12,0,0.5,94/08/04,                  0,                      0,0.00,0,0.25,0,94/08/04, ,"            714,043",                  0,0,          0.00,"            714,043",94/07/08,09:06:01,新台幣                 10.0000元
2005,1471,首利,93,94/08/19,0.85,0,94/08/11,"            540,000","              5,400,000",5.14,0.00461034, , , , ,                  0,                  0,0,          0.00,"            106,264",94/07/28,14:28:08,新台幣                 10.0000元
2005,1473,台南企業,93,94/07/15,0.1,0,94/07/07,"            500,000","              5,000,000",28.81,0.004047,3,0,94/07/07, ,"          5,000,000",                  0,0,          0.00,"          2,500,000",94/06/21,09:05:26,新台幣                 10.0000元
2005,1474,弘裕,93,94/09/01,0.799,0,94/08/25,                  0,                      0,0.00,0,0.299,0,94/08/25, ,"          3,620,414",                  0,0,          0.00,"          5,430,621",94/08/08,16:29:48,新台幣                 10.0000元
2005,1476,儒鴻,93,94/07/06, , , , , , ,0,0.8,0,94/06/30, ,"            210,908", , , ,                  0,94/06/08,15:29:20,新台幣                 10.0000元
2005,1476,儒鴻,93,94/08/17,1.4,0,94/08/11,                  0,                      0,0.00,0, , , , ,"            210,908",                  0,0,          0.00,                  0,94/07/15,14:34:56,新台幣                 10.0000元
2005,1476,儒鴻,93,94/11/27,0,0,94/11/21,                  0,                      0,0.00,0, , , , , ,"         20,000,000",13.7389,         13.50,                  0,94/11/11,17:27:12,新台幣                 10.0000元
2005,1477,聚陽實業,93,94/08/02,0,0.4997,94/07/27,                  0,                      0,0.00,0,3.0982,0,94/07/27, ,"         32,621,287",                  0,0,          0.00,"         16,310,643",94/07/12,16:02:43,新台幣                 10.0000元
2005,1503,士電,93,94/07/09, , , , , , ,0,1,0,94/07/01, ,"         52,869,100", , , ,"         26,424,000",94/06/14,17:01:09,新台幣                 10.0000元
2005,1507,永大機電,93,94/06/13, , , , , , ,0,0.6,0,94/06/07, ,"          6,021,184", , , ,"            669,020",94/05/23,11:19:18,新台幣                 10.0000元
2005,1512,瑞利,93,94/08/29, , , , , , ,0,0.7,0,94/08/23, ,"          1,248,031", , , ,-,94/08/08,11:19:57,新台幣                 10.0000元
2005,1513,中興電,93,94/08/29, , , , , , ,0,1.3,0,94/08/23, ,"         81,000,000", , , ,"         23,331,705",94/08/01,17:52:40,新台幣                 10.0000元
2005,1514,亞力電機,93,94/07/23, , , , , , ,0,0.15,0,94/07/15, ,"            779,656", , , ,"          1,949,139",94/06/29,10:17:10,新台幣                 10.0000元
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,1515,力山,93,94/07/31, , , , , , ,0,0.6,0,94/07/25, ,"         22,500,000", , , ,"          6,000,000",94/07/08,09:48:58,新台幣                 10.0000元
2005,1517,利奇機械,93,94/09/17,0.25,0,94/09/09,                  0,                      0,0.00,0, , , , ,"          6,437,604",                  0,0,          0.00,"          2,575,042",94/08/24,09:43:36,新台幣                 10.0000元
