年,季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 20,待註銷股本股數（單位：股）,Unnamed: 21
2013,03,2514,龍邦國際,81355958.0,360373854.0,441729812.0,6060630.0,421670167.0,427730797.0,5632143.0,242808.0,2747638.0,-2201477.0,-411045.0,6010067.0,--,7988948.0,13999015.0,0.0,43929000.0,11.57,,,
2013,03,2905,三商,140685535.0,541916894.0,682602429.0,10806763.0,648266355.0,659073118.0,6811919.0,885458.0,4356185.0,-1232815.0,-532672.0,10288075.0,--,13241236.0,23529311.0,0.0,39354000.0,16.03,,,
2013,04,1409,新纖,87235194.0,36694253.0,123929447.0,79476302.0,10214386.0,89690688.0,17604840.0,1553381.0,5709253.0,1446756.0,-355009.0,25959221.0,--,8279538.0,34238759.0,0.0,37163487.0,15.06,,,
2013,04,1718,中纖,475754343.0,47467038.0,523221381.0,458844223.0,22539648.0,481383871.0,14105902.0,1523811.0,5362072.0,-399467.0,-1612790.0,18979528.0,--,22857982.0,41837510.0,0.0,280172859.0,16.79,,,
2013,04,2514,龍邦國際,81493171.0,374016250.0,455509421.0,5113204.0,436142014.0,441255218.0,5632143.0,274515.0,2571867.0,-2002832.0,-402599.0,6073094.0,--,8181109.0,14254203.0,0.0,43929000.0,11.7,,,
2013,04,2905,三商,141927020.0,575593888.0,717520908.0,11629028.0,682329649.0,693958677.0,6813829.0,872118.0,4832629.0,-1602588.0,-532672.0,10383316.0,--,13178915.0,23562231.0,0.0,39354000.0,16.17,,,
2014,01,1409,新纖,89819434.0,35684243.0,125503677.0,81314094.0,9465609.0,90779703.0,17604840.0,1556714.0,6306241.0,1281247.0,-688547.0,26060495.0,--,8663479.0,34723974.0,0.0,70269487.0,15.42,,0.0,
2014,01,1718,中纖,491981352.0,45881642.0,537862994.0,471345729.0,22831650.0,494177379.0,14105902.0,1523811.0,5567662.0,-369838.0,-1612790.0,19214747.0,--,24470868.0,43685615.0,0.0,280172859.0,17.0,,0.0,
2014,01,2514,龍邦國際,89696499.0,380749695.0,470446194.0,6023525.0,448643149.0,454666674.0,5632143.0,303402.0,2757093.0,-1681470.0,-398159.0,6613009.0,--,9166511.0,15779520.0,0.0,43929000.0,12.73,,0.0,
2014,01,2905,三商,151070017.0,598987321.0,750057338.0,11081251.0,714043081.0,725124332.0,6813829.0,872118.0,4532242.0,-561324.0,-532672.0,11124193.0,0.00,13808813.0,24933006.0,0.0,39354000.0,17.33,,0.0,
2014,02,1409,新纖,92193859.0,37079331.0,129273190.0,84206452.0,10752849.0,94959301.0,17604840.0,1521643.0,6030768.0,1428171.0,-737831.0,25847591.0,--,8466298.0,34313889.0,0.0,74932487.0,15.33,,0.0,
2014,02,1718,中纖,490452503.0,47790564.0,538243067.0,469681546.0,23040493.0,492722039.0,14105902.0,1523811.0,5445396.0,276727.0,-1612790.0,19739046.0,--,25781982.0,45521028.0,0.0,280172859.0,17.46,,0.0,
2014,02,2514,龍邦國際,87231592.0,395829329.0,483060921.0,6412784.0,460339624.0,466752408.0,5632143.0,303402.0,2525532.0,-1434748.0,-398159.0,6628170.0,--,9680343.0,16308513.0,0.0,43929000.0,12.76,,0.0,
2014,02,2905,三商,167742530.0,597541851.0,765284381.0,11720152.0,726424250.0,738144402.0,6813809.0,895934.0,4844880.0,-388914.0,-532672.0,11633037.0,0.00,15506942.0,27139979.0,0.0,39354000.0,18.12,,0.0,
2014,03,1409,新纖,90350037.0,36982186.0,127332223.0,82989060.0,9874646.0,92863706.0,17157970.0,1505659.0,6360157.0,1513112.0,-620601.0,25916297.0,--,8552220.0,34468517.0,0.0,61194487.0,15.66,,0.0,
2014,03,1718,中纖,491309224.0,47513515.0,538822739.0,469074793.0,23291403.0,492366196.0,14105902.0,1523811.0,5875413.0,-200815.0,-1612790.0,19691521.0,--,26765022.0,46456543.0,0.0,280172859.0,17.42,,0.0,
2014,03,2514,龍邦國際,89821327.0,408599256.0,498420583.0,9590793.0,473601862.0,483192655.0,5632143.0,309863.0,3042811.0,-2335233.0,-398159.0,6251425.0,--,8976503.0,15227928.0,0.0,43929000.0,12.04,,0.0,
2014,03,2905,三商,142573270.0,647872878.0,790446148.0,12190573.0,751855729.0,764046302.0,6813729.0,898317.0,5588275.0,-1474656.0,-532672.0,11292993.0,0.00,15106853.0,26399846.0,0.0,39354000.0,17.59,,0.0,
2014,04,1409,新纖,91258194.0,38958768.0,130216962.0,84477565.0,11270027.0,95747592.0,16634613.0,1475689.0,6425862.0,1406520.0,-63086.0,25879598.0,--,8589772.0,34469370.0,0.0,8859487.0,15.64,,0.0,
2014,04,1718,中纖,508001164.0,50535799.0,558536963.0,488402305.0,22857357.0,511259662.0,13716932.0,1457759.0,6318917.0,-254603.0,-1165133.0,20073872.0,--,27203429.0,47277301.0,0.0,242175859.0,17.77,,0.0,
2014,04,2514,龍邦國際,85231931.0,428533998.0,513765929.0,5801970.0,491014052.0,496816022.0,5632143.0,309863.0,2853547.0,-1580262.0,-398159.0,6817132.0,--,10132775.0,16949907.0,0.0,43929000.0,13.13,,0.0,
2014,04,2905,三商,149227232.0,670619592.0,819846824.0,17606258.0,774415265.0,792021523.0,6813689.0,897836.0,5482195.0,-720945.0,-532672.0,11940103.0,0.00,15885198.0,27825301.0,0.0,39354000.0,18.6,,0.0,
2015,01,1409,新纖,90456609.0,41033759.0,131490368.0,88919974.0,7927804.0,96847778.0,16592823.0,1514075.0,6612100.0,1418138.0,-29834.0,26107302.0,--,8535288.0,34642590.0,0.0,4680487.0,15.78,,0.00,
2015,01,1718,中纖,507914954.0,56873977.0,564788931.0,493380302.0,23072696.0,516452998.0,13616932.0,1463781.0,6668066.0,-259565.0,-1040214.0,20449000.0,--,27886933.0,48335933.0,0.0,229175859.0,18.06,,--,
2015,01,2514,龍邦國際,93143130.0,428550272.0,521693402.0,8053491.0,495422842.0,503476333.0,5632143.0,309863.0,3235732.0,-1551275.0,-398159.0,7228304.0,--,10988765.0,18217069.0,0.0,43929000.0,13.92,,0.00,
2015,01,2905,三商,114528623.0,697134544.0,811663167.0,15406044.0,766788522.0,782194566.0,6813689.0,898133.0,5813782.0,-281002.0,-532672.0,12711930.0,0.00,16756671.0,29468601.0,0.0,39354000.0,19.8,,--,
2015,02,1409,新纖,90556994.0,40779159.0,131336153.0,88373645.0,9538859.0,97912504.0,16592823.0,1516896.0,6010627.0,1207252.0,-111662.0,25215936.0,--,8207713.0,33423649.0,0.0,12584487.0,15.31,,0.00,
2015,02,1718,中纖,516493613.0,55506358.0,571999971.0,502520445.0,20601466.0,523121911.0,13616932.0,1463781.0,7016684.0,-276024.0,-1040214.0,20781159.0,--,28096901.0,48878060.0,0.0,229175859.0,18.35,,--,
2015,02,2514,龍邦國際,90616981.0,438568482.0,529185463.0,11681522.0,500838549.0,512520071.0,5632143.0,309863.0,3007838.0,-2046472.0,-398159.0,6505213.0,--,10160179.0,16665392.0,0.0,43929000.0,12.53,,0.00,
2015,02,2905,三商,135361106.0,684075939.0,819437045.0,11801486.0,779204836.0,791006322.0,6813589.0,959152.0,6483633.0,-1481037.0,-532672.0,12242665.0,0.00,16188058.0,28430723.0,0.0,39354000.0,19.07,,0.00,
2015,03,1409,新纖,91414488.0,40985245.0,132399733.0,93371155.0,5761838.0,99132993.0,16592823.0,1520625.0,6521631.0,730835.0,-377640.0,24988274.0,--,8278466.0,33266740.0,0.0,40070487.0,15.43,,0,
2015,03,1718,中纖,540774795.0,58658367.0,599433162.0,529321328.0,20458878.0,549780206.0,13616932.0,1463781.0,7193610.0,-338536.0,-1062617.0,20873170.0,--,28779786.0,49652956.0,0.0,231918859.0,18.48,,--,
2015,03,2514,龍邦國際,83275277.0,456723617.0,539998894.0,6182788.0,520627805.0,526810593.0,5632143.0,304918.0,2282717.0,-2591601.0,-398159.0,5230018.0,--,7958283.0,13188301.0,0.0,43929000.0,10.07,,0,
2015,03,2905,三商,139828620.0,718776584.0,858605204.0,11500289.0,820910735.0,832411024.0,6813489.0,963499.0,7129067.0,-3351001.0,-532672.0,11022382.0,0,15171798.0,26194180.0,0.0,39354000.0,17.17,,0,
2015,04,1409,新纖,88735735.0,40778438.0,129514173.0,87001126.0,9796026.0,96797152.0,16184093.0,1532987.0,6447181.0,418067.0,-29834.0,24552494.0,--,8164527.0,32717021.0,0.0,4680487.0,15.21,,0,
2015,04,1718,中纖,541677201.0,61228794.0,602905995.0,531473038.0,21130120.0,552603158.0,13616932.0,1558345.0,6712932.0,-301276.0,-1062617.0,20524316.0,--,29778521.0,50302837.0,0.0,231918859.0,18.17,,0,
2015,04,2514,龍邦國際,654416.0,12500670.0,13155086.0,2430307.0,2572328.0,5002635.0,5632143.0,292494.0,2921660.0,-643149.0,-52160.0,8150988.0,--,1463.0,8152451.0,0.0,2535000.0,14.54,,--,
2015,04,2905,三商,165333265.0,713745434.0,879078699.0,11509108.0,838889481.0,850398589.0,6813409.0,965886.0,6449865.0,-2102507.0,-532672.0,11593981.0,0,17086129.0,28680110.0,0.0,39354000.0,18.06,,0,
