"公司代號","公司簡稱","簽證會計師事務所名稱","簽證會計師","簽證會計師","核閱或查核日期","核閱或查核報告類型"
"1323","永裕","勤業眾信會計師事務所","黃李松","林卉娟","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1324","地球工業","致遠會計師事務所","楊文安","佟韻玲","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1325","恒大","勤業眾信會計師事務所","陳照敏","曾有財","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1326","台化","致遠會計師事務所","阮呂豔","何志儒","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"




"1402","遠東新","勤業眾信會計師事務所","施景彬","吳恩銘","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1409","新纖","勤業眾信會計師事務所","王錦燕 (YYY代表會計?","李麗凰 (YYY代表會計?","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1410","南染","致遠會計師事務所","黃敏全","何志儒","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1413","宏洲纖維","立本台灣聯合會計師事務所","柯俊輝","陳玉芳","2006/04/26","???????"???????"保留式核閱報告--適用新公報"
"1414","東和","安侯建業會計師事務所","楊博任","方惠玲","2005/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1416","廣豐","第一聯合會計師事務所","高佩","張福郎","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1417","嘉裕","勤業眾信會計師事務所","郭政弘","邵志明","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1418","東華","勤業眾信會計師事務所","黃海悅","林谷同","2006/04/21","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1419","新紡","勤業眾信會計師事務所","陳慧銘","林義峰","2006/04/21","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"1423","利華羊毛","致遠會計師事務所","戴興鉦","潘愛華","2006/04/20","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"1432","大魯閣","致 遠 會 計 師 事 務 所","鄧泗堂","蕭翠慧","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1434","福懋興業","致 遠 會 計 師 事 務 所","何志儒","阮呂艷","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1435","中福國際","勤業眾信會計師事務所","黃廷育會計師","吳恩銘會計師","2006/09/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1436","華友聯","勤業眾信會計師事務所","卓明信","吳恩銘","2006/04/11","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"1437","勤益投控","安侯建業會計師事務所","呂莉莉","俞安恬","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1438","裕豐","安泰聯合會計師事務所","陳兆宏","萬文慧","2006/04/14","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1439","中和羊毛","致 遠 會 計 師 事 務 所","戴興鉦 (YYY代表會計?","潘愛華 (YYY代表會計?","2006/04/25","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"1440","南紡","資誠會計師事務所","李明憲","劉子猛","2006/04/18","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1441","大東紡織","安侯建業會計師事務所","李慈慧","吳秋華","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1442","名軒","惠眾會計師事務所","李伯承","盧聯生","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1443","立益紡織","第一聯合會計師事務所","甘有財","陳桂美","2006/04/22","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1444","力麗","勤業眾信會計師事務所","余鴻賓","邱明玉","2007/04/28","???????"???????"保留式核閱報告--適用新公報、其他"
"1445","大宇紡織","勤業眾信會計師事務所","殷仲偉","郭慈容","2006/04/15","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"1446","宏和","致 遠 會 計 師 事 務 所","侯榮顯","黃崇輝","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1447","力鵬","勤業眾信會計師事務所","余鴻賓","邱明玉","2006/04/21","??????????"??????????"修正式無保留核閱報告--採用其他會計師查核且欲區分責任"
"1449","佳和實業","安侯建業會計師事務所","方惠玲","陳國宗","2006/04/30","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1451","年興紡織","勤業眾信會計師事務所","施景彬","吳恩銘","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1452","宏益","立本台灣聯合會計師事務所","柯俊輝 (YYY代表會計?","陳玉芳 (YYY代表會計?","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1453","大將","勤業眾信會計師事務所","郭榮芳","賴國旺","2006/04/21","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1454","台富","勤業眾信會計師事務所","陳慧銘","池瑞全","2006/04/20","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"1455","集盛","第 一 聯 合 會 計 師 事 務 所","蕭英嘉","林美玲","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1456","怡華","惠眾會 計 師 事 務 所","李伯承 (YYY代表會計?","廖德英 (YYY代表會計?","2006/04/28","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1457","宜進","安侯建業會計師事務所","張淑瑩","曾國禓","2006/04/28","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1459","聯發紡織","勤業眾信會計師事務所","黃  海  悅","涂  三  遷","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1460","宏遠","勤業眾信會計師事務所","李季珍","吳恩銘","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1463","強盛染整","安侯建業會計師事務所","魏忠華","吳美萍","2008/03/10","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1464","得力實業","勤 業 眾 信 會 計 師 事 務 所","李季珍","黃李松","2006/04/13","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1465","偉全實業","立本台灣聯合會計師事務所","許坤錫","張書成","2006/04/21","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1466","聚隆","建智聯合會計師事務所","紀敏滄","廖年傑","2006/04/20","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1467","南緯實業","安侯建業會計師事務所","林曈","陳嘉修","2006/04/28","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1468","昶和纖維","勤業眾信會計師事務所","張銘政","郭文吉","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1469","理隆纖維","資誠會計師事務所","杜佩玲","林鈞堯","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1470","大統染","勤業眾信會計師事務所","劉永富","涂三遷","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1471","首利","資誠會計師事務所","徐永堅","支秉鈞","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1472","三洋紡","勤業眾信會 計 師 事 務 所","陳杰忠","黃海悅","2006/04/28","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1473","台南企業","資誠會計師事務所","李明憲","林姿妤","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1474","弘裕","建智聯合會計師事務所","陳貴端","陳靜宜","2006/04/15","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"1475","本盟光電","資誠會計師事務所","林鈞堯","王照明","2006/04/21","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1476","儒鴻","安侯建業會計師事務所","寇惠植","李慈慧","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1477","聚陽實業","安侯建業會計師事務所","于紀隆","唐慈杰","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1503","士電","勤業眾信會計師事務所","張銘政","郭文吉","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1504","東元電機","資誠會計師事務所","薛明玲","曾惠瑾","2006/04/25","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1506","正道","安侯建業會計師事務所","江忠儀 (YYY代表會計?","連淑凌 (YYY代表會計?","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1507","永大機電","建昇財稅聯合會計師事務所","陳仁基","蔡季嫻","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1512","瑞利","勤業眾信會計師事務所","吳秋燕","郭麗園","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1513","中興電","鼎信聯合會計師事務所","諶  清","林金鳳","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1514","亞力電機","惠眾會計師事務所","卓敏枝","李伯承","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1515","力山","安侯建業會計師事務所","張字信","魏忠華","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1516","川飛","安侯建業會計師事務所","張字信","郭士華","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1517","利奇機械","勤業眾信會計師事務所","吳麗冬","呂惠民","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1519","華城電機","勤業眾信會計師事務所","張敬人","李東峰","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1521","大億","勤業眾信會計師事務所","王茂霖","李季珍","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1522","堤維西","致遠會計師事務所","黃崇輝","吳健源","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1524","耿鼎企業","正風聯合會計師事務所","鄭憲修","曾國富","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1525","江申工業","勤業眾信會計師事務所","郭政弘","邵志明","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1526","日馳","立 本 台 灣 聯 合 會 計 師 事 務 所","柯 俊 輝","陳 玉 芳","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1527","鑽全","安永會計師事務所","林鴻光","嚴文筆","2009/04/24","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"1528","恩德","安 侯 建 業 會 計 師 事 務 所","俞 安 恬","黃 柏 淑","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1529","樂士","建智聯合會計師事務所","陳宇頌","易昌運","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1530","亞崴機電","敬業會計師事務所","王日春會計師","黃勝義會計師","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1531","高林股","勤業眾信會計師事務所","林安惠","洪玉美","2006/04/21","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1532","勤美","安侯建業會計師事務所","楊美雪","蔡松棋","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1533","車王電","資誠會計師事務所","楊明經","洪淑華","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1535","中宇","勤業眾信會計師事務所","曾光敏 (勤業眾信代表","邱慧吟 (勤業眾信代表","2006/04/11","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1536","和大工業","資誠會計師事務所","蕭珍琪","曾國華","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1537","廣隆光電","資誠會計師事務所","蕭珍琪","楊明經","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1538","正峰新","亞 東 聯 合 會 計 師 事 務 所","呂正樂 (YYY代表會計?","劉哲瑋 (YYY代表會計?","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1539","巨庭機械","鼎 信 聯 合 會 計 師 事 務 所","林明壽","賴銘堂","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1540","喬福機械","資誠會計師事務所","蕭珍琪","楊明經","2006/04/22","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1541","錩泰","致 遠 會 計 師 事 務 所","游朝堂","嚴文筆","2006/04/14","??????????"??????????"標準式無保留核閱報告 "

"1560","中砂","勤業眾信會計師事務所","張清福","陳清祥","2006/04/14","??????????"??????????"標準式無保留核閱報告 "






"1603","華電","勤業眾信會計師事務所","劉江抱","張淑慧","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1604","聲寶","勤 業 眾 信 會 計 師 事 務 所","龔  雙  雄","楊  民  賢","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1605","華新","勤業眾信會計師事務所","洪國田","余鴻賓","2006/04/19","??????????"??????????"修正式無保留核閱報告--欲強調某一事項"
"1608","華榮","安侯建業會計師事務所","王明志","陳國宗","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1609","大亞電線","群 智 聯 合 會 計 師 事 務 所","?春生","呂亞哲","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1611","中電","群信聯 合 會 計 師 事 務 所","李仍晃","謝文益","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1612","宏泰","致遠會計師事務所","楊文安","黃素珍","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1613","台一","安侯建業會計師事務所","張淑瑩","賴麗真","2006/04/28","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1614","三洋電","第一聯合會計師事務所","高佩","張福郎","2006/04/15","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1615","大山","安侯建業會計師事務所","連淑凌","楊柳鋒","2006/04/20","??????????"??????????"標準式無保留核閱報告 "
"1616","億泰","安侯建業會計師事務所","魏忠華","羅瑞蘭","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益、其他"
"1617","榮星電線","安 侯 建 業 會 計 師 事 務 所","蘇 慈 玲","陳 惠 媛","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1618","合機公司","勤 業 眾 信 會 計 師 事 務 所","楊清鎮","翁榮隨","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"

"1701","中化","致遠會計師事務所","阮呂艷","何志儒","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1702","南僑化工","安侯建業 聯 合 會 計 師 事 務 所","俞安恬","許育峰","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1704","榮化","德 昌 聯 合 會 計 師 事 務 所","朱 威 任 (YYY代表會?","林 建 邦(YYY代表會計","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1707","葡萄王","大中國際聯合會計師事務所","許伯彥","林寬照","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1708","東鹼","安侯建業會計師事務所","林秀玉","唐慈杰","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1709","和益化工","立本台灣聯合會計師事務所","陳玉芳","柯俊榮","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1710","東聯","勤業眾信會計師事務所","郭俐雯","范有偉","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1711","永光化學","安侯建業會計師事務所","許育峰","關春修","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1712","興農","勤 業 眾 信 會 計 師 事 務 所","成 德 潤","羅 瑞 霖","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1713","國化","致遠會計師事務所","戴興鉦","潘愛華","2006/04/20","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"1714","和桐化學","致 遠 會 計 師 事 務 所","楊文安","佟韻玲","2006/04/29","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1715","萬洲化學","資誠會計師事務所","王照明","翁世榮","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1717","長興材料","資誠會計師事務所","洪麗蓉(YYY代表會計師","林億彰(YYY代表會計師","2006/04/18","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1718","中纖","廣 信 益 群 會 計 師 事 務 所","郝麗麗","郭欣訓","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1720","生達化學","資誠會計師事務所","李明憲","劉子猛","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1721","三晃","勤 業 眾 信 會 計 師 事 務 所","吳麗冬會計師","呂惠民會計師","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1722","台肥","正風聯合會計師事務所","丁鴻勛","黃國師","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1723","中碳","勤業眾信會計師事務所","龔俊吉","許芳益","2006/04/12","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1724","台硝","資誠會計師事務所","蕭金木","薛守宏","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益、其他"
"1725","元禎","勤業眾信會計師事務所","仲偉","涂三遷","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1726","永記造漆","集智會計師事務所","蔡靜雯","陳文達","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1727","中華化學","致遠會計師事務所","楊文安","黃素珍","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1729","必翔實業","資誠會計師事務所","林玉寬","王偉臣","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1730","花仙子","鼎信聯合會計師事務所","黃志成","王昌勝","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1731","美吾華","廣信益群 聯 合 會 計 師 事 務 所","郭錦蓉","蘇真愛","2006/04/23","??????????"??????????"修正式無保留核閱報告--會計原則變動"
"1732","毛寶","致遠會計師事務所","黃敏全","阮呂艷","2006/04/20","??????????"??????????"標準式無保留核閱報告 "
"1733","五鼎","勤 業 眾 信 會 計 師 事 務 所","林鴻鵬","黃鴻文","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1734","杏輝藥品","鼎信聯 合 會 計 師 事 務 所","諶清","黃志成","2006/04/16","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1735","日勝化","致遠會計師事務所","林鴻光","游朝堂","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1736","喬山健康","致 遠 會 計 師 事 務 所","林鴻光","游朝堂","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1737","臺鹽","勤業眾信會計師事務所","王茂霖","李季珍","2006/04/26","??????????"??????????"修正式無保留核閱報告--會計原則變動"






"1802","台玻","致遠會計師事務所","鄧泗堂","陳慕賢","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
