,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
103,103,1517,利奇機械,勤業眾信會計師事務所,吳麗冬,呂惠民,2006/08/11,"????????????????""修正式無保留意見--欲強調某一事項"""
104,104,1519,華城電機,勤業眾信會計師事務所,張敬人,李東峰,2006/08/03,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
105,105,1521,大億,勤業眾信會計師事務所,王茂霖,李季珍,2006/08/10,"????????????????""修正式無保留意見--欲強調某一事項"""
106,106,1522,堤維西,致遠會計師事務所,黃崇輝,吳健源,2006/08/11,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
107,107,1524,耿鼎企業,正風聯合會計師事務所,鄭憲修,曾國富,2006/08/04,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
108,108,1525,江申工業,勤業眾信會計師事務所,郭政弘,邵志明,2006/07/18,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
109,109,1526,日馳,立本台灣聯合會計師事務所,柯俊輝,陳玉芳,2006/08/21,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
110,110,1527,鑽全,安永會計師事務所,林鴻光,嚴文筆,2009/04/24,"????????????????""修正式無保留意見--會計原則變動"""
111,111,1528,恩德,安 侯 建 業 會 計 師 事 務 所,俞 安 恬,黃 柏 淑,2006/08/11,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
112,112,1529,樂士,建智聯合會計師事務所,陳宇頌,易昌運,2005/08/11,"????????????????""修正式無保留意見--欲強調某一事項"""
113,113,1530,亞崴機電,敬業會計師事務所,王日春會計師,黃勝義會計師,2006/07/21,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
114,114,1531,高林股,勤業眾信會計師事務所,陳清祥,洪玉美,2006/08/04,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
115,115,1532,勤美,安侯建業會計師事務所,楊美雪,羅子強,2006/08/30,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
116,116,1533,車王電,資誠會計師事務所,楊明經,洪淑華,2006/08/23,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
117,117,1535,中宇,勤業眾信會計師事務所,邱慧吟 (勤業眾信代表,曾光敏 (勤業眾信代表,2006/07/20,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
118,118,1536,和大工業,資誠會計師事務所,蕭珍琪,曾國華,2006/08/18,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
119,119,1537,廣隆光電,資誠會計師事務所,蕭珍琪,楊明經,2006/08/15,"??????????""無保留意見 """
120,120,1538,正峰新,亞 東 聯 合 會 計 師 事 務 所,呂正樂,劉哲瑋,2006/08/15,"????????????????""修正式無保留意見--會計原則變動"""
121,121,1539,巨庭機械,鼎 信 聯 合 會 計 師 事 務 所,林明壽,賴銘堂,2006/08/15,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
122,122,1540,喬福機械,資誠會計師事務所,蕭珍琪,楊明經,2006/08/18,"??????????""無保留意見 """
123,123,1541,錩泰,致 遠 會 計 師 事 務 所,游朝堂,嚴文筆,2006/07/25,"??????????""無保留意見 """
