公司代號,公司名稱,營業收入,營業成本,營業毛利(毛損),營業費用,營業淨利(淨損),營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利(淨損),所得稅費用(利益),繼續營業單位淨利(淨損),停業單位損益,非常損益,會計原則變動累積影響數,合併總損益,合併淨損益,共同控制下前手權益損益,少數股權損益,基本每股盈餘
"6214","精誠資訊",14535407,10523833,4011574,3658545,356873,89540,133440,312973,69379,243594,0,0,0,243594,298449,0,-54855,1.27
"6215","和椿科技",1575961,1251857,324104,306468,17636,19086,30057,6665,6278,387,0,0,0,387,188,0,199,0.00
"6216","居易",809801,428101,381700,247938,133762,9863,18269,125356,12438,112918,0,0,0,112918,112918,0,0,1.51
"6224","聚鼎",1703697,926863,776834,300813,476021,25127,24060,477088,86166,390922,0,0,0,390922,390922,0,0,4.94
"6225","天瀚",388653,348110,40543,238836,-198293,31924,15065,-181434,12445,-193879,0,0,0,-193879,-193879,0,0,-3.69
"6226","光鼎電子",1105106,916020,189086,287213,-98127,14189,81226,-165164,-1681,-163483,0,0,0,-163483,-167947,0,4464,-1.85
"6230","超眾",5345986,4293605,1052381,563173,489208,115884,39192,565900,152376,413524,0,0,0,413524,413524,0,0,4.79
"6235","華孚科技",2156208,1927249,228959,314029,-85070,48662,162445,-198853,10238,-209091,0,0,0,-209091,-209091,0,0,-1.30
"6239","力成",41611109,34192550,7418559,2480492,4938067,675887,563148,5050806,853640,4197166,0,0,0,4197166,3611321,0,585845,4.58
"6243","迅杰",912281,663575,248706,324068,-75362,6737,59105,-127730,3019,-130749,0,0,0,-130749,-127328,0,-3421,-1.69
"6251","定穎電子",10719015,9942310,776705,1071807,-295102,93036,452623,-654689,-82153,-572536,0,-123408,0,-695944,-677982,0,-17962,-2.32
"6257","矽格",4893095,3425999,1467096,493686,973410,184818,88187,1070041,113973,956068,0,0,0,956068,993468,0,-37400,2.78
"6269","台郡科技",11078968,8077076,3001892,993469,2008423,330353,85487,2253289,533071,1720218,0,0,0,1720218,1720218,0,0,9.24
"6271","同欣電子",6984993,4832864,2152129,685936,1466193,36595,23554,1479234,168258,1310976,0,0,0,1310976,1310976,0,0,8.08
"6277","宏正科",4275862,1823146,2452716,1969816,482900,189194,39045,633049,145830,487219,0,0,0,487219,481776,0,5443,4.03
"6278","台表科",49834870,46253057,3581813,1513283,2068530,261783,190757,2139556,625319,1514237,0,0,0,1514237,1027933,0,486304,4.00
"6282","康舒",24389760,20710181,3679579,2604000,1075579,528307,322703,1281183,226561,1054622,0,0,0,1054622,1039146,0,15476,2.03
"6283","淳安電子",1542019,1372880,169139,316316,-147177,61990,67761,-152948,-9140,-143808,0,0,0,-143808,-146058,0,2250,-1.46
"6285","啟碁科技",34434519,29752874,4681645,3196976,1484669,124569,174253,1434985,306725,1128260,0,0,0,1128260,1128260,0,0,3.72
"6286","立錡",11272708,6821187,4451521,2546505,1905016,43588,49075,1899529,200050,1699479,0,0,0,1699479,1704429,0,-4950,11.48
"6289","華上光電",1396357,1672709,-276352,232533,-508885,179842,188261,-517304,9731,-527035,0,0,0,-527035,-534690,0,7655,-1.99
"6405","悅城科技",1874497,1213805,660692,120793,539899,1958,12994,528863,121520,407343,0,0,0,407343,407343,0,0,10.27
"6409","旭隼",4762711,3693283,1069428,402979,666449,14332,36296,644485,124442,520043,0,0,0,520043,520043,0,0,9.66
"6412","群光電能",23616290,20449990,3166300,2089764,1076536,267943,290426,1054053,141480,912573,0,0,0,912573,912573,0,0,2.85
"6414","樺漢科技",2268737,1855792,412945,220883,192062,24371,8648,207785,33878,173907,0,0,0,173907,173907,0,0,3.45
"6415","F-矽力",1370549,653935,716614,317454,399160,5963,17449,387674,0,387674,0,0,0,387674,387674,0,0,11.52
"6442","光聖",3532714,3005058,527656,370347,157309,12142,41865,127586,25854,101732,0,0,0,101732,102102,-370,0,1.88
"6449","鈺邦科技",1303239,1002267,300972,167102,133870,4153,32307,105716,29603,76113,0,0,0,76113,76113,0,0,1.24
"6451","F-訊芯",3833341,2326468,1506873,430581,1076292,60716,11475,1125533,269302,856231,0,0,0,856231,856231,0,0,13.21
"6504","南六",3700620,3021784,678836,339919,338917,10520,77002,272435,75439,196996,0,0,0,196996,196996,0,0,3.19
"6505","台塑石化",894413406,885211930,9201476,10026935,-825459,8181991,4913707,2442825,-278298,2721123,0,0,0,2721123,2718950,0,2173,0.29
"6605","帝寶工業",12623933,9199433,3424500,1972126,1452374,55323,300519,1207178,174071,1033107,0,0,0,1033107,1035240,0,-2133,6.24
"6702","復興航空",10033482,8930659,1102823,1062198,40625,193151,79068,154708,54175,100533,0,0,0,100533,100533,0,0,0.18
"8011","台通",1996518,1567260,429258,202853,226405,29212,17858,237759,57868,179891,0,0,0,179891,194637,0,-14746,2.82
"8016","矽創電子",5179869,3863611,1316258,1034029,282229,114196,33208,363217,40042,323175,0,0,0,323175,355178,0,-32003,3.01
"8021","尖點",2365885,1617276,748609,380517,368092,29494,41592,355994,81643,274351,0,0,0,274351,273951,0,400,1.75
"8033","雷虎科技",1048899,703854,345045,455118,-110073,17674,41088,-133487,33653,-167140,0,0,0,-167140,-167140,0,0,-1.93
"8039","台虹科技",7853228,6290054,1563174,780829,782828,85633,130243,738218,133767,604451,0,0,0,604451,620067,0,-15616,3.06
"8046","南電",29723031,30810962,-1087931,1756816,-2844747,712678,163083,-2295152,-231270,-2063882,0,0,0,-2063882,-2063882,0,0,-3.19
"8070","長華電材",16325871,14783346,1542525,680176,862349,176616,115479,923486,215176,708310,0,0,0,708310,614315,0,93995,9.34
"8072","陞泰",3277336,2041639,1235697,312670,923027,50009,69383,903653,164996,738657,0,0,0,738657,735191,0,3466,7.35
"8081","致新",4665593,3038301,1627292,832950,794342,34400,59207,769535,69529,700006,0,0,0,700006,710271,0,-10265,8.29
"8101","華冠通訊",21269452,20130899,1138553,1517995,-379442,114358,187451,-452535,52520,-505055,0,0,0,-505055,-478755,0,-26300,-1.16
"8103","瀚荃",2335984,1471080,864904,419177,445727,23906,42362,427271,103462,323809,0,0,0,323809,323031,0,778,4.47
"8105","凌巨",13379970,12792578,587392,948922,-361530,140657,382087,-602960,25224,-628184,0,0,0,-628184,-628184,0,0,-1.42
"8110","華東",8293013,7463934,829079,540919,288160,218175,734351,-228016,211,-228227,0,0,0,-228227,-228227,0,0,-0.46
"8112","至上電子",34097851,33168373,929478,662903,266575,33557,130281,169851,63768,106083,0,0,0,106083,114559,0,-8476,0.64
"8114","振樺電子",2324726,1371015,953711,485486,468225,17749,31936,454038,82000,372038,0,0,0,372038,375702,0,-3664,5.98
"8150","南茂科技",19220560,16676599,2543961,1110954,1433007,481261,580945,1333323,125029,1208294,0,0,0,1208294,1119395,0,88899,1.33
"8163","達方電子",26305918,23387943,2917975,2592250,325725,221511,169058,378178,154410,223768,0,0,0,223768,224808,0,-1040,0.70
"8201","無敵",1667639,1190657,476982,895866,-418576,60402,107065,-465239,26758,-491997,0,0,0,-491997,-491997,0,0,-5.52
"8210","勤誠興業",3965080,2826629,1138451,567042,571409,39926,11855,599480,118273,481207,0,0,0,481207,481207,0,0,4.01
"8213","志超",22056305,17869975,4186330,1816637,2369693,190398,354464,2205627,346774,1858853,0,0,0,1858853,1498825,0,360028,6.26
"8215","明基材料",14912358,15148852,-236494,808803,-1045297,343254,349193,-1051236,32514,-1083750,0,0,0,-1083750,-1083750,0,0,-3.38
"8249","菱光科技",4713155,4271325,441830,320605,121225,90477,28639,183063,33987,149076,0,0,0,149076,149076,0,0,1.17
"8261","富鼎",2298012,2093691,204321,275204,-70883,11568,173169,-232484,-35302,-197182,0,0,0,-197182,-197182,0,0,-1.39
"8271","宇瞻科技",7703044,6510806,1192238,688741,503497,30782,15884,518395,117246,401149,0,0,0,401149,401149,0,0,3.07
"8341","日友",567924,333906,234018,126206,107812,3258,12274,98796,19407,79389,0,0,0,79389,79295,0,94,1.04
"8374","羅昇",4165588,3551335,614253,619794,-5541,26019,48495,-28017,-11811,-16206,0,0,0,-16206,-14953,0,-1253,-0.17
"8404","F-百和",3060222,2196708,863514,571363,292151,86263,72468,305946,59255,246691,0,0,0,246691,232228,0,14463,1.01
"8411","F-福貞",6265859,5253858,1012001,438718,573283,12792,48583,537492,93464,444028,0,0,0,444028,444028,0,0,5.82
"8422","可寧衛",2617908,815475,1802433,192599,1609834,19716,93,1629457,173850,1455607,0,0,0,1455607,1455607,0,0,13.37
"8427","F-基勝",6608838,5125235,1483603,979927,503676,120411,35802,588285,153736,434549,0,0,0,434549,434549,0,0,4.02
"8429","F-金麗",4522552,2919924,1602628,402941,1199687,21696,35998,1185385,262980,922405,0,0,0,922405,922405,0,0,8.84
"8443","阿瘦",3587121,1682740,1904381,1812906,91475,139772,6554,224693,31117,193576,0,0,0,193576,203970,0,-10394,3.43
"8454","富邦媒",18922692,16265525,2657167,2027687,629480,47895,10071,667304,160663,506641,0,0,0,506641,558095,0,-51454,4.36
"8926","台汽電",3307561,3474502,-166941,203897,-339463,941921,68800,533658,5087,528571,0,0,0,528571,528571,0,0,0.90
"8940","新天地",1405754,719480,686274,603937,82337,35637,8474,109500,25363,84137,0,0,0,84137,96209,0,-12072,1.43
"8996","高力",1830833,1374394,456439,312384,144055,27848,13359,158544,19614,138930,0,0,0,138930,138930,0,0,1.99
"9802","F-鈺齊",5883931,4965430,918501,697553,220948,67876,39577,249247,-36799,286046,0,0,0,286046,285067,0,979,2.68
"9902","台火",139162,129442,9720,32036,-22316,26578,2061,2201,0,2201,0,0,0,2201,4529,0,-2328,0.05
"9904","寶成工業",276107669,210876766,65230903,49336327,15894576,9407525,4731852,20570249,1630427,18939822,0,0,0,18939822,10156335,0,8783487,3.47
"9905","大華金",8534707,6979710,1554997,505641,1049356,76586,21757,1104185,281517,822668,0,0,0,822668,828148,0,-5480,2.72
"9906","欣巴巴",69614,60340,9274,40155,-30881,44221,8013,5327,-2,5329,487320,0,0,492649,442956,0,49693,14.28
"9907","統一實業",27966801,25630446,2336355,1723144,613211,131896,343928,401179,136525,264654,0,0,0,264654,271872,0,-7218,0.17
"9908","大台北",5242589,4682963,559626,291427,268199,530237,104855,693581,81863,611718,0,0,0,611718,604965,0,6753,1.21
"9910","豐泰企業",36846797,29778998,7067799,4313036,2754763,266570,299295,2722038,670976,2051062,0,0,0,2051062,1678955,0,372107,3.14
"9911","台灣櫻花",4073604,2861521,1212083,930491,281592,95155,44018,332729,57086,275643,0,0,0,275643,275643,0,0,1.01
"9912","偉聯",640916,416354,224562,259927,-35365,754518,30099,689054,36345,652709,0,0,0,652709,652709,0,0,14.16
"9914","美利達",24377862,20415526,3962336,1634284,2223601,908367,51069,3080899,769857,2311042,0,0,0,2311042,2325950,0,-14908,8.17
"9917","中保",12058666,7503348,4555318,2291506,2263812,186086,170862,2279036,398542,1880494,0,0,0,1880494,1879076,0,1418,4.33
"9918","欣天然",2788002,2247446,540556,234479,306077,62563,2970,365670,57335,308335,0,0,0,308335,308335,0,0,1.73
"9919","康那香",4817971,3892008,925963,894864,31099,64914,69432,26581,-5473,32054,0,314,0,32368,58880,0,-26512,0.30
"9921","巨大機械",54041401,42330648,11710753,7756095,3954658,351030,339432,3966256,975917,2990339,0,0,0,2990339,3009107,0,-18768,8.02
"9924","台灣福興",5014718,4157582,857136,509654,347482,184509,34678,497313,99464,397849,0,0,0,397849,386453,0,11396,2.05
"9925","新光保全",6850812,4364619,2486193,1439492,1046701,285663,93780,1238584,205131,1033453,0,0,0,1033453,968196,0,65257,2.56
"9926","新海瓦斯",2734035,2228407,505628,172645,332983,34532,5926,361589,57859,303730,0,0,0,303730,303730,0,0,2.01
"9927","泰銘",9740060,8943908,796152,195392,600760,81882,16295,666347,105158,561189,0,0,0,561189,559213,0,1976,2.74
"9928","中視",1477037,1347031,130006,335569,-205563,146930,39902,-98535,1107,-99642,0,0,0,-99642,-99633,0,-9,-0.75
"9929","秋雨",1621634,1520828,100806,161900,-61094,14866,43657,-89885,31,-89916,0,0,0,-89916,-69152,0,-20764,-0.46
"9930","中聯資源",5474126,4335116,1139010,345965,793045,39135,22261,809919,125904,684015,0,0,0,684015,669479,0,14536,2.96
"9931","欣高",1364932,1159928,205004,67583,137421,103823,15055,226189,37121,189068,0,0,0,189068,186590,0,2478,1.97
"9933","中鼎工程",60738850,55622784,5116066,1961913,3154153,468172,252908,3369417,588998,2780419,0,0,0,2780419,2392436,0,387983,3.32
"9934","成霖企業",18092887,13293942,4798945,5028203,-229258,227107,280879,-283030,95336,-378366,0,0,0,-378366,-232820,0,-145546,-0.78
"9935","慶豐富",3429203,2967027,462176,433197,28979,73847,135906,-33080,35271,-68351,0,0,0,-68351,-59707,0,-8644,-0.50
"9938","台灣百和",6980922,4981211,1999711,1238676,761035,103830,139307,725558,204069,521489,0,0,0,521489,454117,0,67372,1.52
"9939","宏全",15584967,12729965,2855002,1273823,1581179,101654,175675,1507158,258990,1248168,0,0,0,1248168,1151190,0,96978,4.43
"9940","信義房屋",8750246,6164553,2585693,1044329,1541364,258022,71701,1727685,346276,1381409,0,0,0,1381409,1351115,0,30294,2.90
"9941","裕融企業",10173243,5946015,4227228,3027762,1199466,933207,415818,1716855,429432,1287423,0,0,0,1287423,1164396,0,123027,4.94
"9942","茂順",2358952,1543565,815387,310489,503537,31598,24485,510650,153263,357387,0,0,0,357387,359634,0,-2247,4.32
"9943","好樂迪",3429622,1481005,1948617,1320034,628583,121962,28017,722528,133816,588712,0,0,0,588712,588712,0,0,4.00
"9944","新麗企業",3788424,3190002,598422,497929,100493,30150,65473,65170,47729,17441,0,0,0,17441,6167,0,11274,0.06
"9945","潤泰創新",13314381,10864796,2449585,1892131,557454,3400281,288672,3669063,142059,3527004,0,0,0,3527004,3378675,0,148329,3.46
"9946","三發地產",2792216,1727273,1064943,362119,702824,4659,957,706526,40038,666488,0,0,0,666488,666488,0,0,3.69
"9955","佳龍",6786063,6543679,242384,163652,78732,3711,21635,60808,12011,48797,0,0,0,48797,48809,0,-12,0.46
"9958","世紀鋼構",3566533,3163610,402923,67406,335517,21132,68713,287936,39409,248527,0,0,0,248527,248527,0,0,1.80
