年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
95/03,1436,華友聯,          2729864,            437212,              1911,             15224,            611607,          3795818,            124576,                  0,                  0,             29877,            154453,          3140000,            476349,            213299,            -84885,           -103398,          3641365,                  0,                  0,         12.35,                  0,         19174769
95/03,1437,勤益投控,          1201267,          2201103,            719099,             45373,            597968,          4764810,            791046,            850049,                  0,             65030,          1706125,          1936345,            337225,           -135798,            921306,               -393,          3058685,                  0,                  0,         15.80,                  0,             69721
95/03,,,,,,,,,,,,,,,,,,,,,,,,
95/03,1438,裕豐,            196835,             24527,            188472,                  0,            553877,            963711,            544397,                  0,            221480,             26016,            791893,          1024115,            108535,         -1102513,            147268,             -5587,            171818,                  0,                  0,          1.81,                  0,          7495720
95/03,1439,中和羊毛,            310346,            671584,            685338,                  0,             28027,          1695295,             62200,                  0,            319442,             19374,            401016,            920000,              8686,            -36121,            401714,                  0,          1294279,                  0,                  0,         14.07,                  0,                  0
95/03,1440,南紡,          3273221,         11969420,          8372914,             87083,          4607774,         28310412,          1583080,                  0,          3376564,          1367926,          6327570,         14935240,            138930,          2756660,          4152012,                  0,         21982842,                  0,                  0,         14.72,                  0,                  0
95/03,1441,大東紡織,            841350,            430568,            788190,             11877,             46700,          2118685,            915270,            191285,            161013,            155787,          1423355,          1079004,                  0,           -450528,             69998,             -3144,            695330,                  0,                  0,          6.53,                  0,          1377640
95/03,1442,名軒,          1821567,            387347,            106821,              7352,              8365,          2331452,            877592,             91811,                  0,              7492,            976895,          2197053,             27031,           -869554,                 27,                  0,          1354557,                  0,                  0,          6.17,                  0,                  0
95/03,1443,立益紡織,          1161912,            623908,          2361357,              2916,            420642,          4570735,          1466788,            133333,            227040,            234765,          2061926,          3010900,            310272,           -960313,            191982,            -44032,          2508809,                  0,                  0,          9.12,                  0,         26024151
95/03,1444,力麗,          4781049,          2759771,          4364255,                  0,            444897,         12349972,          3355055,          1578266,              5132,            160489,          5098942,          7314000,          2093036,         -1368554,           -289187,           -498265,          7251030,                  0,                  0,         10.92,                  0,         67136813
95/03,1445,大宇紡織,          1135272,            176951,          1125492,             10583,             19362,          2467660,            258760,            245556,             84969,             96203,            685488,          1795510,             21729,            100913,            -44241,            -91739,          1782172,                  0,                  0,         10.94,                  0,         16711632
95/03,1446,宏和,            510195,            869003,            898146,                  0,          1002138,          3279482,          1015898,            431577,                  0,             16363,          1463838,          2238702,            297239,           -818279,             97982,                  0,          1815644,                  0,                  0,          8.11,                  0,                  0
95/03,1447,力鵬,          4803948,          1555880,          6183292,                  0,            343356,         12886476,          3477642,          2086520,                  0,            157774,          5721936,          5706875,          2093571,          1208427,         -1844333,                  0,          7164540,                  0,                  0,         12.55,                  0,                  0
95/03,1449,佳和實業,          2608815,          1318904,          2045997,             68526,            215510,          6257752,          1642971,          1256000,            379116,            304302,          3582389,          4159869,            479797,           -702067,           -948089,           -314147,          2675363,                  0,                  0,          8.75,                  0,        110105148
95/03,1451,年興紡織,          4380805,         10203139,            989601,             29910,            113332,         15716787,          2906071,            600382,                  0,            542534,          4048987,          5983691,            377195,          4218257,          1088657,                  0,         11667800,                  0,                  0,         19.50,                  0,                  0
95/03,1452,宏益,            923033,            474741,            546188,                  0,            104691,          2048653,            140201,                  0,             42579,              6751,            189531,          1490390,             90379,            281367,             -3014,                  0,          1859122,                  0,                  0,         12.47,                  0,                  0
95/03,1453,大將,            321000,            252083,            159534,                  0,            113539,            846156,            440700,                  0,             54850,             58803,            554353,            353394,                  0,            -55798,                159,             -5952,            291803,                  0,                  0,          8.37,                  0,            476574
95/03,1454,台富,            986806,            197447,            997518,                  0,             48277,          2230048,            627118,                  0,                  0,             69500,            696618,          1461397,            124917,            -20650,             20451,            -52685,          1533430,                  0,                  0,         11.42,                  0,         11882160
95/03,,,,,,,,,,,,,,,,,,,,,,,,
95/03,1455,集盛,          4606492,            315285,          5579509,              4541,            485469,         10991296,          4195923,          1000949,                365,             80385,          5277622,          4720904,            385916,            582621,             24233,                  0,          5713674,                  0,                  0,         12.10,                  0,                  0
95/03,1456,怡華,          1956208,            839374,          2588777,              8996,             57841,          5451196,          2387057,          1180799,            442402,            300203,          4310461,          2236560,                  9,           -600356,           -473368,            -22110,          1140735,                  0,                  0,          5.60,                  0,         20012102
95/03,1457,宜進,          1336465,          1437490,          1738460,                  0,          1202047,          5714462,          2125956,            531686,              3944,             53878,          2715464,          3653200,            364561,           -936469,             35015,           -117309,          2998998,                  0,                  0,          9.15,                  0,         37528760
95/03,1459,聯發紡織,            975733,          1148295,          3267383,                  0,            354090,          5745501,            712381,          1225000,                  0,             46310,          1983691,          3596570,            526425,            293754,           -352778,           -302161,          3761810,                  0,                  0,         11.84,                  0,         42065085
95/03,1460,宏遠,          3565848,          1858304,          2397477,             21322,            113691,          7956642,          1017886,          1479285,                  0,            194244,          2691415,          4904161,            374776,            329153,           -113434,           -229429,          5265227,                  0,                  0,         11.53,                  0,         33706585
95/03,1463,強盛染整,            539797,          1072076,            576815,              5699,             26246,          2220633,            125402,                  0,             50877,             50893,            227172,          1937897,            128620,             76007,            -18949,           -130114,          1993461,                  0,                  0,         11.92,                  0,         26589911
95/03,1464,得力實業,            621379,            995471,            908544,                  0,             24346,          2549740,            358610,            130000,                  0,            161024,            649634,          1755960,            163606,            -29479,             34131,            -24112,          1900106,                  0,                  0,         11.18,                  0,          5673000
95/03,1465,偉全實業,            634144,            524627,            563697,              4374,             17933,          1744775,            139436,                  0,                  0,             40056,            179492,            863394,            353488,            352259,             -3858,                  0,          1565283,                  0,                  0,         18.13,                  0,                  0
95/03,1466,聚隆,            802301,                  0,            889156,                  0,            282907,          1974364,            995383,            400733,                  0,             33747,          1429863,            715978,                  0,           -170824,                  0,               -653,            544501,                  0,                  0,          7.61,                  0,             87958
95/03,1467,南緯實業,          1440800,          1468999,            736280,             23051,            268108,          3937238,            968679,            942741,             68902,             80548,          2060870,          1424166,             84713,            333852,             33637,                  0,          1876368,                  0,                  0,         13.18,                  0,                  0
95/03,1468,昶和纖維,          1254668,            579865,          1144738,                  0,             34859,          3014130,            708623,            262856,             39548,              5887,          1016914,          1604053,             34870,            209678,            148615,                  0,          1997216,                  0,                  0,         12.45,                  0,                  0
95/03,1469,理隆纖維,            667206,            127510,          1321900,              2128,             65637,          2184381,            518926,                  0,                  0,              9126,            528052,          1246000,            455920,            -38458,             -7133,                  0,          1656329,                  0,                  0,         13.29,                  0,                  0
95/03,1470,大統染,            332520,            108177,            354240,                  0,             44131,            839068,             76261,                  0,                  0,             24694,            100955,            857670,              6985,           -108670,                  0,            -17872,            738113,                  0,                  0,          8.86,                  0,          2429741
95/03,1471,首利,          2373957,            612174,            299527,                  0,             13945,          3299603,          1579673,                  0,                  0,              8750,          1588423,          1425867,            152514,            104354,             28445,                  0,          1711180,                  0,                  0,         12.00,                  0,                  0
95/03,1472,三洋紡,            324097,            320450,            595510,                  0,             25029,          1265086,             93373,                  0,                  0,             24870,            118243,            875000,            348421,            -51209,             19872,            -45241,          1146843,                  0,                  0,         14.14,                  0,          6414830
95/03,,,,,,,,,,,,,,,,,,,,,,,,
95/03,1473,台南企業,          2054138,          2834569,            514681,             12759,             88311,          5504458,          1167655,            854390,             37967,            151927,          2211939,          1270370,            474599,          1475397,             72153,                  0,          3292519,                  0,                  0,         25.92,                  0,                  0
95/03,1474,弘裕,          1668025,            253291,            718110,              3066,             85209,          2727701,            924432,            102130,             53478,             14965,          1095005,          1325715,                103,            255105,             51773,                  0,          1632696,                  0,                  0,         12.32,                  0,                  0
95/03,1475,本盟光電,            395692,            138819,            336670,                  0,            338106,          1209287,            678217,             10023,                  0,                  0,            688240,            957197,            355000,           -796564,              5414,                  0,            521047,                  0,                  0,          5.44,                  0,                  0
95/03,1476,儒鴻,          1894611,            898662,            795664,                  0,            141113,          3730050,          1450416,            100000,                  0,             81579,          1631995,          1433890,            138062,            518846,              7257,                  0,          2098055,                  0,                  0,         14.63,                  0,                  0
95/03,1477,聚陽實業,          3803782,            845634,             47304,              6313,             48386,          4751419,          2375933,                  0,                  0,             14975,          2390908,          1255205,            233528,            882763,            -10985,                  0,          2360511,                  0,                  0,         18.81,                  0,                  0
95/03,1503,士電,          6836672,          6836334,          4523797,             38572,            134186,         18369561,          5809531,            803907,            240768,          1011315,          7865521,          5209722,          2524636,          2400618,            369064,                  0,         10504040,                  0,                  0,         20.16,                  0,                  0
95/03,1504,東元電機,         14337185,         37448309,          3723290,            410159,          3257595,         59176538,          9664752,         10871883,            106179,          1511704,         22154518,         19105779,          8353576,          5107764,          5468337,         -1013436,         37022020,                  0,                  0,         19.76,                  0,         37110178
95/03,1506,正道,            683441,            871181,            502184,             32757,            429707,          2519270,          1010803,             56572,             87423,            264949,          1419747,          1022516,             88345,           -123957,            112619,                  0,          1099523,                  0,                  0,         10.75,                  0,                  0
95/03,1507,永大機電,          3490644,          4361354,          1482784,            123604,            890029,         10348415,          1494234,            404650,              2702,            594166,          2495752,          4108200,            223066,          3667526,           -119578,            -26551,          7852663,                  0,                  0,         19.21,                  0,          2129800
95/03,1512,瑞利,          1815916,            430672,          2333885,             26874,            117012,          4724359,          1635744,            733788,            132382,            115564,          2617478,          1765073,             54803,             55601,            231404,                  0,          2106881,                  0,                  0,         11.94,                  0,                  0
95/03,1513,中興電,          6798268,          2470838,          3233790,             95401,            598165,         13196462,          5190346,            541887,            286075,            546950,          6565258,          4800000,            246041,          1011671,            952854,           -379362,          6631204,                  0,                  0,         15.36,                  0,         48152884
95/03,1514,亞力電機,          2326649,            551559,          1034490,             37614,            198773,          4149085,          1325652,             86500,            164401,            113456,          1690009,          2010670,            168513,            123374,            245174,            -88655,          2459076,                  0,                  0,         13.00,                  0,         11897000
95/03,1515,力山,          3052849,          1319103,          1471188,             46452,            584839,          6474431,          3310203,            288227,             46823,            276027,          3921280,          2522103,            234841,             96001,             -5902,           -293892,          2553151,                  0,                  0,         11.23,                  0,         24917408
