年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/01,1452,宏益,            976357,            766652,            697860,                  0,            102640,            350316,                  0,             86338,          1772900,            133438,            409809,           -209292,          2543509,            436654,          2106855,         11.88
93/01,1453,大將,            414508,            584746,            179831,                  0,            369858,            599428,                  0,            154784,            797734,                  0,             34487,            -37490,          1548943,            754212,            794731,          9.96
93/01,1454,台富,            936141,            154058,          1211955,              8832,            173469,            555314,            110000,             82890,          1496502,            148767,            151307,            -60325,          2484455,            748204,          1736251,         11.60
93/01,,,,,,,,,,,,,,,,,,
93/01,1455,集盛,          2082799,            831665,          4253856,                  0,            439591,          1425878,            500000,             58085,          4222633,            424975,            981718,             -5378,          7607911,          1983963,          5623948,         13.32
93/01,1456,怡華,          1928878,          1562073,          2801796,             49279,            382744,          2661915,          1357354,            971629,          2904623,             52160,           -827117,           -395794,          6724770,          4990898,          1733872,          5.97
93/01,1457,宜進,          1661245,          2175343,          2311212,                  0,          1195011,          2477037,            846846,             51877,          3653200,            459600,           -118899,            -26850,          7342811,          3375760,          3967051,         10.86
93/01,1459,聯發紡織,          1619404,            740564,          3540922,                  0,            151434,            492620,          1300000,                137,          3561543,            611667,            668511,           -582154,          6052324,          1792757,          4259567,         11.96
93/01,1460,宏遠,          2994645,          1957287,          2862332,             22368,            163005,          1794594,            936737,            118539,          4670684,            616747,            230258,           -367922,          7999637,          2849870,          5149767,         11.03
93/01,1463,強盛染整,            520731,          1055032,            692119,              4907,             26680,            172643,                  0,            116211,          1983207,            204612,             98844,           -276048,          2299469,            288854,          2010615,         10.14
93/01,1464,得力實業,            756964,            879178,          1194379,                  0,             34743,            360763,            267948,            139292,          2398194,             24046,            397097,           -722076,          2865264,            768003,          2097261,          8.75
93/01,1465,偉全實業,          1020769,            446367,            482758,                  0,             19344,            425533,                  0,             20698,            893394,            349317,            286547,             -6251,          1969238,            446231,          1523007,         17.05
93/01,1466,聚隆,            583534,                  0,          1500471,                  0,            288801,          1204560,            594620,             27155,            715978,                  0,           -169507,                  0,          2372806,          1826335,            546471,          7.63
93/01,1467,南緯實業,            682523,          1370805,            951772,             35535,            129275,            976729,            305833,            215401,          1307107,            202172,            255241,            -92573,          3169910,          1497963,          1671947,         12.79
93/01,1468,昶和纖維,          1166157,            322642,          1154276,                  0,             75425,            766537,             40428,              3304,          1604053,             26753,            283104,             -5679,          2718500,            810269,          1908231,         11.90
93/01,1469,理隆纖維,            650168,            566608,          1369501,              5040,             68099,            612519,                  0,              5396,          1246000,            455920,            338947,                634,          2659416,            617915,          2041501,         16.38
93/01,1470,大統染,            384684,            139983,            507513,                  0,             32656,            248534,                  0,             22287,            857670,              6985,            -54516,            -16124,          1064836,            270821,            794015,          9.26
93/01,1471,首利,          1888067,            121648,            156242,                  0,             64817,            891604,                  0,                153,          1171280,            140668,             27069,                  0,          2230774,            891757,          1339017,         11.43
93/01,1472,三洋紡,            522523,            320300,            726656,              1645,             63211,            199587,                  0,             30330,            875000,            489818,             75767,            -36167,          1634335,            229917,          1404418,         16.05
93/01,,,,,,,,,,,,,,,,,,
93/01,1473,台南企業,          1896458,          2331499,            549323,             16469,             38533,            736779,            959500,            119481,          1228948,            519647,          1234961,             32966,          4832282,          1815760,          3016522,         24.55
93/01,1474,弘裕,          1862817,             56103,            641284,              3824,            112740,            780408,            438251,             65217,          1067662,             55108,            270122,                  0,          2676768,          1283876,          1392892,         13.05
93/01,1475,本盟光電,            599744,             33035,            802828,                  0,             15325,            698573,             70557,              1000,          1176722,            200000,           -696225,                305,          1450932,            770130,            680802,          5.79
93/01,1476,儒鴻,          1331219,            220315,            831734,              4334,            135647,            919024,            160000,             57373,            912108,             68061,            407300,               -617,          2523249,          1136397,          1386852,         15.20
93/01,1477,聚陽實業,          2580802,            681006,             65980,             11536,             30776,            940093,            432864,             81553,            988796,            196184,            748448,            -17838,          3370100,          1454510,          1915590,         19.37
93/01,1503,士電,          7316316,          4493793,          4762766,            164308,            205241,          4665737,          1126119,          1252800,          5209722,          2657717,          2429870,           -399541,         16942424,          7044656,          9897768,         19.00
93/01,1504,東元電機,         15786212,         36278504,          4039866,            207571,          3676866,         12393455,         13288847,          1076991,         20055679,          8733879,          4840533,           -400365,         59989019,         26759293,         33229726,         16.57
93/01,1506,正道,            549989,            848806,            664808,             67555,            409170,            941995,             87000,            486145,          1022516,            154710,           -119026,            -33012,          2540328,          1515140,          1025188,         10.03
93/01,1507,永大機電,          3057199,          3271730,          2217952,            152200,            864851,            897826,            610150,            495107,          4108200,            212687,          3366411,           -126449,          9563932,          2003083,          7560849,         18.40
93/01,1512,瑞利,          1783408,            217252,          2062873,              4340,             37623,          1250931,            512500,            259956,          1765073,            194335,            128398,             -5697,          4105496,          2023387,          2082109,         11.80
93/01,1513,中興電,          5736247,          1434400,          2658508,            154732,          1036713,          3607501,            419990,            823353,          5072973,            667735,            935560,           -506512,         11020600,          4850844,          6169756,         12.16
93/01,1514,亞力電機,          2156417,            609960,            859188,             21961,            130363,          1260883,            139000,            209316,          2010670,            191302,             53608,            -86890,          3777889,          1609199,          2168690,         10.79
93/01,1515,力山,          3029141,          1374917,          1917156,             41160,            273410,          2843260,            487281,            313329,          2522103,            234841,            430889,           -195919,          6635784,          3643870,          2991914,         11.86
93/01,1516,川飛,            311443,            803316,            221407,                600,            182216,            457892,             31803,             29542,            923501,             19618,              7164,             49462,          1518982,            519237,            999745,         10.83
93/01,1517,利奇機械,          1882487,            630595,            558171,                  0,             18683,            481518,                  0,             78382,          2312673,            375490,           -177684,             19557,          3089936,            559900,          2530036,         10.94
93/01,,,,,,,,,,,,,,,,,,
93/01,1519,華城電機,          1739198,            330589,          1568428,             14530,             79667,          1243468,            200000,            137149,          2151194,             21438,            225299,           -246136,          3732412,          1580617,          2151795,         10.00
93/01,1521,大億,          1278559,            222692,            992936,             26997,             90427,          1007961,            120083,            164857,            762300,             60472,            517110,            -21172,          2611611,          1292901,          1318710,         17.30
93/01,1522,堤維西,          3668223,          1848635,          4523038,             26302,            155332,          3316183,          2670146,            177501,          1923813,          1134385,          1059922,            -60420,         10221530,          6163830,          4057700,         21.09
93/01,1524,耿鼎企業,            978203,            147054,          2092522,                  0,              3164,          1273923,            411111,             17060,          1175539,            186684,            246162,            -89536,          3220943,          1702094,          1518849,         13.11
93/01,1525,江申工業,            801549,            365123,            476842,              8353,             28104,            320225,                  0,            212871,            457100,            120170,            574389,             -4784,          1679971,            533096,          1146875,         25.09
93/01,1526,日馳,            454544,             59457,            660595,                804,            136522,            335832,            284387,             67973,            787971,                  0,           -168497,              4256,          1311922,            688192,            623730,          7.92
93/01,1527,鑽全,          1853127,            546154,          1527588,                  0,             12009,          1113820,                  0,             14157,          1325802,                305,          1484794,                  0,          3938878,          1127977,          2810901,         21.20
93/01,1528,恩德,          1708012,            287281,            423548,             23929,            124854,          1146833,            370680,             51864,            742000,            197446,             51987,              6814,          2567624,          1569377,            998247,         13.45
93/01,1529,樂士,          1675704,             58328,            372637,              8165,            389927,          1558238,            112763,             16886,            748737,             59723,              8414,                  0,          2504761,          1687887,            816874,         10.91
93/01,1530,亞崴機電,            976762,            166373,            262272,                192,             23452,            656853,                  0,             18647,            476011,              6324,            281552,            -10336,          1429051,            675500,            753551,         15.83
93/01,1531,高林股,          2075368,          1370029,            393620,              1979,              4312,            723419,                  0,            311479,          1199121,            341177,          1255492,             14620,          3845308,          1034898,          2810410,         23.44
93/01,1532,勤美,          2594727,          2116170,            408633,                  0,              5741,          1516349,            335727,            152589,          1469840,            796115,            903176,            -48525,          5125271,          2004665,          3120606,         23.09
93/01,1533,車王電,          2000260,            910833,            613032,              2002,             15461,            788945,          1031538,              2799,            915416,            268366,            533082,              1442,          3541588,          1823282,          1718306,         18.77
93/01,1535,中宇,          4356761,            263397,             96611,                  0,              3113,          3678396,                  0,              4070,            882675,             18011,            136978,               -248,          4719882,          3682466,          1037416,         11.75
93/01,1536,和大工業,            880236,            238350,            543708,             11656,             53583,            513628,            409318,             57785,            583375,             13490,            128310,             21627,          1727533,            980731,            746802,         12.80
93/01,,,,,,,,,,,,,,,,,,
93/01,1537,廣隆光電,            953141,            477269,            309028,                  0,              7525,            510592,             24450,             50611,            643530,            267146,            264184,            -13550,          1746963,            585653,          1161310,         18.05
93/01,1538,正峰新,          2111248,            756357,            475931,            189432,             85231,          1686338,             56656,             54200,          1059264,            270423,            493771,             -2453,          3618199,          1797194,          1821005,         17.19
93/01,1539,巨庭機械,            992721,            145553,            699810,                  0,             38314,            933352,                  0,              2952,            648000,             75000,            222714,             -5620,          1876398,            936304,            940094,         14.51
93/01,1540,喬福機械,            627829,             12465,            437729,                  0,              5832,            352147,                  0,              6030,            589880,             69682,            108391,            -42275,          1083855,            358177,            725678,         12.30
