公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融資產（增加）減少,　　 短期借款增加,　　 其他借款增加,　　　　 股利收入,　　　　 處分投資性不動產損失（利益）,　　　　　 其他金融資產（增加）減少,　　 收取之股利,　　 處分投資性不動產,　　 應付短期票券增加,　　 舉借長期借款,　　 發放現金股利,　　 取得備供出售金融資產,　　 應付短期票券減少,　　 其他非流動負債減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加,　　 其他非流動資產減少,　　 庫藏股票買回成本,　　 停業單位稅前淨利（淨損）,　　　　　 預付款項（增加）減少
1446,2014年01月01日至2014年03月31日,,19276,19276,,,4010,325,47.0,331.0,-1057,-1507,,2149.0,,,-1231,4344,368,-122168,-4508,-17.0,-123212,,1115,-1860,-2414,1664,-463.0,0.0,-1958,-125170,-123021,-103745,1103,-384,-103449,,-308,,-308,,-178109,-423,-190069,3699,-290127,810842,520715,520715,,27999.0,,,,,,,,,,,-39959.0,,,,,,,,,
1446,2013年度,,-6720,-6720,,,14870,1269,,261.0,-1030,-2879,0.0,12448.0,,,289,-8022,-4113,-643280,-29958,-401.0,-686759,,-32036,65830,1478,1073,1234.0,,37579,-649180,-636732,-643452,914,-23409,-664515,,-7482,0.0,-104246,,0,-261,1217436,4109,452784,358058,810842,810842,-1274.0,139110.0,,-43.0,0.0,,1693.0,0.0,39959.0,1080000.0,-41586.0,-96764.0,0.0,-47.0,,,,,,,,
1446,2013年01月01日至2013年12月31日,,-6720,-6720,,,14870,1269,,261.0,-1030,-2879,0.0,12448.0,,,289,-8022,-4113,-643280,-29958,-401.0,-686759,,-32036,65830,1478,1073,1234.0,-47.0,37532,-649227,-636779,-643499,914,-23409,-664562,,-7482,0.0,-104246,,0,-261,1217483,4109,452784,358058,810842,810842,-1274.0,139110.0,,-43.0,0.0,,1693.0,0.0,39959.0,1080000.0,-41586.0,-96764.0,,,,,,,,,,
1446,2013年01月01日至2013年09月30日,,6343,6343,,,11022,948,,,-668,-2343,-5.0,8911.0,,,303,7678,-2876,-488547,-15801,-635.0,-500041,,-34858,60040,-236,5727,1434.0,-48.0,32059,-467982,-459071,-452728,669,-23683,-474049,,-3033,5.0,-3028,,0,-9793,347904,3010,-126163,358058,231895,231895,,109308.0,,-43.0,0.0,-163.0,1693.0,0.0,19975.0,270000.0,-41586.0,,,,,,,,,,,
1446,2013年01月01日至2013年06月30日,,17377,17377,,,7404,637,,21.0,-519,-2046,0.0,5497.0,,,-1751,-17315,-3045,-368147,-13125,-24.0,-401554,,-5391,26782,4159,1447,1541.0,-48.0,28490,-373064,-367567,-350190,520,-21685,-371355,,-965,0.0,-965,,0,81,222789,5605,-143926,360036,216110,216110,1853.0,42708.0,180000.0,,,,,,,,,,,,,,,,,,,
1446,2013年01月01日至2013年03月31日,,15827,15827,,,3721,317,-216.0,9.0,-375,-1001,0.0,2455.0,,,-440,-35675,-1098,-202009,-24058,65.0,-263215,,-1629,12438,-2844,5679,1028.0,-48.0,14624,-248591,-246136,-230309,376,-2186,-232119,,-843,0.0,-843,,-12528,-2684,-15212,4403,-243771,360036,116265,116265,,,,,,,,,,,,,,,,,,,,,,
1446,2012年01月01日至2012年12月31日,,-3629,-3629,,,15131,1279,,38.0,-4878,-2374,-362.0,-392.0,,,321,5157,5666,-408985,-23955,4422.0,-419191,,29157,51904,-7252,-10145,3092.0,-2.0,66754,-352437,-352829,-356458,4877,-3723,-353691,,-3138,362.0,96720,,-8390,-37,-49976,-3407,-310354,668412,358058,358058,-1817.0,0.0,,0.0,-9226.0,,1650.0,99496.0,0.0,0.0,-41586.0,0.0,,,,,,,,,,
1446,2012年01月01日至2012年09月30日,,6721,6721,,,11366,963,,,-4051,-1768,-547.0,-3263.0,,,928,-2941,503,-228124,-14023,4359.0,-241029,,-10712,26911,252,-6970,2334.0,0.0,11815,-229214,-232477,-225756,4009,-1353,-221450,,-3088,544.0,96952,,-17094,-8175,-25269,-2402,-152169,668412,516243,516243,,0.0,,0.0,-9226.0,-1731.0,1650.0,99496.0,0.0,0.0,0.0,,,,,,,,,,,
1446,2012年01月01日至2012年06月30日,,25237,25237,,,7600,649,,0.0,-2870,-1982,-9588.0,-6191.0,,,-178,-41317,931,-157797,-3304,4392.0,-198910,,6711,18009,-4256,-3905,2079.0,-2.0,18636,-180274,-186465,-161228,2810,-1205,-159623,,-2982,99858.0,96876,,-15272,-30,-15302,-1076,-79125,670461,591336,591336,-1637.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1446,2012年01月01日至2012年03月31日,,18818,18818,,,3739,322,-101.0,0.0,-1242,-646,-9226.0,-7154.0,,,-998,-33671,683,-34437,-2589,353.0,-70659,,-31578,-796,-8562,-4006,605.0,0.0,-44337,-114996,-122150,-103332,654,-2071,-104749,,-2781,99611.0,96830,,-11763,-2705,-14468,-2126,-24513,670461,645948,645948,,,,,,,,,,,,,,,,,,,,,,
