公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得以成本衡量之金融資產,　　 存出保證金減少,　　 處分無形資產,　　 收取之股利,　　 非控制權益變動,　　　　 股利收入,　　 發放現金股利,　　 處分以成本衡量之金融資產,　　 其他非流動資產減少,　　 發行公司債,　　　　 金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 短期借款增加,　　 取得採用權益法之投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 償還公司債
2615,2014年01月01日至2014年03月31日,,763746,763746,,,1040656,10361,204483,-53883,-16650,-76211,0.0,-4733.0,98120,1202143.0,,,0.0,-13323,128064,340190,153309,113212,57585,779037,,114183,-276669,-1307115,-258163,6704.0,3438,-1717622,-938585,263558,1027304,-32577,994727,,-56056,10514.0,-412944,67838,32488.0,-169.0,25484.0,51197,-281648,,604400,-2146507,13441,-165873,-1694539,-178448,-1159908,20251496,19091588,19091588,,,,,,,,,,,,,,,,,,,
2615,2013年度,,2504764,2504764,,,4343385,45569,808481,-160646,-39698,-173257,485.0,-226713.0,163620,4667305.0,,,0.0,-17232,-459912,-636441,-92094,-122061,-60186,-1387926,,125753,-747690,1474123,680854,-56195.0,-30190,1446655,58729,4726034,7230798,-139124,7091674,,-345949,186312.0,-7830958,204113,,-32988.0,-42532.0,150411,-7553743,,1995974,-4297969,94107,-818174,-4800219,-129347,-5391635,25643131,20251496,20251496,-152529.0,10474.0,,120536.0,482.0,-93921.0,-1774639.0,179367.0,,0.0,0.0,,,,,,,,
2615,2013年01月01日至2013年12月31日,,2504764,2504764,,,4343385,45569,808481,-160646,-39698,-173257,485.0,-226713.0,163620,4667305.0,,,0.0,-17232,-459912,-636441,-92094,-122061,-60186,-1387926,,125753,-747690,1474123,680854,-56195.0,-30190,1446655,58729,4726034,7230798,-139124,7091674,,-345949,186312.0,-7830958,204113,,-32988.0,-42532.0,150411,-7553743,,1995974,-4297969,94107,-818174,-4800219,-129347,-5391635,25643131,20251496,20251496,-152529.0,10474.0,,120536.0,482.0,-93921.0,-1774639.0,179367.0,,,,,,,,,,,
2615,2013年01月01日至2013年09月30日,,1090241,1090241,,,3269891,34647,608158,-113663,-22963,-144323,485.0,-25328.0,135060,3648043.0,,,0.0,-17479,-359887,-189762,-210290,-168802,-89058,-1035278,,80235,-314782,199834,531277,-2171.0,-16259,478134,-557144,3090899,4181140,-83891,4097249,,-75474,115950.0,-6500857,162829,,-10371.0,-78329.0,111066,-6325057,,1998112,-3830953,89726,-580770,-4098037,-28535,-6354380,25643131,19288751,19288751,-152529.0,5980.0,,96678.0,487.0,-93921.0,-1774639.0,,,,,,,,,,,,
2615,2013年01月01日至2013年06月30日,,691132,691132,,,2179122,23033,402793,-76823,-2503,-112385,485.0,-21922.0,136940,2528740.0,,,0.0,-2036,-488493,-48476,35024,-161142,-13603,-678726,,152806,83501,129221,405241,-3702.0,-27333,739734,61008,2589748,3280880,-65522,3215358,,-13852,100401.0,-5998576,132784,,,-41051.0,75057,-5872746,,0,-1794765,18301,-452620,-2226277,-209588,-5093253,25643131,20549878,20549878,-152529.0,6421.0,-8178.0,26777.0,2807.0,,,,,,,,,,,,,,
2615,2013年01月01日至2013年03月31日,,165269,165269,,,1073680,11456,200407,-36962,824,-42958,485.0,-12478.0,112440,1306894.0,,,0.0,-5775,-249064,-28842,-163571,-77489,83808,-440933,,33867,47838,13307,213846,-2506.0,-595,305757,-135176,1171718,1336987,-28848,1308139,,-11961,71196.0,-1778348,39453,3849.0,-4588.0,-16125.0,37826,-1658698,,0,-1396792,43469,-81912,-1435235,-124937,-1910731,25643131,23732400,23732400,,,,,,,,,,,,,,,,,,,
2615,2012年01月01日至2012年12月31日,,2241738,2241738,,,4764643,34503,791242,-209758,-7013,-284854,597.0,-41835.0,-38565,4906507.0,,,101021.0,7843,217590,22430,180884,174230,138637,842635,,-801805,427374,-112036,-260976,-77181.0,-10863,-835487,7148,4913655,7155393,-202165,6953228,,-219022,190863.0,-10434897,357337,,-4782.0,-20746.0,212097,-9756548,,8495821,-3488889,1843,-772094,4232507,326443,1755630,23887501,25643131,25643131,0.0,30826.0,,131776.0,-4174.0,-102453.0,0.0,0.0,,,,,,,,,,,
2615,2012年01月01日至2012年09月30日,,1590679,1590679,,,3623417,25095,587581,-160740,109,-267339,0.0,-41397.0,-28917,3635356.0,,,3870.0,2199,240040,53865,-80695,96477,49374,365130,,-522329,959550,-533729,-68294,-46376.0,-25562,-236740,128390,3763746,5354425,-115174,5239251,,-219022,189879.0,-7467666,338482,,-4651.0,-72264.0,154792,-6940033,,8533680,-2968648,-5807,-542575,5012476,245390,3557084,23887501,27444585,27444585,0.0,21048.0,,119369.0,-4174.0,-102453.0,0.0,,,,,,,,,,,,
2615,2012年01月01日至2012年06月30日,,1035557,1035557,,,2437177,16521,379203,-105521,511,-242688,0.0,-29664.0,3906,2459445.0,,,1780.0,-127,-74728,233222,116482,147212,-33002,390839,,-378591,-620629,-154837,55086,-29253.0,-22216,-1150440,-759601,1699844,2735401,-96557,2638844,,-219022,144677.0,-4732076,306384,,,-89772.0,106928,-4432902,,5295070,-1719516,-5201,-402050,3168175,130186,1504303,23887501,25391804,25391804,0.0,20790.0,0.0,29189.0,-128.0,,,,,,,,,,,,,,
2615,2012年01月01日至2012年03月31日,,-469995,-469995,,,1225630,8264,184719,-53626,4795,-103063,0.0,-12344.0,-55353,1199022.0,,,2744.0,-1493,-86945,234855,-355358,142361,46455,-17381,,-280177,-313255,225028,-50852,-19413.0,-30825,-469494,-486875,712147,242152,-41106,201046,,-172285,79511.0,-1821427,50816,-26731.0,0.0,-27509.0,57190,-1860435,,1239921,-1193728,-48704,-59303,-61814,171099,-1550104,23887501,22337397,22337397,,,,,,,,,,,,,,,,,,,
