公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他金融負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分以成本衡量之金融資產,　　 非控制權益變動,　　 取得以成本衡量之金融資產,　　　　 股利收入,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　 收取之股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 發放現金股利,　　 其他籌資活動,　　 以成本衡量之金融資產減資退回股款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 應付短期票券增加,　　 停業單位稅前淨利（淨損）
1108,2014年01月01日至2014年03月31日,,86379,86379,,,79878,14003,-275,0.0,15444,-639,0.0,-22,,111015.0,,,63383,7,43359,-384,2025,58788,-9061,-3081,155036,,0.0,-95172,989,17229,3436,-8711,6813,3087,-696.0,-73025,82011,193026,279405,1305,-15256,-295,265159,,0,5719,-59864,0.0,-488,-76,-11391,-6481.0,-72581,,155166.0,-136600.0,0.0,0.0,-163936,400,0.0,-144970,4821,52429,216573,269002,269002,,,,,,2626.0,,0.0,,,,,,,,
1108,2013年度,,211708,211708,,,341699,47810,-15293,,69349,-2662,471.0,-15647,,429437.0,,,14210,176,-128584,-3791,522,138083,-57905,4136,-33153,,-472.0,111676,-439,20223,-1912,28861,-36986,-26011,-12767.0,82173,49020,478457,690165,2587,-70204,-1096,621452,,-52482,64061,-84199,296.0,632,54,-43473,,-96894,,-274353.0,,19000.0,160000.0,-332182,746,-17033.0,-403822,-5196,115540,101033,216573,216573,13166.0,40000.0,-1239.0,-6290.0,10000.0,,6290.0,0.0,0.0,0.0,0.0,,,,,
1108,2013年01月01日至2013年12月31日,,211708,211708,,,341699,47810,-15293,0.0,69349,-2662,471.0,-15647,,528911.0,,,14210,176,-128584,-3791,522,38609,-57905,4136,-132627,,-472.0,111676,-439,20223,-1912,28861,-36986,-26011,-12767.0,82173,-50454,478457,690165,2587,-70204,-1096,621452,,-52482,64061,-84199,296.0,632,54,-43473,0.0,-96894,,-274353.0,,19000.0,160000.0,-332182,746,-17033.0,-403822,-5196,115540,101033,216573,216573,13166.0,40000.0,-1239.0,-6290.0,10000.0,99474.0,6290.0,,,,,,,,,
1108,2013年01月01日至2013年09月30日,,205238,205238,,,259235,33139,-17605,0.0,52737,-1932,476.0,-7373,,318677.0,,,95043,162,-101888,-27,3176,33244,-91822,-1507,-63619,,-472.0,41487,1189,22186,-1750,5176,-4891,-20181,-13400.0,29344,-34275,284402,489640,1880,-53246,-821,437453,,-51006,43774,-57525,291.0,1168,-34681,-28407,2863.0,-111596,,150431.0,-276289.0,24000.0,100000.0,-239460,890,-17033.0,-217461,-2440,105956,101033,206989,206989,13166.0,40000.0,-1239.0,,,,,,,,,,,,,
1108,2013年01月01日至2013年06月30日,,137736,137736,,,174746,21841,-17500,0.0,35756,-1415,476.0,-10123,0.0,203781.0,,,75667,123,-112446,11,2212,59491,-80116,-7,-55065,,-472.0,44892,1034,130,-1032,-2602,27701,-14131,-12014.0,43506,-11559,192222,329958,1381,-36332,-581,294426,,-21008,10683,-54326,291.0,1281,-28370,-14925,1594.0,-92638,,176024.0,-240283.0,29000.0,100000.0,-243377,2090,-17033.0,-153579,-3138,45071,101033,146104,146104,12142.0,40000.0,,,,,,,,,,,,,,
1108,2013年01月01日至2013年03月31日,,84611,84611,,,89145,4569,-17500,0.0,18312,-731,-12.0,-10123,89.0,83749.0,,,71496,257,-97487,11,603,175729,-5057,-1507,144045,,-472.0,17077,-582,-11556,2027,-9690,15907,1344,-3809.0,10246,154291,238040,322651,680,-18059,-301,304971,,-1005,10683,-36131,12.0,1026,28245,-6467,-6093.0,-9730,,122638.0,-202369.0,0.0,0.0,-198108,440,14057.0,-263342,-2524,29375,101033,130408,130408,,,,,,,,,,,,,,,,
1108,2012年01月01日至2012年12月31日,,211046,211046,,,349532,29662,-625,472.0,80323,-2052,-4110.0,-275050,,207929.0,,,-143912,1042,158746,182,-4433,-60105,23897,-1466,-26049,,0.0,-14400,421,-77125,-7491,48753,22646,-3288,-10323.0,-40807,-66856,141073,352119,3254,-80935,-1109,273329,,-5778,365255,-183888,4110.0,-1741,-76040,22657,0.0,129371,,-185574.0,,-60000.0,157499.0,-333372,-4406,-11192.0,-437045,3255,-31090,132123,101033,101033,0.0,0.0,-2689.0,-7485.0,2620.0,34642.0,7485.0,,,,,,,,,
1108,2012年01月01日至2012年09月30日,,186358,186358,,,258824,25713,0,639.0,61154,-1556,-4110.0,-232246,,108418.0,,,30624,206,133364,-158,-16116,-74750,15581,4197,92948,,0.0,-2202,-125,-53916,-4206,17087,28018,-5455,-3317.0,-24116,68832,177250,363608,2263,-59320,-811,305740,,-5778,317964,-138531,4110.0,-5487,-60682,-22356,29953.0,119193,,131413.0,-333618.0,-60000.0,100000.0,-283500,79,1826.0,-443800,2074,-16793,132123,115330,115330,0.0,0.0,0.0,,,,,,,,,,,,,
1108,2012年01月01日至2012年06月30日,,163603,163603,,,172474,17367,0,-679.0,42007,-1041,-1190.0,-200051,0.0,28887.0,,,-36914,690,29756,-1444,-1243,-75132,8445,-66643,-142485,,0.0,64773,1056,-53152,5462,16734,75024,-996,-1831.0,107070,-35415,-6528,157075,1905,-46652,-562,111766,,-5777,279780,-99779,1190.0,-3371,-37997,-14914,39347.0,158479,,166560.0,-272040.0,-60000.0,100000.0,-189000,59,11129.0,-243292,1641,28594,132123,160717,160717,0.0,0.0,,,,,,,,,,,,,,
1108,2012年01月01日至2012年03月31日,,132846,132846,,,88077,7164,0,-24.0,21711,-400,0.0,-164610,0.0,-48082.0,,,-3395,915,110373,17,-456,-53917,-40587,-14695,-1745,,0.0,-63746,811,-4708,2316,-2801,-24487,-10426,1471.0,-101570,-103315,-151397,-18551,1233,-22526,-283,-40127,,0,240166,-47910,0.0,-2031,-58813,-6438,35333.0,160307,,103027.0,-140735.0,-20000.0,100000.0,-144500,468,7947.0,-93793,1634,28021,132123,160144,160144,,,,,,,,,,,,,,,,
