公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 預收款項增加（減少）,　　 取得備供出售金融資產,　　 存出保證金增加,　　 取得無形資產,　　 收取之股利,　　 償還長期借款,　　 發放現金股利,　　 短期借款增加,　　 存入保證金增加,　　　　 其他項目,　　　　　 應收帳款－關係人（增加）減少,　　　　　 遞延貸項增加（減少）,　　 處分無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得子公司股權,　　 非控制權益變動,　　　　　 其他營業負債增加（減少）,　　　　 處分投資損失（利益）,　　　　　 其他金融負債增加（減少）,　　 庫藏股票處分,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　 處分無活絡市場之債務工具投資,　　 其他非流動資產增加,　　 其他非流動資產減少
1233,2014年01月01日至2014年03月31日,,100281,0.0,100281,,,15093,487,73,-46,-321,8767.0,,,-6580,43306,-436.0,26941,1689,72,14245.0,79237,,-24622,-8104,-69412,,303.0,-105283,-26046,-17279,83002,46,-133,-880,82035,,0.0,-29001,345,65,-37117,,-40000,,-40000,317,5235,219363,224598,224598,,-918.0,,-262.0,-2114.0,,,,,,-6519.0,,-3582.0,,,-6150.0,,,1052.0,,,,,,,,,,,,
1233,2013年度,,277692,,277692,,,57099,629,491,-413,835,40444.0,,,5810,10164,522.0,-2575,-477,-649,-18673.0,-5878,,-6023,-4433,27803,1043.0,-210.0,25911,20033,60477,338169,413,-453,-46963,291166,,,-49954,1502,1833,-33973,,-30000,,-220172,-375,36646,182717,219363,219363,-13724.0,7731.0,,-2610.0,-6492.0,13724.0,,-210025.0,20000.0,0.0,-4473.0,,,9960.0,627.0,-2563.0,12027.0,-12174.0,,0.0,,0.0,,,,,,,,,
1233,2013年01月01日至2013年12月31日,,277692,,277692,,,57099,629,491,-413,835,40444.0,,,5810,9620,522.0,-2575,-477,-649,-18673.0,-5878,,-6023,-4433,27803,1043.0,-210.0,25911,20033,60477,338169,413,-453,-46963,291166,,0.0,-49954,1502,1833,-28594,,-30000,0.0,-225551,-375,36646,182717,219363,219363,-13724.0,2940.0,0.0,-2610.0,-6492.0,13724.0,0.0,-210025.0,20000.0,0.0,-4473.0,544.0,4791.0,9960.0,627.0,2816.0,-1350.0,-4176.0,,,,,,,,,,,,,
1233,2013年01月01日至2013年09月30日,,220750,,220750,,,42484,305,314,-244,816,30475.0,,,129,37583,-5075.0,17924,-3224,-989,-24117.0,22231,,-11851,5592,-22798,245.0,-321.0,-26152,-3921,26554,247304,244,-314,-46728,200506,,-5960.0,-20845,1502,962,-12273,,-10000,0.0,-220025,-405,-32197,192677,160480,160480,-13200.0,2981.0,0.0,-1033.0,-99.0,13200.0,0.0,-210025.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1233,2013年01月01日至2013年06月30日,,144216,,144216,,,28665,220,0,-212,858,20698.0,,,402,41248,299.0,21634,687,-25,216.0,64461,,-29537,-875,-22113,2871.0,-342.0,-49721,14740,35438,179654,212,0,-23112,156754,,-5960.0,-13624,279,900,-10529,,-50000,0.0,-51440,85,94870,192677,287547,287547,-8833.0,275.0,0.0,-858.0,-99.0,8833.0,0.0,-1440.0,,,,,,,,,,,,,,,,,,,,,,,
1233,2013年01月01日至2013年03月31日,,82973,0.0,82973,,,14410,109,144,-59,524,15128.0,,,-756,15292,155.0,27245,794,-224,-134.0,42372,,-25095,-33,-38605,2346.0,202.0,-61185,-18813,-3685,79288,59,-144,-238,78965,,0.0,-7740,91,-153,-7802,,-50000,0.0,-50000,246,21409,192677,214086,214086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,2012年01月01日至2012年12月31日,,286767,,286767,,,54002,1158,484,-461,727,36602.0,,,-760,5383,-706.0,4537,-482,223,119.0,6786,,-6837,3075,-27912,1364.0,-2166.0,-38855,-32069,4533,291300,461,-462,-61732,229567,,-9960.0,-43843,1164,2732,-122813,,0,-416.0,-159736,-59,-53041,235758,182717,182717,-19308.0,-1820.0,-89706.0,-2315.0,-193.0,19308.0,-138.0,-209761.0,50000.0,579.0,0.0,-1528.0,-4559.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1233,2012年01月01日至2012年09月30日,,245246,,245246,,,40037,1007,259,-317,334,22016.0,,,-427,24908,-5793.0,24342,-1644,469,-3779.0,38076,,-12507,9947,-51801,579.0,-1304.0,-56245,-18169,3847,249093,317,-278,-61470,187662,,-9960.0,-27739,735,2320,-106839,,0,-132.0,-159427,46,-78558,235758,157200,157200,-19304.0,-1159.0,-89706.0,-1600.0,-193.0,19304.0,-113.0,-209761.0,50000.0,579.0,,,,,,,,,,,,,,,,,,,,,
1233,2012年01月01日至2012年06月30日,,160388,,160388,,,26385,711,9,-251,-216,12248.0,,,-123,674,-2084.0,31506,2319,486,-3232.0,29546,,-18320,-4104,-45514,3366.0,-813.0,-69037,-39491,-27243,133145,251,-9,-36640,96747,,-9960.0,-18528,580,576,-103289,,0,-1.0,-1477,-164,-8183,235758,227575,227575,-14390.0,-3652.0,-89706.0,-591.0,-50.0,14390.0,-76.0,-1400.0,,,,,,,,,,,,,,,,,,,,,,,
1233,2012年01月01日至2012年03月31日,,78867,0.0,78867,,,13207,354,4,-46,-84,13435.0,,,-900,46886,-874.0,35075,862,279,-25.0,81303,,-43881,4615,-62732,1219.0,-302.0,-101081,-19778,-6343,72524,46,-4,-1311,71255,,-4980.0,-10479,305,259,-14895,,-36,-1.0,-37,156,56479,235758,292237,292237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
