公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 發放現金股利,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　 收取之利息,　　 收取之股利,　　 應付短期票券增加,　　　　 處分投資損失（利益）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 存入保證金增加,　　　　　 應付建造合約款增加（減少）,　　 其他非流動資產增加,　　 短期借款減少,　 匯率變動對現金及約當現金之影響,　　 舉借長期借款,　　 存入保證金減少,　　 非控制權益變動,　　 其他非流動資產減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　 取得採用權益法之投資,　　 處分無形資產,　　 其他籌資活動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 預付費用（增加）減少,　　　　 其他項目,　　　　　 其他流動資產（增加）減少,　　　　 金融資產減損損失,　　 取得無活絡市場之債務工具投資,　　 預付投資款增加
2597,2014年01月01日至2014年03月31日,,259778,259778,,,53103,,201,-478.0,52552.0,,,267132,-392033,74955,477616,81432,-5380,-42226,-34654.0,,426842,,-597646,1130,,-164355,-14253,1537,-524552,-97710,-45158,214620,-10907,-545,214294,,-33424,21.0,-2451,,25988.0,-202379,,,,-24658,-34572,-22669,1905461,1882792,1882792,,10852.0,-11126.0,,11126.0,,70086.0,,-133065.0,,,0.0,249035.0,-59448.0,-80000.0,-12.0,,,,,,,,,,,,,,,,,,
2597,2013年度,,1397297,1397297,,,207408,,-1199,-1911.0,90811.0,,,-300415,638186,-340508,-1058723,-104883,107,93159,145800.0,,-927277,,528237,1033963,,70193,-12187,4287,1281342,354065,444876,1842173,-44148,-63095,1844652,,-399726,10.0,-9676,,-53635.0,-691793,,,49807.0,-555837,-122241,1030618,874843,1905461,1905461,-256500.0,44183.0,-14889.0,-101841.0,7881.0,101841.0,,-41083.0,-302600.0,51897.0,0.0,289.0,-343151.0,,640000.0,0.0,0.0,,0.0,21937.0,0.0,68.0,75.0,0.0,0.0,0.0,,,,,,,,
2597,2013年01月01日至2013年12月31日,,1330480,1330480,,,193654,12334.0,-1200,-1911.0,89591.0,,,-381746,651674,-311680,-1087128,81471,-6932,133843,145830.0,2533.0,-772135,,505041,897912,-329876.0,66819,20300,3031,1163227,391092,480683,1811163,-44148,-62831,1820570,,-423660,153.0,-4309,-46047.0,,-722353,,640000.0,,-508761,-75154,1023063,860117,1883180,1883180,-256500.0,44183.0,-14545.0,-101841.0,14545.0,101841.0,49807.0,-41083.0,-300387.0,51897.0,0.0,300.0,,,,,,,,,,,,,,,,,,,,,,
2597,2013年01月01日至2013年09月30日,,904996,904996,,,144838,10851.0,-1024,-1434.0,77013.0,,,-310983,-244251,-136453,-596527,199606,-3013,98671,76249.0,6693.0,-910008,,261583,811679,133472.0,20308,50800,2184,1280026,370018,447031,1352027,-32969,-60081,1368227,,-398578,40.0,-5488,-43434.0,,-447460,,610000.0,,-481362,-77810,842957,860117,1703074,1703074,-256500.0,33032.0,-7409.0,-101841.0,7409.0,101841.0,50052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,2013年01月01日至2013年06月30日,,541526,541526,,,97561,8550.0,-964,-956.0,104191.0,,,-289443,484192,-336767,-700334,-461378,-944,-12298,49511.0,22538.0,-1244923,,208350,637159,-477536.0,-29368,85429,11459,435493,-809430,-705239,-163713,-21801,-30721,-216235,,-222049,4744.0,-5440,-52559.0,,-275304,,360000.0,-48.0,-169916,190036,-301503,860117,558614,558614,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,2013年01月01日至2013年03月31日,,254899,254899,,,47653,4274.0,9,-478.0,51458.0,,,-76903,583599,-165843,-67935,-286306,-769,52025,-27373.0,76.0,10571,,-72829,422405,-363748.0,-113101,1831,1398,-124044,-113473,-62015,192884,-10956,-199,181729,,-82020,4726.0,-2563,-62956.0,0.0,-142813,,100000.0,-1.0,-36346,63653,102569,860117,962686,962686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,2012年01月01日至2012年12月31日,,347591,347591,,,209093,13202.0,-2694,-1911.0,212221.0,,,246738,-586722,-272717,-92668,-223414,1495,66495,-152393.0,-51044.0,-1064230,,210811,89810,996409.0,47148,-44803,31472,1330847,266617,478838,826429,-41606,-66231,765680,,-437813,36439.0,-4132,-342334.0,,-847840,,390000.0,,-143379,56910,-25250,885367,860117,860117,-189000.0,41619.0,-9259.0,-37829.0,9259.0,37829.0,25.0,0.0,0.0,0.0,-100000.0,-736.0,,,,,,,,,,,,,,,,,,,,,,
2597,2012年01月01日至2012年09月30日,,176665,176665,,,159823,11276.0,-1914,-1434.0,154013.0,,,154455,88450,-159044,-98225,36805,-2358,52722,-137141.0,-38174.0,-102510,,-41227,-61766,701722.0,-28048,-133128,1353,438906,336396,490409,667074,-30425,-65442,615386,,-308497,353.0,-4218,-343521.0,,-655883,,430000.0,,0,171053,130556,885367,1015923,1015923,-189000.0,30441.0,-6350.0,-37829.0,6350.0,37829.0,-69947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,2012年01月01日至2012年06月30日,,97947,97947,,,103294,7593.0,-748,-956.0,109183.0,,,5878,-80049,-92528,-26880,12194,-2203,14762,16369.0,1728.0,-150729,,-92845,-60121,373574.0,-23635,150133,-41134,305972,155243,264426,362373,-19793,-42813,299767,,-272866,333.0,-2480,-171911.0,,-446924,,300000.0,-99991.0,0,11009,-136148,885367,749219,749219,-189000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,2012年01月01日至2012年03月31日,,69575,69575,,,50361,3327.0,-1234,-478.0,51976.0,,,-183653,150766,105125,-105138,16615,-3597,40488,-64785.0,-174.0,-44353,,-15066,-36388,390491.0,-105317,-11231,9865,232354,188001,239977,309552,-9862,-141,299549,,-129928,45.0,-857,0.0,8571.0,-122169,,70000.0,-49943.0,0,20057,197437,885367,1082804,1082804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
