公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 預付款項（增加）減少,　　 處分不動產、廠房及設備,　　 取得無形資產,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 應付短期票券增加,　　 存入保證金增加,　　 發放現金股利,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 短期借款增加,　　　　　 存貨（增加）減少,　　　　　 應付建造合約款增加（減少）,　　　　 股份基礎給付酬勞成本,　　 發行公司債,　　 存入保證金減少,　　 現金增資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 處分投資損失（利益）,　　 庫藏股票買回成本,　　　　 呆帳費用提列（轉列收入）數
3018,2014年01月01日至2014年03月31日,,4380,4380,,,1718,64,920,-350,2473.0,,,-14908.0,-19069,97554,86434,-117,5252.0,26071,180066,,6753,-130425,,-2620,508,-126,16.0,-132962,47104,49577,53957,356,-817,-36,54277,,-4200,-3.0,,-16756.0,,-20959,,15634.0,-9989.0,0.0,-833,3995,40,37353,99116,136469,136469,121.0,,,,,,,,,,-1151.0,-7068.0,,,,,,,,,,
3018,2013年度,,-15907,-15907,,,6343,126,1742,-1831,6380.0,,,0.0,166685,-307636,-42574,1176,,30968,-205046,,11973,252149,,-15742,-1137,753,-85.0,278551,73505,79885,63978,1870,-1602,-1835,64013,,-6138,,268.0,-62354.0,,-69204,,,,0.0,-3333,-47984,-728,-53903,153019,99116,99116,0.0,-53665.0,0.0,-980.0,0.0,-49864.0,36.0,-18221.0,0.0,25000.0,0.0,30640.0,0.0,0.0,0.0,0.0,,,,,,
3018,2013年01月01日至2013年12月31日,,-15907,-15907,,,6343,126,1742,-1831,6380.0,,,,166685,-307636,-42574,1176,,30968,-205046,,11973,252149,30640.0,-15742,-1137,753,-85.0,278551,73505,79885,63978,1870,-1602,-1835,64013,,-6138,,268.0,-62354.0,,-69204,,,,0.0,-3333,-47984,-728,-53903,153019,99116,99116,,-53665.0,0.0,-980.0,0.0,-49864.0,36.0,-18221.0,0.0,25000.0,,,,,,,,,,,,
3018,2013年01月01日至2013年09月30日,,-40728,-40728,,,4662,78,1170,-1391,4534.0,,,-10000.0,190523,-34800,22409,1104,,25696,137238,,6694,-10549,15830.0,-17154,-357,713,-66.0,-4889,132349,136883,96155,1353,-1200,-1786,95722,,-5278,,511.0,-36021.0,,-41288,,-6256.0,-24964.0,0.0,-2500,-53141,-557,736,153019,153755,153755,15.0,-57694.0,0.0,-500.0,0.0,0.0,0.0,-18221.0,0.0,,,,,,,,,,,,,
3018,2013年01月01日至2013年06月30日,,-30458,-30458,,,3056,38,800,-975,2919.0,,,,190523,-14381,30099,772,,40334,198699,,631,6021,11909.0,-13242,-273,-182,-47.0,4817,203516,206435,175977,903,-834,-1741,175139,,-1974,,557.0,-16152.0,,-18069,,-30000.0,-74852.0,0.0,-1666,-107352,-660,49058,153019,202077,202077,0.0,-48648.0,0.0,-500.0,,,,,,,,,,,,,,,,,,
3018,2013年01月01日至2013年03月31日,,-16049,-16049,,,1532,15,482,-409,1620.0,,,-10000.0,190523,-11465,5006,658,2927.0,37986,215635,,1370,-3892,10277.0,-16214,-107,-76,-27.0,-8669,206966,208586,192537,343,-532,-26,192322,,-876,-47.0,0.0,-22393.0,0.0,-23316,,-30000.0,-74852.0,0.0,-833,-105685,-506,62815,153019,215834,215834,,,,,,,,,,,,,,,,,,,,,,
3018,2012年01月01日至2012年12月31日,,-20520,-20520,,,3801,60,698,-1639,2937.0,,,,-142470,205962,176526,352,,-59272,198308,,-13452,-221670,0.0,-45033,-2386,90,-136.0,-282587,-84279,-81342,-101862,1938,-861,-1308,-101232,,-45790,,1331.0,-8440.0,,-52880,,,,8200.0,-3334,18555,347,-135210,288229,153019,153019,,17210.0,19.0,0.0,17.0,24865.0,0.0,-17520.0,0.0,7205.0,,,,,,,,,,,,
3018,2012年01月01日至2012年09月30日,,-29172,-29172,,,1155,45,389,-1186,330.0,,,0.0,29611,31207,182191,-5151,,-59652,188123,,-11694,-208820,1740.0,-19031,860,-278,-103.0,-237326,-49203,-48873,-78045,1437,-492,-1260,-77868,,-43626,,1122.0,-1952.0,,-44437,,-12795.0,0.0,8200.0,-2500,-125,364,-122066,288229,166163,166163,-90.0,9917.0,19.0,0.0,17.0,24897.0,85.0,-17520.0,0.0,,,,,,,,,,,,,
3018,2012年01月01日至2012年06月30日,,-29099,-29099,,,774,30,203,-805,342.0,,,,45687,95247,73276,809,,-4399,218677,,-11718,-203092,1004.0,-43945,229,-278,-69.0,-257869,-39192,-38850,-67949,1037,-386,-1226,-68138,,-38707,,1257.0,-16531.0,,-53962,,-7795.0,-134.0,8200.0,-1667,-1782,279,-123603,288229,164626,164626,140.0,8057.0,19.0,0.0,,,,,,,,,,,,,,,,,,
3018,2012年01月01日至2012年03月31日,,-23719,-23719,,,383,15,101,-363,136.0,,,0.0,16431,83514,94609,4,7197.0,-2569,199186,,4500,-169998,1240.0,-21237,782,4,-35.0,-184744,14442,14578,-9141,604,-144,-66,-8747,,-25191,0.0,1293.0,0.0,25659.0,1761,,-7795.0,-49987.0,8200.0,-834,-50416,254,-57148,288229,231081,231081,,,,,,,,,,,,,,,,,,,,,,
