公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 其他借款增加,　　 存入保證金增加,　　 其他非流動負債增加,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 處分子公司,　　 短期借款減少,　　 應付短期票券減少,　　 庫藏股票處分,　　　　 已實現銷貨損失（利益）,　　　　　 預付費用（增加）減少,　　 附買回票券及債券負債減少,　　 以成本衡量之金融資產減資退回股款,　　 預付設備款增加,　　 預付設備款減少,　　 償還長期借款,　　 其他借款減少,　　 發放現金股利,　　 取得子公司股權,　　 處分以成本衡量之金融資產,　　 處分無活絡市場之債券投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 償還公司債
1319,2014年01月01日至2014年03月31日,,480618,480618,,,580447,52298,173.0,29030,-1810,-85580,-1135,1711.0,,574989.0,,,1764,1406,-6577,-1107,61325,-44923.0,10319,20438,,-42292,138663,-17107,-173151,2801,26204,-7112.0,,-74303,-53865,521124,1001742,1829,0.0,-29712,973859,,41621.0,0.0,,,-743555,22532,,-45655,,,-765752,,403026.0,469440.0,,374751,,,,-44128,0,62036,-12801,257342,1071829,1329171,1329171,,,-1769.0,-2309.0,,0.0,0.0,,-145.0,,,,-46918.0,0.0,-1141053.0,,,,6223.0,,,,,,,
1319,2013年度,,1698445,1698445,,,2204172,197207,-13551.0,104218,-12352,-242503,-1377,0.0,6958.0,2293342.0,,,3995,-707534,-5156,-73641,-337657,,-84764,-1397048,,39760,262685,39436,237765,-2566,-51408,-33523.0,,492170,-904878,1388464,3086909,12335,117328.0,-180620,3035952,,-57075.0,-146995.0,69365.0,0.0,-2622621,28772,,-263460,,,-3349749,,235294.0,0.0,,1476207,,,,-85769,-9628,-45927,41702,-318022,1389851,1071829,1071829,39622.0,14770.0,-192291.0,21.0,,,-650000.0,109013.0,-3822.0,,,16739.0,-374474.0,,-571365.0,,-201968.0,-347711.0,0.0,0.0,,,,,,
1319,2013年01月01日至2013年12月31日,,1698445,1698445,,,2204172,197207,-13551.0,104218,-12352,-242503,-1377,,6958.0,2293342.0,,,3995,-707534,-5156,-73641,-337657,-72822.0,-11942,-1397048,,39760,262685,39436,237765,-2566,-51408,-33523.0,,492170,-904878,1388464,3086909,12335,117328.0,-180620,3035952,,-57075.0,-146995.0,69365.0,0.0,-2622621,28772,,-263460,,,-3349749,,235294.0,-650000.0,0.0,904842,,,,-85769,-9628,-45927,41702,-318022,1389851,1071829,1071829,39622.0,14770.0,-192291.0,21.0,0.0,,,109013.0,-3822.0,,,16739.0,-374474.0,0.0,0.0,0.0,-201968.0,-347711.0,,,,,,,,
1319,2013年01月01日至2013年09月30日,,1321905,1321905,,,1646331,182720,-16283.0,75361,-7913,-170229,-126,,0.0,1707027.0,,,7839,-365411,-2823,-63964,-352893,,-4745,-866256,,13434,199385,7816,82525,381,-46213,-24859.0,,232484,-633772,1073255,2395160,7895,117328.0,-164727,2355656,,-37823.0,-146995.0,,0.0,-2078065,15543,,-158654,,,-2405994,,277279.0,,0.0,2114,,,,-67760,-9628,1018,27066,-22254,1389851,1367597,1367597,0.0,0.0,-65654.0,15.0,0.0,0.0,-310000.0,109013.0,-2834.0,-18605.0,0.0,,,,,,,,,,,,,,,
1319,2013年01月01日至2013年06月30日,,918355,918355,,,1080203,138027,-3960.0,49479,-3475,-102541,-95,,0.0,1157638.0,,,-24775,-612621,-10437,-157276,-165746,-5992.0,-906,-1041658,,7380,228751,16696,-341,-4745,-53708,-16733.0,-1847.0,175493,-866165,291473,1209828,3456,116281.0,-114682,1214883,,-28657.0,-146995.0,,0.0,-1190508,8329,-5.0,-151961,,,-1509797,,,,0.0,1084705,0.0,-16.0,,-49419,-9629,266256,41938,13280,1389851,1403131,1403131,0.0,0.0,-63905.0,40.0,0.0,-147868.0,-650000.0,38483.0,,,,,,,,,,,,,,,,,,
1319,2013年01月01日至2013年03月31日,,397757,397757,,,531797,36207,5634.0,24495,-1628,-26974,-1137,0.0,9033.0,577427.0,,,5252,-285181,-5603,-32011,-45600,-40810.0,-173,-404126,,30669,94630,18292,-77445,1622,-36822,211.0,-985.0,30172,-373954,203473,601230,1579,0.0,-9828,592981,,18480.0,-87671.0,0.0,0.0,-475411,7551,109.0,-32106,-110.0,-3217.0,-572375,,-272741.0,-650000.0,0.0,934860,0.0,-8590.0,-83.0,-38746,38186,2886,-2961,20531,1397982,1418513,1418513,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,2012年01月01日至2012年12月31日,,963702,963702,,,2005783,193161,-1223.0,109023,-8603,-202455,-4072,,0.0,2094646.0,,,572,142363,-12895,-16205,201592,61209.0,14338,405894,,-15496,-123961,42382,-3811,-2266,-61870,-36577.0,,-207139,198755,2293401,3257103,8615,159445.0,-142131,3283032,,-24560.0,-100821.0,0.0,46491.0,-2518378,98410,,-161421,,,-2094326,,-154011.0,70000.0,1500000.0,0,,,,-92267,-23278,-1179574,-36673,-27541,1417392,1389851,1389851,-36004.0,42974.0,14920.0,-5540.0,368332.0,,,0.0,-3938.0,,,0.0,0.0,197621.0,-1759434.0,-555000.0,-165584.0,0.0,,,,,,,,
1319,2012年01月01日至2012年09月30日,,794740,794740,,,1495344,130392,-6419.0,82435,-6848,-235701,-10798,,8671.0,1449276.0,,,-1167,258811,-14821,-30057,161431,,87187,449295,,-38437,-124162,32589,-150485,1393,-47918,-26583.0,,-359143,90152,1539428,2334168,6860,159445.0,-108086,2392387,,12173.0,-100821.0,,25887.0,-1823826,107490,,-120300,,,-1531065,,0.0,,1500000.0,-1498397,,,,-50969,-3399,-803870,-7660,49792,1417392,1467184,1467184,-36004.0,31157.0,-23263.0,-5540.0,368332.0,-116105.0,-80000.0,0.0,-2953.0,11174.0,-555000.0,,,,,,,,,,,,,,,
1319,2012年01月01日至2012年06月30日,,548002,548002,,,988916,84680,12126.0,56902,-4023,-174141,-13780,,8671.0,954461.0,,,-966,178133,-10058,-124389,94998,57135.0,12337,215307,,-41010,-162950,22861,-170654,-1407,-33203,-18077.0,1010.0,-406608,-191301,763160,1311162,4032,159445.0,-55089,1419550,,-930.0,-100821.0,,25887.0,-1248277,96067,411.0,-52190,,,-911521,,,,1500000.0,-778748,-555000.0,1977.0,,-42274,-3399,-566225,-16792,-74988,1417392,1342404,1342404,-36004.0,31114.0,8117.0,-3178.0,368332.0,-458781.0,-230000.0,0.0,,,,,,,,,,,,,,,,,,
1319,2012年01月01日至2012年03月31日,,361277,361277,,,504708,39431,-1708.0,28940,-1806,-101597,-193,-87299.0,10088.0,390564.0,,,-5586,262876,-14372,16584,41668,14432.0,6714,322316,,30927,-162088,-13007,-212002,-1256,11311,-8719.0,1994.0,-352840,-30524,360040,721317,1818,5710.0,-9526,719319,,-4532.0,-101280.0,165050.0,14000.0,-667467,4465,-236.0,-41664,-10186.0,-4509.0,-646359,,-110914.0,-160000.0,1500000.0,-1078720,-485000.0,977.0,-3187.0,-19537,-31085,-387466,-2272,-316778,1423143,1106365,1106365,,,,,,,,,,,,,,,,,,,,,,,,,,
