公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分投資性不動產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 存入保證金減少,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金減少,　　 取得無形資產,　　 非控制權益變動,　　　　 處分採用權益法之投資損失（利益）,　　 應付短期票券增加,　　 發放現金股利,　　　　 金融資產減損損失,　　 備供出售金融資產減資退回股款,　　 取得以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 其他金融資產增加,　　 短期借款增加,　　 處分以成本衡量之金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 應付票據增加（減少）,　　 存入保證金增加,　　　　 非金融資產減損迴轉利益,　　　　　 預收款項增加（減少）,　　 存出保證金增加
1110,2014年01月01日至2014年03月31日,,61690,61690,,,8927,51,-718,-2578,391,-1703,,3372,0.0,,-3923,,-855,2964.0,,,-3871,39305,32525,907,-91054,-27789,20148.0,-29829,,47696,-22267,74,-4583,20920,-8909,-5945,55745,1792,,-391,-178,56968,,-633.0,10067,0.0,-5046,,0.0,5238,,0.0,0.0,-47.0,0.0,60623,122829,241300,364129,364129,,,,,850.0,,,,,,,,,,,,60670.0,,,,,,,,
1110,2013年度,,111930,111930,,,52072,312,321,-21431,1700,-3953,-57460.0,-2287,1069.0,0.0,54762,110000.0,-982,136165.0,,,-166762,-42471,10303,-192,75523,9731,-65137.0,-179005,,-44774,35919,20,14781,5946,-173059,-36894,75036,4717,65460.0,-1702,-26432,117079,,-8698.0,18182,13773.0,-6123,0.0,8830.0,221491,,-20000.0,-20000.0,-3524.0,-45697.0,-146967,191603,49697,241300,241300,,823.0,79.0,2069.0,203297.0,,-546.0,,,-57200.0,1140.0,,-7000.0,695.0,-3534.0,,,0.0,,,,,,,
1110,2013年01月01日至2013年12月31日,,111930,111930,,,52072,312,321,-20268,1700,-3953,-57460.0,-2287,1069.0,0.0,53599,110000.0,-982,136165.0,,,-166762,-42471,10303,-192,75523,9731,,-113868,,-44774,35919,20,14781,5946,-107922,28243,140173,4717,65460.0,-1702,-26432,182216,,-8698.0,18182,13773.0,-6123,0.0,8830.0,156354,,-20000.0,-20000.0,-3524.0,-45697.0,-146967,191603,49697,241300,241300,,823.0,79.0,2069.0,203297.0,0.0,-546.0,,0.0,-57200.0,1140.0,0.0,-7000.0,695.0,-3534.0,-65137.0,,,,,,,,,
1110,2013年01月01日至2013年09月30日,,171783,171783,,,40550,234,-438,-15882,1312,-2582,-54971.0,-59,1692.0,0.0,53523,0.0,-682,22783.0,,,-136203,-20763,64526,28,65533,-1273,-75487.0,-103639,,-37699,8438,-9,6417,-22853,-126492,-103709,68074,3356,62971.0,-1315,-24324,108762,,-135.0,18181,13773.0,-5291,0.0,8830.0,240657,,-20000.0,-19999.0,-4866.0,-34272.0,-136883,212536,49697,262233,262233,,0.0,87.0,2069.0,203230.0,0.0,-546.0,-1.0,0.0,-57200.0,,,,,,,,,,,,,,,
1110,2013年01月01日至2013年06月30日,,66471,66471,,,28962,156,13,-13706,923,-1502,-4662.0,486,1692.0,0.0,55470,0.0,-1235,66702.0,,,-186327,-17988,16672,-3203,42596,6,-4392.0,-152636,,-48518,12227,-38,28557,-7772,-160408,-93706,-27235,2395,12662.0,-926,-24110,-37214,,-135.0,11442,13461.0,-3010,0.0,8830.0,235686,,-20000.0,-19999.0,-371.0,-22848.0,-63764,134708,49697,184405,184405,,0.0,105.0,2068.0,203030.0,0.0,-546.0,,,,,,,,,,,,,,,,,,
1110,2013年01月01日至2013年03月31日,,59501,59501,,,17190,78,-524,-12719,523,-645,0.0,1355,1692.0,0.0,7121,0.0,-1009,13062.0,,,8681,5163,46274,-8952,77824,-5927,-4234.0,118829,,-67080,7607,29,-19323,-78767,40062,53124,112625,625,0.0,-527,-106,112617,,-135.0,7376,9296.0,0,0.0,8830.0,25367,,-20000.0,-19999.0,-592.0,-11424.0,-52015,85969,49697,135666,135666,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1110,2012年01月01日至2012年12月31日,,107060,107060,,,72400,316,-8208,-11644,1830,-4064,-46858.0,-12490,0.0,-7297.0,-5408,399.0,1588,111564.0,,,19026,-22968,-39312,-396,90,-5001,,-48561,,-45037,3237,-275,-26608,-68683,-117244,-5680,101380,3192,54858.0,-1833,-8841,148756,,-9083.0,28016,8663.0,-15091,8097.0,5207.0,-3138,,-60000.0,0.0,-175769.0,-45698.0,-319089,-173471,223168,49697,49697,,3552.0,-332.0,0.0,0.0,-700.0,-422.0,,20000.0,-57200.0,127780.0,200.0,0.0,0.0,0.0,-28447.0,,,,,,,,,
1110,2012年01月01日至2012年09月30日,,181301,181301,,,54630,169,-71,-8355,1393,-2373,-46812.0,-9003,0.0,-7297.0,-5178,328.0,896,-20043.0,,,26970,-5074,12067,-161,29084,-7936,-28586.0,26364,,-72794,-6503,-132,31393,-48036,-21672,-41715,139586,2364,54654.0,-1398,-2596,192610,,-6264.0,24970,8350.0,-8528,8097.0,5207.0,31201,,-80000.0,0.0,-175753.0,-34275.0,-307657,-83846,223168,139322,139322,,1695.0,-65.0,0.0,0.0,-631.0,-422.0,0.0,39993.0,-57200.0,,,,,,,,,,,,,,,
1110,2012年01月01日至2012年06月30日,,114997,114997,,,36402,90,-703,-6505,954,-1622,-1504.0,-6445,0.0,-5664.0,-2138,234.0,371,14059.0,,,-2020,37523,32620,16,74827,-7641,148.0,135473,,-96798,-7833,51,2196,-102384,33089,47148,162145,1632,9504.0,-960,-2550,169771,,0.0,13581,0.0,-8528,6447.0,5207.0,16076,,-80000.0,0.0,-176957.0,-22849.0,-280228,-94381,223168,128787,128787,,484.0,105.0,0.0,0.0,-631.0,-422.0,,,,,,,,,,,,,,,,,,
1110,2012年01月01日至2012年03月31日,,103975,103975,,,18143,39,-403,-10029,484,-644,-362.0,-4973,0.0,-5665.0,-1828,159.0,721,-4358.0,,,2980,14726,25536,190,22660,-5986,368.0,60474,,-47621,-4790,26,-16669,-69054,-8580,-12938,91037,674,362.0,-488,-107,91478,,0.0,13570,0.0,-4864,6446.0,0.0,15152,,-50000.0,0.0,-176712.0,-11424.0,-238136,-131506,223168,91662,91662,0.0,,,,,,,,,,,,,,,,,,,,,,,,
