公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付租賃款減少,　　 其他金融負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 生物資產（增加）減少,　　 採用權益法之被投資公司減資退回股款,　　 其他金融資產增加,　　 短期借款增加,　　 其他金融負債減少,　　 發放現金股利,　　 非控制權益變動,　　 取得以成本衡量之金融資產,　　 取得子公司股權,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 對子公司之收購（扣除所取得之現金）,　　 其他非流動負債增加,　　　　 處分其他資產損失（利益）,　　　　　 其他營業資產（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 應付租賃款增加
1227,2014年01月01日至2014年03月31日,,656178,656178,,,71152,20739,1011,-6239,4305,-8917,-5891,,302,409,14788,957.0,92616.0,,,6239,-40911,393207,25275,381175,349432,-4376,1111065,,113027,-302136,-344470,-12378,-134122,-786.0,-680865,430200,522816,1178994,13914,-4428,-522,1187958,,-342721,355340,-1300159.0,1116713.0,0.0,2772.0,0.0,-78834,2472,-4762,140576,-71511,,0.0,5891,-174223,,,-1,-199.0,7160.0,-383452,9967,640250,1359032,1999282,1999282,1024.0,,,-390412.0,,,,,,,,,,,,,,,,
1227,2013年度,,2248277,2248277,,,220758,38458,1173,-78798,17650,-36110,-19240,,477,-18958,23319,-605.0,148124.0,,,174323,-2392,-346776,-98050,-566388,-4319,-5408,-852489,,-4660,121471,295974,4523,94723,2095.0,514126,-338363,-190239,2058038,30861,-18022,-502132,1568745,,-3736628,3670791,-1484052.0,1497479.0,1179.0,12553.0,578.0,-1046238,3255,-1717,144786,-250811,,-81548.0,19290,-1270527,,,69969,-768.0,20240.0,-515398,45934,-171246,1530278,1359032,1359032,-3479.0,,-19444.0,540612.0,-208.0,-1141414.0,-3829.0,0.0,0.0,,,,,,,,,,,
1227,2013年01月01日至2013年12月31日,,2248277,2248277,,,220758,38458,1173,-78798,17650,-36110,-19240,0.0,477,-18958,23319,-605.0,148124.0,,,174323,-2392,-346776,-98050,-566388,-4319,-5408,-852489,,-4660,121471,295974,4523,94723,2095.0,514126,-338363,-190239,2058038,30861,-18022,-502132,1568745,,-3736628,3670791,-1484052.0,1497479.0,1179.0,12553.0,578.0,-1046238,3255,-1717,144786,-250811,,-81548.0,19290,-1270527,,,69969,-768.0,20240.0,-515398,45934,-171246,1530278,1359032,1359032,-3479.0,0.0,-19444.0,540612.0,-208.0,-1141414.0,-3829.0,,,,,,,,,,,,,
1227,2013年01月01日至2013年09月30日,,1749488,1749488,,,164325,27142,1571,-67964,11721,-26827,-14983,0.0,45,-16936,14700,113.0,92907.0,,,163489,6131,-242500,11142,-234383,-493691,-1951,-797097,,157,62556,-44350,-7866,57622,-11.0,68108,-728989,-636082,1113406,22166,-11334,-503658,620580,,-2933693,3241248,-1441957.0,696590.0,1179.0,7827.0,578.0,-676377,1356,-1717,287081,-221335,,-81548.0,14983,-1117845,,0.0,69941,-572.0,3659.0,-64223,30883,-530605,1530278,999673,999673,-5334.0,0.0,-12060.0,1007992.0,,-1141414.0,-3829.0,,,,,,,,,,,,,
1227,2013年01月01日至2013年06月30日,,1254980,1254980,,,108260,18388,2227,-67195,6066,-20138,-10377,0.0,111,-16304,12667,1812.0,35517.0,,,162720,-1532,374238,16664,-103083,59319,-1847,501340,,6487,-329705,-256577,-9516,-29658,-341.0,-619310,-117970,-82453,1172527,21025,-5930,-262660,924962,,-2396645,2564644,-1393363.0,586395.0,1179.0,7827.0,578.0,-330158,1022,-1598,284900,-256778,,-81548.0,10377,-1014528,,0.0,39982,-378.0,2036.0,336633,32771,279838,1530278,1810116,1810116,-5139.0,0.0,-11360.0,294994.0,-1.0,,,,,,,,,,,,,,,
1227,2013年01月01日至2013年03月31日,,842243,842243,,,53619,9222,1798,-61409,3396,-10128,-7075,0.0,4,-3777,0,-2158.0,-16508.0,,,56048,7281,177740,-35245,415800,337770,-2030,957364,,2327,-302238,-234636,-6359,-19158,-909.0,-560973,396391,379883,1222126,12304,-3199,-5207,1226024,,-1505333,950689,-415330.0,115916.0,1179.0,1994.0,578.0,-127492,698,-1423,274116,-81751,0.0,-70413.0,6097,-850475,,-44169.0,4997,-188.0,3697.0,-35663,30082,369968,1530278,1900246,1900246,,,,,,,,,,,,,,,,,,,,
1227,2012年01月01日至2012年12月31日,,2743029,2743029,,,191631,34379,-5657,-57956,7018,-40251,-167153,-55734.0,-45436,-3392,8941,2806.0,-130804.0,,,-37569,321,-25174,-21485,76115,-569058,-7247,-586894,,5071,8334,24558,-3538,81479,-1372.0,114532,-472362,-603166,2139863,37181,-6634,-472019,1698391,,-2062810,1900977,-699602.0,252915.0,0.0,23787.0,0.0,-263904,103735,-12826,9023,-61175,,-101099.0,214151,-888881,,,0,-729.0,5294.0,-938919,-57865,-187274,1717552,1530278,1530278,-2797.0,83996.0,-276049.0,175470.0,0.0,-1104595.0,-14359.0,,,,,,,,,,,,,
1227,2012年01月01日至2012年09月30日,,1977444,1977444,,,143160,25846,-4192,-10166,5022,-32070,-118439,-55734.0,5527,-3938,8941,0.0,-36043.0,,,-44281,4263,-115888,-17966,453049,127661,-4310,397151,,9791,-156752,-116992,-1887,18708,-230.0,-247362,149789,113746,2091190,26599,-4964,-471812,1641013,,-1451579,1609923,-516390.0,234815.0,0.0,17017.0,0.0,-145131,1769,-8707,5873,-52686,,0.0,165437,-55663,,-186320.0,36977,-543.0,24.0,-1268815,-43311,273224,1717552,1990776,1990776,-5377.0,83996.0,0.0,0.0,,-1104594.0,-14359.0,,,,,,,,,,,,,
1227,2012年01月01日至2012年06月30日,,1259044,1259044,,,95440,17419,-1658,-7836,3401,-17601,-72292,-54994.0,3953,-2287,6218,-668.0,-30905.0,,,-22791,12043,441893,-1323,661831,-33244,-9050,1048241,,12657,-340831,-322730,-11293,23183,-82.0,-639096,409145,378240,1637284,17493,-3716,-235281,1415780,,-1024573,807934,-244008.0,109803.0,0.0,5974.0,0.0,-95369,1052,-3987,4225,-4502,,0.0,119290,-251375,,-187018.0,2998,-359.0,0.0,-184642,-16952,962811,1717552,2680363,2680363,-1118.0,72914.0,-128.0,0.0,-263.0,,,,,,,,,,,,,,,
1227,2012年01月01日至2012年03月31日,,787741,787741,,,48976,8863,21588,906,1988,-10040,-62344,-1135.0,288,-1754,6218,154.0,13708.0,,,-29317,647,514652,-4955,368605,280909,-9784,1120757,,13260,-317402,-343250,-13764,35152,66.0,-625938,494819,508527,1296268,9426,-2336,-163,1303195,,-450167,315006,-93863.0,60577.0,0.0,2247.0,0.0,-42097,576,-3987,4908,-910,1557.0,0.0,62344,-143809,,-188631.0,9993,-179.0,5343.0,-173474,-30555,955357,1717552,2672909,2672909,,,,,,,,,,,,,,,,,,,,
