公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 支付之股利,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 長期應收租賃款減少,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金減少,　　 其他非流動負債減少,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 持有供交易之金融負債增加（減少）,　　 退還（支付）之所得稅,　　 取得採用權益法之投資,　　 存出保證金增加,　　 其他非流動資產增加,　　 應付短期票券增加,　　 存入保證金增加,　　 其他非流動負債增加,　　　　 股利收入,　　 收取之股利,　　 長期應收租賃款增加,　　 短期借款增加,　　 發放現金股利,　　 非控制權益變動,　　　　 非金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　 取得備供出售金融資產,　　 處分採用權益法之投資,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　 應付短期票券減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 負債準備增加（減少）,　　 其他金融資產增加
2427,2014年01月01日至2014年03月31日,,5662,5662,,,4011,1460,-1596,0,-2485,440,6,24,52.0,1912.0,,,2407,1006,96248,2474,96659,-1207,5306,-7548,19936,215281,,-106,-202611,-51016,-9487,-3520,-3598.0,,-270338,-55057,-53145,-47483,906,0,0.0,-46595,,-1180,0,11004.0,-89,1008,,282.0,-5190,,0.0,-2042.0,0.0,,-2042,-470,-54297,467587,413290,413290,,,-18.0,,-14351.0,-1864.0,,,,,,0.0,,,,,,,,,,,,,,,
2427,2013年度,,-15249,-15249,,,16337,5624,-6105,1005,-12152,-1224,-41253,98,561.0,-40547.0,,,13298,-271,1976,1404,217363,-1944,-21796,644,-25420,185646,,426,-38188,29870,8477,2772,-4462.0,,-1242,184404,143857,128608,12051,-1152,-2.0,140715,,-7451,125923,6031.0,-2756,3397,131.0,-231.0,117426,,-262206.0,0.0,-49.0,0.0,-266680,12152,3613,463974,467587,467587,-803.0,-137.0,-2410.0,-6658.0,,-960.0,0.0,471.0,,-3620.0,3620.0,,0.0,0.0,-4896.0,985.0,392.0,,0.0,,0.0,0.0,,,,,
2427,2013年01月01日至2013年12月31日,,-15249,-15249,,,16337,5624,-6105,1005,-12152,-1224,-41253,98,561.0,-40547.0,,,13298,-271,1976,1404,217363,-1944,-21796,644,-25420,185646,,426,-38188,29870,8477,2772,-4462.0,,-1242,184404,143857,128608,12051,-1152,-2.0,140715,,-7451,125923,6031.0,-2756,3397,131.0,-231.0,117426,,-262206.0,,-49.0,0.0,-266680,12152,3613,463974,467587,467587,-803.0,-137.0,-2410.0,-6658.0,0.0,-960.0,,471.0,0.0,-3620.0,3620.0,0.0,0.0,0.0,-4896.0,985.0,392.0,0.0,,,,,,,,,
2427,2013年01月01日至2013年09月30日,,-24260,-24260,,,12523,4159,-1669,1205,-9385,-1070,-38727,0,573.0,-36814.0,,,13981,476,9264,3591,300492,-919,-15893,2527,-57,313462,,710,-84861,-28033,-148977,-556,-6176.0,,-268030,45432,8618,-15642,11055,-1353,-2.0,-2452,,-5960,124011,5242.0,-2567,816,533.0,-107.0,115310,,-262206.0,,-49.0,0.0,-266868,8698,-145312,463974,318662,318662,-803.0,-137.0,-130.0,-6658.0,,,,283.0,,-3620.0,3620.0,0.0,0.0,0.0,-4896.0,,,,,,,,,,,,
2427,2013年01月01日至2013年06月30日,,3364,3364,,,8402,2734,149,1136,-5392,-531,1471,0,515.0,7681.0,,,-310,-579,134669,-921,263752,-932,-860,2862,-1694,395987,,366,-227058,-17843,-135384,124,-2456.0,,-382388,13599,21280,24644,2635,-1283,-2.0,25954,,-3885,135,0.0,-2030,-2119,12118.0,47.0,-2935,,-169206.0,0.0,,0.0,-118818,11353,-84446,463974,379528,379528,-803.0,-137.0,-40.0,-6658.0,-543.0,0.0,50000.0,263.0,125.0,,,,,,,,,,,,,,,,,,
2427,2013年01月01日至2013年03月31日,,1430,1430,,,4163,1340,-541,599,-2276,-167,-43,24,569.0,3668.0,,,21646,-609,67453,-1877,252993,-1161,7667,2861,5048,354021,,20,-234009,-20782,-102039,2425,-3727.0,0.0,-358112,-4091,-423,1007,601,-649,118.0,1077,,-2502,106,8113.0,-2030,-5003,-363.0,221.0,-1458,,-127706.0,-261.0,36.0,0.0,-127931,7905,-120407,463974,343567,343567,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,2012年01月01日至2012年12月31日,,-7948,-7948,,,17101,5588,-3931,850,-10377,-181,437,98,-510.0,4686.0,,,162123,16741,128465,1085,-297538,-4297,22492,-2871,10392,36200,,2,-85230,-9874,64355,-27142,6230.0,,-51659,-15459,-10773,-18721,2711,-720,329.0,-14199,,-6922,156,0.0,0,0,2225.0,34.0,-19664,,0.0,,0.0,-6553.0,155077,-9133,112081,351893,463974,463974,0.0,0.0,-2187.0,-6034.0,-2444.0,0.0,,2538.0,49.0,-4389.0,4389.0,-8047.0,224958.0,-66610.0,695.0,0.0,-392.0,1368.0,,,,,,,,,
2427,2012年01月01日至2012年09月30日,,-22387,-22387,,,12993,4458,-4968,561,-8357,0,-91,73,-456.0,-176.0,,,168267,17878,235076,-3489,-107294,-7249,-9398,-609,19412,312594,,-174,-190143,-43492,-10600,-22518,4487.0,,-262440,50154,49978,27591,8400,-578,329.0,38892,,-5374,114,394.0,-204,0,-798.0,187.0,-22260,,0.0,,0.0,-6553.0,-57587,-10792,-51747,351893,300146,300146,0.0,0.0,-1239.0,-6034.0,,,,2823.0,,-4389.0,4389.0,-10545.0,12753.0,-66610.0,0.0,,,,,,,,,,,,
2427,2012年01月01日至2012年06月30日,,5721,5721,,,8602,3054,-3455,352,-6064,0,-89,49,191.0,2640.0,,,40886,16042,81228,-937,51053,-2700,-6183,-51550,54710,182549,,-122,-103022,-37985,-70160,226,2996.0,,-208067,-25518,-22878,-17157,1294,-338,0.0,-18234,,-4696,114,2244.0,-187,-13326,0.0,372.0,-16483,,-10247.0,-326.0,,-6554.0,-17127,-7727,-59571,351893,292322,292322,0.0,0.0,-2033.0,0.0,0.0,-1004.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2427,2012年01月01日至2012年03月31日,,15821,15821,,,4386,1540,-3483,150,-2111,0,0,24,-597.0,-91.0,,,31926,17593,77724,1227,71313,-213,925,-637,13808,213666,,-200,-126283,-29013,-48341,-3072,1493.0,0.0,-205416,8250,8159,23980,436,-156,0.0,24260,,-2413,0,1279.0,-140,869,-1842.0,-88.0,-2335,,-12247.0,-752.0,0.0,-6554.0,-19553,-9541,-7169,351893,344724,344724,,,,,,,,,,,,,,,,,,,,,,,,,,,
