公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產增加,　　 收取之股利,　　 取得子公司股權,　　 其他籌資活動,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　 處分採用權益法之投資,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 預付設備款增加,　　 短期借款減少,　　 處分子公司股權（未喪失控制力）,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 其他金融資產減少,　　 償還公司債,　　 發放現金股利,　　 處分待出售非流動資產,　　　　 其他項目,　　 預付投資款增加,　　　　　 預付款項（增加）減少,　　 存入保證金減少,　　　　 股份基礎給付酬勞成本,　　 支付之利息-營業活動,　　 取得以成本衡量之金融資產,　　 停業單位稅前淨利（淨損）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 發行公司債,　　 現金增資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 處分以成本衡量之金融資產,　　 預收款項增加－處分資產,　　 其他應付款－關係人增加,　　　　 處分待出售非流動資產損失（利益）,　　　　 金融資產減損迴轉利益,　　 取得備供出售金融資產
4104,2014年01月01日至2014年03月31日,,127841,127841,,,28028,2286,2714,-1014,8621,-3468,-283,0,-72428,0.0,-26194.0,,,451.0,-6713,-6264,-57002,21460,126457,-302,105044,3225,,-6392,179964,,,-10219,-208723,-9063,-111966,-11,5275,69451,-532.0,-253,-266041,-86077,-112271,15570,3239,-391,18418,,29346,-4571,0,,82451,-546,677,30700,,30000,29947,0,-7904,0.0,-6739,,45304,-1039,93383,1508840,1602223,1602223,,-180000.0,20000.0,,,0.0,,,0.0,,8513.0,390.0,,,,,,,,10493.0,-10046.0,7135.0,,37462.0,,,38746.0,,,,,,,,,,,,,,,,,,,,,,,,,
4104,2013年度,,414701,414701,,,108853,14369,14325,987,41438,-12194,24030,113,-205277,,37726.0,,,,154036,56175,27763,-1555,-356398,-7359,-144994,19213,,5974,-247145,,-987.0,-21033,10696,-1838,210801,389,-17819,44691,6456.0,-1011,230345,-16800,20926,435627,12426,-90576,357477,,261469,-88062,329,-123359.0,0,-16073,563,-538758,,132975,49874,30358,-25552,400.0,-25605,-89750.0,133393,10983,-36905,1545745,1508840,1508840,-1978.0,-120000.0,199800.0,-651851.0,0.0,-136510.0,64304.0,,656401.0,2159.0,6133.0,45644.0,0.0,-1176.0,,28790.0,,,40197.0,61762.0,-62638.0,7135.0,35883.0,,-410000.0,-225905.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
4104,2013年01月01日至2013年12月31日,,414701,414701,,,108853,14369,14325,987,41438,-12194,24030,113,-205277,0.0,37726.0,,,0.0,154036,56175,27763,-1555,-356398,-7359,-144994,19213,,5974,-247145,,-987.0,-21033,10696,-1838,210801,389,-17819,44691,6456.0,-1011,230345,-16800,20926,435627,12426,-90576,357477,,261469,-88062,329,-123359.0,0,-16073,563,-538758,,132975,49874,30358,-25552,400.0,-25605,-89750.0,133393,10983,-36905,1545745,1508840,1508840,-1978.0,-120000.0,199800.0,-651851.0,0.0,-136510.0,24631.0,0.0,656401.0,2159.0,6133.0,45644.0,,-1176.0,0.0,28790.0,,,40197.0,61762.0,-62638.0,7135.0,75556.0,0.0,-410000.0,-225905.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,2013年01月01日至2013年09月30日,,361684,361684,,,80407,10122,-3629,734,30062,-8583,13147,4,-194910,0.0,-66078.0,,,-147.0,178137,60388,9390,-45503,-84976,264,-196385,-24343,,-7061,-110236,,443.0,-29766,-30874,-4860,-140257,445,-24866,66904,202.0,998,-161631,-271867,-337945,23739,8602,-82847,-50506,,246026,-59176,1303,-56653.0,8531,-6265,511,-467866,,312943,0,20007,-18038,400.0,-17689,-89750.0,247423,1940,-269009,1545745,1276736,1276736,-1827.0,-120000.0,190000.0,-612177.0,0.0,-128655.0,19538.0,0.0,39550.0,2159.0,6133.0,103.0,20504.0,-143.0,0.0,28790.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,2013年01月01日至2013年06月30日,,249330,249330,,,52591,7114,-2834,-1296,19421,-6028,10122,136,-140924,-23.0,-61721.0,,,634.0,9907,65008,-377,-73347,-217570,1750,-103491,-5095,,-7664,-330245,,0.0,-27712,-95638,-2084,138338,-126,-18416,93662,163.0,1461,89648,-240597,-302318,-52988,4667,-52620,-100941,,154178,-45688,484,-53973.0,8114,-6631,321,-528801,,176975,49961,10893,-9482,500.0,-15715,0.0,218032,-9891,-421601,1545745,1124144,1124144,0.0,0.0,90000.0,-574977.0,0.0,-100629.0,0.0,0.0,4900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,2013年01月01日至2013年03月31日,,79794,79794,,,26590,4359,2705,-403,9219,-2371,-991,136,-13236,-410.0,25598.0,,,0.0,53326,5160,7269,45526,-151241,-914,-104440,10999,-44976.0,6095,-173196,,0.0,-39410,46564,3209,292534,-315,-17157,38553,67.0,1832,325877,152681,178279,258073,1668,425,260166,,15102,-13116,753,0.0,1304,-4271,0,-228,,-223496,0,10893,-4712,500.0,-7382,4900.0,-219297,-2586,38055,1545745,1583800,1583800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,2012年01月01日至2012年12月31日,,449080,449080,,,113307,17260,21378,12007,41000,-11110,-2848,2719,-85323,-61.0,105213.0,,,1717.0,-11039,-65226,70455,84529,-386727,752,22963,-14221,,-5064,-301861,,-12021.0,42120,10060,7122,573774,-1480,-12478,-50094,-1841.0,-730,554432,252571,357784,806864,10887,-108898,708853,,107513,-44677,7879,-7569.0,30441,-3045,100,-127563,,-326457,-39919,0,-26789,0.0,-22909,-94164.0,-605919,-6928,-31557,1577302,1545745,1545745,-7747.0,-190000.0,0.0,-146042.0,11535.0,0.0,36484.0,-2500.0,0.0,-1948.0,6805.0,0.0,,-1117.0,-286.0,66571.0,,,9503.0,29048.0,-29274.0,-5201.0,0.0,9851.0,0.0,-102684.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,2012年01月01日至2012年09月30日,,389808,389808,,,84422,15328,14124,11292,31712,-8537,-27094,956,-49814,-3620.0,68972.0,,,1717.0,-4186,-72263,-31326,62705,-423457,5804,36592,-10845,,-11093,-446352,,-9465.0,8501,-10614,-1112,698632,-1795,-4455,-12297,1800.0,-518,668677,222325,291297,681105,8184,-104422,584867,,65817,-17798,7412,-5654.0,30049,-2899,1793,-43900,,0,-39919,0,-13833,0.0,-20031,-94164.0,-459319,-8660,72988,1577302,1650290,1650290,-6112.0,0.0,0.0,-138542.0,11535.0,-22377.0,34462.0,-2500.0,0.0,-490.0,6805.0,0.0,0.0,0.0,-143.0,8445.0,-16000.0,-298375.0,9503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,2012年01月01日至2012年06月30日,,251706,251706,,,56874,8146,5777,7464,22574,-6366,-18634,561,0,-4818.0,69296.0,,,1717.0,-20982,-2260,-81476,-241,-373986,4033,59700,-4747,,-2557,-420799,,-7478.0,43598,-39021,1465,418378,-1795,7279,-15101,-1056.0,-266,406003,-14796,54500,306206,4861,-59738,251329,,0,-15372,4804,-4344.0,31454,-2050,1843,-82391,,-134280,-39919,0,-7967,0.0,-9462,-1863.0,-195991,-3388,-30441,1577302,1546861,1546861,-2282.0,-29786.0,0.0,0.0,11535.0,-108214.0,27739.0,-2500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,2012年01月01日至2012年03月31日,,126994,126994,,,27211,3001,2151,8562,12616,-2773,-6480,537,0,-1732.0,43093.0,,,1704.0,27177,-272,-17495,765,-411693,186,32088,-14432,-108681.0,-7208,-497861,,-6751.0,13324,-249196,-292,174162,-1793,84522,59524,-769.0,-13,72718,-425143,-382050,-255056,2038,-644,-253662,,0,-30338,251,-9001.0,0,-1024,1823,-38289,,209245,19959,0,-4130,0.0,-8989,-1863.0,214222,-6190,-83919,1577302,1493383,1493383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
