公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 發放現金股利,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 短期借款減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少)
2605,2014年01月01日至2014年03月31日,,437452,0,437452,,,340342,32789,-2606,0,370525.0,,,-5389,-17459,-7762,29530,-56981,0.0,-58061,,10127,3163,-56736,75.0,-43371,-101432,269093,706545,1844,708389,,-381071,-23.0,3411.0,-377683,,0.0,,-479908,-43992,55974,-467926,142407,5187,4633022,4638209,4638209,,0.0,0.0,,,,,,,,
2605,2013年度,,1300615,475282,1775897,,,1355726,157614,-18630,10,1497236.0,,,-154345,-110942,7965,-44574,30971,2003.0,-268922,,-31155,-1165,-9074,534.0,-40860,-309782,1187454,2963351,19254,2675095,,-667659,-45.0,-21728.0,-82756,,-64000.0,0.0,-2002055,-172913,-733725,-3683073,195915,-894819,5527841,4633022,4633022,-307510.0,2516.0,606676.0,-710380.0,,,,,,,
2605,2013年01月01日至2013年12月31日,,1539576,236321,1775897,,,1355726,157614,-18630,10,1497236.0,,,-154345,-110942,7965,-44574,30971,2003.0,-268922,,-31155,-1165,-9074,534.0,-40860,-309782,1187454,2963351,19254,2675095,,-667659,-45.0,-21728.0,-82756,,-64000.0,0.0,-2002055,-172913,-733725,-3683073,195915,-894819,5527841,4633022,4633022,-307510.0,2516.0,606676.0,-710380.0,0.0,,,,,,
2605,2013年01月01日至2013年09月30日,,1088942,236328,1325270,,,1022275,122160,-14224,10,1132741.0,,,10174,-112260,3663,-4430,36214,2003.0,-64636,,-55040,-3382,-59412,459.0,-117375,-182011,950730,2276000,15745,1984248,,-554810,-38.0,-4960.0,47686,,-114000.0,0.0,-1565036,-144358,-654883,-3188657,142507,-1014216,5527841,4513625,4513625,-307497.0,2520.0,607494.0,-710380.0,,,,,,,
2605,2013年01月01日至2013年06月30日,,997731,0,997731,,,679417,84615,-11965,10,752077.0,,,-80804,-264911,4435,-54518,23129,2003.0,-370666,,9758,1092,-97859,150.0,-86859,-457525,294552,1292283,12899,997685,,-393091,-43.0,-94146.0,-487280,,0.0,0.0,-1093018,-92230,-193679,-1378927,231339,-637183,5527841,4890658,4890658,-307497.0,,,,,,,,,,
2605,2013年01月01日至2013年03月31日,,483185,0,483185,,,333637,42897,-4541,10,372003.0,,,-7946,2620,1221,3390,17925,2003.0,19213,,-23124,674,-53290,-40.0,-75780,-56567,315436,798621,5785,804406,,-8937,-4.0,-52292.0,-61233,,0.0,0.0,-479798,-60687,-27306,-567791,193570,368952,5527841,5896793,5896793,,,,,,,,,,,
2605,2012年01月01日至2012年12月31日,,2157526,464728,2622254,,,1373482,226343,-17414,-323,1501414.0,,,37031,3296,-10284,41943,-36179,-2003.0,33804,,-24803,1366,-23458,-1155.0,-48050,-14246,1487168,4109422,17134,3820227,,-1671212,307.0,-135849.0,-1428487,,20000.0,2194094.0,-1752480,-213818,-617065,-1221725,-263426,906589,4621252,5527841,5527841,-306329.0,-80674.0,377798.0,-852456.0,469.0,,,,,,
2605,2012年01月01日至2012年09月30日,,1734439,361550,2095989,,,1034940,176392,-12364,0,1118299.0,,,-56038,21321,-13118,5280,-1602,-2301.0,-46458,,-18537,607,-58496,-866.0,-77292,-123750,994549,3090538,13694,2797916,,-1583715,-268.0,-172279.0,-1378464,,20000.0,2205224.0,-1310081,-171978,-448029,-557320,-201315,660817,4621252,5282069,5282069,-306316.0,-80669.0,377798.0,-852456.0,,,,,,,
2605,2012年01月01日至2012年06月30日,,1449921,-8012,1441909,,,693113,122032,-9687,0,805458.0,,,-99397,11663,-5722,81310,-34696,-1003.0,-47845,,-31385,-1514,-65463,-577.0,-98939,-146784,658674,2100583,8283,1802553,,-1358082,12.0,-184328.0,-1542398,,360000.0,2200772.0,-824025,-103075,-325519,1308153,-68401,1499907,4621252,6121159,6121159,-306313.0,,,,,,,,,,
2605,2012年01月01日至2012年03月31日,,740524,-4308,736216,,,345829,62149,-2351,0,405627.0,,,-189298,-89483,-20911,58825,-16541,-1001.0,-258409,,33762,-1415,-61766,-288.0,-29707,-288116,117511,853727,3105,856832,,-1339134,18.0,-181034.0,-1520150,,20000.0,2203740.0,-372528,-50006,-157410,1643796,-170373,810105,4621252,5431357,5431357,,,,,,,,,,,
