公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 收取之股利,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他非流動資產減少,　　 應付短期票券增加,　　 其他借款增加,　　 其他非流動負債增加,　　 其他非流動負債減少,　　　　 股利收入,　　　　 其他項目,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產增加,　　 其他借款減少,　　 存入保證金減少,　　 發放現金股利,　　　　 不動產、廠房及設備轉列費用數,　　 存出保證金減少,　　 現金減資,　　 預付設備款減少,　　 短期借款增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 庫藏股票處分,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他投資活動,　　　　　 淨確定福利負債增加(減少),　　 非控制權益變動,　　　　　 應收票據－關係人（增加）減少,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 處分採用權益法之投資
1416,2014年01月01日至2014年03月31日,,-45582,-45582,,,3137,11,0.0,24027,1206,-1018,-5575,0,,21788.0,,,-706,1002,0.0,116,-2,-160964,-21613,-127,-1064,0.0,-183358,,-19957,4553,,-52746,,-5,21194,-3265,164.0,,-50062,-233420,-211632,-257214,1018,-1235,-566,-257997,,-57950.0,,-117620,0.0,-72.0,0.0,-185396,,0.0,0.0,43000,0.0,664,392269,4617,-46507,91138,44631,44631,0.0,,,,,-203.0,,,311000.0,30000.0,,,,,,-1965.0,,,,,,,-7586.0,7605.0,,,,,,,,,,,,,
1416,2013年度,,116649,116649,,,12169,417,-184.0,-24355,5940,-5606,-62472,-224872,0.0,-279665.0,,,6006,11136,0.0,63,160,-651584,-182806,0,29459,,-787566,,65315,919,,41598,,45,613245,70,654.0,,721846,-65720,-345385,-228736,5606,-6833,-22818,-243505,,,,-201500,405047.0,0.0,-188442.0,-226150,,-52184.0,,342000,,0,-34965,72199,-432421,523559,91138,91138,,9276.0,,8508.0,,-67.0,,531.0,873500.0,-20000.0,-14203.0,,-10235.0,29493.0,,,,-9533.0,-384848.0,40.0,1286.0,-769697.0,0.0,0.0,-251513.0,0.0,0.0,,,,,,,,,,
1416,2013年01月01日至2013年12月31日,,116649,116649,,,12169,417,-184.0,-24355,5940,-5606,-62472,-224872,,-279665.0,,,6006,11136,0.0,63,160,-651584,-182806,0,29459,,-787566,,65315,919,0.0,41598,0.0,45,613245,70,654.0,,721846,-65720,-345385,-228736,5606,-6833,-22818,-243505,,,,-20344,405047.0,,-188442.0,-226150,,-52184.0,,342000,0.0,0,-34965,72199,-432421,523559,91138,91138,,9276.0,0.0,8508.0,0.0,-67.0,,531.0,873500.0,0.0,0.0,-14203.0,-10235.0,29493.0,0.0,-432669.0,-20000.0,-9533.0,-384848.0,40.0,1286.0,-769697.0,,,,,,,,,,,,,,,
1416,2013年01月01日至2013年09月30日,,-56556,-56556,,,8988,311,-95.0,36102,4641,-3252,-61274,-209,0.0,6552.0,,,3180,10254,0.0,0,38,-406520,-170680,-299,29596,,-534431,,99651,1296,0.0,105438,0.0,-125,675732,-2157,490.0,,880325,345894,352446,295890,3252,-4662,-22522,279199,,,,-18946,1166.0,-17651.0,-18624.0,-528204,,-41373.0,,150000,0.0,0,-208075,62421,-394659,523559,128900,128900,,7241.0,-32189.0,0.0,0.0,0.0,14776.0,531.0,120000.0,0.0,0.0,-14203.0,-7918.0,29258.0,0.0,-457267.0,-30000.0,-7651.0,-384848.0,,,,,,,,,,,,,,,,,,
1416,2013年01月01日至2013年06月30日,,-74828,-74828,,,5867,265,-95.0,54642,3134,-2348,-57414,-160,0.0,3891.0,,,5224,10606,0.0,180,37,-280763,-70,-289,-429620,,-694695,,4342,-3570,0.0,93423,0.0,-32,587489,-3245,327.0,,678734,-15961,-12070,-86898,2348,-3544,-21531,-106286,,,,-17938,867.0,-5059.0,-7774.0,-63707,,-16712.0,,150000,,1013,405101,3856,238964,523559,762523,762523,,3339.0,-34334.0,0.0,0.0,0.0,0.0,531.0,280000.0,5003.0,0.0,-14203.0,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2013年01月01日至2013年03月31日,,-9894,-9894,,,3041,142,-77.0,20530,1441,-989,-27203,-112,0.0,-3227.0,,,-59037,11237,0.0,164,-4,-205892,-3832,0,-176064,531.0,-432897,,17444,-4346,0.0,23875,0.0,-8,381289,-2819,164.0,0.0,415599,-17298,-20525,-30419,989,-1489,-276,-31195,,-19572.0,0.0,-17437,124.0,-17363.0,-5033.0,-59281,,-8701.0,-20034.0,0,-168.0,323,-28580,-828,-119884,523559,403675,403675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2012年01月01日至2012年12月31日,,1129962,1129962,,,10501,901,163.0,-24284,7230,-7000,-328717,0,,-352466.0,,,20706,-7580,7142.0,-1347,56,257046,-369800,5,0,,-93772,,18608,3445,-10814.0,-26052,-415.0,-176,41933,2776,-56820.0,,-27515,-121287,-473753,656209,7000,-11422,-389,663020,,,,-4132,0.0,,-12265.0,-349119,,-124738.0,,0,-230000.0,282,-295253,18489,37137,486422,523559,523559,,11622.0,-63561.0,0.0,-1010.0,-1111.0,,178.0,0.0,45000.0,14203.0,0.0,-11622.0,362.0,-26115.0,-272532.0,0.0,0.0,0.0,0.0,31429.0,0.0,,,,,,,,,,,,,,,
1416,2012年01月01日至2012年09月30日,,956396,956396,,,8750,426,127.0,-6367,5507,-5307,-163982,0,-9339.0,-170782.0,,,18760,-208,-7142.0,-3504,186,275847,-377241,-1041,0,,-94343,,185653,21190,-10814.0,90977,-415.0,-85,32130,428,-9909.0,,309155,214812,44030,1000426,5307,-1387,-84834,920805,,,,-4961,0.0,-43633.0,-7563.0,-297937,,-152283.0,,0,-230000.0,198,-332882,25677,315663,486422,802085,802085,,1293.0,0.0,52099.0,-1010.0,-1111.0,0.0,134.0,0.0,35000.0,14203.0,0.0,-959.0,362.0,-26115.0,-265777.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1416,2012年01月01日至2012年06月30日,,969468,969468,,,5357,570,0.0,-283,3789,-3312,-158590,0,-955.0,-153424.0,,,20599,-9970,7142.0,349,48,439378,-122722,-1045,-243727,,90052,,6555,8692,-10814.0,70231,-415.0,74,-18109,-563,-680.0,,54971,145023,-8401,961067,3312,-3790,-84131,876820,,,,-675,0.0,-45462.0,-746.0,-65767,,-94868.0,,20000,,38,50397,27234,888684,486422,1375106,1375106,,362.0,0.0,9262.0,-1010.0,-1111.0,-26115.0,90.0,100000.0,11024.0,14203.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2012年01月01日至2012年03月31日,,16331,16331,,,2310,142,-102.0,-7167,4601,-910,-12510,0,-796.0,-14432.0,,,22171,13162,-72.0,506,11,-71483,-86626,5,0,0.0,-122326,,-11939,-3831,-4841.0,-419,-415.0,89,322810,13724,-855.0,14203.0,328526,206200,191768,208099,910,-4690,-170,204149,,0.0,10836.0,0,0.0,-57684.0,-214.0,-47062,,-100609.0,-9.0,40141,0.0,2,-60475,-3101,93511,486422,579933,579933,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
