公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息-營業活動,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 其他非流動負債增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 其他營業資產（增加）減少,　　 存出保證金增加,　　　　 股利收入,　　　　　 其他應收款－關係人（增加）減少,　　 取得採用權益法之投資,　　 處分不動產、廠房及設備,　　 短期借款減少,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他流動負債增加（減少）,　　 現金增資,　　 其他金融資產減少,　　 其他非流動資產減少,　　 取得以成本衡量之金融資產,　　 其他投資活動,　　 償還長期借款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 股份基礎給付酬勞成本,　　 取得子公司股權
3596,2014年01月01日至2014年03月31日,,277228,277228,,,70470,5098,-10972,,5596,-4199,-31205,-586,46823.0,,,375907,0.0,-21858.0,-383410,-16986,10580,-30952,,-275554,-86398,-323.0,-362275,-393227,-346404,-69176,1578.0,-4114,-14455,-86167,,0.0,-87002,-5157,,,-2523,-83550,,492420.0,0.0,187.0,2684.0,495291,5648,331222,1693975,2025197,2025197,12621.0,,,,,-1000.0,840.0,,,,,4815.0,,,0.0,11292.0,,,,,,,
3596,2013年度,,812176,812176,,,257657,26180,16546,,20944,-7119,-103296,-10471,236301.0,,,531411,-352518.0,-24180.0,431316,24198,-25427,575956,,-342536,194512,,-148120,427836,664137,1476313,7070.0,-21625,-122249,1339509,,110565.0,-331848,-24275,-18600.0,-11801.0,-6999,-272926,,,285000.0,,8644.0,-218046,7609,856146,837829,1693975,1693975,14490.0,,,21370.0,,-3000.0,13032.0,-1033603.0,-1096.0,-140842.0,-12349.0,-8844.0,-96.0,676200.0,,,0.0,0.0,0.0,,,,
3596,2013年01月01日至2013年12月31日,,812176,812176,,,257657,26180,16546,,20944,-7119,-103296,-10471,236301.0,,,531411,-352518.0,-24180.0,431316,24198,-25427,575956,,-342536,194512,,-148120,427836,664137,1476313,7070.0,-21625,-122249,1339509,,110565.0,-331848,-24275,-18600.0,-11801.0,-6999,-272926,,,285000.0,,8644.0,-218046,7609,856146,837829,1693975,1693975,14490.0,,,21370.0,,-3000.0,13032.0,-1033603.0,-1096.0,-140842.0,-12349.0,-8844.0,-96.0,676200.0,,,,,,,,,
3596,2013年01月01日至2013年09月30日,,652480,652480,,,188721,19792,8599,-7256.0,13511,-5166,-81783,1442,157898.0,,,1094629,-357921.0,,525145,2982,-27976,1238483,,-977520,38630,-1602.0,-940492,297991,455889,1108369,5166.0,-14036,-111296,988203,,110565.0,-232607,-6667,-18600.0,-3889.0,-3622,-156241,,,385000.0,,5317.0,-356921,2554,477595,837829,1315424,1315424,-1332.0,0.0,,21370.0,1624.0,-3000.0,1579.0,-593627.0,-420.0,-140842.0,-12349.0,,,,,,,,,,,,
3596,2013年01月01日至2013年06月30日,,536795,536795,,,121398,13300,4458,-19027.0,9845,-3216,-47758,1429,68550.0,,,-1224732,1007611.0,-101006.0,149181,12949,-24722,-180719,,-712568,170863,-749.0,-542454,-723173,-654623,-117828,3216.0,-9348,-73125,-197085,,110565.0,-118835,-5123,,6040.0,-1970,-27923,,47109.0,339000.0,325.0,5136.0,391570,5072,171634,837829,1009463,1009463,-11879.0,0.0,-18600.0,,,,,,,,,,,,,,,,,,,,
3596,2013年01月01日至2013年03月31日,,213086,213086,,,59834,6739,563,-42709.0,4606,-580,-17433,698,11718.0,,,358730,77560.0,-23613.0,-944021,24787,-3606,-510163,,92681,-59966,-683.0,32032,-478131,-466413,-253327,580.0,-3670,0,-256417,,10196.0,-67749,-3683,-18600.0,2065.0,-731,-78502,,386416.0,39000.0,231.0,2480.0,428127,2539,95747,837829,933576,933576,,,,,,,,,,,,,,,,,,,,,,,
3596,2012年01月01日至2012年12月31日,,493544,493544,,,268181,26677,-6177,,30002,-14802,-81798,-25430,214023.0,,,-511442,663840.0,14788.0,460806,3942,-35,671786,,-290740,-194148,,-489845,181941,395964,889508,14802.0,-30757,-84249,789304,,0.0,-242560,-24977,49699.0,5157.0,-701,-178787,,,47000.0,,6691.0,-730534,-2565,-122582,960411,837829,837829,987.0,,,16383.0,,0.0,34595.0,-604372.0,369.0,-210727.0,30505.0,39887.0,-4957.0,0.0,,,,,,,,,
3596,2012年01月01日至2012年09月30日,,265236,265236,,,206926,28499,-5461,41819.0,25660,-14024,-62969,-9686,210764.0,,,-223977,603655.0,,588377,16921,-40562,1002362,,-480104,-208849,-791.0,-689744,312618,523382,788618,14024.0,-26202,-37117,739323,,0.0,-141718,-18483,49699.0,-1527.0,0,-98693,,,0.0,,6117.0,-898121,300,-257191,960411,703220,703220,0.0,16383.0,,0.0,41565.0,0.0,13336.0,-683477.0,170.0,-210727.0,-10204.0,,,,,,,,,,,,
3596,2012年01月01日至2012年06月30日,,173568,173568,,,144110,21766,-2805,13799.0,19586,-10916,-36537,1034,150037.0,,,81311,532886.0,-7481.0,936734,35557,4770,1600160,,-1082970,-174766,5756.0,-1251980,348180,498217,671785,10916.0,-19402,-16798,646501,,0.0,-97813,-21842,,-1359.0,0,-106345,,-334383.0,0.0,297.0,5564.0,-328522,-446,211188,960411,1171599,1171599,0.0,16383.0,14669.0,,,,,,,,,,,,,,,,,,,,
3596,2012年01月01日至2012年03月31日,,108565,108565,,,76661,7107,803,36328.0,11213,-6082,-19502,182,106710.0,,,371777,621512.0,40363.0,786373,-2500,2949,1820474,,-1345980,-280920,4252.0,-1622648,197826,304536,413101,6082.0,-11135,-2591,405457,,0.0,-25156,-8168,-25039.0,-694.0,0,-59057,,98763.0,0.0,193.0,4747.0,103703,850,450953,960411,1411364,1411364,,,,,,,,,,,,,,,,,,,,,,,
