公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 其他非流動負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 處分投資性不動產,　　 預付設備款增加,　　 短期借款增加,　　 償還長期借款,　　 存入保證金減少,　　　　 呆帳費用提列（轉列收入）數,　　　　 股利收入,　　 收取之股利,　　 發放現金股利,　　　　 處分投資性不動產損失（利益）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　　　 其他營業資產（增加）減少,　　 取得投資性不動產,　　　　 處分其他資產損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存入保證金增加,　　 其他非流動資產增加
1465,2014年01月01日至2014年03月31日,,48735,48735,,,14235,64,0.0,892,-4838,0,-184.0,5404.0,,,0.0,-8455,-23488,-8784,-874,31693,-25435,15,-9818,-1420,-274091,-320657,,34064,32503,7821,-21250,0.0,-19790,-4331,-5196.0,23821,-296836,-291432,-242697,4563,-498,-1869,-240501,,0.0,-110000,127612,-1583,0,0.0,0.0,21956.0,0.0,52012,,,0.0,-29.0,-2361,-62134,4472,-246151,365356,119205,119205,,16443.0,-2416.0,,-59744.0,,,,0.0,,-4765.0,,,-240501.0,,,,,,,,,
1465,2013年度,,158617,158617,,,61119,2024,,9792,-19258,-286,,51264.0,,,26358.0,6424,-23771,-25382,94619,76912,38329,185,20905,491,-12659,202411,,-126398,-1466,-5802,420,-6991.0,20823,4379,-20300.0,-135335,67076,118340,276957,18649,-9430,-9382,278894,,,-1016646,1155121,-5580,291,131.0,-524.0,-2615.0,225.0,128930,,,194496.0,-2256.0,10217,-192944,7934,222814,142542,365356,365356,-160.0,0.0,-1313.0,,-308932.0,-130.0,1940.0,-2100.0,2100.0,-86339.0,0.0,,,278894.0,,,-1967.0,,,,,,
1465,2013年01月01日至2013年12月31日,,158617,158617,,,61119,2024,0.0,9792,-19258,-286,-1967.0,51264.0,,,26358.0,6424,-23771,-25382,94619,76912,38329,185,20905,491,-12667,202403,,-126398,15258,-22526,420,-6991.0,20823,4379,-20300.0,-135335,67068,118332,276949,18649,-9430,-9382,278886,,,-1016646,1155121,-5580,291,1.0,-524.0,-2607.0,226.0,128969,,0.0,194496.0,-2256.0,10217,-192944,7903,222814,142542,365356,365356,0.0,,-1313.0,,-308932.0,-130.0,1940.0,-2100.0,2100.0,-86339.0,,,,,,,,,,,,,
1465,2013年01月01日至2013年09月30日,,107659,107659,,,46978,1521,0.0,8605,-15038,-286,-2216.0,39403.0,,,26712.0,-2450,-53364,8836,79799,86737,6249,-254,12564,-4733,-11697,148399,,-90936,-6505,-64,-6458,-6991.0,-5204,107,-16628.0,-132679,15720,55123,162782,15038,-7853,-3745,168322,,,-692000,907488,-4088,291,1.0,-407.0,,,211285,,0.0,126266.0,-2241.0,529,-113604,2287,268290,142542,410832,410832,0.0,,0.0,,-151689.0,-130.0,1939.0,-2100.0,2100.0,-86339.0,,,,,,,,,,,,,
1465,2013年01月01日至2013年06月30日,,67433,67433,,,31661,1016,0.0,6087,-9882,-130,-521.0,28231.0,,,8604.0,-1394,-13152,-5924,62476,-59886,-23729,-1566,-10029,577,-11542,-55565,,13336,18140,10040,-17588,-6991.0,2815,79,-7481.0,12350,-43215,-14984,52449,9882,-5586,-2746,53999,,18108.0,-527000,557242,-3291,132,1.0,-407.0,-2809.0,5238.0,47317,,,67583.0,-800.0,6539,73192,3225,177733,142542,320275,320275,0.0,103.0,0.0,0.0,0.0,-130.0,,,,,,,,,,,,,,,,,
1465,2013年01月01日至2013年03月31日,,15225,15225,,,15759,508,-72.0,2990,-4470,-129,-313.0,14273.0,,,8784.0,-259,32994,-1477,61370,-12042,-23075,-1356,-3282,-166,-11041,50450,,-84276,-19240,-10569,-17384,-6991.0,832,-24,553.0,-137099,-86649,-72376,-57151,4470,-2725,-824,-56230,,-72.0,-204000,264321,-2144,130,1.0,-268.0,-1884.0,5247.0,61331,,0.0,66839.0,371.0,15694,82904,1268,89273,142542,231815,231815,,,,,,,,,,,,,,,,,,,,,,,
1465,2012年01月01日至2012年12月31日,,120691,120691,,,69652,1967,-1890.0,15074,-10660,-1339,-4931.0,67873.0,,,71417.0,2435,87030,53195,-89866,-134736,134505,-3654,-11430,331,-70879,38348,,29991,-46042,9482,-19579,6991.0,-6270,9,2558.0,-22860,15488,83361,204052,10660,-15486,-42739,156487,,,-915000,905225,-28199,1667,0.0,-114.0,3570.0,238.0,-35634,,-60585.0,346434.0,-2508.0,-51356,-156808,-8358,-44313,186855,142542,142542,-2.0,,-3019.0,,-293820.0,0.0,0.0,0.0,0.0,-94973.0,,,,,,,,,,,,,
1465,2012年01月01日至2012年09月30日,,88580,88580,,,52603,1482,-1746.0,19565,-14130,-1298,-4693.0,51783.0,,,80112.0,-2763,73638,62718,-5965,-77110,99645,-6746,9631,-497,-3579,229084,,-15824,-57042,6827,-56489,0.0,-12655,256,1228.0,-133699,95385,147168,235748,14130,-18828,-32625,198425,,,-670000,745866,-10310,29317,0.0,-114.0,,,83915,,-60585.0,142413.0,-1083.0,-33946,-136276,-31271,114793,186855,301648,301648,-2.0,,-10842.0,,-88102.0,0.0,0.0,0.0,0.0,-94973.0,,,,,,,,,,,,,
1465,2012年01月01日至2012年06月30日,,66286,66286,,,35418,996,-672.0,8964,-4344,-1063,-3891.0,35408.0,,,-13343.0,-5719,69506,35062,-57219,-38633,9313,-1930,-10997,-866,-3639,-18465,,44309,-56710,10411,-30435,0.0,163,325,622.0,-31315,-49780,-14372,51914,4344,-7770,-28706,19782,,93455.0,-500000,444977,-7605,720,0.0,-114.0,589.0,2473.0,25453,,,0.0,-4793.0,-29640,-68679,-4514,-27958,186855,158897,158897,-2.0,103.0,-9143.0,58326.0,-92572.0,0.0,,,,,,,,,,,,,,,,,
1465,2012年01月01日至2012年03月31日,,26402,26402,,,18700,500,-1242.0,4933,-1865,0,-3148.0,17878.0,,,2875.0,-7996,77681,26875,-76595,-63391,-8066,-1313,5460,262,-3573,-47781,,69427,-9128,-3364,-20393,0.0,-4156,4,607.0,32997,-14784,3094,29496,1865,-1696,-9284,20381,,77237.0,-320000,159889,-6195,0,-2.0,0.0,2264.0,538.0,-86269,,57326.0,-4890.0,44.0,-13938,38542,-8445,-35791,186855,151064,151064,,,,,,,,,,,,,,,,,,,,,,,
