公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 員工執行認股權,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 非金融資產減損損失,　　 收取之股利,　　 存入保證金增加,　　　　 非金融資產減損迴轉利益,　　 取得採用權益法之投資,　　 其他非流動資產增加,　　 應付短期票券增加,　　 發放現金股利,　　 取得子公司股權,　　　　　 遞延貸項增加（減少）,　　 庫藏股票買回成本,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 其他金融資產增加,　　 員工購買庫藏股,　　 其他金融資產減少,　　 其他預付款項減少,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 持有供交易之金融資產（增加）減少
1313,2014年01月01日至2014年03月31日,,-223211,-223211,,,334691,31388,1499,111915,-80499,0.0,2340,352,0.0,,463980.0,,,51433,-824623,-6260,-6714,-852687,-220640,-1859491,,-131935,96423,-62986,24741,743,2134.0,-70880,-1930371,-1466391,-1689602,78642,-31553,-1642513,,-24922.0,0.0,-6432.0,703970.0,-190.0,,,-214375,767,-76,,-1581,-4913.0,371247,,7951879,-7224835,,1650000,-600000,0,10970,-100684,1580080,633338,942152,14166276,15108428,15108428,,62294.0,,,,,-81001.0,,,-107250.0,,,,,,,,,,,,,,,
1313,2013年度,,653641,653641,,,1155898,113273,1874,380842,-280775,893.0,8230,7012,-217465.0,,982209.0,,,-240534,-536742,-8260,-8519,2205271,151371,1562587,,96537,-282025,7348,60590,-4675,7422.0,-114803,1447784,2429993,3083634,281062,-52513,3312183,,-250077.0,646122.0,-4989517.0,8034093.0,-31701.0,234.0,101987.0,-1491032,165,-74713,157166.0,-1235,-478810.0,1642177,,31582262,-31443460,0.0,6384317,-5556733,-8,49112,-373102,-256869,375534,5073025,9093251,14166276,14166276,-139859.0,0.0,139859.0,5.0,-47714.0,,-120364.0,,-899262.0,0.0,0.0,0.0,,,,,,,,,,,,,
1313,2013年01月01日至2013年12月31日,,653641,653641,,,1155898,113273,1874,380842,-280775,893.0,8230,7012,-217465.0,0.0,982209.0,,,-240534,-536742,-8260,-8519,2205271,151371,1562587,,96537,-282025,7348,60590,-4675,7422.0,-114803,1447784,2429993,3083634,281062,-52513,3312183,,-250077.0,646122.0,-4989517.0,8034093.0,-31701.0,234.0,101987.0,-1491032,165,-74713,157166.0,-1235,-478810.0,1642177,,31582262,-31443460,0.0,6384317,-5556733,-8,49112,-373102,-256869,375534,5073025,9093251,14166276,14166276,-139859.0,,139859.0,5.0,-47714.0,0.0,-120364.0,,-899262.0,,,,,,,,,,,,,,,,
1313,2013年01月01日至2013年09月30日,,476213,476213,,,853243,84958,1323,281214,-204570,893.0,6174,1855,-217435.0,0.0,643708.0,,,-104747,-379198,-17999,-5925,1796722,234135,1522988,,60081,-853343,-236641,43196,46580,5579.0,-934548,588440,1232148,1708361,202424,-106768,1804017,,-57000.0,617836.0,-3995457.0,6919255.0,-6701.0,234.0,101987.0,-1072575,31,-72093,156765.0,-577,-478810.0,2132390,,22711322,-21933203,-349692.0,3900000,-3250000,-8,36337,-271725,543356,100178,4579941,9093251,13673192,13673192,-139859.0,,139859.0,5.0,-24088.0,0.0,-120364.0,599582.0,-899262.0,,,,,,,,,,,,,,,,
1313,2013年01月01日至2013年06月30日,,136248,136248,,,554801,46463,426,181838,-125656,893.0,7773,1556,-175359.0,0.0,556784.0,,,-174541,-562336,-34089,289,986736,206950,423009,,21753,-810018,-42738,33646,-91409,-279.0,-889045,-466036,90748,226996,126276,-67027,286245,,-27000.0,366671.0,-3897637.0,5358586.0,-4108.0,40.0,94004.0,-697715,0,-70071,87382.0,-577,0.0,1211052,,15633374,-13336774,0.0,1300000,-1500000,-8,27076,-174222,1949449,289995,3736741,9093251,12829992,12829992,-1477.0,65526.0,1477.0,3.0,,,,,,,,,,,,,,,,,,,,,
1313,2013年01月01日至2013年03月31日,,184021,184021,,,279712,26645,-884,89072,-61469,548.0,3171,1138,-146611.0,0.0,191322.0,,,-43166,61778,-48384,499,-1017806,-85439,-1132518,,94247,-231769,-101094,17254,-51363,-2145.0,-274870,-1407388,-1216066,-1032045,64840,-17451,-984656,,-27000.0,300588.0,-1835494.0,3194468.0,0.0,0.0,0.0,-315223,0,-2164,0.0,-385,0.0,1314790,,9187698,-7788251,0.0,2029248,-2179248,-3,15510,-84923,1180031,241694,1751859,9093251,10845110,10845110,,,,,,,,,,,,,,,,,,,,,,,,,
1313,2012年01月01日至2012年12月31日,,1547423,1547423,,,1068754,113515,-35562,365820,-326595,8080.0,-2449,1810,-96277.0,26000.0,900118.0,,,-98514,-115431,-6805,-427,-1547304,62236,-1706245,,141317,207591,-17211,38829,20772,33461.0,424759,-1281486,-381368,1166055,317653,-324368,1159340,,-12033.0,189871.0,-13278720.0,12255781.0,-14364.0,4755.0,11725.0,-1105292,468,-124786,45555.0,-2221,-303617.0,-2387099,,33511715,-32270968,-949238.0,5619877,-3530003,-28903,141678,-364885,1605917,201004,579162,8514089,9093251,9093251,-150736.0,,150736.0,8401.0,-72242.0,-183064.0,-21893.0,,-531757.0,,,,,,,,,,,,,,,,
1313,2012年01月01日至2012年09月30日,,1374569,1374569,,,756505,70652,-22023,279624,-264917,7653.0,-3798,1777,-98696.0,26000.0,483784.0,,,-141978,-175051,-50624,-507,578414,-47543,162711,,197876,-999409,39169,23069,-26557,5642.0,-760210,-597499,-113715,1260854,248355,-267564,1241645,,-12033.0,188989.0,-10951630.0,9657948.0,-11987.0,4386.0,11725.0,-1017274,429,-124786,17633.0,-150,-303617.0,-2487864,,21476646,-18835480,-2798414.0,4825291,-2785302,-28902,119236,-271485,3027410,-310429,1470762,8514089,9984851,9984851,-149093.0,,149093.0,8401.0,-119900.0,-74800.0,-21790.0,1849176.0,-531757.0,,,,,,,,,,,,,,,,
1313,2012年01月01日至2012年06月30日,,567168,567168,,,504753,46510,-24377,185149,-173110,6081.0,-2719,583,-43510.0,26000.0,572268.0,,,-157898,182958,-13811,-1375,-369310,213685,-145751,,18708,-915169,-52551,17065,-2974,3775.0,-931146,-1076897,-504629,62539,145118,-237151,-29494,,-11482.0,78814.0,-7933114.0,5533394.0,-7643.0,4386.0,11725.0,-484984,230,-38836,6829.0,-150,-309613.0,-3146014,,14309625,-11545305,-909295.0,4140804,-1884776,-21192,106806,-175924,4029144,42445,896081,8514089,9410170,9410170,-4430.0,51338.0,4430.0,8401.0,,,,,,,,,,,,,,,,,,,,,
1313,2012年01月01日至2012年03月31日,,546538,546538,,,252927,23134,2541,91433,-70683,3466.0,136,36,-42564.0,26000.0,286426.0,,,-158077,-380904,-28795,-1820,-143426,270480,-442542,,-9417,-731324,-80456,9823,-64169,1969.0,-873574,-1316116,-1029690,-483152,61801,-49403,-470754,,-4032.0,52608.0,-3739181.0,2067049.0,-5201.0,1406.0,11725.0,-243142,147,0,6829.0,-150,-390103.0,-2242045,,6691306,-4860441,-599428.0,2450000,-400000,-21192,78334,-83366,3255213,-234671,307743,8514089,8821832,8821832,,,,,,,,,,,,,,,,,,,,,,,,,
