公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得按攤銷後成本衡量之金融資產,　　 按攤銷後成本衡量之金融資產到期還本,　　 處分無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 其他投資活動,　　　　 股利收入,　　　　 非金融資產減損損失,　　 收取之股利,　　　　 股份基礎給付酬勞成本,　　　　 處分無形資產損失（利益）,　　　　 金融資產減損損失,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　　 應付帳款增加（減少）,　　 取得備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得投資性不動產,　　 存入保證金減少,　　 其他非流動負債減少,　　 處分投資性不動產,　　　　 處分其他資產損失（利益）,　　 取得採用權益法之投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分無活絡市場之債務工具投資,　　 發行公司債,　　 償還公司債,　　　　　 生物資產（增加）減少,　　 取得無活絡市場之債務工具投資,　　 存出保證金增加,　　 短期借款減少
1304,2014年01月01日至2014年03月31日,,253299,-7838,245461,,,379736,11091,-374,91408,63637,-37506,,6651,-57686,0.0,7942,540672.0,,,-162187,50068,-28751,26779.0,-71615,0.0,-1218586,-342897,-45881,-1793070,,14484,-234406,34.0,-14951,77966,-26801.0,-1179628,-2972698,-2432026,-2186565,41318,-67627,-6779,-2219653,,,,1410036.0,0,14,,,-790314,4133,18657,-16200,324182.0,,404003,,1578469.0,449383.0,,944555,-62863,-2593.0,233.0,-160.0,,4549,7006.0,2918579,124406,1227335,8679752,9907087,9907087,91014.0,-423019.0,,,75773.0,,0.0,,,,-995954.0,,-214500.0,,,,,,,,,,,,,,,,
1304,2013年度,,2105006,-17515,2087491,,,1500872,33612,856,-396755,221283,-174687,0.0,996,-55545,,16973,1026214.0,,,423702,-168091,-933667,-17575.0,46289,123.0,-1113250,-394651,209125,-1947995,,35721,142511,71.0,-18377,-133825,-2424.0,1305817,-642178,384036,2471527,165217,-215317,-266846,2154581,,,,,0,170238,97643.0,,-2132943,19943,12018,-127090,-99665.0,,-3453989,,1340626.0,216237.0,,4313917,-4793672,6720.0,1211.0,-1142602.0,,-468916,0.0,-526479,-103959,-1929846,10609598,8679752,8679752,291846.0,-1898085.0,,-253776.0,26903.0,254888.0,1824.0,806.0,87997.0,-2827.0,1282140.0,-13082.0,-29540.0,-160.0,,,0.0,17682.0,0.0,,,,,,,,,,
1304,2013年01月01日至2013年12月31日,,2105006,-17515,2087491,,,1500872,39058,856,-396755,221283,-174687,0.0,996,43223,,16973,1112746.0,,,324934,-168287,-933471,-17575.0,38122,123.0,-1113250,-394651,209125,-2054930,,35721,142511,71.0,-18377,-133825,-2424.0,1305817,-749113,363633,2451124,165217,-215317,-266846,2134178,,,,621192.0,0,170238,97643.0,,-2132943,19943,12018,-127090,-99665.0,0.0,-3453989,,1340626.0,,216237.0,4313917,-4793672,6720.0,1211.0,-1142602.0,0.0,-468916,8167.0,-518312,-91723,-1929846,10609598,8679752,8679752,291846.0,-2519277.0,0.0,-253776.0,26903.0,254888.0,1824.0,806.0,87997.0,-2827.0,1282140.0,-13082.0,-29540.0,-160.0,,,,,,,,,,,,,,,
1304,2013年01月01日至2013年09月30日,,1652923,-14020,1638903,,,1125833,18856,3011,-234688,152510,-130588,0.0,3849,-33007,0.0,27127,763023.0,,,-44466,-7179,-1021013,6907.0,154428,-6.0,-30564,-554545,88409,-1408029,,487557,192154,-12.0,-18516,-45573,-63147.0,552463,-855566,-92543,1546360,107670,-158949,-250630,1244451,,,,,-3116,170238,97124.0,,-1488351,11206,31641,-112295,-79999.0,0.0,-2773997,,982683.0,,-107741.0,3750000,-3505191,6754.0,1140.0,-1129493.0,0.0,-468199,8167.0,-461880,15389,-1976037,10609598,8633561,8633561,263279.0,-1768162.0,0.0,-208227.0,38347.0,104438.0,,,,,,,,,,,,,,,,,,,,,,,
1304,2013年01月01日至2013年06月30日,,1235899,-8297,1227602,,,750254,19651,734,-253327,104097,-93206,0.0,977,49557,-15868.0,9430,572299.0,,,-659335,299509,-687304,-3588.0,-39175,-6.0,-890922,-494012,249281,-2225552,,115322,89826,-94.0,-13748,-110540,-40284.0,40482,-2185070,-1612771,-385169,81509,-115091,-133268,-552019,,,,,-3116,0,1666.0,,-913020,8154,21253,-95215,-22461.0,,-2560151,,975183.0,,-230560.0,2950000,-2702424,2200.0,2469.0,353988.0,0.0,-465584,7392.0,892664,18579,-2200927,10609598,8408671,8408671,251442.0,-1808854.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2013年01月01日至2013年03月31日,,704100,-5709,698391,,,373141,9879,940,-214851,51324,-37414,0.0,-1284,-16423,-12745.0,4088,156655.0,,,581822,116593,20002,15559.0,57501,-6.0,-1645692,-400277,50949,-1203549,,-65172,50427,-90.0,-10167,-19903,-31656.0,-76561,-1280110,-1123455,-425064,0,-58090,17047,-466107,,167577.0,-1179025.0,32250.0,-3116,0,0.0,0.0,-519820,2335,14301,-610,-7761.0,0.0,-1493869,,1271411.0,134360.0,0.0,200000,-496267,437.0,1749.0,0.0,0.0,702,7392.0,1119784,11915,-828277,10609598,9781321,9781321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2012年01月01日至2012年12月31日,,3373860,-28713,3345147,,,1552740,34643,42353,-238519,246814,-182176,22.0,2596,-170306,,18314,500410.0,,,1680120,-279315,689837,251.0,23755,-123.0,806960,89768,-46873,2964380,,-4363,-175653,-6616.0,-26232,-155858,10139.0,-70931,2893449,3393859,6739006,156936,-248884,-929588,5717470,,,,0.0,-17706,269,70765.0,,-2087482,40699,844,-72959,0.0,140641.0,-567277,,-645634.0,,-1041931.0,3520312,-4049812,-699.0,-6112.0,-993567.0,-2248.0,-293407,6282.0,-3506816,-213209,1430168,9179430,10609598,10609598,155485.0,379160.0,5546.0,-829898.0,-109358.0,829898.0,16987.0,0.0,118806.0,-2608.0,287652.0,-12437.0,0.0,0.0,,,,,,,,,,,,,,,
1304,2012年01月01日至2012年09月30日,,3265084,-27656,3237428,,,1209316,16264,25497,-239672,186297,-137014,22.0,-723,-141156,-159555.0,21681,-49868.0,,,1357678,-59962,-232907,2321.0,642397,-123.0,781760,-452869,273194,2311489,,21179,-139866,-6343.0,-18590,25477,-22666.0,-140809,2170680,2120812,5358240,121728,-175839,-913924,4390205,,,,,-17706,5684,70765.0,,-1437444,25541,12405,-82804,0.0,416892.0,-842954,,145514.0,,-601997.0,2570533,-2879564,3690.0,-3837.0,-993601.0,-2248.0,-278135,6282.0,-2033363,-414628,1099260,9179430,10278690,10278690,136940.0,-81301.0,5546.0,-830825.0,0.0,102528.0,,,,,,,,,,,,,,,,,,,,,,,
1304,2012年01月01日至2012年06月30日,,2430805,-19737,2411068,,,815022,37111,-568,-176630,125868,-94236,22.0,-2098,-26609,-61410.0,11387,627859.0,,,725459,-5052,-220935,58335.0,31688,-123.0,116114,-479935,116656,342207,,445592,-141986,-6071.0,-19902,-170020,-26326.0,81287,423494,1051353,3462421,80727,-121734,-680323,2741091,,,,,-17706,254,67425.0,,-957435,18428,12237,-26837,-8933.0,,-881432,,166660.0,,-987927.0,2070442,-1951509,4986.0,-1519.0,266929.0,-2248.0,-277015,6282.0,-704919,208784,1363524,9179430,10542954,10542954,13398.0,12191.0,5546.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2012年01月01日至2012年03月31日,,1256466,-11921,1244545,,,400333,18352,-3089,-203311,61806,-37400,22.0,3802,-16047,-194855.0,5816,35429.0,,,518304,80822,-197327,73392.0,101520,0.0,-758425,-20087,-571625,-773426,,685850,-185256,-5352.0,-13513,-48492,22832.0,456069,-317357,-281928,962617,26819,-258346,-18765,712325,,13398.0,223584.0,0.0,-17706,254,5950.0,-53938.0,-493119,6258,10745,-26882,0.0,-3296.0,-334752,,683457.0,0.0,-1041350.0,3720194,-2997875,0.0,8715.0,-56.0,-2348.0,5545,6282.0,382564,133723,893860,9179430,10073290,10073290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
