公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 取得無形資產,　　 舉借長期借款,　　 收取之股利,　　 現金增資,　　 其他籌資活動,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　　　 非金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 存出保證金減少,　　 其他金融資產減少,　　　　　 預收款項增加（減少）,　　 預收款項增加－處分資產,　　　　 處分其他資產損失（利益）,　　 其他預付款項減少,　　 對子公司之收購（扣除所取得之現金）,　　 其他投資活動,　　 其他應收款減少,　　 非控制權益變動,　　　　　 應付票據－關係人增加（減少）,　　 收取之利息-營業活動
1225,2014年01月01日至2014年03月31日,,47982,47982,,,30819,1565,0,14939,-542,-4003,129,282,43189.0,,,35823,31052,14885,-20425,-1721,,-367783,19835,-935,-289269,,-24945,11559,938,16452,-3671,-3502,-271.0,-3440,-292709,-249520,-201538,570,-13871,-42,-214881,,-13398,14,3806.0,8392.0,9738,8552,,284451,0.0,-111538,52371,226084,362,20117,258376,278493,278493,,,800.0,,,,,,,,43189.0,-271.0,,,,,,,,,,,,
1225,2013年度,,97969,97969,,,123789,6707,15927,59849,-2113,-17404,-27,152,186880.0,,,126686,28564,126367,18174,4326,,457676,-38954,-5710,717129,,8474,-105398,-4943,-1211,3732,5530,-809.0,-94625,622504,809384,907353,2102,-54184,-10620,844651,,-36216,3943,17591.0,-9644.0,-131878,-136204,,216822,-410000.0,-673323,0,-571463,464,137448,120928,258376,258376,,,370000.0,20000.0,-37481.0,-37481.0,,,0.0,,,,,,,,,,,,,,,
1225,2013年01月01日至2013年12月31日,,97969,97969,,,123789,6707,15927,59849,-2113,-17404,-27,152,186880.0,,,126686,28564,126367,18174,4326,,457676,-38954,-5710,717129,,8474,-105398,-4943,-1211,3732,5530,-809.0,-94625,622504,809384,907353,2102,-54184,-10620,844651,,-36216,3943,17591.0,-9644.0,-131878,-136204,,216822,-410000.0,-673323,0,-571463,464,137448,120928,258376,258376,0.0,0.0,370000.0,20000.0,-37481.0,-37481.0,0.0,0.0,,,,,,,,,,,,,,,,
1225,2013年01月01日至2013年09月30日,,55523,55523,,,92852,5162,1507,44910,-1365,-10400,-20,148,132794.0,,,73870,-3865,140575,7774,907,,174473,-38932,-4741,350061,,-13548,-67190,-1718,5205,6838,4874,-633.0,-66172,283889,416683,472206,1338,-40765,-10561,422218,,-27749,3891,10885.0,-11899.0,-1630,-6502,,135283,10000.0,-563077,29809,-292947,345,123114,120928,244042,244042,0.0,0.0,170000.0,20000.0,-37481.0,-37481.0,,,,,,,,,,,,,,,,,,
1225,2013年01月01日至2013年06月30日,,55491,55491,,,61864,3547,-244,30411,-926,-5302,16,180,89546.0,,,70285,-10351,-116615,49086,-229,2.0,-117045,10950,-4658,-118575,,-19077,199416,-7602,-9331,-8423,5578,-457.0,160104,41529,131075,186566,923,-25954,-4732,156803,,-23143,3710,-2961.0,-16242.0,3911,-34725,,293208,10000.0,-471538,40088,-58242,628,64464,120928,185392,185392,0.0,0.0,70000.0,,,,,,,,,,,,,,,,,,,,,
1225,2013年01月01日至2013年03月31日,,30421,30421,,,30827,1871,-3125,15438,-384,-508,-24,413,44508.0,,,61093,12085,87125,61584,8469,-3.0,-20442,-14255,-4730,190926,,-18203,-33423,-4733,-9072,-6657,15151,-213.0,-57150,133776,178284,208705,366,-13690,-23,195358,,-6602,26,-7133.0,-433.0,-1958,-16100,,43127,-120000.0,-69816,27261,-119428,537,60367,120928,181295,181295,,,,,,,,,,,,,,,,,,,,,,,,
1225,2012年01月01日至2012年12月31日,,54189,54189,,,130583,9628,310,64931,-1781,-22251,-249,-163,180007.0,,,-3478,67781,7276,-62009,3580,,-193318,-20974,485,-200657,,-4442,-91720,4217,-24185,8778,-11878,178.0,-119052,-319709,-139702,-85513,1771,-57879,-15765,-157386,,-43527,790,-13480.0,-30427.0,-6512,-65090,,75928,460000.0,-388490,-961,201907,-1040,-21609,142537,120928,120928,-1405.0,-207.0,110000.0,19000.0,-54570.0,0.0,404.0,9273.0,,,,,,,,,,,,,,,,
1225,2012年01月01日至2012年09月30日,,115062,115062,,,99756,7472,695,47952,-1294,-16177,-194,137,137435.0,,,-3765,69346,2385,-45073,-4631,,-187154,17591,71,-151230,,-23561,-117366,798,-24697,0,-499,84.0,-165241,-316471,-179036,-63974,1306,-40820,-14416,-117904,,-37085,735,-7610.0,-29077.0,2301,-51926,,37820,310000.0,-205482,47797,135565,-2457,-36722,142537,105815,105815,-912.0,-190.0,0.0,19000.0,-54570.0,0.0,,,,,,,,,,,,,,,,,,
1225,2012年01月01日至2012年06月30日,,1216,1216,,,66243,5107,-518,32059,-906,-6675,78,343,94819.0,,,52860,72698,51724,-11595,14644,-1.0,-223015,24986,-7115,-24814,,-21967,-100189,-2289,-31023,0,5329,3.0,-150136,-174950,-80131,-78915,928,-28447,-7177,-113611,,-28069,426,3382.0,-41755.0,1198,-64888,,46385,200000.0,-106359,35667,175693,-1079,-3885,142537,138652,138652,-912.0,-70.0,0.0,,,,,,,,,,,,,,,,,,,,,
1225,2012年01月01日至2012年03月31日,,-18081,-18081,,,33062,2583,-424,15824,-349,-3284,152,395,47959.0,,,83882,71051,-14783,-23044,13753,-4.0,-285893,2726,-2533,-154845,,-19974,-22112,1013,-18143,0,561,-45.0,-58700,-213545,-165586,-183667,331,-13930,-19,-197285,,-4632,103,-1723.0,-44617.0,-5019,-55888,,220294,60000.0,-105807,27710,202197,-1872,-52848,142537,89689,89689,,,,,,,,,,,,,,,,,,,,,,,,
