公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 取得投資性不動產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 收取之股利,　　 存出保證金增加,　　 其他非流動資產減少,　　　　 股利收入,　　 取得以成本衡量之金融資產,　　 舉借長期借款,　　 償還長期借款,　　　　 非金融資產減損迴轉利益,　　 預付設備款減少,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　　　 處分待出售非流動資產損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加,　　　　　 其他營業資產（增加）減少
1321,2014年01月01日至2014年03月31日,,1446,1446,,,36886,345,555,5992,-270,-15396,,28101.0,,,-593,-2133,174753,-15321,-132558,-1850,987,23285,,0.0,1200,-123018,-56202,-166,217,5485,-13824.0,-186308,-163023,-134922,-133476,270,-5549,1,-138754,,0.0,6585.0,-226534,0,-1000.0,-220965,,250000.0,,0.0,230000,-2131,-131850,321053,189203,189203,,,-11.0,,,-16.0,,,,,-20000.0,,,,,,,,,,
1321,2013年度,,40011,40011,,,147447,1377,-5747,17142,-1227,-38847,0.0,123187.0,,,-138,8575,-87873,-4351,16362,-15121,-24160,-106706,,-1333.0,-1679,105991,43851,-236,-401,-8448,-19255.0,118490,11784,134971,174982,1227,-17527,10,219773,,0.0,4096.0,-217759,-16260,0.0,-214831,,-100000.0,0.0,,80000,27136,112078,208975,321053,321053,9461.0,-10060.0,-411.0,8003.0,61081.0,-1935.0,16678.0,-3951.0,,200000.0,-20000.0,,349.0,0.0,,0.0,,,,,
1321,2013年01月01日至2013年12月31日,,40011,40011,,,147447,1377,-5747,17142,-1227,-38847,,123187.0,,,-138,8575,-87873,-4351,16362,-15121,-24160,-106706,,-1333.0,-1679,105991,43851,-236,-401,-8448,-19255.0,118490,11784,134971,174982,1227,-17527,10,219773,,0.0,4096.0,-217759,-16260,0.0,-214831,,-100000.0,,,80000,27136,112078,208975,321053,321053,9461.0,-10060.0,-411.0,8003.0,61081.0,-1935.0,16678.0,-3951.0,0.0,200000.0,-20000.0,0.0,349.0,,,,,,,,
1321,2013年01月01日至2013年09月30日,,40792,40792,,,111016,1041,-1642,13235,-862,-36303,,74805.0,,,81,6365,-21448,-11677,-75331,-21982,-16096,-140088,,550.0,-3831,-9712,18847,-117,672,-619,-12815.0,-7025,-147113,-72308,-31516,862,-13433,16,17010,,0.0,2023.0,-48383,-16260,-602.0,-48723,,,0.0,,-20000,18501,-33212,208975,175763,175763,2726.0,-10044.0,-411.0,0.0,61081.0,-1901.0,16400.0,-3951.0,0.0,0.0,-20000.0,,,,,,,,,,
1321,2013年01月01日至2013年06月30日,,8837,8837,,,74879,702,-1801,9751,-596,-29050,4240.0,50469.0,,,18,-2328,-74084,-3885,-46967,-16114,-24280,-167640,,3533.0,-2041,148944,29047,4240,448,-3212,-10642.0,170317,2677,53146,61983,596,-10136,16,109589,,,6306.0,-34661,-16260,-1471.0,-31443,,0.0,,,0,28642,106788,208975,315763,315763,2726.0,-9990.0,-392.0,0.0,57130.0,-1923.0,16566.0,,,,,,,,,,,,,,
1321,2013年01月01日至2013年03月31日,,1384,1384,,,37748,366,-45,4348,-265,-11184,1650.0,32618.0,,,-388,10712,71679,-6849,-165067,-36463,-13314,-139690,,2403.0,-1174,68441,6554,2562,224,5722,-6290.0,78442,-61248,-28630,-27246,265,-4516,1,-31496,,-3240.0,0.0,-14088,-16260,-707.0,-34295,,1200000.0,-1150000.0,43.0,50043,18348,2600,208975,211575,211575,,,,,,,,,,,,,,,,,,,,,
1321,2012年01月01日至2012年12月31日,,-115374,-115374,,,150834,1443,-9070,13124,-2084,-40455,,109784.0,,,58,-4574,3512,-5590,38295,17583,12895,62179,,1333.0,3461,-27202,-36549,250,-2575,6761,-28270.0,-82791,-20612,89172,-26202,2084,-13092,21633,-3181,,-1648.0,0.0,-156876,-9807,-349.0,-214854,,-51893.0,,,198107,-20124,-40052,249027,208975,208975,0.0,0.0,0.0,705.0,12396.0,0.0,0.0,-3696.0,-46174.0,250000.0,0.0,-1017.0,0.0,,,,,,,,
1321,2012年01月01日至2012年09月30日,,-79591,-79591,,,115440,1083,-3227,9015,-1354,-37529,,80437.0,,,404,-8795,29715,-4012,-37480,-15293,4786,-30675,,670.0,3578,161783,-8209,340,1137,-2604,-24943.0,131752,101077,181514,101923,1354,-9211,21674,128136,,-1719.0,0.0,-126274,-9807,-7659.0,-149363,,,-175000.0,,25000,-24184,-20411,249027,228616,228616,0.0,0.0,0.0,705.0,12396.0,-1862.0,0.0,-3696.0,-2042.0,200000.0,0.0,,,,,,,,,,
1321,2012年01月01日至2012年06月30日,,-67419,-67419,,,77769,724,-1346,8731,-1659,-21616,1551.0,64859.0,,,-281,-7479,105273,-1025,-2055,-8215,3133,89351,,525.0,9203,3903,-10817,2074,758,3614,-27261.0,-18001,71350,136209,68790,1659,-8874,1039,62614,,,-1720.0,-109771,-6238,-3350.0,-122957,,124948.0,,,124948,-19248,45357,249027,294384,294384,0.0,0.0,0.0,705.0,0.0,-1878.0,0.0,,,,,,,,,,,,,,
1321,2012年01月01日至2012年03月31日,,-609,-609,,,40110,363,300,3038,-349,-9617,429.0,34274.0,,,217,17526,17917,-4018,734,-1406,10282,41252,,0.0,606,68284,-26750,-1850,379,1999,-21354.0,21314,62566,96840,96231,349,-3034,1060,94606,,0.0,5000.0,-52344,-6238,-885.0,-54467,,1680000.0,-1680000.0,0.0,0,-16387,23752,249027,272779,272779,,,,,,,,,,,,,,,,,,,,,
