公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 金融資產重分類淨損失（利益）,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得避險之衍生金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股份基礎給付酬勞成本,　　　　 處分其他資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 股利收入,　　　　 金融資產減損迴轉利益,　　 收取之股利,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付設備款增加,　　 預付設備款減少,　　 應付短期票券減少,　　 償還公司債,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 發行公司債,　　 現金增資,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　　　　 其他營業負債增加（減少）,　　 發放現金股利,　　 其他籌資活動,　　 對子公司之收購（扣除所取得之現金）,　　 處分無活絡市場之債務工具投資
2426,2014年01月01日至2014年03月31日,,85842,85842,,,70218,2802,-10986,9012,,-220,,4835,6049.0,0.0,0.0,0.0,-10372,-3435,152,62482.0,,,5468,37641,7211,-40199,18045,-16172,11994,,-17901,-15826,4134,274,14375,101.0,-14843,-2849,59633,145475,-8960,-140,136375,,,0.0,-67057.0,,,,-11693,0,-1916.0,,-3657,142,-76269,,352976,-415328.0,0.0,10166.0,-7473,1194.0,0.0,-58465,6264,7905,565707,573612,573612,,,,,,,,,,,,-5244.0,,,-4423.0,,,,-329.0,12335.0,,,,,,,,,,,,
2426,2013年度,,-1014498,-1014498,,,403479,9004,50437,43285,,-3783,,8693,-9283.0,135817.0,302900.0,466556.0,-20760,-272,603,1080551.0,,,63543,-493987,-179476,438233,5314,2111,-164262,,52218,418670,21626,93,100394,-498.0,592503,428241,1508792,494294,-43391,-15463,435440,,,185061.0,-14252.0,,,1496.0,-110901,65377,-9179.0,,-5324,3683,114756,,2263519,-2245756.0,,61140.0,-360453,8.0,,-331486,4700,223410,342297,565707,565707,0.0,-287263.0,527.0,,1846.0,,149.0,,-5115.0,,5115.0,-14274.0,-15892.0,24308.0,-16731.0,,-49944.0,,0.0,0.0,,,,,,,,,,,,
2426,2013年01月01日至2013年12月31日,,-1014498,-1014498,,,403479,9004,50437,43285,,-3783,0.0,8693,-9283.0,120958.0,302900.0,466556.0,-20760,-272,603,1080551.0,,,63543,-493987,-179476,438233,5314,2111,-164262,,52218,418670,21626,93,100394,-498.0,592503,428241,1508792,494294,-43391,-15463,435440,,0.0,185061.0,-14252.0,,0.0,1496.0,-110901,65377,-9179.0,,-5324,3683,114756,,2263519,-2245756.0,0.0,61140.0,-360453,8.0,,-331486,4700,223410,342297,565707,565707,,-287263.0,527.0,0.0,1846.0,,149.0,,-5115.0,,5115.0,585.0,-15892.0,24308.0,-16731.0,0.0,-49944.0,0.0,,,,,,,,,,,,,,
2426,2013年01月01日至2013年09月30日,,-234191,-234191,,,314553,7202,31008,30895,888.0,-1572,0.0,9231,-22733.0,14214.0,11627.0,54218.0,-55838,24979,1165,282053.0,,,24504,-289471,-165429,354638,-31803,-51317,-158878,,36864,206947,-42298,2759,37114,479.0,230181,71303,353356,119165,-30553,-14685,73927,,0.0,94775.0,-54294.0,,0.0,1496.0,-692194,705984,-7552.0,,-3773,1423,52875,,748030,-636933.0,-49944.0,61140.0,-278677,,-263.0,-156647,-641,-30486,342297,311811,311811,,-287263.0,527.0,-11684.0,1746.0,0.0,149.0,0.0,-5115.0,154067.0,5115.0,,,,,,,,,,,,,,,,,,,,,
2426,2013年01月01日至2013年06月30日,,-228953,-228953,,,221010,5403,17679,23534,146.0,-3622,0.0,5042,2761.0,13965.0,176047.0,54218.0,-60762,-16649,1016,153052.0,,,-34890,-278848,765,308422,-22121,-19872,-46544,,47592,12923,-13942,1750,34724,497.0,76882,30338,183390,-45563,-20997,-13425,-79985,,0.0,93360.0,-55665.0,,0.0,1496.0,-720416,654810,-7826.0,,-2179,5973,-28552,,240554,,-49944.0,47327.0,-232304,,-263.0,5370,-738,-103905,342297,238392,238392,0.0,-287263.0,527.0,-6662.0,1746.0,0.0,149.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2426,2013年01月01日至2013年03月31日,,-121229,-121229,,,106334,2005,4513,10104,-2006.0,-162,0.0,2758,2769.0,-139.0,11627.0,21199.0,-9358,-3008,-3450,143186.0,,,3148,39357,-9762,15012,-43112,14336,18979,,28464,9564,-12447,932,43357,130.0,70000,88979,232165,110936,-10487,0,100449,,0.0,736.0,-52198.0,0.0,0.0,0.0,-51481,69515,0.0,-11243.0,-86,53,-44704,,228870,-129965.0,-49944.0,15857.0,-71552,0.0,-263.0,-6997,919,49667,342297,391964,391964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2012年01月01日至2012年12月31日,,-780214,-780214,,,399395,5878,57147,30077,,-2429,654.0,7408,-234.0,-16686.0,10000.0,174299.0,-5187,-17592,573,614069.0,,,-16094,-100844,-3794,254893,75991,-58818,151334,,-57426,47072,18724,1971,29181,-898.0,38820,190154,804223,24009,-29606,-6725,-12322,,-12282.0,33913.0,-35102.0,,-215018.0,1566.0,-481672,17601,-5732.0,,-12696,2429,-389381,,2936550,-3269344.0,49944.0,560000.0,-3199,3.0,,236554,5012,-160137,502434,342297,342297,,0.0,-163.0,196.0,0.0,,0.0,,-4381.0,,4381.0,-24690.0,0.0,0.0,0.0,313231.0,0.0,-37400.0,,,,,,,,,,,,,,
2426,2012年01月01日至2012年09月30日,,-566497,-566497,,,292697,5610,33694,21008,-17398.0,-1562,674.0,6525,-237.0,-2614.0,0.0,170356.0,-39872,17019,433,481789.0,,,5841,-216316,-12946,140543,809,-10544,-92613,,-1180,272,28136,759,303,-711.0,15983,-76630,405159,-161338,-20537,-6322,-188197,,-34965.0,50926.0,0.0,,-215018.0,1566.0,-125413,22495,-6041.0,,-9463,1562,-310268,,671240,-881816.0,49937.0,553619.0,-16505,,-282.0,376193,5846,-116426,502434,386008,386008,,0.0,-163.0,-11596.0,0.0,-298.0,0.0,0.0,-4381.0,0.0,4381.0,,,,,,,,,,,,,,,,,,,,,
2426,2012年01月01日至2012年06月30日,,-443040,-443040,,,189754,3410,26542,12986,-18473.0,-1315,674.0,4353,-16.0,-2361.0,0.0,170806.0,-33529,7372,288,361574.0,,,-1472,-171968,-7260,41866,1804,-16002,-153032,,-18002,60962,62035,535,-4531,-1082.0,94936,-58096,303478,-139562,-11049,-6322,-156933,,-12282.0,31256.0,0.0,,-215018.0,1566.0,-51023,263,-5136.0,,-8517,1315,-254217,,284194,,50000.0,0.0,-2661,,-282.0,331251,336,-79563,502434,422871,422871,1246.0,0.0,-163.0,-4981.0,0.0,3359.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2426,2012年01月01日至2012年03月31日,,-99072,-99072,,,91781,1604,1670,6680,-25060.0,-724,336.0,1954,0.0,-3070.0,0.0,1050.0,0,5809,-6093,75937.0,,,17171,-83377,-8250,20880,10180,-27197,-70593,,-47803,69862,22944,181,24696,109.0,69989,-604,75333,-23739,-8922,-984,-33645,,-12205.0,21444.0,0.0,4135.0,-215018.0,1566.0,-19267,263,336.0,0.0,-2556,608,-220694,,518256,-520593.0,49887.0,0.0,-2206,4397.0,0.0,49741,-1949,-206547,502434,295887,295887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
