公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 預付設備款增加,　　　　 非金融資產減損迴轉利益,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 發放現金股利,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 負債準備增加（減少）,　　 其他非流動負債增加,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 其他金融資產減少,　　 短期借款減少,　　 其他非流動負債減少,　　 取得備供出售金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他非流動資產減少
2425,2014年01月01日至2014年03月31日,,101875,101875,,,3554,,,3029,-216,,,5413.0,,,-103447,5422,-183277,6787,-2848,-384395,,0.0,90738,-3196,,-735,86807,-297588,-292175,-190300,216,-3029,-29,-193142,,,,,-588,,,13623,,126833.0,,126833,-532,-53218,274525,221307,221307,,,,-107122.0,90.0,,,,,13389.0,-4360.0,,,,0.0,-954.0,5182.0,,,,,,,
2425,2013年度,,353762,353762,,,21170,,,5985,-1056,460.0,,57911.0,,,182330,-27,-502428,-2622,617,-1353557,,-11.0,513406,6913,,728,521036,-832521,-774610,-420848,1056,-5985,-113,-425890,,,,,-21294,4.0,,-85950,,527288.0,,480652,5645,-25543,300068,274525,274525,32104.0,,-752.0,-1031776.0,349.0,,,,,-64658.0,-2.0,-46785.0,,,149.0,0.0,0.0,0.0,0.0,,,,,
2425,2013年01月01日至2013年12月31日,,353762,353762,,,21170,,,5985,-1056,460.0,0.0,57911.0,,,182330,-27,-502428,-2622,617,-1353557,,-11.0,513406,6913,,728,521036,-832521,-774610,-420848,1056,-5985,-113,-425890,,,,,-21294,4.0,,-85950,,527288.0,,480652,5645,-25543,300068,274525,274525,32104.0,,-752.0,-1031776.0,349.0,0.0,0.0,,,-64658.0,-2.0,-46785.0,0.0,0.0,149.0,,,,,,,,,
2425,2013年01月01日至2013年09月30日,,263277,263277,,,15934,,,4288,-729,410.0,0.0,19236.0,,,304390,-539,-186012,-6723,286,-735695,,-11.0,134616,7187,,6450,148242,-587453,-568217,-304940,729,-4288,-107,-308606,,,,,-18061,0.0,,-80129,,311177.0,123.0,264515,3274,-120946,300068,179122,179122,0.0,,-667.0,-847358.0,261.0,0.0,0.0,0.0,0.0,-62067.0,-1.0,-46785.0,,,,,,,,,,,,
2425,2013年01月01日至2013年06月30日,,169831,169831,,,10143,173.0,0.0,2139,-456,209.0,0.0,12208.0,,,-580490,786,-151112,-48262,-513,-779591,,-11.0,143607,13256,-47.0,156,156961,-622630,-610422,-440591,492,-875,-9,-440983,,0.0,0.0,-38801.0,-17874,0.0,-222.0,-56897,,582278.0,139.0,582417,5130,89667,300068,389735,389735,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2425,2013年01月01日至2013年03月31日,,78823,78823,,,5368,85.0,0.0,384,-295,0.0,0.0,5542.0,,,-356295,706,-64332,-41710,15,-461616,,-7.0,62929,5078,-47.0,230,68183,-393433,-387891,-309068,321,-279,-31,-309057,,0.0,0.0,-35762.0,-7125,0.0,-2.0,-42889,,197858.0,104.0,197962,3058,-150926,300068,149142,149142,,,,,,,,,,,,,,,,,,,,,,,,
2425,2012年01月01日至2012年12月31日,,81530,81530,,,20211,,,363,-3066,106.0,-275.0,20084.0,,,-705431,-1996,1871,-2557,1833,-519946,,-7386.0,143605,342,,-1388,124728,-395218,-375134,-293604,3066,-218,-517,-291273,,,,,-66133,4887.0,,-61312,,58088.0,,59143,-5478,-298920,598988,300068,300068,2745.0,,0.0,54358.0,336.0,-372.0,-8409.0,,,0.0,-66.0,0.0,131640.0,-1664.0,1055.0,,,,,,,,,
2425,2012年01月01日至2012年09月30日,,35807,35807,,,14672,,,21,-2288,-150.0,-275.0,14835.0,,,-498321,-5401,-121348,-3741,2166,-572034,,-7397.0,121248,-2101,,-1396,101573,-470461,-455626,-419819,2729,-6,-518,-417614,,,,,-51828,4887.0,,84663,,55797.0,1048.0,56845,-4925,-281031,598988,317957,317957,2855.0,,0.0,54358.0,253.0,-372.0,-8409.0,-181000.0,312640.0,0.0,-36.0,0.0,,,,,,,,,,,,
2425,2012年01月01日至2012年06月30日,,26536,26536,,,9407,169.0,-23.0,6,-2004,-229.0,-227.0,10256.0,,,-322052,-157155,21336,0,1400,-456471,,-7769.0,82827,-1030,-620.0,3309,76717,-379754,-369498,-342962,2440,-6,-283,-340811,,-181000.0,244592.0,0.0,-37322,4931.0,-36.0,27735,,23505.0,1058.0,24563,-3701,-292214,598988,306774,306774,3157.0,-3430.0,,,,,,,,,,,,,,,,,,,,,,
2425,2012年01月01日至2012年03月31日,,-6483,-6483,,,4468,84.0,356.0,0,-1282,-127.0,-538.0,2961.0,,,-165955,754,-47842,-224,9438,-203829,,-6255.0,160118,-3153,-605.0,-3402,146703,-57126,-54165,-60648,1053,0,-130,-59725,,-110000.0,131538.0,-38449.0,0,1201.0,-36.0,-15746,,23442.0,0.0,23442,-3930,-55959,598988,543029,543029,,,,,,,,,,,,,,,,,,,,,,,,
