公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還公司債,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　　　 股利收入,　　　　 其他項目,　　　　　 應收帳款－關係人（增加）減少,　　 處分不動產、廠房及設備,　　 收取之股利,　　 發放現金股利,　　 非控制權益變動,　　　　 金融資產減損損失,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他金融資產增加,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　　　 利息費用,　　　　　 其他應收款（增加）減少,　　 短期借款增加,　　 支付之利息,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 其他非流動資產減少,　　　　 處分投資損失（利益）,　　　　　 持有供交易之金融資產（增加）減少
3356,2014年01月01日至2014年03月31日,,175246,175246,,,3871,287,366,-4,-1295,3225.0,,,-6928,-14427,-17015,-200,-48520,,-56373,-2406,-4472,-63251,-111771,-108546,66700,1125,-169,67656,,,-2057,0.0,,,-711.0,-2768,,0.0,0,535,65423,999528,1064951,1064951,,,,,,-9950.0,,,0.0,0.0,,,,,,,,,,,,,,,,
3356,2013年度,,701235,701235,,,20115,956,3092,-477,-6290,16628.0,,,-13304,-434948,-3593,-793,-462588,,98497,44839,5072,148408,-314180,-297552,403683,6356,-123117,286922,,,-22620,,888.0,,-5996.0,-12684,,,-387397,-265,-113424,1112952,999528,999528,776.0,,15000.0,-44.0,-1500.0,-9950.0,,44.0,-387492.0,95.0,,,,,,,,,,,,,,,,
3356,2013年01月01日至2013年12月31日,,701235,701235,,,20115,956,3092,-477,-6290,16628.0,,,-13304,-434948,-3593,-793,-462588,,98497,44839,5072,148408,-314180,-297552,403683,6356,-123117,286922,,0.0,-22620,0.0,888.0,0.0,-5996.0,-12684,,0.0,-387397,-265,-113424,1112952,999528,999528,776.0,0.0,15000.0,-44.0,-1500.0,-9950.0,0.0,44.0,-387492.0,95.0,0.0,,,,,,,,,,,,,,,
3356,2013年01月01日至2013年09月30日,,537998,537998,,,14672,683,3090,-231,-5006,12401.0,,,-46910,-339309,-18306,-590,-414844,,213444,45389,100,258933,-155911,-143510,394488,4933,-122845,276576,,0.0,-17526,887.0,,0.0,-2806.0,-4401,,0.0,-387397,545,-114677,1112952,998275,998275,737.0,0.0,15000.0,-44.0,-1500.0,-9729.0,0.0,44.0,-387492.0,95.0,,,,,,,,,,,,,,,,
3356,2013年01月01日至2013年06月30日,,357914,357914,,,9059,421,3091,-167,-3350,9791.0,,,-43020,-125798,-12612,-389,-181819,,132367,50953,3560,186880,5061,14852,372766,3216,-66462,309520,,0.0,-12429,0.0,907.0,0.0,-2806.0,-6828,,0.0,0,840,303532,1112952,1416484,1416484,737.0,0.0,7500.0,,,,,,,,,,,,,,,,,,,,,,,
3356,2013年01月01日至2013年03月31日,,171506,171506,,,4396,197,-2,-235,-1458,2898.0,,,-4861,-36472,-20336,-188,-61857,,108661,11401,17449,137511,75654,78552,250058,1274,-1768,249564,,0.0,-495,-6.0,0.0,0.0,-1473.0,-1974,,0.0,0,743,248333,1112952,1361285,1361285,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,2012年01月01日至2012年12月31日,,616180,616180,,,16201,664,13178,-1,-5738,25441.0,,,-30738,-81331,4249,-744,-108564,,-22703,-23288,-4288,-50279,-158843,-133402,482778,5986,-131295,357469,,17.0,-14476,-2997.0,0.0,152394.0,-955.0,144077,,-11400.0,-404450,-3717,93379,1019573,1112952,1112952,650.0,0.0,10000.0,-41.0,0.0,0.0,53.0,41.0,-393050.0,0.0,528.0,,,,,,,,,,,,,,,
3356,2012年01月01日至2012年09月30日,,438553,438553,,,11737,472,-174,-45,-4461,8138.0,,,-23337,-177385,-5499,-706,-206927,,37159,-9473,-1216,26470,-180457,-172319,266234,4781,-131168,139847,,17.0,-12976,-2767.0,,152394.0,-955.0,140802,,-11400.0,-404450,-2073,-125874,1019573,893699,893699,650.0,0.0,5000.0,-41.0,0.0,0.0,48.0,41.0,-393050.0,0.0,,,,,,,,,,,,,,,,
3356,2012年01月01日至2012年06月30日,,278177,278177,,,7533,309,-172,-3,-3419,4248.0,,,-18587,-143514,-7195,-485,-169781,,110916,-4303,-5032,101581,-68200,-63952,214225,3496,-56368,161353,,17.0,-6067,-4047.0,0.0,152394.0,-143.0,144131,,-11400.0,-11400,-2895,291189,1019573,1310762,1310762,0.0,-3023.0,5000.0,,,,,,,,,,,,,,,,,,,,,,,
3356,2012年01月01日至2012年03月31日,,128015,128015,,,3654,162,-173,-201,-1694,1748.0,,,-17594,-11697,-185,-248,-29724,,3082,-15837,5180,-7575,-37299,-35551,92464,1811,-189,94086,,17.0,-3482,0.0,799.0,152394.0,-143.0,149585,,-11400.0,-11400,-1878,230393,1019573,1249966,1249966,,,,,,,,,,,,,,,,,,,,,,,,,,
