公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借銀行同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 應收證券融資款（增加）減少,　　　　　 客戶保證金專戶（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 融券保證金增加（減少）,　　　　　 應付融券擔保價款增加（減少）,　　　　　 期貨交易人權益增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 營業保證金減少,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款增加,　　 其他應收款減少,　　 因合併產生之現金流入,　　 附賣回票券及債券投資減少,　　 其他金融資產減少,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 其他借款減少,　　 附買回票券及債券負債減少,　　 存入保證金增加,　　 存入保證金減少,　　 庫藏股票買回成本,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 以成本衡量之金融資產減資退回股款,　　　　　 負債準備增加（減少）,　　 營業保證金增加,　　 其他資產減少,　　 短期借款減少,　　 其他借款增加,　　 附買回票券及債券負債增加,　　 發放現金股利,　　 取得子公司股權,　　 取得以成本衡量之金融資產,　　 取得無形資產,　　 附賣回票券及債券投資增加,　　 其他金融資產增加,　　 應付短期票券減少,　　 其他非流動負債減少,　　　　 處分投資性不動產損失（利益）,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動負債增加,　　　　 不動產、廠房及設備轉列費用數,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 非金融資產減損損失,　　　　 其他項目,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 央行及同業融資減少,　　 處分以成本衡量之金融資產,　　 處分子公司,　　　　 金融資產減損損失
1409,2014年01月01日至2014年03月31日,,792220,792220,,,425146,8699,-12974,181784,-339008,4611,438,-2154,57614,-63802.0,,,576980,71270,-623204,-117568,-30758,-233591,-1159927,42948,-1312033,,-2785883,,82750,262533,-257251,-287666,30794,-364022,1030803,-27331.0,470610,-2315273,-2379075,-1586855,326557,-166722,-77536,-1504556,,-711062,668829,-301003,25000,-253749,17.0,-344.0,,73279,-96116.0,0.0,,-571035.0,59878.0,-25228.0,1036442,,985906.0,675224.0,0.0,-945012,-16743.0,0.0,-12413.0,-333538.0,,292232,552754,29879,114519,6757282,6871801,6871801,,,,,,,,,-107785.0,,,,,,,-387958.0,-80.0,2168056.0,14883.0,,,,,,,,,,,
1409,2013年度,,1973383,1973383,,,1716769,30262,8141,728328,-1332964,19806,-34750,-88832,85670,1132350.0,,,-288605,108069,-728997,-610140,-19396,786189,-23267,-133320,-2191266,,-3100733,,1519800,1022008,101959,117582,19413,310214,6755853,-61060.0,9785769,6685036,7817386,9790769,1352942,-726551,-329891,10087269,,-1537009,2091422,-954059,700000,-1322454,100486.0,-2207.0,-67035.0,0,,,4036.0,0.0,,0.0,-8022620,,,,997850.0,-482052,,2989.0,0.0,0.0,858880.0,631829,474404,2203,2541256,4216026,6757282,6757282,17555.0,,,71644.0,-856507.0,0.0,293022.0,-552960.0,-76985.0,-103010.0,-3180.0,-5975491.0,-1043318.0,-297832.0,-43830.0,0.0,0.0,0.0,,-80.0,,,,,,,,,,
1409,2013年01月01日至2013年12月31日,,1973383,1973383,,,1716769,30262,8141,728328,-1332964,19806,-34830,-88832,85670,1132350.0,,,-288605,108069,-728997,-610140,-19396,786189,-23267,-133320,-2191266,,-3100733,,1519800,1022008,101959,117582,19413,310214,6755853,-61060.0,9785769,6685036,7817386,9790769,1352942,-726551,-329891,10087269,,-1537009,2091422,-954059,700000,-1322454,100486.0,-2207.0,,-67035,,,4036.0,,,,-8022620,,0.0,0.0,997850.0,-482052,0.0,2989.0,0.0,0.0,858880.0,631829,474404,2203,2541256,4216026,6757282,6757282,17555.0,,0.0,71644.0,-856507.0,,293022.0,-552960.0,-76985.0,-103010.0,-3180.0,-5975491.0,-1043318.0,-297832.0,-43830.0,,,,,,,,,,,,,,,
1409,2013年01月01日至2013年09月30日,,1731606,1731606,,,1265849,31338,-21569,566096,-942599,-1168,-33296,-60259,-39392,765000.0,,,373909,-380363,-17840,-364754,31582,44484,-240654,-456503,-1034293,-32665.0,-2077097,,1856040,-30182,-37134,-38314,-31450,394232,1959825,,4041745,1964648,2729648,4461254,942626,-553236,-334226,4516418,,-942417,1239514,-722396,650000,-730757,87331.0,-2207.0,-1000000.0,1381,0.0,14702.0,0.0,-3538111.0,-64445.0,0.0,-4826815,,0.0,772213.0,997850.0,0,0.0,4565.0,,0.0,0.0,535390,2456895,36367,2182865,4216026,6398891,6398891,17555.0,-31272.0,0.0,163035.0,-230060.0,269295.0,112607.0,0.0,-4965.0,,,,,,,,,,,,,,,,,,,,,
1409,2013年01月01日至2013年06月30日,,1129435,1129435,,,852977,15094,12733,372642,-614592,9831,475,-17840,-289429,341891.0,,,262958,-95687,-1566009,-269357,29606,91278,211544,-32333,-178832,8705.0,-1538127,,1080720,1618948,-286883,-313219,-30822,53675,2444003,-28252.0,4538170,3000043,3341934,4471369,630094,-380621,-214943,4505899,,-357053,488713,-374905,450000,-546764,1509.0,-2207.0,-1000000.0,1232,-34749.0,,0.0,-3389807.0,-58297.0,-96647.0,-4918103,,216557.0,582505.0,997850.0,520641,-333234.0,3611.0,,0.0,0.0,0,1987930,42486,1618212,4216026,5834238,5834238,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,2013年01月01日至2013年03月31日,,427512,427512,,,387809,7795,-10105,186994,-302252,4542,-152,-16896,-162809,94926.0,,,167188,80645,112855,-106715,11978,-223494,-62065,-94044,1189466,11182.0,1086996,,1278625,-141646,-238307,-256088,-12058,-98167,-1386135,4261.0,-849515,237481,332407,759919,302169,-183193,-9187,869708,,-164663,182252,-269614,275000,-339769,0.0,-2207.0,0.0,4457,0.0,60162.0,0.0,-947302.0,-102316.0,-2964.0,-1306964,,579688.0,519969.0,1002000.0,-432046,-334649.0,4796.0,0.0,0.0,0.0,0,1339758,448528,1351030,4216026,5567056,5567056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,2012年01月01日至2012年12月31日,,1583294,1583294,,,1653214,36275,-18734,738735,-1289205,8791,-18902,-92128,113777,1131823.0,,,-2875291,-209046,-594189,-307509,-956,9438,-60046,-2027,-1618360,,-5657986,,1570000,816193,50100,58034,1009,414589,3626767,5738.0,6542430,884444,2016267,3599561,1299825,-742868,-404111,3752407,,-2069993,2085647,-718017,1017106,-1098430,22905.0,0.0,,-3608,,,83386.0,,,,-1101460,,987412.0,607434.0,0.0,-1906680,-234080.0,0.0,-620.0,-635563.0,503655.0,-223436,-1509581,-23338,1118028,3097998,4216026,4216026,2221.0,,30874.0,50454.0,0.0,,0.0,-548463.0,0.0,0.0,-14751.0,-375209.0,-114045.0,0.0,-59240.0,,,,,,,,,,,,,,,
1409,2012年01月01日至2012年09月30日,,1104158,1104158,,,1239059,59648,-30296,565883,-899329,1848,-15592,-32535,117533,1006219.0,,,-1104006,-209985,-534071,-526995,-8398,-37501,8627,-56933,829919,-42019.0,-1681362,,296052,1480622,-90350,-94512,8510,76352,1640240,,3314919,1633557,2639776,3743934,899141,-524277,-378755,3740043,,-1679013,1730309,-652852,967106,-981883,19981.0,0.0,-3838.0,0,-428851.0,0.0,85722.0,-1478189.0,-285262.0,-20260.0,-2700435,,1194161.0,1440316.0,0.0,-1855667,-207716.0,153.0,,-635563.0,494427.0,-211348,-329700,19817,729725,3097998,3827723,3827723,2221.0,-1995.0,24374.0,0.0,0.0,0.0,0.0,-548463.0,0.0,,,,,,,,,,,,,,,,,,,,,
1409,2012年01月01日至2012年06月30日,,643018,643018,,,848028,10040,7622,374458,-605060,11698,-569,-13183,185607,818641.0,,,-1023015,-181454,-387682,-170374,5541,-168198,-178325,4037,379798,-11400.0,-1731072,,969500,604574,-239903,-260839,-5767,8394,20612,2437.0,1099008,-632064,186577,829595,623625,-373547,-288305,791368,,-1002448,1110772,-451637,717106,-933923,1347.0,24374.0,0.0,2084,-252268.0,,85722.0,-616971.0,-68103.0,5730.0,-1376465,,1361822.0,1718535.0,0.0,-1595667,163143.0,1486.0,,-516356.0,396111.0,-200551,1328523,-13914,729512,3097998,3827510,3827510,1750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,2012年01月01日至2012年03月31日,,206565,206565,,,416001,5012,-6315,187791,-299876,5484,-325,-10101,289393,587064.0,,,-1698929,-129057,-1577380,-479847,-15051,-253681,204749,-148967,-71204,-23311.0,-4192678,,750770,2629056,-182001,-193291,14973,-33968,881334,33185.0,3900058,-292620,294444,501009,299716,-188144,-83962,528619,,-605498,652223,-252046,490236,-634989,733.0,30874.0,-106.0,0,-206618.0,0.0,85722.0,-69413.0,-39820.0,-15771.0,-564473,,1820993.0,1050591.0,0.0,-1810000,52436.0,0.0,-321.0,-124094.0,326714.0,-1670,1314649,-311372,967423,3097998,4065421,4065421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
