公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　　 其他營業負債增加（減少）,　　 取得採用權益法之投資,　　 處分子公司,　　 其他應收款－關係人增加,　　 其他投資活動,　　 短期借款增加,　　 短期借款減少,　　 其他借款增加,　　 處分無活絡市場之債券投資,　　 發放現金股利,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 其他籌資活動,　　 其他應收款－關係人減少,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得備供出售金融資產,　　　　 股利收入,　　 處分備供出售金融資產,　　 收取之股利
3011,2014年01月01日至2014年03月31日,,-11402,-11402,,,18879,169,6354,,861,-1255,0,8354,3843,292,36998.0,,,-375,67492,,19094,-813,85380,,740,-94614,-12837,60.0,3554,-103124,-17744,19254,7852,-861,,6991,,,-83309.0,-7288,0,-42,0.0,1129,-65443,,,260,0.0,46355,11676,-421,330194,329773,329773,-499.0,,,-27.0,,,,,46095.0,,,,,-18.0,,,,,24067.0,,,,,,,,,,,
3011,2013年度,,-97897,-97897,,,75770,13816,8960,,3908,-3065,-460,56018,-1174,1088,154278.0,,,733,24839,,62521,7848,95941,,-7770,-52688,-8161,,-1471,-66734,29207,183485,85588,-3908,0.0,81680,,,0.0,-30765,865,0,3161.0,1732,-40468,,,722,,-11297,10849,40764,289430,330194,330194,-522.0,,-61.0,3158.0,-16651.0,-7622.0,-51744.0,,,-747.0,,15002.0,-3904.0,0.0,198.0,-3000.0,48554.0,-7368.0,0.0,0.0,0.0,,,,,,,,,
3011,2013年01月01日至2013年12月31日,,-97897,-97897,,,75770,14866,8960,0.0,3908,-3065,-460,56018,-1174,38,154278.0,,,733,24839,,62521,7848,95941,,-7770,-52688,-8161,,-1471,-66734,29207,183485,85588,-3908,,81680,,0.0,0.0,-30765,865,0,3161.0,1732,-40468,,,722,,-11297,10849,40764,289430,330194,330194,-522.0,0.0,-61.0,3158.0,-16651.0,-7622.0,-51744.0,,,-747.0,,15002.0,-3904.0,0.0,198.0,-3000.0,48554.0,-7368.0,,,,,,,,,,,,
3011,2013年01月01日至2013年09月30日,,-83178,-83178,,,57488,12423,6938,0.0,3026,-4128,-378,67007,-1201,805,142310.0,,,983,14493,35.0,57515,-2743,70283,,-6931,-98441,-3739,146.0,9786,-96765,-26482,115828,32650,-3026,0.0,29624,,0.0,0.0,-17640,695,3163,,3228,-2479,,,390,,53133,13135,93413,289430,382843,382843,391.0,0.0,-61.0,2414.0,,-7622.0,-50502.0,48554.0,56647.0,,,17645.0,-3904.0,,,,,,,,,,,,,,,,,
3011,2013年01月01日至2013年06月30日,,-54999,-54999,,,38736,9755,514,0.0,1693,-2433,-170,45953,5783,507,100361.0,,,1483,10537,-268.0,48262,-12094,47920,,-6233,-74779,8659,97.0,9757,-60280,-12360,88001,33002,-1693,0.0,31309,,0.0,-41867.0,-12218,261,3161,0.0,2077,-58947,,,346,,66012,18596,56970,289430,346400,346400,84.0,0.0,-61.0,2219.0,-311.0,-7622.0,-50982.0,48554.0,65666.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3011,2013年01月01日至2013年03月31日,,-33246,-33246,,,18985,5469,3139,0.0,915,-1047,19,8371,-3217,285,32919.0,,,1324,45552,-4127.0,37107,-6403,73453,,-963,-63703,1208,53.0,4906,-58499,14954,47873,14627,-915,0.0,13712,,0.0,-89120.0,-7456,70,0,624.0,1047,-94835,,5931.0,0,-33.0,5898,32823,-42402,289430,247028,247028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,2012年01月01日至2012年12月31日,,14358,14358,,,78950,25221,6619,-780.0,3976,-3501,-537,31188,4134,37,141395.0,,,-45,28393,,-46109,45732,-14538,,-139,88399,-19548,,-54097,15061,523,141918,156276,-3976,,152300,,60841.0,10210.0,-23815,8216,-3249,0.0,3501,55704,,,1129,,-41387,-31877,134740,154690,289430,289430,0.0,-3912.0,0.0,0.0,0.0,0.0,0.0,,,-31244.0,,0.0,-11272.0,-42509.0,446.0,0.0,0.0,0.0,,,,,,,,,,,,
3011,2012年01月01日至2012年09月30日,,14548,14548,,,58744,22532,5758,-784.0,3287,-2314,-540,-3085,4131,829,85088.0,,,527,5902,-42465.0,-3574,39279,-331,,801,70187,-9318,306.0,-52557,9419,9088,94176,108724,-3548,-792.0,104384,,60845.0,-55125.0,-20430,5758,0,,2314,-6638,,,761,,-35977,-29874,31895,154690,186585,186585,0.0,-3470.0,0.0,0.0,,0.0,0.0,0.0,-24209.0,,,0.0,-12529.0,,,,,,,,,,,,,,,,,
3011,2012年01月01日至2012年06月30日,,9750,9750,,,38449,12993,2267,-784.0,1987,-1706,-110,-676,-106,502,49346.0,,,828,-52059,600.0,34401,-19621,-35851,,4268,93332,-480,181.0,13155,110456,74605,123951,133701,-1987,-791.0,130923,,60845.0,-118545.0,-9369,1738,0,-1.0,1706,-63626,,,301,,-26980,-20893,19424,154690,174114,174114,0.0,-3470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27281.0,0.0,,,,,,,,,,,,,,,,,,,
3011,2012年01月01日至2012年03月31日,,-9076,-9076,,,18466,7528,-1282,-501.0,1196,-211,0,14451,2366,277,42290.0,,,91,35601,2330.0,23599,-12440,49181,,-83,37530,-8359,89.0,19988,49165,98346,140636,131560,-1220,-1527.0,128813,,23055.0,-45166.0,-3073,1869,-361,0.0,211,-23465,,30929.0,255,0.0,31184,-15685,120847,154690,275537,275537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
