公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 其他營業資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 採用權益法之被投資公司減資退回股款,　　 其他非流動資產增加,　　 預付設備款增加,　　 短期借款增加,　　 應付短期票券增加,　　 收取之股利,　　 發放現金股利,　　 支付之利息-營業活動,　　 舉借長期借款,　　 存入保證金增加,　　　　 利息收入,　　 收取之利息,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　　　 其他項目,　　 取得採用權益法之投資,　　　　　 應收帳款（增加）減少,　　 存入保證金減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　 處分不動產、廠房及設備
2548,2014年01月01日至2014年03月31日,,-38235,-38235,,,1743,616,-6359,21610,1,1,15709.0,,,113181,3120,-691,-445291,,-101565,-115328,-546574,,89048,-366557,-182934,751347,-20771,,276617,-269957,-254248,-292483,-73448,0,-364028,,-348,-33698,684.0,-33362,,,-199789.0,-225000,-2232,744096,-7413,339293,260639,599932,599932,0.0,,6484.0,0.0,,0.0,1171117.0,,,,,,,-1903.0,1903.0,,,,,,,,,,,
2548,2013年度,,3325195,3325195,,,4537,2840,-4248,47976,-4205,26,43902.0,,,-630131,-49011,-4970,-3475257,-221964.0,-329119,-2081784,-6792236,,-15393,-183586,104605,282993,8434,,199010,-6593226,-6549324,-3224129,-216829,-177805,-3612539,,-13377,-126796,22790.0,-117383,,,399185.0,-1580000,20596,2794967,68378,-866577,1127216,260639,260639,,,1957.0,0.0,,0.0,4024839.0,,3200.0,-1384064.0,,1245000.0,,-3024.0,3024.0,,0.0,,0.0,,0.0,0.0,69411.0,,,
2548,2013年01月01日至2013年12月31日,,3325195,3325195,,,4537,2840,-4248,47976,-4205,26,46926.0,,,-630131,-49011,-4970,-3475257,-221964.0,-329119,-2081784,-6792236,,-15393,-183586,104605,282993,8434,,199010,-6593226,-6546300,-3221105,0,-177805,-3612539,,-13377,-126796,,-117383,,,,-1580000,20596,2794967,68378,-866577,1127216,260639,260639,,0.0,1957.0,0.0,22790.0,0.0,4024839.0,399185.0,3200.0,-1384064.0,-216829.0,1245000.0,69411.0,,,,,,,,,,,,,
2548,2013年01月01日至2013年09月30日,,3006498,3006498,,,2938,2220,-1209,31528,-899,-7,34571.0,,,-405728,-121400,-24305,-3543282,-342027.0,-112518,-993022,-5542282,,62114,-571302,7159,254771,23797,,-160348,-5702630,-5668059,-2661561,-145000,-81073,-2884434,,-5226,-132130,,-129842,,,,-185000,12500,2228044,41500,-744732,1127216,382484,382484,,0.0,63113.0,0.0,7514.0,0.0,3425456.0,359152.0,3200.0,-1384064.0,,,,,,,,,,,,,,,,
2548,2013年01月01日至2013年06月30日,,3093663,3093663,,,1965,1549,-5111,19150,-722,-7,20024.0,,,0,-22910,-5368,-1379757,-70428.0,-50909,-737477,-3654849,,30308,-592307,-5063,-521619,12316,,-1021293,-4676142,-4656118,-1562455,-76099,-79900,-1718454,,-3139,-46261,,-54346,,,,-1280000,16627,1212458,55236,-505106,1127216,622110,622110,3200.0,-1388000.0,55072.0,0.0,-4946.0,0.0,2076756.0,399075.0,,,,,,,,,,,,,,,,,,
2548,2013年01月01日至2013年03月31日,,3179059,3179059,,,946,785,-1150,8206,-672,55,8170.0,,,0,-90805,-4188,4017340,-479883.0,63818,-234850,3271432,,74392,-502487,-83742,-1408000,33892,701.0,-1885244,1386188,1394358,4573417,-28448,-10049,4534920,,-716,-63224,12034.0,-51906,,-3488097.0,-199900.0,-1280000,10364,-4957633,34409,-440210,1127216,687006,687006,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,2012年01月01日至2012年12月31日,,2733859,2733859,,,3801,3611,736,38889,-5271,184,41950.0,,,0,-3707,-27504,-1822101,-209161.0,-29495,-574087,-2666055,,-93400,309983,-12529,1354623,18702,,1577688,-1088367,-1046417,1687442,0,-189475,1248364,,-857,-45865,,-13814,,,,-320000,133194,-798604,-27670,408276,718940,1127216,1127216,,0.0,309.0,4947.0,27961.0,0.0,-445336.0,-149609.0,1600.0,-1519757.0,-251203.0,1500000.0,2904.0,,,,,,,,,,,,,
2548,2012年01月01日至2012年09月30日,,-143662,-143662,,,2869,2826,-5536,29731,-598,18,29310.0,,,0,-1927,-29531,-4922185,-201752.0,-23670,-54927,-5233992,,-26444,-42206,-78809,2789838,149549,,2793554,-2440438,-2411128,-2554790,-190883,-195674,-2939747,,-262,-108646,,-106796,,,,1340000,-8502,3401754,-28228,326983,718940,1045923,1045923,,0.0,1626.0,4947.0,-2835.0,0.0,3540012.0,50001.0,1600.0,-1519757.0,,,,,,,,,,,,,,,,
2548,2012年01月01日至2012年06月30日,,-132734,-132734,,,1919,1936,-4833,17376,-478,18,15938.0,,,0,-2977,-12403,-3151912,25784.0,-42453,0,-3183961,,26324,-397802,-94285,274007,4975,,-186742,-3370703,-3354765,-3487499,-108183,-170183,-3765865,,-267,-112068,,-108722,,,,0,-3895,3444973,-12930,-442544,718940,276396,276396,0.0,0.0,39.0,4947.0,-1334.0,0.0,3399012.0,49856.0,,,,,,,,,,,,,,,,,,
2548,2012年01月01日至2012年03月31日,,-58620,-58620,,,1464,514,-14649,35508,47,16,22900.0,,,-11716,-4829,-79,-879990,24484.0,-12629,0,-884759,,-17500,-351289,-145839,156276,15904,590.0,-341858,-1226617,-1203717,-1262337,-43132,-14567,-1320036,,-480,10049,-499.0,9070,,1038928.0,-30.0,0,-5590,1033308,-22361,-300019,718940,418921,418921,,,,,,,,,,,,,,,,,,,,,,,,,,
