公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　　 其他項目,　　 退還（支付）之所得稅,　　 存入保證金增加,　　 非控制權益變動,　　　　 股利收入,　　 收取之股利,　　 取得備供出售金融資產,　　 其他籌資活動,　　 處分以成本衡量之金融資產,　　 存出保證金增加,　 營業活動之現金流量－直接法,　　 營業活動之付現類別,　　　 營業活動之付現類別合計,　　　　 處分投資損失（利益）,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）,　　 存出保證金減少,　　 發放現金股利,　　 停業單位稅前淨利（淨損）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 以成本衡量之金融資產減資退回股款,　　 其他投資活動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 短期借款減少
1463,2014年01月01日至2014年03月31日,,5701,5701,,,19335,-347,-7083.0,491.0,-1725,-105.0,10566.0,,,-23001.0,-17084,7873,-32212,,-33380.0,40300,-80596,-1893.0,-75569,-107781,-97215,-91514,1725.0,-491.0,-91340,,-6510,-7054,105,,3943.0,-9516,,31651,89693,1692.0,-9471,651138,641667,641667,,,-1060.0,,58042.0,,,,,,,,,-91340.0,,,,,,,,,,,,,,,,,,,
1463,2013年度,,69172,59983,,,71067,7267,,2390.0,-20183,-2343.0,60772.0,,,-39430.0,-248408,-12868,-426481,,37527.0,269486,107207,-2543.0,411677,-14804,45968,105951,20183.0,-2390.0,126896,,-900,-94870,3899,,0.0,-100821,,19612,21443,1151.0,48669,602469,651138,651138,7600.0,0.0,-1874.0,1831.0,0.0,-5026.0,5026.0,,,0.0,-8950.0,,,,0.0,-96386.0,-29389.0,,,,0.0,-9189.0,0.0,,126896.0,0.0,0.0,,,,,,
1463,2013年01月01日至2013年12月31日,,59983,59983,,,71067,7267,-29389.0,2390.0,-20183,-2343.0,31383.0,,,-39430.0,-248408,-12868,-300706,,37527.0,237358,42949,-2543.0,315291,14585,45968,105951,20183.0,-2390.0,126896,,-900,-94870,3899,,,-100821,,19612,21443,1151.0,48669,602469,651138,651138,7600.0,0.0,-1874.0,1831.0,0.0,-5026.0,5026.0,0.0,,0.0,-8950.0,,,,,,,,,,,,,,,,,,,,,,
1463,2013年01月01日至2013年09月30日,,-4293,-4293,,,52320,14747,-42920.0,1609.0,-5327,-844.0,22783.0,,,-34158.0,-133441,-153747,-321346,,23162.0,226270,99261,-1901.0,346792,25446,48229,43936,5327.0,,51956,,-900,-76566,2353,,-7419.0,-82532,,9753,11629,548.0,-18399,602469,584070,584070,7600.0,0.0,-1709.0,1876.0,,-4402.0,4402.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1463,2013年01月01日至2013年06月30日,,-4914,-4914,,,33754,11497,-24776.0,1551.0,-3521,-968.0,25137.0,,,-34560.0,-119150,-86722,-240432,,85090.0,152638,20243,-1259.0,256712,16280,41417,36503,3521.0,,38315,,-657,-57789,2015,,-7423.0,-63854,,2000,2000,986.0,-22553,602469,579916,579916,7600.0,0.0,-1709.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2013年01月01日至2013年03月31日,,-681,-681,,,12884,6408,-15360.0,745.0,-1688,-848.0,2141.0,,,-16165.0,-34883,9630,-41418,,-9864.0,141341,53697,-617.0,184557,143139,145280,144599,1688.0,-745.0,145542,,-437,-18766,1895,-136312.0,-6717.0,-160337,,2000,2000,1405.0,-11390,602469,591079,591079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2012年01月01日至2012年12月31日,,-54393,-54393,,,59106,3739,65998.0,1137.0,-8230,-1774.0,110439.0,,,-41150.0,-145247,-226259,-412656,,130517.0,243568,27635,-1956.0,399764,-12892,97547,43154,8230.0,-1137.0,53508,,-53300,-216586,2606,,,-251201,,15296,239751,-4695.0,37363,565106,602469,602469,0.0,-1711.0,-4565.0,1642.0,222813.0,-7826.0,7826.0,-3921.0,,20000.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1463,2012年01月01日至2012年09月30日,,-44933,-44933,,,43297,-1559,66249.0,0.0,-6351,-2091.0,95354.0,,,-45049.0,-108195,-338275,-491519,,108608.0,237692,90583,-2684.0,434199,-57320,38034,-6899,6351.0,,1473,,-33300,-159202,2182,,7855.0,-185154,,14296,225658,-2774.0,39203,565106,604309,604309,0.0,-393.0,-1777.0,1642.0,,-3798.0,3798.0,-2689.0,209720.0,,,,,,,,,,,,,,,,,,,,,,,,
1463,2012年01月01日至2012年06月30日,,-34551,-34551,,,27950,-662,-7226.0,0.0,-3736,-2091.0,13842.0,,,-17970.0,-21733,-10655,-50358,,9569.0,75854,36082,-1139.0,120366,70008,83850,49299,3736.0,,52711,,-33300,-131305,2182,,7030.0,-155393,,11296,221162,-1416.0,117064,565106,682170,682170,0.0,-393.0,-324.0,1642.0,208224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,2012年01月01日至2012年03月31日,,-18963,-18963,,,13033,2644,-8765.0,0.0,-1901,-408.0,4603.0,,,-12702.0,-12820,-2428,-27950,,804.0,0,-10977,-577.0,-10750,-38700,-34097,-53060,1901.0,0.0,-51159,,0,-78867,0,0.0,-4685.0,-83552,,127788,127788,-1257.0,-8180,565106,556926,556926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
