公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 應付短期票券增加,　　 發放現金股利,　　　　　 其他應收款（增加）減少,　　　　　 其他金融資產（增加）減少,　　 預付設備款增加,　　 預付設備款減少,　　 存入保證金增加,　　 短期借款減少,　　　　　 其他應付款－關係人增加（減少）,　　 其他非流動負債減少,　　　　　 預收款項增加（減少）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　 收益費損項目,　　　　 其他項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分備供出售金融資產,　　 存入保證金減少,　　　　 金融資產減損損失
3315,2014年01月01日至2014年03月31日,,41018,41018,,,1948,935,-2416,6989,-213,0.0,7243.0,,,-19041,226743,-27005,-44256,-895,129003,,702,23984,-6464.0,-1941,211.0,16492,145495,152738,193756,328,-6851,-114,187119,,,-1224,0,-1183,149365.0,-2826.0,52481,,1797722.0,0.0,0.0,-181852,7393,65141,499784,564925,564925,,-96470.0,4169.0,,,-6589.0,46.0,-794.0,1444.0,,-1979574.0,,,,,,,,,,,
3315,2013年度,,79756,79756,,,8436,3798,5460,21857,-1062,,38427.0,,,-3116,-344364,448024,-4946,-734,81542,,-10279,-187326,-32240.0,-11253,-310.0,-241408,-159866,-121439,-41683,941,-21289,-31515,-93546,,,-3746,615,-1829,,-3236.0,-49057,,227863.0,-29995.0,,78370,14983,-49250,549034,499784,499784,200.0,-40454.0,,,-119478.0,-46.0,-13276.0,-607.0,,-20.0,,,,,-62.0,,,,,,,
3315,2013年01月01日至2013年12月31日,,79756,79756,,,8436,3798,5460,21857,-1062,-62.0,38427.0,,,-3116,-344364,448024,-4946,-734,81542,,-10279,-187326,-32240.0,-11253,-310.0,-241408,-159866,-121439,-41683,941,-21289,-31515,-93546,,0.0,-3746,615,-1829,,0.0,-49057,,227863.0,-29995.0,,78370,14983,-49250,549034,499784,499784,200.0,-40454.0,-3236.0,0.0,-119478.0,-46.0,-13276.0,0.0,-607.0,-20.0,,,,,,,,,,,,
3315,2013年01月01日至2013年09月30日,,25424,25424,,,6339,2856,4146,15612,-608,-62.0,28283.0,,,-1186,-173042,98523,-12200,-12532,-100437,,-6488,-55948,-30420.0,4050,,-88806,-189243,-160960,-135536,468,-16648,-25945,-177661,,0.0,-3657,553,-1608,,-3613.0,-69434,,356262.0,-29995.0,536.0,207325,10218,-29552,549034,519482,519482,189.0,-61298.0,,,-119478.0,,,,,,,,,,,,,,,,,
3315,2013年01月01日至2013年06月30日,,16617,16617,,,4208,1914,611,9703,-400,-62.0,15974.0,,,7557,-126096,-6049,13148,-54525,-165965,,-4220,6711,-65602.0,5163,,-57948,-223913,-207939,-191322,438,11121,-25863,-205626,,0.0,-3475,553,-1153,6987.0,,3149,,100156.0,-29995.0,364.0,70525,19894,-112058,549034,436976,436976,189.0,0.0,48.0,0.0,,,,,,,,,,,,,,,,,,
3315,2013年01月01日至2013年03月31日,,8670,8670,,,2111,957,-1447,4672,-75,-62.0,6156.0,,,-6327,147607,-17495,-15090,-16802,91893,,4111,-10696,-23333.0,-3563,0.0,-33481,58412,64568,73238,115,-4983,-65,68305,,0.0,-505,478,-915,7838.0,79.0,6975,,-94758.0,-29995.0,186.0,-124567,15603,-33684,549034,515350,515350,,,,,,,,,,,,,,,,,,,,,,
3315,2012年01月01日至2012年12月31日,,70920,70920,,,8695,3995,-943,27361,-844,0.0,38264.0,,,3082,78979,-49555,20284,0,53712,,-7877,-5193,-3654.0,7041,526.0,-9157,44555,82819,153739,730,-26592,-45826,82051,,10595.0,-6713,0,-4240,,1177.0,-32727,,42298.0,0.0,,-133516,-27061,-111253,660287,549034,549034,0.0,-34821.0,0.0,5.0,-175703.0,922.0,0.0,1275.0,0.0,-116.0,,,,,,,,,,,,
3315,2012年01月01日至2012年09月30日,,58202,58202,,,6535,3024,4242,20819,-542,0.0,34078.0,,,-1789,-364547,-231330,-15249,-12530,-625445,,1767,135722,10754.0,-8534,,139709,-485736,-451658,-393456,592,-8239,-42326,-443429,,10403.0,-6884,0,-939,,-184.0,-35650,,579360.0,3.0,200.0,403860,-21549,-96768,660287,563519,563519,0.0,-38046.0,,,-175703.0,,,,,,,,,,,,,,,,,
3315,2012年01月01日至2012年06月30日,,40223,40223,,,4404,1990,3063,13129,-433,0.0,22153.0,,,3944,-267833,-408719,9172,-23582,-687018,,-4310,136966,-28386.0,27037,,131307,-555711,-533558,-493335,486,12884,-26764,-506729,,10595.0,-5374,0,-754,0.0,,-69462,,520271.0,0.0,183.0,520455,-11577,-67313,660287,592974,592974,0.0,-74985.0,1056.0,1.0,,,,,,,,,,,,,,,,,,
3315,2012年01月01日至2012年03月31日,,8127,8127,,,2124,980,2493,6647,-145,0.0,12099.0,,,3411,-208718,2702,-27608,-13586,-243799,,-2555,71766,-3713.0,16131,18.0,81647,-162152,-150053,-141926,209,-7255,-84,-149056,,10595.0,-1454,0,-363,4723.0,581.0,14082,,105088.0,0.0,0.0,105088,-18568,-48454,660287,611833,611833,,,,,,,,,,,,,,,,,,,,,,
