公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 處分採用權益法之投資,　　 取得無形資產,　　 應付短期票券減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 收取之股利,　　 其他非流動資產增加,　　 其他非流動負債減少,　　 發放現金股利,　　　　 金融資產減損損失,　　 短期借款減少,　　 處分無活絡市場之債券投資,　　 存出保證金增加,　　　　　 應收帳款－關係人（增加）減少,　　 取得備供出售金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金減少
1309,2014年01月01日至2014年03月31日,,-220346,-220346,,,43361,58,-40,22278,21359,-7703,-1425,1,,44985.0,0.0,11755,337.0,134966.0,,,-64193,63679,-45248,15172,780,-889854,-174468,-944,-1095076,,14422,-790851,-1138,-9354,-1434,3236.0,17521,-1226.0,-768824,-1863900,-1728934,-1949280,8338,-17797,0,-1958739,,,-41779.0,0.0,-65610,0.0,0.0,19824,,1513031.0,100000.0,300000,,856,1913887,7588,-17440,1236102,1218662,1218662,,,,,,,,,,,,127213.0,,,,,,,,,,
1309,2013年度,,14874,14874,,,170457,185,-3556,-29416,57197,-34776,-32202,-84,313.0,47043.0,,-13785,1307.0,146851.0,,,173039,-291643,-441740,-11782,1031,-1054074,-20301,7579,-1637891,,38823,922190,416,18700,-3192,11719.0,16196,1688.0,1006540,-631351,-484500,-469626,35034,-55351,-640,-490583,,0.0,-1762.0,5309.0,-565577,445.0,,-524297,,1214735.0,200000.0,4400000,-4300000.0,3413,1518148,71617,574885,661217,1236102,1236102,-15832.0,19785.0,-1503.0,,,19200.0,-194.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
1309,2013年01月01日至2013年12月31日,,14874,14874,,,170457,185,-3556,-29416,57197,-34776,-32202,-84,313.0,47043.0,0.0,-13785,1307.0,146851.0,,,173039,-291643,-441740,-11782,1031,-1054074,-20301,7579,-1637891,,38823,922190,416,18700,-3192,11719.0,16196,1688.0,1006540,-631351,-484500,-469626,35034,-55351,-640,-490583,,0.0,-1762.0,5309.0,-565577,445.0,0.0,-524297,,1214735.0,200000.0,4400000,-4300000.0,3413,1518148,71617,574885,661217,1236102,1236102,-15832.0,19785.0,-1503.0,0.0,,19200.0,-194.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1309,2013年01月01日至2013年09月30日,,84688,84688,,,127940,1105,2388,-28752,41938,-25313,-26959,-85,313.0,6000.0,,-20770,7495.0,69766.0,,,-63578,-121133,-574473,-25136,1666,-246261,-191988,7483,-1213420,,75777,198605,-1039,25516,-5179,,19487,556.0,313723,-899697,-829931,-745243,24681,-39785,5910,-738903,,0.0,-18980.0,5309.0,-496446,445.0,,-491462,,641466.0,200000.0,3700000,-3200000.0,3475,1344941,52697,167273,661217,828490,828490,-15534.0,19786.0,-1503.0,,,15534.0,-73.0,0.0,0.0,,,,,,,,,,,,,
1309,2013年01月01日至2013年06月30日,,95995,95995,,,85102,733,354,-45477,29440,-18495,-20797,-225,556.0,5040.0,,-9544,5118.0,17282.0,,,-141806,218735,19308,-81407,1236,-480982,-36725,5151,-496490,,65984,-33222,-684,386,-3086,-6405.0,13689,365.0,37027,-459463,-442181,-346186,18486,-29388,-573,-357661,,0.0,-13583.0,0.0,-347572,445.0,7413.0,-335014,,276197.0,,2700000,-2200000.0,1848,678045,55742,41112,661217,702329,702329,-14523.0,19786.0,-1503.0,-100000.0,0.0,,,,,,,,,,,,,,,,,
1309,2013年01月01日至2013年03月31日,,43212,43212,,,42694,363,-473,-39324,13651,-6925,-9334,-249,0.0,30955.0,0.0,12818,2877.0,47053.0,,,125942,68729,-100879,6226,-100,-895858,-105604,4156,-897388,,45449,256961,-576,-2452,-6352,-2969.0,10590,172.0,300823,-596565,-549512,-506300,6291,-12685,-7,-512701,,0.0,-71198.0,0.0,-175080,445.0,5151.0,-240682,,697401.0,0.0,0,0.0,633,698034,28739,-26610,661217,634607,634607,,,,,,,,,,,,,,,,,,,,,,
1309,2012年01月01日至2012年12月31日,,-38705,-38705,,,174231,247,56053,-63751,60951,-34417,-27636,5211,-2662.0,0.0,-40019.0,-10191,1278.0,143341.0,,,606739,-341665,-625,-22086,-599,150459,50796,41826,484845,,-15353,133881,457,-30352,7362,11894.0,-6187,1374.0,103076,587921,731262,692557,34955,-61350,-25098,641064,,13398.0,-17417.0,1750.0,-494603,771.0,1031.0,-486659,,0.0,0.0,1000000,-1129838.0,0,-347847,-34196,-227638,888855,661217,661217,-14219.0,0.0,-8222.0,-100000.0,,16633.0,0.0,-1070.0,-62402.0,38265.0,-54537.0,,,,,,,,,,,
1309,2012年01月01日至2012年09月30日,,-66806,-66806,,,130843,1148,30271,-57314,49427,-24797,-21454,5012,-2662.0,0.0,,-2372,7969.0,102102.0,,,497115,-24526,-486604,-24869,1414,46220,-22038,-13782,-27070,,61845,38736,-401,21655,1420,,2235,2379.0,127869,100799,202901,136095,25610,-46457,-18928,112703,,13398.0,-324176.0,1750.0,-371805,773.0,,-688718,,493467.0,200000.0,1000000,-1100000.0,0,529605,-50975,-97385,888855,791470,791470,-13969.0,0.0,-8290.0,,,16383.0,-368.0,-1460.0,-62402.0,,,,,,,,,,,,,
1309,2012年01月01日至2012年06月30日,,-161167,-161167,,,87535,756,3089,-40905,32185,-18671,-15048,5009,-2662.0,49807.0,,7294,5513.0,101273.0,,,539458,-16384,-335589,-28819,1577,-85032,56294,16583,148088,,41545,73752,-567,-2745,80,-6050.0,5239,1647.0,112901,260989,362262,201095,17134,-31266,-18922,168041,,13398.0,-29268.0,1750.0,-164844,773.0,8632.0,-169559,,68075.0,,1000000,-1100000.0,2753,-29172,-32575,-63265,888855,825590,825590,-12629.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1309,2012年01月01日至2012年03月31日,,86545,86545,,,44183,378,-213,-39392,15562,-6480,-8162,3591,-2662.0,0.0,-53765.0,-1330,2512.0,-45778.0,,,356404,80681,-240602,-5134,1553,-763691,-41972,-20350,-633111,,31704,299971,-191,-34780,7853,-3073.0,11534,900.0,313918,-319193,-364971,-278426,5807,-14417,-16,-287052,,13398.0,-33376.0,1750.0,-39960,622.0,1005.0,-56561,,593766.0,-199958.0,1500000,-1500000.0,-1598,392210,-21825,26772,888855,915627,915627,,,,,,,,,,,,,,,,,,,,,,
