公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　 取得以成本衡量之金融資產,　　 短期借款減少,　　 舉借長期借款,　　　　 呆帳費用提列（轉列收入）數,　　　　　 應收帳款－關係人（增加）減少,　　 以成本衡量之金融資產減資退回股款,　　 發放現金股利,　　　　 攤銷費用,　　　　　 預付款項（增加）減少,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 非控制權益變動,　　 其他非流動資產減少,　　 其他非流動負債增加,　　 其他金融資產減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　 償還長期借款,　　 現金增資,　　　　　 應收票據－關係人（增加）減少
3312,2014年01月01日至2014年03月31日,,12647,12647,,,1594,6968,-2304,6258.0,,,65033,-42134,-39652.0,-279354,,-23749,,-324069,,-22605,-16767,-26880,3498,54,-62700,-386769,-380511,-367864,2304,-6968,844,-371684,,-1525,,,-1139,,463141.0,493749,22777,143703,791870,935573,935573,,,,,30000.0,,-2056.0,,,,-2157.0,,,,386.0,608.0,,,,,,,,
3312,2013年度,,180546,180546,,,5924,8032,-5152,24371.0,,,-57362,-1261345,-28812.0,-618238,,11954,,-2041243,,540659,289301,31774,1224,354,863312,-1177931,-1153560,-973014,5152,-8032,-14071,-989965,,-13128,,,-35859,,1005265.0,1055265,24707,54148,737722,791870,791870,1.0,,-19500.0,,50000.0,15566.0,-87440.0,1913.0,,,,207.0,-5351.0,0.0,,,,0.0,0.0,,,,,
3312,2013年01月01日至2013年12月31日,,180546,180546,,,5924,8032,-5152,29646.0,,,-57362,-1261345,-28812.0,-618238,,12676,,-2041243,,540659,289301,31774,1224,354,863312,-1177931,-1148285,-967739,5152,-8032,-14071,-984690,,-13128,,,-41134,,1005265.0,1055265,24707,54148,737722,791870,791870,1.0,,-19500.0,,50000.0,15566.0,-87440.0,1913.0,0.0,5275.0,-722.0,207.0,-10626.0,0.0,,,,,,,,,,
3312,2013年01月01日至2013年09月30日,,117976,117976,,,4361,4387,-2756,12691.0,,,4523,-815633,,-394718,-1967.0,-2669,-3459.0,-1244287,,683162,98218,28002,5348,2,814732,-429555,-416864,-298888,1871,-4301,-20166,-321484,,-12622,140.0,18033.0,-12036,,455935.0,505935,18757,191172,737722,928894,928894,12.0,,-19500.0,,50000.0,6687.0,-30364.0,1913.0,0.0,,,,,,,,,,,,,,,
3312,2013年01月01日至2013年06月30日,,73627,73627,,,2783,2004,-1663,9312.0,,,-5491,-568664,626.0,-229464,-5486.0,4922,-2155.0,-805712,,289144,101162,6452,392,2,397152,-408560,-399248,-325621,1677,-1941,-12508,-338393,,-11635,605.0,12451.0,-18079,,315859.0,162104,37306,-157062,737722,580660,580660,12.0,6176.0,-19500.0,-203755.0,50000.0,,,,,,,,,,,,,,,,,,,
3312,2013年01月01日至2013年03月31日,,37761,37761,,,1307,1011,-1380,938.0,,,7223,-474185,2313.0,-93345,-3057.0,8508,-4375.0,-556918,,340865,43560,-1504,7011,2,389934,-166984,-166046,-128285,1360,-951,-10,-127886,,-7917,907.0,9939.0,2929,,77851.0,77851,24284,-22822,737722,714900,714900,,,,,,,,,,,,,,,,,,,,,,,,
3312,2012年01月01日至2012年12月31日,,61206,61206,,,3685,4233,-7630,2423.0,,,-1940,193252,26973.0,180981,,-7640,,391950,,32455,-186069,-12224,6471,-379,-159746,232204,234627,295833,7630,-4233,-23926,275304,,-5205,,,-8187,,40426.0,137131,-25985,378263,359459,737722,737722,32.0,,0.0,,0.0,-341.0,0.0,2250.0,-87158.0,2444.0,324.0,0.0,-5232.0,183863.0,,,,,,,,,,
3312,2012年01月01日至2012年09月30日,,36477,36477,,,2934,3381,-3584,12486.0,,,-24420,-217635,,116440,-848.0,-25183,-1200.0,-152846,,139307,12074,-12989,10014,27,148433,-4413,8073,44550,3528,-3948,-6079,38051,,-2209,-2928.0,-5491.0,-8378,,24406.0,-62752,10974,-22105,359459,337354,337354,11.0,,0.0,,0.0,9744.0,0.0,2250.0,-87158.0,,,,,,,,,,,,,,,
3312,2012年01月01日至2012年06月30日,,8234,8234,,,2081,2215,-1735,9842.0,,,-24072,-423663,-4532.0,119330,-3209.0,733,-1207.0,-336620,,62326,90218,-18504,5084,18,139142,-197478,-187636,-179402,1712,-2782,4830,-175642,,-1873,-3014.0,-5475.0,-10362,,320640.0,162928,-3657,-26733,359459,332726,332726,0.0,7281.0,0.0,-157712.0,0.0,,,,,,,,,,,,,,,,,,,
3312,2012年01月01日至2012年03月31日,,-12964,-12964,,,1091,1054,-233,1912.0,,,-65182,-149116,22261.0,105301,449.0,-363,291.0,-86359,,292375,-25563,-21523,13508,9,258806,172447,174359,161395,231,-1681,-11,159934,,-337,-1526.0,-3734.0,-5597,,-71101.0,-71101,-15536,67700,359459,427159,427159,,,,,,,,,,,,,,,,,,,,,,,,
