公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他預付款項增加,　　 存入保證金減少,　　　　 股利收入,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 處分不動產、廠房及設備,　　 收取之股利,　　 應付短期票券減少,　　 發放現金股利,　　 非控制權益變動,　　 其他投資活動,　　 取得投資性不動產,　　　　 利息費用,　　　　 利息收入,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 淨確定福利負債增加(減少),　　　　　 應付建造合約款增加（減少）,　　 其他金融資產減少
2545,2014年01月01日至2014年03月31日,,-167632,-167632,,,2866,12517,14814,,61780.0,91977.0,,,-76364,5201,-125934,-720,58593,9384,-1410,-524448,-47532,-5363,399225,-309368,,1387,-152231,11219,-456.0,531083,216957,607959,298591,390568,222936,-574,222362,,-502,-148,-17868,3998,-69602,,787200,-975898,300000.0,,-5846,,-108786,-4196,148564,2186606,2335170,2335170,,-866.0,,,,,,,,,-46112.0,-8970.0,,,,,,,,
2545,2013年度,,1898802,1898802,,,7601,48482,-21503,52.0,,279648.0,,,158629,65299,-138692,42303,-61837,5060,25807,268430,-293179,115424,-1346442,-1159198,,-24259,-162727,-3493,-643.0,1218164,-5658,1020506,-138692,140956,2039758,-219793,1819965,,-33928,-2276,-9561,20757,-1368538,,3543860,-3217320,0.0,2440000.0,-11384,0.0,-405410,-328102,123325,2063281,2186606,2186606,-1194000.0,-2323.0,-7592.0,-878.0,,0.0,7592.0,-200000.0,-2458011.0,-17514.0,-157122.0,0.0,273365.0,-20757.0,,,,,,
2545,2013年01月01日至2013年12月31日,,1898802,1898802,,,7601,48482,-21503,52.0,252608.0,279648.0,,,158629,65299,-138692,42303,-61837,5060,25807,268430,-293179,115424,-1346442,-1159198,,-24259,-162727,-3493,-643.0,1218164,-5658,1020506,-138692,140956,2039758,-219793,1819965,,-33928,-2276,-9561,20757,-1368538,,3543860,-3217320,,2440000.0,-11384,0.0,-405410,-328102,123325,2063281,2186606,2186606,-1194000.0,-2323.0,-7592.0,-878.0,,0.0,7592.0,-200000.0,-2458011.0,-17514.0,-157122.0,,,,,,,,,
2545,2013年01月01日至2013年09月30日,,1964711,1964711,,,4316,36317,-14996,4.0,193601.0,211811.0,,,-1946,59219,-64236,34117,96844,-167412,24809,735716,-208757,111825,-1111526,-491347,,-52841,-1478432,203974,-643.0,754407,3800,-570723,-1062070,-850259,1114452,-218621,895831,,-8121,0,-24187,14185,-10692,,2285200,-2645262,,2440000.0,-8538,0.0,-415460,-1024472,-139333,2063281,1923948,1923948,0.0,-6318.0,-7431.0,-988.0,0.0,0.0,7431.0,-200000.0,-2458011.0,-16083.0,,,,,,,,,,
2545,2013年01月01日至2013年06月30日,,1611437,1611437,,,2029,24211,-28952,0.0,131513.0,128801.0,,,180952,-1986,-155065,36226,50603,-61020,15322,674093,-120849,-37561,-372456,208259,,-47328,-1367378,135582,-643.0,407179,9181,-863407,-655148,-526347,1085090,-175144,909946,,-4470,0,-3883,6822,-1531,,275200,-2645262,-100000.0,2040000.0,-5693,0.0,-267708,-708391,200024,2063281,2263305,2263305,0.0,-4928.0,,,,,,,,,,,,,,,,,,
2545,2013年01月01日至2013年03月31日,,582926,582926,,,981,12105,-31976,0.0,67544.0,48654.0,,,164938,5583,-32500,-34467,50000,-54483,15521,566982,12502,-22235,-83,671758,,-143754,-161882,9736,-643.0,253277,6077,-37189,634569,683223,1266149,-3500,1262649,,-35136,0,-2182,1911,-35407,,725200,-1326522,100000.0,14697.0,-17543,-1059.0,-132942,-638169,589073,2063281,2652354,2652354,,,,,,,,,,,,,,,,,,,,
2545,2012年01月01日至2012年12月31日,,5616079,5616079,,,3214,28396,-45544,-1883.0,328900.0,299582.0,,,250579,-8219,23574,-23051,41765,-14444,-21278,-1528762,217073,-98673,-2486,-1163922,,-128855,-55335,33993,0.0,-1090620,26056,-1214627,-2378549,-2078967,3537112,-18862,3518250,,-8186,-1295,-78565,7109,-1256558,,4693968,-8409768,,3546000.0,-53888,13300.0,-587580,-1984172,277520,1785761,2063281,2063281,-1194000.0,0.0,-13501.0,134.0,,4878.0,13501.0,-203000.0,-983204.0,0.0,0.0,,,,,,,,,
2545,2012年01月01日至2012年09月30日,,2867497,2867497,,,2282,16298,-44868,-45.0,244242.0,204598.0,,,151452,2340,6827,501,91765,-7912,-3584,-3647628,45512,-111231,-740,-3472698,,95243,86983,176200,0.0,350969,49194,758589,-2714109,-2509511,357986,-4076,353910,,-2191,-1080,-80705,5046,-1259561,,7952968,-5357458,,0.0,-15430,2572.0,-442316,1103932,198281,1785761,1984042,1984042,-1194000.0,0.0,-13311.0,0.0,0.0,58.0,13311.0,-53200.0,-983204.0,0.0,,,,,,,,,,
2545,2012年01月01日至2012年06月30日,,283255,283255,,,1468,4225,-8466,12.0,146506.0,143745.0,,,67545,-7131,-96353,257,91765,-350,109,-2653568,-130205,-6440,-705842,-3440213,,89974,-148829,61844,0.0,668787,5032,676808,-2763405,-2619660,-2336405,-1592,-2337997,,-716,-632,-81028,4777,-1271599,,3597468,-521458,0.0,0.0,-10273,1570.0,-285710,2781597,-827999,1785761,957762,957762,-1194000.0,0.0,,,,,,,,,,,,,,,,,,
2545,2012年01月01日至2012年03月31日,,514265,514265,,,719,119,-47087,13.0,65148.0,18912.0,,,60055,-2893,-42932,-29080,40887,0,162,-1626959,-12896,7952,-265974,-1871678,,-99019,-109450,28953,0.0,181996,7450,9930,-1861748,-1842836,-1328571,-339,-1328910,,-278,-580,-211,3255,2186,,3125750,-1739918,0.0,0.0,-5129,270.0,-139617,1241356,-85368,1785761,1700393,1700393,,,,,,,,,,,,,,,,,,,,
