公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 員工執行認股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產重分類淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 金融資產減損損失,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　 退還（支付）之所得稅,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 因合併產生之現金流入,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他金融負債增加（減少）,　　 處分以成本衡量之金融資產,　　 預付投資款增加,　　 其他金融資產增加,　　 其他投資活動,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 其他籌資活動,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 長期應收租賃款減少,　　 其他非流動資產減少,　　 收取之股利,　　 發行公司債,　　 存入保證金減少,　　 現金增資,　　　　 不動產、廠房及設備轉列費用數,　　　　　 遞延貸項增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　　 其他應收款－關係人（增加）減少,　　 處分待出售非流動資產,　　 發放現金股利,　　　　 已實現銷貨損失（利益）,　　 處分備供出售金融資產,　　 發行特別股負債,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 處分其他資產損失（利益）,　　 取得無活絡市場之債務工具投資,　　 應付短期票券增加,　　 預付投資款減少,　　 其他金融資產減少,　　 取得按攤銷後成本衡量之金融資產
3576,2014年01月01日至2014年03月31日,,383551,383551,,,485114,27235,271,1197,54202,-21600,0,0.0,-22161,-47992,16993.0,507820.0,,,-899422,-26150,-742240,30692,-152905,-1997556,,307829,-8039.0,-281635,16134.0,55625,85422,192347,-1805209,-1297389,-913838,-910445,,-681351,-39794,,-11703,21855,-374094,,3520874,234797,0,-53405,42626,934258,23916,-326365,6372612,6046247,6046247,,,,-207531.0,,3393.0,,,,,,,,307756.0,,-2671989.0,-138669.0,24.0,,,,,,,0.0,11366.0,17777.0,,,,,14561.0,17011.0,,,,,,,,,,,,,,,,,,,
3576,2013年度,,499419,499419,,,1732639,62891,-11388,539,189174,-60034,1582,244556.0,-189805,29550,,1932372.0,,,-1345318,20324,-261438,429191,-207393,-1133533,,496682,,-550150,21291.0,35413,-8716,-32671,-1166204,766168,1265587,1262226,,-2751230,-42131,0.0,-47260,60023,-1856905,,18081051,607639,7746,-175519,126155,1176120,-28352,553089,5819523,6372612,6372612,,117471.0,88950.0,230863.0,-27191.0,-3361.0,-88950.0,-1858.0,1301754.0,238.0,,,,-370367.0,,-20022106.0,-1554684.0,8.0,,-7200.0,31.0,,0.0,,10969.0,7318.0,57627.0,7200.0,998830.0,,3107000.0,0.0,,0.0,0.0,0.0,-266584.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3576,2013年01月01日至2013年12月31日,,499419,499419,,,1732639,62891,-11388,539,189174,-60034,1582,244556.0,-189805,29550,,1932372.0,,,-1345318,20324,-261438,429191,-207393,-1133533,,496682,-27191.0,-550150,21291.0,35413,-8716,-32671,-1166204,766168,1265587,1262226,,-2751230,-42131,,-47260,60023,-1856905,,18081051,607639,7746,-175519,126155,1176120,-28352,553089,5819523,6372612,6372612,-266584.0,117471.0,88950.0,230863.0,,-3361.0,-88950.0,-1858.0,1301754.0,238.0,,0.0,0.0,-370367.0,,-20022106.0,-1554684.0,8.0,,-7200.0,31.0,0.0,0.0,0.0,10969.0,7318.0,57627.0,7200.0,998830.0,0.0,3107000.0,,,,,,,,,,,,,,,,,,,,,
3576,2013年01月01日至2013年09月30日,,193289,193289,,,1266797,95369,91668,-3222,136163,-12890,1244,50530.0,-213507,-10430,,1322761.0,,,-1628060,-10372,-397900,143238,-126168,-2766520,,695476,,-778937,,23893,2084,-50177,-2816697,-1493936,-1300647,-1305834,,-981261,-54132,-473198.0,-40221,13230,-762988,,15513009,744077,2021,-125126,107270,1505337,55130,-508355,5819523,5311168,5311168,-266584.0,98673.0,88950.0,-747496.0,-6644.0,-5187.0,-88950.0,-1259.0,1301754.0,238.0,13951.0,0.0,0.0,-333561.0,-105390.0,-13992612.0,-1742120.0,-12.0,998830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2013年01月01日至2013年06月30日,,-263056,-263056,,,801414,47167,108951,639,69551,-10226,976,50530.0,-141238,-51717,16023.0,715014.0,,,-1092840,-41881,-305284,1121821,-1084774,-1798451,,451761,,-654,7276.0,41244,-575236,-102158,-1900609,-1185595,-1448651,-1452851,,-810447,-12887,-34567.0,-27475,9898,336060,,1833208,-1082837,1011,-66288,110980,796074,46458,-274259,5819523,5545264,5545264,-266584.0,578.0,88950.0,-395493.0,-26549.0,-4200.0,-88957.0,-1259.0,1301754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2013年01月01日至2013年03月31日,,-599557,-599557,,,459480,20475,54726,438,29843,-4108,471,50530.0,2752,-13063,7236.0,608780.0,,,-350993,-7253,-418372,-351493,-57681,-1185792,,515608,6933.0,-59,2717.0,28258,-231554,321903,-863889,-255109,-854666,-854666,,-29384,-14482,-269180.0,-6493,4178,-315361,,-323771,101920,758,-29694,110978,-139809,16903,-1292933,5819523,4526590,4526590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2012年01月01日至2012年12月31日,,-4241862,-4241862,,,1890604,0,63075,-878,76122,-18177,0,547359.0,-182561,6743,,2456752.0,,,-822337,38063,580371,375950,-27171,144876,,-164067,22507.0,177788,13202.0,-111871,2421,-60020,84856,2541608,-1700254,-1700254,,-1510088,-9995,,-54103,18220,-1517873,,5278671,2728112,7331,-72031,221300,3533858,15113,330844,5488679,5819523,5819523,0.0,10504.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6226.0,-22590.0,1459.0,,-3100413.0,-1528673.0,0.0,,-1775.0,65736.0,-20249.0,-3558.0,1773.0,14454.0,0.0,58803.0,1775.0,0.0,-439.0,0.0,,,,,,,,,,,,,,,,,,,,,
3576,2012年01月01日至2012年09月30日,,-2784430,-2784430,,,1429074,43398,57587,-1017,52774,-12896,0,56521.0,-140843,-6472,,1480885.0,,,-914909,-26430,227188,352640,-30586,-392097,,671,,78969,,-104429,-6966,-17423,-409520,1071365,-1713065,-1713065,,-1225547,14244,0.0,-24046,12438,-1236893,,3208739,1981504,7331,-52168,221330,1912144,2428,-1035386,5488679,4453293,4453293,0.0,2759.0,0.0,0.0,3803.0,0.0,0.0,0.0,0.0,0.0,10529.0,6225.0,-22590.0,0.0,2383.0,-2277187.0,-1177405.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2012年01月01日至2012年06月30日,,-2218395,-2218395,,,946190,28074,58695,-825,33107,-9714,0,0.0,-251048,-28742,0.0,775737.0,,,-1327684,-15998,284455,249306,-10309,-820230,,581937,,-634,7370.0,-90778,46610,548380,-271850,503887,-1714508,-1714508,,-906937,14138,0.0,-17495,9909,-900385,,-222441,1367638,7331,-32245,221784,1342067,-470,-1273296,5488679,4215383,4215383,0.0,0.0,0.0,0.0,3875.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2012年01月01日至2012年03月31日,,-1830342,-1830342,,,470579,13099,59083,817,15232,-4044,0,0.0,-91369,-2764,0.0,460633.0,,,-900939,-51422,56298,154182,4727,-737154,,603272,0.0,-630,3232.0,-27549,994516,1572841,835687,1296320,-534022,-534022,,-470671,-54368,0.0,-3856,4087,-524808,,-159033,-430800,7106,-15132,120649,-477210,4315,-1531725,5488679,3956954,3956954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
