公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 短期借款減少,　　 非控制權益變動,　　　　　 預付款項（增加）減少,　　　　　 其他營業負債增加（減少）,　　 收取之股利,　　 發放現金股利,　　 存入保證金增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 應付短期票券增加
3550,2014年01月01日至2014年03月31日,,32990,32990,,,26998,1146,4890,-4142,53,-382,0,0.0,-2112,180,26631.0,,,-14640,137762,,-5090,-16971,-26758,74303,,3649,-112344,-15745,3529.0,-120911,-46608,-19977,13013,-4623,-16138,-7748,,-19422,3530.0,-79,5844,-36519,,0,67924,0,0.0,30370,11358,-2539,913527,910988,910988,901.0,-27293.0,-38045.0,,,,,,491.0,,,,
3550,2013年度,,148853,148853,,,82030,3654,15964,-13602,-1144,13525,1623,17230.0,-2488,697,117489.0,,,-3229,-164527,0.0,7033,-28564,4355,-175675,,-3730,-9452,-4447,-7903.0,-21154,-196829,-79340,69513,-14090,-56026,-603,,-27790,,-3875,11596,-42120,,247427,533598,-718357,-137.0,8597,57669,23543,889984,913527,913527,7628.0,-31393.0,,-7123.0,9257.0,4378.0,1714.0,-46811.0,0.0,,,,
3550,2013年01月01日至2013年12月31日,,148853,148853,,,82030,3654,15964,-13602,-1144,13525,1623,17230.0,-2488,697,117489.0,,,-3229,-164527,0.0,7033,-28564,4355,-175675,,-3730,-9452,-4447,-7903.0,-21154,-196829,-79340,69513,-14090,-56026,-603,,-27790,0.0,-3875,11596,-42120,,247427,533598,-718357,-137.0,8597,57669,23543,889984,913527,913527,7628.0,-31393.0,0.0,-7123.0,9257.0,4378.0,1714.0,-46811.0,0.0,,,,
3550,2013年01月01日至2013年09月30日,,104878,104878,,,62508,2830,11921,-9950,-1570,188,1623,10120.0,3229,522,81421.0,,,5959,-62378,0.0,9759,-16034,4751,-47269,,-3187,-48078,-36428,-4377.0,-89201,-136470,-55049,49829,-10313,-41478,-1962,,-19613,0.0,-2375,7052,-32292,,283662,174466,-350000,-137.0,57943,36990,60679,889984,950663,950663,2902.0,-21972.0,0.0,-7123.0,10674.0,2869.0,1714.0,-42925.0,,,,,
3550,2013年01月01日至2013年06月30日,,72355,72355,,,42226,1943,7947,-6237,-2062,777,1623,2164.0,-3590,346,45137.0,,,21669,-85557,0.0,10334,-9012,-1541,-64107,,-610,-10955,-25547,728.0,-36384,-100491,-55354,17001,-6730,-31798,-21527,,-13952,0.0,-1575,4900,-30386,,181538,0,-220000,-139.0,-45724,42722,-54915,889984,835069,835069,1883.0,-21642.0,0.0,-7123.0,,,,,,,,,
3550,2013年01月01日至2013年03月31日,,24986,24986,,,21224,912,3884,-2297,-632,204,1623,2137.0,-12251,171,14975.0,,,-3283,84901,0.0,10507,-42922,-230,48973,,-3849,-10902,-43321,351.0,-57721,-8748,6227,31213,-3656,-20947,6610,,-8224,-21577.0,-1193,2154,-28840,,1635,0,-80000,-139.0,-78504,29106,-71628,889984,818356,818356,,,,,,,,,,,,,
3550,2012年01月01日至2012年12月31日,,27353,27353,,,93908,3359,16766,-7180,-3486,3300,4285,0.0,7242,682,118876.0,,,-12118,172179,2015.0,-6195,41808,1645,198473,,-11025,-10656,-120871,1711.0,-139010,59463,178339,205692,-16943,-46763,141986,,-33706,898.0,-3770,6902,-21820,,0,300857,0,0.0,74263,-29336,165093,724891,889984,889984,6142.0,0.0,-184233.0,0.0,-861.0,1831.0,1714.0,-42500.0,139.0,,,,
3550,2012年01月01日至2012年09月30日,,26676,26676,,,71898,2423,12705,-5330,-3293,2478,2620,0.0,4716,513,88730.0,,,18525,166055,1726.0,-13807,13924,9788,198448,,3437,5445,-119334,1284.0,-108083,90365,179095,205771,-12775,-32325,160671,,-22572,827.0,-2695,5261,-11454,,0,300000,0,0.0,91467,-29669,211015,724891,935906,935906,6011.0,0.0,-166033.0,0.0,2237.0,1085.0,1714.0,-42500.0,,,,,
3550,2012年01月01日至2012年06月30日,,9209,9209,,,48731,1593,8450,-3380,-983,1739,2620,0.0,-7559,342,51553.0,,,36991,170434,320.0,-5413,31679,8192,242203,,5595,-52663,-131439,849.0,-177658,64545,116098,125307,-8389,-19309,97609,,-15574,84.0,-2565,3350,-13407,,0,300000,0,0.0,159429,-13445,230186,724891,955077,955077,1298.0,0.0,-140571.0,0.0,,,,,,,,,
3550,2012年01月01日至2012年03月31日,,-6435,-6435,,,24877,800,4052,-1373,551,296,0,0.0,4669,172,34044.0,,,-3766,247579,1886.0,-4888,-25647,4057,219221,,-7415,-90324,-66456,414.0,-163781,55440,89484,83049,-3924,-8000,71125,,-3239,121.0,-1010,1278,-2850,,-188658,300000,0,0.0,111342,-19030,160587,724891,885478,885478,,,,,,,,,,,,,
