公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 收取之股利,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　　　　 其他項目,　　 對子公司之收購（扣除所取得之現金）,　　 處分以成本衡量之金融資產,　　 現金增資,　　 員工執行認股權,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　 處分採用權益法之投資,　　 預付設備款增加,　　 短期借款增加,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 取得無活絡市場之債券投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得按攤銷後成本衡量之金融資產,　　 處分無活絡市場之債務工具投資,　　 短期借款減少,　　　　 利息費用,　　　　　 預付款項（增加）減少,　　 支付之利息,　　 庫藏股票買回成本,　　 取得無活絡市場之債務工具投資,　　 處分子公司,　　 非控制權益變動,　　 支付之股利
4144,2014年01月01日至2014年03月31日,,170670,170670,,,829,8680,158,,-4602,964,-92408,-79889.0,,,-15872,1273,-38750,-55618,179016.0,69523,,2720,-43895,-2509,-43684,25839,-54050,116620,4602,-19201,102021,,0.0,117076.0,-196883.0,-10000.0,-738,,5187,-84469,-10149,57403,930104,987507,987507,,6490.0,,,-111.0,,,,,50000.0,,,,50000.0,,-634.0,108.0,1000.0,,,,,,,,,,,,,,,,,,
4144,2013年度,,482226,482226,,,5084,26198,844,,-33605,6292,-215050,-200614.0,,,24747,-100412,-15267,-88003,-151761.0,-330696,,-3117,36528,4517,37928,-292768,-493382,-11156,33605,-118131,-95682,,-217456.0,325207.0,-113389.0,-145527.0,-7928,,16762,-280518,70210,181,929923,930104,930104,-1923.0,11603.0,-57.0,98.0,-1252.0,0.0,1923.0,,-235949.0,306171.0,,-138956.0,,538650.0,3470.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
4144,2013年01月01日至2013年12月31日,,482226,482226,,,5084,26198,844,,-33605,6292,-215050,-200614.0,,,24747,-100412,-15267,-88003,-151761.0,-330696,,-3117,36528,4517,37928,-292768,-493382,-11156,33605,-118131,-95682,,-217456.0,325207.0,-113389.0,-145527.0,-7928,,16762,-280518,70210,181,929923,930104,930104,-1923.0,11603.0,-57.0,98.0,-1252.0,0.0,1923.0,,-235949.0,306171.0,,-138956.0,0.0,538650.0,3470.0,,,,,,,,,,,,,,,,,,,,,
4144,2013年01月01日至2013年09月30日,,436919,436919,,,3831,17993,529,,-29771,4876,-203693,-200129.0,,,15384,-21093,-16434,-91899,11450.0,-102592,,2309,-39408,4469,-32630,-135222,-335351,101568,29771,-93409,37930,,-57815.0,282915.0,-83089.0,-145370.0,-5628,,11837,-111800,45366,-264453,929923,665470,665470,-1811.0,7917.0,0.0,0.0,-1153.0,0.0,1811.0,,-235949.0,-235949.0,0.0,-115308.0,,,,,,,,,,,,,,,,,,,,,,,,
4144,2013年01月01日至2013年06月30日,,309126,309126,,,2518,11130,398,0.0,-22915,3235,-104528,-106562.0,,,22678,-13580,-70676,-82063,-51739.0,-195380,,31225,-38499,1040,-6234,-201614,-308176,950,22915,-62145,-38280,,-28735.0,151206.0,0.0,-144678.0,-4527,-1230.0,7507,-19164,59052,-10340,929923,919583,919583,-1647.0,5247.0,0.0,0.0,-354.0,0.0,1647.0,,-11948.0,-11948.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4144,2013年01月01日至2013年03月31日,,158285,158285,,,1209,5496,218,0.0,-11543,1609,-65184,-68195.0,,,35739,5373,-14028,-4177,19215.0,42122,,-1101,-15757,767,-16091,26031,-42164,116121,11543,-28835,98829,,-28389.0,97774.0,0.0,-105060.0,-73,0.0,3740,-32008,36170,102991,929923,1032914,1032914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4144,2012年01月01日至2012年12月31日,,432154,432154,,,4180,13407,211,,-23064,4723,-1227,3642.0,,,-32402,-54508,-15994,-11984,-49568.0,-164456,,-3492,21091,-552,17047,-147409,-143767,288387,23064,-120102,191349,,-4297.0,0.0,-165607.0,0.0,-4995,,7116,-279038,-48940,-416629,1346552,929923,929923,-1590.0,6935.0,67.0,777.0,-671.0,211.0,1590.0,,-280000.0,-280000.0,,-115861.0,2699.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
4144,2012年01月01日至2012年09月30日,,351432,351432,,,3077,7572,179,,-17603,3216,0,-4051.0,,,-19933,-39505,-22025,15704,-10079.0,-75838,,-951,-2615,1370,-2196,-78034,-82085,269347,17603,-87496,199454,,0.0,0.0,-123519.0,0.0,-3188,,3498,-237110,-49521,-367177,1346552,979375,979375,-1592.0,974.0,67.0,777.0,-620.0,211.0,1592.0,,-280000.0,-280000.0,59.0,-115861.0,,,,,,,,,,,,,,,,,,,,,,,,
4144,2012年01月01日至2012年06月30日,,242163,242163,,,1835,1443,0,1691.0,-8037,1982,0,-2049.0,,,-16600,-64822,-11461,16627,-12527.0,-88783,,0,-8865,-616,-9481,-98264,-100313,141850,8037,-54058,95829,,0.0,0.0,-73704.0,0.0,-2527,0.0,0,-74006,-35763,-13940,1346552,1332612,1332612,-1590.0,560.0,67.0,777.0,-353.0,211.0,1590.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4144,2012年01月01日至2012年03月31日,,104297,104297,,,904,720,0,978.0,-3131,990,0,461.0,,,-25318,-12569,-15404,34541,8200.0,-10550,,82,-6479,1238,-5159,-15709,-15248,89049,3131,-19015,73165,,0.0,0.0,-73819.0,0.0,-396,211.0,0,-74004,-41763,-42602,1346552,1303950,1303950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
