公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　 現金增資,　　 取得無形資產,　　　　 非金融資產減損損失,　　 取得待出售非流動資產,　　 處分不動產、廠房及設備,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 取得子公司股權,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 應付款項增加,　　 其他籌資活動,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少
3519,2014年01月01日至2014年03月31日,,-116384,-116384,,,403683,886,,54742,-326,8729,0,0.0,0,,457112.0,,,-12868,271948,-7296,-54962,-199690,-586,178871,175417,,3742,-472298,-307988,954,-60530,62.0,-25733,-861791,-686374,-229262,-345646,317,-19518,-364847,,0.0,-20675.0,285426.0,0.0,-62181,324251,,3915179,-4142674,903598.0,-1352261.0,751374,-286122,-54856,0.0,684298,-2566,641136,983742,1624878,1624878,,,950060.0,-49.0,,,,-10602.0,121730.0,,,,,,,,,,
3519,2013年度,,-2361923,-2361923,,,2238533,3344,0.0,275491,-4991,27704,258,-115111.0,-127791,,2527374.0,,,57537,-644146,330752,270431,-450761,-3868,772361,332306,,-57965,1918161,561958,2755,-314829,168.0,-67762,2042486,2374792,4902166,2540243,5140,7960,2553343,,360357.0,-390435.0,74220.0,0.0,-133002,-200055,,21531076,-22107635,548442.0,0.0,178591,-3284419,-280477,209.0,-2964213,9834,-601091,1584833,983742,983742,10672.0,0.0,450000.0,-1411.0,219265.0,-109784.0,0.0,0.0,0.0,0.0,,,,,,,,,
3519,2013年01月01日至2013年12月31日,,-2361923,-2361923,,,2238533,3344,0.0,275491,-4991,27704,258,-115111.0,-127791,0.0,2527374.0,,,57537,-644146,330752,270431,-450761,-3868,772361,332306,,-57965,1918161,561958,2755,-314829,168.0,-67762,2042486,2374792,4902166,2540243,5140,7960,2553343,,360357.0,-390435.0,74220.0,0.0,-133002,-200055,,21531076,-22107635,548442.0,0.0,178591,-3284419,-280477,209.0,-2964213,9834,-601091,1584833,983742,983742,10672.0,0.0,450000.0,-1411.0,219265.0,-109784.0,0.0,,,,,,,,,,,,
3519,2013年01月01日至2013年09月30日,,-1721537,-1721537,,,1678406,2530,0.0,207618,-3524,33247,174,-115111.0,-127431,,1684849.0,,,74055,-443011,247892,30548,-387812,-947,572347,93072,,-56718,1665695,850284,2042,-222603,0.0,-47820,2190880,2283952,3968801,2247264,3448,17655,2268367,,360357.0,-491825.0,218969.0,0.0,-67793,-90386,,14958566,-15473826,598696.0,0.0,144370,-2393146,-206640,209.0,-1921771,13714,269924,1584833,1854757,1854757,8940.0,-109723.0,450000.0,-371.0,,,,,,,,,,,,,,,
3519,2013年01月01日至2013年06月30日,,-1288824,-1288824,,,1098685,1713,0.0,134543,-2480,26509,134,-115111.0,-126400,,1032392.0,,,98828,-877448,289463,-86061,-149605,-13992,262355,-476460,,-57965,1237584,743919,768,-181854,-9.0,13412,1755855,1279395,2311787,1022963,2519,24921,1050403,,360357.0,-126066.0,212360.0,0.0,-37034,297835,,10311243,-10290409,399187.0,0.0,144371,-1495271,-134476,0.0,-615355,28458,761341,1554398,2315739,2315739,14799.0,-111782.0,450000.0,,,,,,,,,,,,,,,,
3519,2013年01月01日至2013年03月31日,,-671731,-671731,,,548455,861,0.0,57059,-1039,14405,134,-115111.0,-8869,0.0,495895.0,,,25269,-773199,96324,111320,-214072,-88,106816,-647630,,1724,634196,857049,438,-145231,-8.0,60733,1408901,761271,1257166,585435,755,-67,586123,,360357.0,-53880.0,97618.0,0.0,-28483,375612,,5095195,-5221816,399101.0,0.0,144371,-698256,-55814,0.0,-337219,14975,639491,1554398,2193889,2193889,,,,,,,,,,,,,,,,,,,
3519,2012年01月01日至2012年12月31日,,-3693189,-3693189,,,2223802,3634,-15254.0,301676,-12997,94631,1938,0.0,0,82552.0,3039462.0,,,-17215,-401698,219385,-528335,-584151,19716,740678,-551620,,57965,1047896,187617,2639,135797,-385.0,-624050,807479,255859,3295321,-397868,25977,-34565,-406456,,0.0,-164452.0,459359.0,-2140.0,-581587,-361449,,22577540,-23279969,0.0,-99325.0,781343,-2239362,-312647,-14424.0,-1042996,-52516,-1863417,3448250,1584833,1584833,-4637.0,-72679.0,1543848.0,0.0,364117.0,0.0,50.0,,,,,,,,,,,,
3519,2012年01月01日至2012年09月30日,,-2747132,-2747132,,,1666470,2758,-15237.0,227392,-8711,89671,1059,0.0,0,,1958462.0,,,47929,68473,92176,-763033,-246316,19906,380144,-400721,,1247,649968,75457,2259,-78554,-407.0,-143583,506387,105666,2064128,-683004,21340,-788,-662452,,0.0,-329455.0,694589.0,-60236.0,-464855,-159957,,16565893,-17019459,0.0,-99325.0,570000,-1464602,-230988,-15330.0,-149963,-60852,-1033224,3448250,2415026,2415026,-4940.0,0.0,1543848.0,0.0,,,,,,,,,,,,,,,
3519,2012年01月01日至2012年06月30日,,-1854018,-1854018,,,1089697,1845,-15313.0,149349,-8711,78959,402,0.0,0,,1296228.0,,,-180969,-563829,90897,-348791,-78173,19921,204985,-855959,,224740,643190,62921,0,-48751,-325.0,-156561,725214,-130745,1165483,-688535,21378,-570,-667727,,0.0,-124308.0,461129.0,-16766.0,-266243,53812,,11887624,-12008351,0.0,-99325.0,570000,-848831,-158620,-15330.0,871015,-30826,226274,3404781,3631055,3631055,0.0,0.0,1543848.0,,,,,,,,,,,,,,,,
3519,2012年01月01日至2012年03月31日,,-922261,-922261,,,542573,950,-15332.0,68686,-4941,36639,217,0.0,0,-2136.0,626656.0,,,-218864,-807261,51977,-105058,-129143,8851,209328,-990170,,124087,565581,-10800,0,-74898,-224.0,-69168,534578,-455592,171064,-751197,18063,-377,-733511,,0.0,-73781.0,461682.0,-13070.0,-157076,217755,,5333976,-5743417,0.0,-99325.0,0,-416306,-74686,-15330.0,-1015088,-42317,-1573161,3404781,1831620,1831620,,,,,,,,,,,,,,,,,,,
