公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 應付短期票券減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 以成本衡量之金融資產減資退回股款,　　 償還長期借款,　　 發放現金股利,　　 現金減資,　　　　 股利收入,　　 收取之股利,　　 短期借款減少,　　 非控制權益變動,　　 其他非流動資產增加,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分以成本衡量之金融資產,　　 存出保證金減少,　　 取得無活絡市場之債務工具投資,　　 庫藏股票處分
1459,2014年01月01日至2014年03月31日,,17864,17864,,,57551,603,10415,-6251,7,0.0,,58134.0,,,0,35927,19886,,10203,-1170,17013,,81859,,100.0,-52,6278,-20064,12589,38.0,-1111,80748,138882,156746,-4715,152031,,-86026,-3047,-7.0,0,5835,-316349,,222536,0.0,0.0,0.0,66.0,,0.0,-1669.0,,,-10200,-139132,1069,-302381,712518,410137,410137,-4503.0,44561.0,-273081.0,0.0,-349865.0,312.0,,0.0,,,,,0.0,,-4584.0,,,,,,,,,
1459,2013年度,,197240,197240,,,223788,2364,42420,-19758,0,,15.0,14662.0,,,405,-12426,4389,,-13031,-18495,2445,,-36713,,-2618.0,-5233,-19760,-14185,7605,-848.0,-35039,-71752,-57090,140150,-9905,130245,,-1115702,-8807,-79.0,4191,31687,441676,,0,49947.0,-500000.0,948004.0,1763.0,,0.0,-199191.0,,,-33620,-587395,16841,1367,711151,712518,712518,-188289.0,1432351.0,,44161.0,,1990.0,6006.0,-746940.0,-31768.0,-6617.0,-47868.0,47868.0,-67319.0,-1654.0,0.0,0.0,0.0,,,,,,,
1459,2013年01月01日至2013年12月31日,,197240,197240,,,223788,2364,42420,-19758,0,,15.0,14662.0,,,405,-12426,4389,,-13031,-18495,2445,,-36713,,-2618.0,-5233,-19760,-14185,7605,-848.0,-35039,-71752,-57090,140150,-9905,130245,,-1115702,-8807,-79.0,4191,31687,441676,,0,49947.0,-500000.0,948004.0,1763.0,0.0,,-199191.0,,,-33620,-587395,16841,1367,711151,712518,712518,-188289.0,1432351.0,0.0,44161.0,0.0,1990.0,6006.0,-746940.0,-31768.0,-6617.0,-47868.0,47868.0,-67319.0,-1654.0,,,,,,,,,,
1459,2013年01月01日至2013年09月30日,,36466,36466,,,168002,1770,33356,-16672,0,,-4.0,174040.0,,,354,60075,25550,-2252.0,-120710,-33209,-11442,,-81634,,1444.0,-6824,-9704,77083,7272,334.0,69605,-12029,162011,198477,-754,197723,,-705723,-5864,-79.0,4312,26687,-140500,,57469,215012.0,-500000.0,349034.0,,-179.0,,-119506.0,,,-58708,-242203,-23081,-208061,711151,503090,503090,-10408.0,367362.0,0.0,172805.0,,-2004.0,0.0,-146940.0,-31768.0,-6617.0,,,,,,,,,,,,,,
1459,2013年01月01日至2013年06月30日,,-15839,-15839,,,111267,1175,22064,-12865,0,,4826.0,123832.0,,,388,17771,78729,-469.0,-166206,3957,435,,-65395,,-598.0,-13414,-26758,-1043,10689,292.0,-30832,-96227,27605,11766,-6162,5604,,-539245,-3932,-119.0,1594,18585,-356512,,119274,260889.0,-500000.0,200000.0,,-146.0,7174.0,,,-832.0,-46920,39439,1430,-310039,711151,401112,401112,-2635.0,98487.0,0.0,68118.0,0.0,,,,,,,,,,,,,,,,,,,
1459,2013年01月01日至2013年03月31日,,-8497,-8497,,,55451,583,11600,-8321,0,1164.0,-18586.0,41891.0,,,388,124215,33883,4598.0,-133413,-22619,-4428,37120.0,39744,,-552.0,-10168,-2750,-31222,-1834,179.0,-46347,-6603,35288,26791,5449,32240,,-244882,-3082,-100.0,7484,8395,-232185,,4450,99936.0,-500000.0,204236.0,18.0,0.0,6998.0,0.0,5407.0,0.0,-17513,-196468,177,-396236,711151,314915,314915,,,,,,,,,,,,,,,,,,,,,,,,
1459,2012年01月01日至2012年12月31日,,-34495,-34495,,,216945,2283,56372,-24352,374,,-23.0,204981.0,,,-511,283618,44985,,104321,-6187,3929,,430155,,639.0,13104,-100480,-12227,-11719,433.0,-110250,319905,524886,490391,-5070,485321,,-30900,-25818,0.0,9316,7485,-251730,,77685,0.0,0.0,600000.0,0.0,-1873.0,,-11506.0,,,-46341,-68968,13514,178137,533014,711151,711151,-1560.0,32460.0,-295454.0,0.0,-29998.0,123.0,6000.0,-504318.0,-149308.0,0.0,-45181.0,45181.0,0.0,-3309.0,,,,,,,,,,
1459,2012年01月01日至2012年09月30日,,-44217,-44217,,,163149,1714,43364,-16224,129,,-23.0,198787.0,,,-16636,255302,-9994,-5774.0,192917,7783,9933,,433531,,168.0,10234,-116330,36922,-8381,124.0,-77263,356268,555055,510838,-12795,498043,,-30900,-20125,0.0,8669,6300,-463248,,604,20037.0,0.0,224371.0,,-276.0,,-63703.0,,,-34509,-230408,13385,-182228,533014,350786,350786,-1560.0,32460.0,-465652.0,0.0,,8238.0,6000.0,-227624.0,-149308.0,0.0,,,,,,,,,,,,,,
1459,2012年01月01日至2012年06月30日,,-50405,-50405,,,108797,1142,28546,-8545,79,,2907.0,132926.0,,,-12421,286098,29130,1369.0,177984,-23713,996,,459443,,48.0,0,-123560,-17248,173,80.0,-140507,318936,451862,401457,-6719,394738,,-30900,-14707,0.0,1968,3243,-362632,,38228,0.0,0.0,100000.0,,-2.0,672.0,,,-1009.0,-31452,106388,-133,138361,533014,671375,671375,0.0,0.0,-322236.0,0.0,-49.0,,,,,,,,,,,,,,,,,,,
1459,2012年01月01日至2012年03月31日,,-28854,-28854,,,54351,571,13476,-2770,28,0.0,16380.0,82036.0,,,0,225344,-78186,21.0,75523,-33870,1680,-269948.0,-79436,,2333.0,0,-132648,-10208,2800,38.0,-137685,-217121,-135085,-163939,-8205,-172144,,0,-3456,0.0,1235,2735,514,,48156,149994.0,0.0,96402.0,0.0,-120.0,0.0,-5293.0,0.0,-5519.0,-23403,260217,-567,88020,533014,621034,621034,,,,,,,,,,,,,,,,,,,,,,,,
