公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分待出售非流動資產損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　　 其他流動資產（增加）減少,　　 處分待出售非流動資產,　　 存出保證金增加,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 其他非流動負債增加,　　 停業單位稅前淨利（淨損）,　　　　　 其他應付款－關係人增加（減少）,　　 取得備供出售金融資產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分無形資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少)
1301,2014年01月01日至2014年03月31日,,8003246,8003246,,,1903069,144037,-1126,0.0,379665,-128835,8265.0,-4211868,-16456,854.0,-137243,,-4687263.0,,,85096,1231295,-261867,431482,-153168,-3305058,,-2385115,,-2373657,-998624,106705,1651007,-37234.0,-1672534,-4057649,-8744912,-741666,87913,,-164290,-135120,-953163,,0.0,-2739134,16701,,,874231,,-601172.0,,1326589,,,0.0,-633514,11816.0,,,-2576,594822,-32336,935912,7672877,8608789,8608789,,,-412895.0,,,-1094348.0,-3099844.0,,,5363750.0,49538.0,,-20731.0,-965.0,0.0,-2627625.0,3776928.0,,,,,,,
1301,2013年度,,23164498,23164498,,,8247224,645875,1237,-5866.0,1482832,-668751,,-16639868,-133559,249.0,-132330,,-7210215.0,,,-215896,-1646254,-448548,-368611,-2086840,-399689,,-6133833,,591611,2902833,-62914,1743076,-235957.0,5323248,-810585,-8020800,15143698,677593,2165949.0,-1477995,-240985,16268260,,-13017413.0,-13148670,673529,,0.0,11168093,,,196096.0,-14221156,,,,-7431665,0.0,-196159.0,,-7336651,-4886266,306220,-2532942,10205819,7672877,7672877,,-7258.0,-967995.0,,,-4067001.0,-5098562.0,19947570.0,-9000000.0,8277481.0,18721.0,,384599.0,0.0,,0.0,0.0,0.0,0.0,0.0,-92791.0,,,
1301,2013年01月01日至2013年12月31日,,23164498,23164498,,,8247224,615585,1237,-5866.0,1482832,-668751,,-16639868,-133559,249.0,-132330,30290.0,-7210215.0,,,-215896,-1646254,-448548,-368611,-2086840,-399689,,-6133833,,591611,2902833,-62914,1743076,-235957.0,5323248,-810585,-8020800,15143698,677593,2165949.0,-1477995,-240985,16268260,,-13017413.0,-13148670,673529,0.0,0.0,11168093,-92791.0,0.0,229241.0,-14221156,,0.0,0.0,-7431665,0.0,-196159.0,,-7336651,-4886266,306220,-2532942,10205819,7672877,7672877,0.0,-7258.0,-967995.0,0.0,-33145.0,-4067001.0,-5098562.0,19947570.0,-9000000.0,8277481.0,18721.0,,384599.0,0.0,0.0,,,,,,,,,
1301,2013年01月01日至2013年09月30日,,16780004,16780004,,,6212383,466704,340,-5866.0,1101852,-533633,,-12520492,-133403,249.0,89156,22111.0,-5307857.0,,,124253,-37579,48725,-211090,-810513,-369555,,-2258301,,-2041988,953426,-34271,3714056,-85784.0,2505439,247138,-5060719,11719285,535996,2165949.0,-951686,-209960,13259584,,-13017413.0,-9231238,672848,0.0,0.0,10169453,-91159.0,-523791.0,,-12031494,,0.0,,-3444943,1159685.0,0.0,,-7418468,-1875649,122999,-524560,10205819,9681259,9681259,0.0,-7258.0,-1002542.0,0.0,-10194.0,-1593900.0,-1699673.0,11470660.0,-6000000.0,5640100.0,10890.0,0.0,,,,,,,,,,,,
1301,2013年01月01日至2013年06月30日,,9815839,9815839,,,4145043,321589,336,-3884.0,726671,-382493,,-7014522,-17662,249.0,-91353,14227.0,-2309057.0,,,45053,-497856,-1325010,84692,-500438,1454359,,-1617339,,-2117366,442584,-12917,4501241,7508.0,2821050,1203711,-1105346,8710493,406512,1417515.0,-719300,-170088,9645132,,-11371671.0,-4393518,19215,,0.0,8114425,-8993.0,-682580.0,,-8332364,,0.0,,-4974683,169031.0,0.0,0.0,-3549,-237558,223160,1298370,10205819,11504189,11504189,0.0,-7258.0,-878139.0,0.0,-9242.0,-2874543.0,-1100975.0,11470660.0,-6000000.0,3057200.0,19301.0,,,,,,,,,,,,,
1301,2013年01月01日至2013年03月31日,,5647404,5647404,,,2076425,160111,52,-1932.0,384384,-209310,5265.0,-4655861,-8046,212.0,-115305,128334.0,-2235671.0,,,150689,-44598,-957544,-282268,-195932,-2185552,-875952.0,-4391157,,-1391113,1157252,3106652,3327,10704.0,2886822,-1504335,-3740006,1907398,208974,0.0,-235220,-62655,1818497,,-2935794.0,-1616731,8324,-4685.0,0.0,3875184,-92794.0,0.0,58394.0,-708102,,-3488865.0,1801187.0,0,908157.0,0.0,1484.0,-1426,-779463,-743441,-412509,10205819,9793310,9793310,,,,,,,,,,,,,,,,,,,,,,,,
1301,2012年01月01日至2012年12月31日,,16998696,16998696,,,8884807,826124,-194,4040.0,1325409,-825420,,-7808878,-14183,901.0,-4164,21526.0,1388617.0,,,-123000,463081,-305194,-114343,-896442,1955318,,987801,,412648,1305497,-269136,58703,122477.0,1677048,2664849,4053466,21052162,841441,5921631.0,-1385928,-2176248,24253058,,-4186197.0,-6532224,29910,7372.0,-2877758.0,0,-120457.0,-6958117.0,0.0,-21695483,,13046902.0,8198406.0,-24579456,167897.0,0.0,,-24456215,-59441,-187309,2310825,7894994,10205819,10205819,-1014093.0,-7258.0,8381.0,1191988.0,0.0,0.0,0.0,20945275.0,-6000000.0,12600000.0,17750.0,,46859.0,-2250000.0,0.0,,,,,,,,,
1301,2012年01月01日至2012年09月30日,,13925575,13925575,,,6677609,656192,-562,6114.0,978803,-629263,,-5603286,-17400,3502.0,95686,14786.0,1160830.0,,,-159241,506600,-555782,198415,-792351,3840246,,2699035,,-2063785,723130,262574,747945,87746.0,-242390,2456645,3617475,17543050,631675,5921630.0,-840116,-2099406,21156833,,-3374575.0,-4525907,29392,3094.0,-2535424.0,0,-120247.0,-827941.0,,-10159620,,13521421.0,,-17885144,0.0,-158679.0,,-24550175,-9504942,-182488,1309783,7894994,9204777,9204777,-1014093.0,-7258.0,-338852.0,1191988.0,0.0,0.0,0.0,11969720.0,-3000000.0,10200000.0,397915.0,0.0,,,,,,,,,,,,
1301,2012年01月01日至2012年06月30日,,5849940,5849940,,,4483471,482742,-216,8234.0,653461,-416756,,-743543,-497,3502.0,-78466,9353.0,3399497.0,,,-9546,285724,537533,-74484,-14717,2700426,,2057028,,464040,-1107478,-17596,-64554,53954.0,-671634,1385394,4784891,10634831,390626,337836.0,-713099,-1602447,9047747,,-1498620.0,-2568142,1836,,-3666898.0,0,0.0,-1514927.0,,-8074694,,6416932.0,,-11981265,0.0,-288664.0,-4885.0,-6438,-1881960,3433,-905474,7894994,6989520,6989520,-994530.0,-7258.0,-1367908.0,1172399.0,-342.0,0.0,0.0,6982360.0,-3000000.0,0.0,0.0,,,,,,,,,,,,,
1301,2012年01月01日至2012年03月31日,,5512612,5512612,,,2258412,252301,1713,10036.0,351317,-197378,4480.0,-2619004,-995805,2715.0,18656,-91928.0,-1004485.0,,,-55813,-1908519,-814103,126637,-21490,3289196,-100282.0,515626,,-1967046,2914926,1940774,-394024,32387.0,2527017,3042643,2038158,7550770,206926,15038.0,-118275,-9722,7644737,,-160763.0,-1317475,1174060,1087.0,-5887735.0,0,-34330.0,-1202123.0,0.0,-7427279,,6878946.0,0.0,-4416589,0.0,-288664.0,-5084.0,-1108,2167501,-71013,2313946,7894994,10208940,10208940,,,,,,,,,,,,,,,,,,,,,,,,
