公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 攤銷費用,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　 存入保證金增加,　　　　 股利收入,　　　　 處分投資損失（利益）,　　 收取之股利,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 償還公司債,　　 取得以成本衡量之金融資產,　　　 收益費損項目,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 股份基礎給付酬勞成本,　　　　 其他項目
3376,2014年01月01日至2014年03月31日,,304536,304536,,,122252,0.0,4115,-21872,0.0,-514,,104384.0,,,,-511,189296,-58447,-43721,61884,145,148646,,-4645,-45202,-21277,-100.0,4703,-66521,82125,186509,491045,20190,-3582,-12010,495643,,-122429,56121,-201,3429,-79358,-123975,-266413,,465642,-345944,117798,9540,356568,1882957,2239525,2239525,403.0,,,,,,,,,,-1900.0,,,,,,,
3376,2013年度,,1196007,1196007,,,509090,-20091.0,26088,-84822,-1535.0,40673,,468146.0,,,,183,197056,-7116,205817,31712,-5731,421921,,-3370,-130597,5504,110.0,-23171,-151524,270397,738543,1934550,82844,-21754,-448786,1548854,,-585473,122032,-17844,25635,157320,124333,-156307,,242444,-998993,-1539819,194220,46948,1836009,1882957,1882957,1561.0,-818.0,17690.0,1744.0,-2000.0,,2000.0,-2709.0,-782305.0,,0.0,0.0,,,,,,
3376,2013年01月01日至2013年12月31日,,1196007,1196007,,,509090,-20091.0,26088,-84822,-1535.0,40673,0.0,468146.0,,,0.0,183,197056,-7116,205817,31712,-5731,421921,,-3370,-130597,5504,110.0,-23171,-151524,270397,738543,1934550,82844,-21754,-448786,1548854,,-221183,122032,-17844,25635,157320,-239957,-156307,,242444,-998993,-1539819,194220,46948,1836009,1882957,1882957,1561.0,-818.0,17690.0,1744.0,-2000.0,0.0,2000.0,-2709.0,-782305.0,0.0,,,,,,,,
3376,2013年01月01日至2013年09月30日,,872485,872485,,,378151,-14297.0,20889,-59635,-1535.0,21553,0.0,343472.0,,,0.0,-1557,114009,-32804,185247,66279,-4298,326876,,-16514,-162085,-88595,-27.0,-24943,-292164,34712,378184,1250669,61044,-17777,-415228,880708,,-197923,107859,-6214,11111,516583,-179043,270063,,968446,-1519899,-1333700,132239,-50690,1836009,1785319,1785319,1164.0,-818.0,17690.0,1262.0,-2000.0,0.0,2000.0,-1204.0,-782305.0,0.0,,,,,,,,
3376,2013年01月01日至2013年06月30日,,486831,486831,,,251439,2717.0,14729,-45279,-1535.0,5375,0.0,227404.0,,,,-532,422668,-40981,93077,74394,-2865,545761,,-18324,-178307,-44001,-104.0,-21489,-262225,283536,510940,997771,44448,-11543,-277270,753406,,-169027,105195,-603,7546,8936,-121122,-151385,,682713,-891181,-208468,199155,592708,1836009,2428717,2428717,776.0,-818.0,17690.0,0.0,,,,,,,,,,,,,,
3376,2013年01月01日至2013年03月31日,,272657,272657,,,122894,16879.0,8152,-19917,-2665.0,-7767,0.0,117576.0,,,0.0,-615,338769,-54086,17452,53320,-1433,353407,,-12983,-135294,-48359,-104.0,-27048,-223788,129619,247195,519852,16235,-6507,-21907,507673,,-70914,48532,-463,5359,-19592,-85164,-122242,,0,-88238,-88238,96111,393304,1836009,2229313,2229313,,,,,,,,,,,,,,,,,,
3376,2012年01月01日至2012年12月31日,,1287304,1287304,,,473534,4200.0,45899,-69098,2629.0,76440,52500.0,585872.0,,,50500.0,10373,-335403,3628,-265746,23070,-5673,-519251,,21181,-87315,226026,104.0,25390,185386,-333865,252007,1539311,77166,-28223,-173797,1415707,,-1273604,66379,-17582,8443,-122580,-451980,-1790924,,1624875,-1219637,183354,-125318,-317181,2153190,1836009,1836009,1518.0,0.0,0.0,757.0,-1250.0,-500.0,1250.0,0.0,-237646.0,15005.0,,,,,,,,
3376,2012年01月01日至2012年09月30日,,923962,923962,,,348348,-17291.0,38734,-56713,1971.0,45516,52500.0,412454.0,,,50500.0,7337,-308454,-54612,-154521,40927,-4255,-423078,,14854,-160095,179825,0.0,-2035,32549,-390529,21925,945887,63330,-21832,-151964,836671,,-539090,20284,-9679,1953,140703,-465685,-851514,,1374928,-691146,461898,-121832,325223,2153190,2478413,2478413,1139.0,0.0,0.0,757.0,-1250.0,-500.0,1250.0,0.0,-237646.0,15005.0,,,,,,,,
3376,2012年01月01日至2012年06月30日,,514208,514208,,,221209,-15779.0,26319,-35712,1140.0,45245,52500.0,295681.0,,,,8473,-195433,-3061,-46679,7136,-2836,-232400,,802,-106007,227516,0.0,-2185,120126,-112274,183407,697615,43121,-13496,-89159,638081,,-225597,18884,-8555,1708,-801147,-312354,-1327061,,885034,-327182,558609,-79534,-209905,2153190,1943285,1943285,759.0,0.0,0.0,757.0,,,,,,,,,,,,,,
3376,2012年01月01日至2012年03月31日,,95615,95615,,,107164,-13049.0,12042,-14631,31.0,39657,52500.0,183714.0,,,-14755.0,6040,253380,-39094,24643,46799,-1418,275595,,-649,-109445,-19008,0.0,-24815,-153917,121678,305392,401007,23950,-6646,-16251,402060,,-59117,3519,-6569,44,-8772,-17676,-88571,,98968,0,98968,-76611,335846,2153190,2489036,2489036,,,,,,,,,,,,,,,,,,
