公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 其他非流動負債減少,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他金融資產增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 短期借款減少,　　 發放現金股利,　　　　 呆帳費用提列（轉列收入）數,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金增加,　　 非控制權益變動,　　 其他非流動負債增加,　　 員工購買庫藏股,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　 取得子公司股權,　　 其他金融資產減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　 其他籌資活動
3454,2014年01月01日至2014年03月31日,,138478,138478,,,12739,12669,1083,-2299,382,588.0,,-84,26934.0,,,-41813,-8521,-209525,-4663,,0.0,-264522,,160828,-107860,13545,522,67035,-197487,-170553,-32075,2299,-1095,-568,-31439,,-30000.0,86084,,-6191,,-36388,-13353,-8827,,-575,12.0,,8694,3794,-27778,1163899,1136121,1136121,0.0,-8979.0,128.0,,,1700.0,,28.0,,,,9257.0,,,,,,,,,,
3454,2013年度,,869758,869758,,,49652,46875,4267,-7099,1212,2311.0,20.0,-2360,100767.0,,,-92922,5818,113567,-11588,,,14875,,-38773,58620,10568,-606,29809,44684,145451,1015209,6917,-4337,-125295,892494,,-170000.0,136340,-1868.0,-41502,0.0,-85605,-5723,-196009,,-6882,,0.0,-341731,3374,358128,805771,1163899,1163899,,-27651.0,,,-408696.0,5479.0,295.0,115.0,14700.0,1478.0,-217.0,57886.0,,0.0,,,,,,,,
3454,2013年01月01日至2013年12月31日,,869758,869758,,,49652,46875,4267,-7099,1212,2311.0,20.0,-2360,100767.0,,,-92922,5818,113567,-11588,,,14875,,-38773,58620,10568,-606,29809,44684,145451,1015209,6917,-4337,-125295,892494,,-170000.0,136340,-1868.0,-41502,0.0,-85605,-5723,-196009,,-5404,,0.0,-341731,3374,358128,805771,1163899,1163899,,-27651.0,,,-408696.0,5479.0,295.0,115.0,14700.0,0.0,-217.0,57886.0,,,,,,,,,,
3454,2013年01月01日至2013年09月30日,,724762,724762,,,37428,39262,727,-5118,992,1560.0,91.0,-2359,72586.0,,,-106413,3352,47313,-28334,,-550.0,-84632,,58514,-38520,29992,-81,49905,-34727,37859,762621,5076,-733,-111806,655158,,-94000.0,136339,-1868.0,-29577,0.0,-61437,-1107,-90146,,-4087,-221.0,0.0,-416304,1875,150583,805771,956354,956354,,-38496.0,3.0,-3300.0,-408696.0,,,,,,,,,,,,,,,,,
3454,2013年01月01日至2013年06月30日,,501529,501529,,,25322,31996,513,-3295,856,988.0,0.0,-2340,54040.0,,,-134595,9067,78765,-22968,,-360.0,-70091,,-53281,-13597,21490,-89,-45477,-115568,-61528,440001,3176,-517,-72831,369829,,-20000.0,92320,0.0,-16476,0.0,-57245,-1148,-40963,,-1594,-213.0,0.0,-1807,3740,330799,805771,1136570,1136570,,-38414.0,,,,,,,,,,,,,,,,,,,,
3454,2013年01月01日至2013年03月31日,,239147,239147,,,13195,15800,246,-1518,428,565.0,0.0,0,28716.0,,,-210497,-793,-47952,-9263,-5.0,-200.0,-268710,,32184,-87242,23643,-87,-31502,-300212,-271496,-32349,1470,-248,-9286,-40413,,-20000.0,0,0.0,-4321,0.0,-17198,-724,-42243,,-184,-216.0,0.0,-400,2752,-80304,805771,725467,725467,0.0,,,,,,,,,,,,,,,,,,,,,
3454,2012年01月01日至2012年12月31日,,689165,689165,,,46032,36434,1090,-5944,855,1612.0,8.0,-1827,83003.0,,,-10903,-8440,-163725,7609,,,-175459,,93870,99033,-14225,-453,178225,2766,85769,774934,5923,-1094,-147222,632541,,-111000.0,119197,-5850.0,-137997,23.0,-99712,-256,-235634,,0,,40129.0,-239042,-4666,153199,652572,805771,805771,,-39.0,,,-326968.0,4676.0,67.0,0.0,0.0,46823.0,515.0,459.0,,,,,,,,,,
3454,2012年01月01日至2012年09月30日,,517924,517924,,,33355,12876,831,-4592,429,1142.0,8.0,-1159,42892.0,,,-84029,-32005,-130866,91,,-383.0,-247192,,164013,16068,1305,-69,181317,-65875,-22983,494941,4583,-837,-116756,381931,,-71000.0,100361,-5850.0,-38208,0.0,-22128,-228,-37068,,-4239,0.0,31164.0,-300042,-3631,41190,652572,693762,693762,,-15.0,2.0,0.0,-326967.0,,,,,,,,,,,,,,,,,
3454,2012年01月01日至2012年06月30日,,268924,268924,,,21273,8630,563,-3108,0,721.0,-5.0,20,28094.0,,,-21504,-6182,-21407,2526,,-221.0,-46788,,67174,6507,23251,-51,96881,50093,78187,347111,3038,-566,-65894,283689,,-64000.0,20160,-5850.0,-23733,5.0,-19448,-2015,-94891,,-2826,0.0,27155.0,24329,-970,212157,652572,864729,864729,,-10.0,,,,,,,,,,,,,,,,,,,,
3454,2012年01月01日至2012年03月31日,,125217,125217,,,10131,4163,286,-1416,0,0.0,-5.0,20,13179.0,,,28406,-3031,-3516,-1927,-5.0,-161.0,19766,,24976,-51123,1537,-36,-24646,-4880,8299,133516,1345,-293,-25413,109155,,-35999.0,20160,-5850.0,-5915,5.0,-136,-1568,-29303,,-1413,0.0,22907.0,21494,-2356,98990,652572,751562,751562,0.0,,,,,,,,,,,,,,,,,,,,,
