公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 處分投資性不動產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金增加,　　 存入保證金減少,　　 應付款項增加,　　 應付款項減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 處分不動產、廠房及設備,　　　　 股利收入,　　 收取之股利,　　 取得投資性不動產,　　 其他應付款－關係人增加,　　 處分採用權益法之投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　　　　 其他應收款－關係人（增加）減少,　　 現金增資,　　 處分子公司,　　 其他非流動資產減少,　　 庫藏股票處分,　　 存出保證金增加,　　 其他應付款－關係人減少,　　　　　 其他應付款－關係人增加（減少）,　　 採用權益法之被投資公司減資退回股款,　 匯率變動對現金及約當現金之影響,　　 其他非流動資產增加
1413,2014年01月01日至2014年03月31日,,-48638,-48638,,,27006,0.0,5622,-12,1,0.0,0,32617.0,,,0.0,25589,27013,17756,400,864,39258,965.0,137,26,29086,141094,,1710,-52.0,-23580,-38,-16749,63,2326,404,-5019.0,-40935,100159,132776,84138,12,-5803,-1.0,78346,,-3385,0.0,0,0.0,-3385,,718356,-754772,68000.0,-68000.0,25.0,-65,0.0,-9281.0,-45737,29224,60680,89904,89904,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,2013年度,,-295151,-295151,,,105702,24.0,23927,-129,32,0.0,-125,127395.0,,,3000.0,46669,21769,5037,-400,-289,307001,188.0,60552,-8,-28002,415517,,-177382,37507.0,-115666,275,1726,-658,169490,-44,-19949.0,-104701,310816,438211,143060,129,-24459,-512.0,120254,,-52258,1740.0,2902,0.0,-47616,,777888,-879138,68000.0,-74000.0,715.0,-860,77612.0,-44554.0,-74337,-1699,62379,60680,60680,0.0,0.0,0.0,0.0,-2036.0,2036.0,,0.0,0.0,,,,,,,,,,,,,,,,,
1413,2013年01月01日至2013年12月31日,,-295151,-295151,,,105702,24.0,23927,-129,32,0.0,-125,127395.0,,,3000.0,46669,21769,5037,-400,-289,307001,188.0,60552,-8,-28002,415517,,-177382,37507.0,-115666,275,1726,-658,169490,-44,-19949.0,-104701,310816,438211,143060,129,-24459,-512.0,120254,,-52258,1740.0,2902,0.0,-47616,,777888,-879138,68000.0,-74000.0,715.0,-860,77612.0,-44554.0,-74337,-1699,62379,60680,60680,0.0,0.0,0.0,0.0,-2036.0,2036.0,,0.0,0.0,,,,,,,,,,,,,,,,,
1413,2013年01月01日至2013年09月30日,,-207893,-207893,,,78441,24.0,17561,-68,-63,0.0,90,93949.0,,,3000.0,56543,-7546,426,0,-1267,142301,-930.0,54413,0,-24283,222657,,-162341,-2499.0,-64973,727,3378,-94,177198,276,-14955.0,-63283,159374,253323,45430,68,-17937,-508.0,29089,,-43814,1741.0,1883,0.0,-40190,,729129,-800639,74000.0,-74000.0,600.0,-700,77611.0,-35274.0,10727,-374,62379,62005,62005,0.0,0.0,0.0,0.0,-2036.0,2036.0,0.0,40000.0,,,,,,,,,,,,,,,,,,
1413,2013年01月01日至2013年06月30日,,-189532,-189532,,,51052,24.0,11336,-56,-7,0.0,132,62481.0,,,3000.0,58525,11913,-19023,0,-652,176563,-2400.0,51308,10,-1162,278082,,-24071,327.0,-66819,194,-829,267,58871,-106,-9979.0,-42145,235937,298418,108886,56,-11792,-507.0,96643,,-39281,1740.0,1344,0.0,-36197,,779525,-890639,74000.0,-74000.0,575.0,-625,77612.0,-25993.0,-59545,901,62379,63280,63280,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1413,2013年01月01日至2013年03月31日,,-70960,-70960,,,23811,-3.0,5260,-16,-15,0.0,235,29272.0,,,0.0,39646,10324,-7403,0,-552,37382,628.0,9711,5,-1042,88699,,17877,246.0,-65168,109,-13883,136,102730,39,-4998.0,37088,125787,155059,84099,16,-5479,-1.0,78635,,-29198,290.0,805,0.0,-28103,,557206,-660583,75000.0,-74000.0,350.0,-450,77612.0,-13884.0,-38749,11783,62379,74162,74162,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,2012年01月01日至2012年12月31日,,-215301,-215301,,,90909,-272.0,17811,-104,93,70.0,-63,101884.0,,,0.0,-34913,-25754,-9702,16477,736,-62765,1222.0,-47387,1,-6012,-168097,,105607,48927.0,-250,2570,-24715,0,101097,179,-23131.0,210284,42187,144071,-71230,100,-17153,-249.0,-81223,,-109386,0.0,1079,-136080.0,-241224,,1093019,-821957,74000.0,-70000.0,7582.0,-7478,54000.0,-36508.0,312658,-9789,72168,62379,62379,-24.0,773.0,1955.0,24.0,-7309.0,7309.0,,20000.0,1184.0,,,,,,,,,,,,,,,,,
1413,2012年01月01日至2012年09月30日,,-117568,-117568,,,67310,-221.0,13335,-64,-129,70.0,-63,74150.0,,,0.0,50267,24602,-18288,16474,636,37458,-63.0,2159,2,-1515,111732,,42638,-1186.0,-178169,2669,-28798,-3000,96636,136,-18478.0,-87552,24180,98330,-19238,60,-12505,-246.0,-25141,,-79280,0.0,1079,-135362.0,-211621,,925233,-753577,80000.0,-70000.0,7407.0,-7437,54000.0,-22624.0,233002,-3760,72168,68408,68408,-24.0,1245.0,1955.0,24.0,-7309.0,6788.0,-37.0,20000.0,,,,,,,,,,,,,,,,,,
1413,2012年01月01日至2012年06月30日,,-73180,-73180,,,43956,-89.0,8102,-55,-16,70.0,-31,53158.0,,,-500.0,95929,9029,-29992,16477,482,7026,-1857.0,4145,2,-618,100123,,60663,-1334.0,-171948,2426,-30599,-3000,-23723,47,-13622.0,-181090,-80967,-27809,-100989,51,-7939,-245.0,-109122,,-47795,0.0,540,-14942.0,-60217,,803936,-693577,80000.0,-70000.0,7407.0,-7422,54000.0,-14140.0,160204,-9135,72168,63033,63033,-24.0,1245.0,1956.0,24.0,,,,,,,,,,,,,,,,,,,,,,
1413,2012年01月01日至2012年03月31日,,-73532,-73532,,,23248,-63.0,4191,-9,-10,70.0,-31,27396.0,,,-500.0,42710,-2677,-26321,16477,-1406,65313,1187.0,4640,0,-16,99407,,-8970,487.0,-102838,0,-39108,0,50305,124,-4885.0,-104885,-5478,21918,-51614,9,-4075,0.0,-55680,,-20772,0.0,540,-13255.0,-33487,,625239,-597165,80000.0,-70000.0,4330.0,-4342,54000.0,-8484.0,83578,-5589,72168,66579,66579,,,,,,,,,,,,,,,,,,,,,,,,,,
