公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人減少,　　 應收款項增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 其他非流動負債減少,　　 處分待出售非流動資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 短期借款減少,　　 現金增資,　　　　 股利收入,　　　　　 其他應付款增加（減少）,　　 收取之股利,　　 其他應收款－關係人增加,　　 其他投資活動,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　　 持有供交易之金融資產（增加）減少,　　 處分採用權益法之投資,　　 其他金融資產增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 長期應收租賃款增加,　　 長期應收租賃款減少,　　 發放現金股利,　　 其他金融資產減少
3561,2014年01月01日至2014年03月31日,,152272,152272,,,175884,-1614,19551,11482,15878,0.0,6928,228109.0,,,-259209,-178157,58097,15861,-363408,,14678,-27299.0,-12621,-376029,-147920,4352,-19906,-77,-15631,,-159991,0.0,0.0,,,-359265,,669907,,-1276860,,-150,392897,1266,19267,674609,693876,693876,,,,,,,,,,1000000.0,,,,-200342.0,1068.0,,,,,,,,,,,,
3561,2013年度,,-424104,-424104,,,910379,-702,88883,16206,96728,52129.0,-36515,1376300.0,,,-664741,-218865,132452,-16140,-767294,,430416,,508021,-259273,1117027,692923,-89316,-234,603373,,-240723,,4445.0,,,221668,,101423,0.0,-961683,,22875,-837385,1665,-10679,685288,674609,674609,120195.0,128997.0,0.0,-65711.0,,,,10425.0,,0.0,0.0,77605.0,0.0,0.0,,,0.0,513232.0,0.0,,,,,,,,
3561,2013年01月01日至2013年12月31日,,-424104,-424104,,,910379,-702,88883,16206,96728,52129.0,-36515,1376300.0,,,-664741,-218865,132452,-16140,-767294,,430416,,508021,-259273,1117027,692923,-89316,-234,603373,,-240723,6062.0,,,,221668,,101423,,-961683,,22875,-837385,1665,-10679,685288,674609,674609,120195.0,128997.0,0.0,-65711.0,0.0,513232.0,0.0,8808.0,0.0,0.0,0.0,77605.0,0.0,,,,,,,,,,,,,,
3561,2013年01月01日至2013年09月30日,,-367127,-367127,,,671192,1671,68984,11002,76835,52129.0,-46115,958284.0,,,-638429,-148954,85909,-1018,-702492,,712494,31067.0,743561,41069,999353,632226,-68885,-29,563312,,-158886,6062.0,,0.0,,283455,,354427,1500000.0,-2656459,,15550,-787091,1177,60853,685288,746141,746141,122586.0,0.0,0.0,-81306.0,-609.0,513232.0,0.0,4353.0,0.0,0.0,,,,,,,,,,,,,,,,,
3561,2013年01月01日至2013年06月30日,,-438970,-438970,,,447882,9588,46651,7512,51665,52129.0,-50604,687382.0,,,-183027,20143,45034,6514,-111336,,321731,-17171.0,304560,193224,880606,441636,-46285,-29,395322,,-65604,,12528.0,0.0,,-134382,,-172133,1500000.0,-1646823,,15925,-303642,2057,-40645,685288,644643,644643,122559.0,0.0,0.0,-81306.0,-611.0,,,,,,,,,,,,,,,,,,,,,,
3561,2013年01月01日至2013年03月31日,,-298765,-298765,,,225086,6105,23559,3891,30236,50319.0,-39054,300142.0,,,-231947,-104240,26516,6753,-302918,,263079,25075.0,288154,-14764,285378,-13387,-22817,-105,-36309,,-37653,7872.0,4517.0,0.0,-81306.0,-106570,,176943,130000.0,-238822,18.0,16500,84639,1695,-56545,685288,628743,628743,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,2012年01月01日至2012年12月31日,,-1819846,-1819846,,,893219,205777,107368,3319,353064,0.0,-32227,1878069.0,,,-103528,174545,218118,37893,327028,,160503,,46275,373303,2251372,431526,-107196,-104,342768,,-577867,6972.0,,,,-658901,,0,,-534566,,0,9913,-1023,-307243,992531,685288,685288,-398.0,366489.0,-60000.0,-26596.0,-437.0,0.0,-1410.0,0.0,-747584.0,1292500.0,-18542.0,-114228.0,18542.0,,,,,,,,,,,,,,
3561,2012年01月01日至2012年09月30日,,-1078245,-1078245,,,666751,139297,83763,3319,67742,0.0,-21517,1244755.0,,,-129657,-34623,297611,30389,163720,,190222,-107847.0,82375,246095,1490850,412605,-84011,-210,328384,,-461017,6972.0,,-69120.0,,-715948,,0,870000.0,-963425,,0,278979,439,-108146,992531,884385,884385,-398.0,305798.0,-60000.0,-26596.0,-379.0,0.0,-106187.0,0.0,-919717.0,1292500.0,,,,,,,,,,,,,,,,,
3561,2012年01月01日至2012年06月30日,,-610475,-610475,,,442569,85878,56502,0,11223,0.0,-91791,809781.0,,,-638185,113452,133856,11828,-379049,,543183,-130659.0,412524,33475,843256,232781,-55913,-71,176797,,-350933,,26801.0,-67511.0,,-478239,,18074,400000.0,-316142,,0,101526,374,-199542,992531,792989,792989,-398.0,305798.0,-60000.0,-26596.0,-406.0,,,,,,,,,,,,,,,,,,,,,,
3561,2012年01月01日至2012年03月31日,,-204574,-204574,,,220308,65028,27876,0,1912,0.0,-69467,245657.0,,,-591089,65366,54504,10880,-460339,,331867,-22277.0,309590,-150749,94908,-109666,-28348,-79,-138093,,-217962,0.0,10661.0,-61890.0,0.0,-269191,,40035,350000.0,-171142,0.0,0,218893,-1226,-189617,992531,802914,802914,,,,,,,,,,,,,,,,,,,,,,,,,,,
