公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 員工執行認股權,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 取得採用權益法之投資,　　 取得以成本衡量之金融資產,　　 取得無形資產,　　 取得待出售非流動資產,　　 處分不動產、廠房及設備,　　　　 處分待出售非流動資產損失（利益）,　　 取得備供出售金融資產,　　 處分子公司,　　 處分待出售非流動資產,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少
3579,2014年01月01日至2014年03月31日,,-111902,,-111902,,,427110,886,,57028,-397,-273,0,-8012.0,0.0,,,465740.0,,,-15037,249246,-3397,-38176,-200198,-549,182676,174565,,3742,-490107,-306911,954,-60642,-15.0,-25734,-878713,-704148,-238408,-350310,388,-30616,-380538,,17353.0,-20675.0,285426.0,0.0,-35000.0,-67617,778214,,4291771,-4428145,0.0,-448663.0,,751374,-286122,0.0,-57286,,-177071,9726,230331,1704992,1935323,1935323,0.0,,,-49.0,,,-10602.0,-392.0,477438.0,121730.0,,,,,,,,,,
3579,2013年度,,-2408784,,-2408784,,,2332628,3350,0.0,282091,-5239,29985,403,-164830.0,-14442.0,278461.0,0.0,2614976.0,,,61036,-734925,345369,272857,-453523,-3764,747660,234710,,-57965,2014925,565977,2755,-315674,170.0,-67762,2142426,2377136,4992112,2583328,5388,8079,2596795,,462368.0,-390435.0,74220.0,,,-110608,-79059,,22765797,-23475047,548442.0,0.0,0.0,378591,-3514419,528.0,-287188,289837.0,-2603259,-3535,-89058,1794050,1704992,1704992,-127431.0,,-3409.0,-1411.0,-109784.0,0.0,0.0,,,0.0,0.0,690200.0,,,,,,,,
3579,2013年01月01日至2013年12月31日,,-2408784,,-2408784,,,2332628,3350,0.0,282091,-5239,29985,403,-164830.0,-14442.0,278461.0,0.0,2614976.0,,,61036,-734925,345369,272857,-453523,-3764,747660,234710,,-57965,2014925,565977,2755,-315674,170.0,-67762,2142426,2377136,4992112,2583328,5388,8079,2596795,,397369.0,-390435.0,74220.0,64999.0,0.0,-110608,-79059,,22765797,-23475047,548442.0,0.0,0.0,378591,-3514419,528.0,-287188,980037.0,-2603259,-3535,-89058,1794050,1704992,1704992,-127431.0,0.0,-3409.0,-1411.0,-109784.0,0.0,,,,,,,,,,,,,,
3579,2013年01月01日至2013年09月30日,,-1738409,,-1738409,,,1748298,2534,0.0,213072,-3712,21895,174,-124827.0,-5371.0,,0.0,1724632.0,,,72566,-525544,261591,42117,-390122,-805,578494,38297,,-56718,1732362,861140,2042,-223424,198.0,-47963,2267637,2305934,4030566,2292157,3636,6202,2301995,,360357.0,-491825.0,218969.0,19616.0,0.0,-77350,-83736,,16034651,-16623826,598696.0,,0.0,144370,-2393146,528.0,-212046,526478.0,-1924295,-28137,265827,1794050,2059877,2059877,-127431.0,-109723.0,-3409.0,-371.0,,,,,,,,,,,,,,,,
3579,2013年01月01日至2013年06月30日,,-1300595,,-1300595,,,1144479,1717,0.0,137939,-2593,23956,134,-115400.0,-1976.0,,0.0,1061856.0,,,95233,-982735,294638,-69697,-150737,-13993,265769,-561522,,-57965,1314624,746969,768,-182634,190.0,13413,1835365,1273843,2335699,1035104,2631,22486,1060221,,360357.0,-126066.0,212360.0,3590.0,0.0,-42139,296320,,11129970,-10971004,399187.0,0.0,0.0,144371,-1495271,528.0,-137853,313008.0,-617064,13889,753366,1763615,2516981,2516981,-126400.0,-111782.0,,,,,,,,,,,,,,,,,,
3579,2013年01月01日至2013年03月31日,,-680060,0.0,-680060,,,570919,863,0.0,58644,-1046,2320,134,-115304.0,-1317.0,-8869.0,0.0,506344.0,,,26814,-798839,100567,122456,-224557,-87,108281,-665365,,1724,644454,853991,438,-146001,377.0,60731,1415714,750349,1256693,576633,762,-67,577328,,360357.0,-53880.0,97618.0,2393.0,0.0,-30417,376071,,5145479,-5322628,399101.0,0.0,0.0,144371,-698256,528.0,-57554,14405.0,-374554,15097,593942,1763615,2357557,2357557,,,,,,,,,,,,,,,,,,,,
3579,2012年01月01日至2012年12月31日,,-3741526,,-3741526,,,2309112,3929,-13786.0,309208,-15672,14352,1938,-72313.0,0.0,364117.0,652.0,2901537.0,,,-18229,-395471,212230,-428451,-649366,22255,897324,-359708,,57965,1054808,-243538,2639,136361,5768.0,-624052,389951,30243,2931780,-809746,28651,-61569,-842664,,150643.0,-164452.0,459359.0,0.0,-2140.0,-390371,-19590,,22827540,-23369969,0.0,-99325.0,-298921.0,1011343,-2259362,2702.0,-210521,1274111.0,-1122402,117242,-1867414,3661464,1794050,1794050,0.0,-72679.0,0.0,0.0,0.0,50.0,,,,,,,,,,,,,,
3579,2012年01月01日至2012年09月30日,,-2754675,,-2754675,,,1730403,3049,-13805.0,233605,-11444,6873,1059,-72313.0,0.0,,-158.0,1877269.0,,,43935,53295,92223,-672468,-229890,22443,366803,-323659,,1247,651478,67957,2259,-78747,456.0,-143583,501067,177408,2054677,-699998,24072,-873,-676799,,150643.0,-329455.0,694589.0,0.0,-60236.0,-576701,-121160,,16715893,-17109459,-99325.0,,-10549.0,570000,-1484602,2702.0,-237178,1396476.0,-256042,-44197,-1098198,3661464,2563266,2563266,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
3579,2012年01月01日至2012年06月30日,,-1830776,,-1830776,,,1132055,2039,-15747.0,153097,-8799,7024,402,-72037.0,0.0,,-158.0,1197876.0,,,-189879,-583321,90940,-293111,-60951,22459,190175,-823688,,239520,644912,54701,0,-48928,246.0,-156561,733890,-89798,1108078,-722698,21465,-576,-701809,,149260.0,-124308.0,461129.0,0.0,-16766.0,-388638,80677,,12137623,-12098351,0.0,-99325.0,-10549.0,570000,-868831,2702.0,-161678,1396550.0,868141,-25667,221342,3617995,3839337,3839337,0.0,0.0,,,,,,,,,,,,,,,,,,
3579,2012年01月01日至2012年03月31日,,-897616,0.0,-897616,,,563550,1047,-16472.0,70502,-4958,3419,217,-52066.0,0.0,0.0,-158.0,565081.0,,,-222512,-803844,49364,-90863,-110615,11389,193057,-974024,,124087,560828,-25457,0,-75025,59.0,-71304,513188,-460836,104245,-793371,18080,-377,-775668,,99698.0,-73781.0,461682.0,0.0,-13070.0,-208104,266425,,5333976,-5833417,0.0,-99325.0,-10549.0,0,-436306,2641.0,-74863,10671.0,-1107172,-34755,-1651170,3617995,1966825,1966825,,,,,,,,,,,,,,,,,,,,
