公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損損失,　　　　 其他項目,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 存出保證金增加,　　 存入保證金減少,　　 處分子公司股權（未喪失控制力）,　　　　 股利收入,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 其他非流動資產減少,　　 收取之股利,　　 短期借款減少,　　 應付短期票券減少,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　　 其他營業負債增加（減少）,　　 按攤銷後成本衡量之金融資產到期還本,　　 取得以成本衡量之金融資產,　　 其他投資活動,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 採用權益法之被投資公司減資退回股款,　　 其他非流動負債減少,　　 非控制權益變動
1305,2014年01月01日至2014年03月31日,,194301,-7838,186463,,,87329,2343,124,9864,7094,-3035,531,779,-1225.0,12886.0,,116690.0,,,-572471,-8727,-20506,27105.0,-15999,244,-84845,-97652,29801,-743050,,56,-111453,98626,-118283,-4476,-9932.0,8974,-15940.0,-150558,-893608,-776918,-590455,3429,-7024,-162,-594212,,-170308.0,-86201,667,1050.0,,,-245951,,,399899.0,,-62000,,-7,,534883,5965,-299315,928585,629270,629270,,,,,,,-3009.0,,,,,,8841.0,,200000.0,,,,1870.0,,,,,,,,,,,,,
1305,2013年度,,1003347,-17515,985832,,,344159,5078,-19,-42310,27947,-13422,-21879,-5105,686.0,-7526.0,,322259.0,,,94627,77450,-39666,-17774.0,13628,-3304,-180463,-108468,5631,-158339,,-102,237590,-288869,-27334,-723,727.0,1718,-32337.0,-109330,-267669,54590,1040422,14841,-27800,-78567,948896,,-193924.0,-337259,6392,1988.0,-1832.0,,-485285,,,100000.0,0.0,-62000,5561.0,-14,-169926.0,-488906,10100,-15195,943780,928585,928585,,3181.0,30992.0,18925.0,39511.0,-1692.0,-3071.0,0.0,-1003.0,,,,0.0,1003.0,-12536.0,-346920.0,1480.0,0.0,,,0.0,-18397.0,0.0,0.0,,,,,,,,
1305,2013年01月01日至2013年12月31日,,1003347,-17515,985832,,,344159,10174,-19,-40622,27947,-13422,-21879,-5105,-1002.0,-7526.0,,296363.0,,,94627,77450,-39666,-17774.0,13628,-3304,-180463,-108468,5631,-158339,,-102,237590,-288869,-27334,-723,727.0,1718,-32337.0,-109330,-267669,28694,1014526,14841,-27800,-78567,923000,,-193924.0,-328525,6392,1988.0,-1832.0,,-459389,,,100000.0,0.0,-62000,5561.0,-14,-169926.0,-488906,10100,-15195,943780,928585,928585,,3181.0,,18925.0,39511.0,-1692.0,-3071.0,0.0,-1003.0,,,,-1235.0,1003.0,-12536.0,-346920.0,1480.0,0.0,,,,,,,,,,,,,,
1305,2013年01月01日至2013年09月30日,,805886,-14020,791866,,,258478,7992,-19,-41732,21923,-10524,-19653,-1725,-3645.0,0.0,3288.0,210397.0,,,60405,82942,-13746,7390.0,4104,-30619,3947,-144775,27920,-2432,,-217,86933,-193388,34383,-3293,,-7710,-29427.0,-112719,-115151,95246,887112,12245,-21872,-63126,814359,,-193514.0,-221495,2418,1977.0,-1832.0,,-351829,,,,0.0,-62000,5099.0,-10,-169922.0,-267058,4326,199798,943780,1143578,1143578,,555.0,-3538.0,18925.0,39511.0,-78.0,-2042.0,0.0,-1003.0,,,814359.0,1256.0,1003.0,-11214.0,-26969.0,,,,,,,,,,,,,,,,
1305,2013年01月01日至2013年06月30日,,629862,-8297,621565,,,172215,5806,-19,-55542,14777,-8256,-14068,-1657,-1785.0,0.0,-2538.0,107393.0,,,-160212,43626,-326896,-3424.0,10508,-73989,-196479,-137037,120669,-723234,,162,99246,-214541,27204,-2455,,-5430,-17678.0,-113492,-836726,-729333,-107768,9604,-14839,-39573,-152576,,-183023.0,-120491,2335,1977.0,-1832.0,12256.0,-240267,,244691.0,57935.0,0.0,-62000,2762.0,-7,-4.0,240987,8875,-142981,943780,800799,800799,,2659.0,-4199.0,9000.0,39511.0,0.0,-2390.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1305,2013年01月01日至2013年03月31日,,414682,-5709,408973,,,86643,3581,-319,-44254,7236,-2324,-4521,-995,-1541.0,-29448.0,-390.0,13668.0,,,336739,37742,66419,15479.0,-23001,-73483,-505190,-45828,-9627,-200750,,-16,-68342,-97036,-24874,2557,-6397.0,-2633,-14829.0,-211570,-412320,-398652,10321,3540,-7276,-2390,4195,,-182900.0,-57245,1477,1975.0,0.0,5171.0,-231522,,136011.0,167961.0,0.0,-62000,-10.0,-5,0.0,241957,8258,22888,943780,966668,966668,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,2012年01月01日至2012年12月31日,,1040203,-28713,1011490,,,471616,8839,-9895,-44070,37102,-13232,-18916,-10402,-13094.0,-149889.0,,294602.0,,,116120,-6957,218924,223.0,2855,35159,336577,3856,-133385,573372,,218,22313,223278,155086,-4356,-8802.0,5694,-20640.0,372791,946163,1240765,2252255,11333,-36130,-67991,2159467,,0.0,-461183,13731,2389.0,-9887.0,,-440228,,,0.0,1670000.0,-2136592,4771.0,29,-8.0,-1233522,-11297,474420,469360,943780,943780,,7870.0,,2875.0,0.0,-426.0,-6148.0,54.0,-894.0,,,,9654.0,2619.0,-137786.0,-627842.0,0.0,29567.0,,,,,,,,,,,,,,
1305,2012年01月01日至2012年09月30日,,868808,-27656,841152,,,386121,4888,-1262,-43112,28475,-9997,-13560,-9067,-8666.0,-139142.0,-943.0,184839.0,,,146416,-28880,62149,2528.0,-28346,-20695,306125,-32521,-12472,394304,,350,44483,-65607,130477,-6620,,106376,-18505.0,190954,585258,770097,1611249,9902,-29162,-61442,1530547,,0.0,-382910,12396,2349.0,-32829.0,,-381359,,,,1170000.0,-1436592,1181.0,30,-8.0,-907794,-7128,234266,469360,703626,703626,,0.0,-8006.0,6875.0,0.0,-426.0,-2135.0,54.0,-890.0,,,1530547.0,10571.0,2615.0,-140446.0,-499878.0,,,,,,,,,,,,,,,,
1305,2012年01月01日至2012年06月30日,,597208,-19736,577472,,,271986,3167,-35,-27713,20106,-7100,-9334,-8168,-7750.0,-129504.0,564.0,96487.0,,,227035,42456,-25776,58790.0,-22136,35808,-881,-5163,-4212,305921,,130,173775,151748,-15666,-8264,,4248,-13276.0,292695,598616,695103,1272575,6986,-20819,-34584,1224158,,0.0,-288022,11483,2222.0,-22942.0,5837.0,-284822,,83135.0,-704817.0,770000.0,-786592,1032.0,32,-8.0,-639214,-3523,296599,469360,765959,765959,,0.0,-9732.0,6900.0,0.0,-300.0,-2050.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,
1305,2012年01月01日至2012年03月31日,,393109,-11921,381188,,,132646,1449,-24,-23023,9719,-1505,-3437,-379,-6831.0,-132729.0,-154.0,-24268.0,,,216690,19046,-52780,73299.0,-11558,-15934,-99172,-29154,-39339,61098,,225,166283,38430,-12296,6006,-7767.0,758,-10751.0,180888,241986,217718,598906,1482,-10484,-135,589769,,0.0,-200329,572,1256.0,-22942.0,4914.0,-216529,,1244.0,-604961.0,1620000.0,-1186592,-420.0,36,-8.0,-170701,-7863,194676,469360,664036,664036,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
