年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
99/03,1457,宜進,      1978218,        584830,      1685340,         37759,      1202712,      5488859,      1394142,        858524,          3944,         48596,      2305206,      2251510,        465612,         61864,            378,              0,              0,        404289,      3183653,              0.00,     34538132.00,             14.58
99/03,1459,聯發紡織,      3011019,        881509,      3917674,         99354,        229626,      8139182,      2505807,      1894729,              0,         38879,      4439415,      3410638,        265387,        560145,       -668140,              0,              0,        131737,      3699767,              0.00,     53754309.00,             12.42
99/03,1460,宏遠,      4470747,         31725,      3733923,            500,        218486,      8455381,      3613743,        821836,        165409,        218019,      4819007,      4711891,        119663,     -1288126,         92926,              0,              0,             20,      3636374,              0.00,     33706585.00,              8.31
99/03,1463,強盛染整,      1234736,         76924,        681973,              0,        180261,      2173894,        144149,              0,         67994,         52849,        264992,      1884108,        157475,       -104362,       -117952,              0,              0,         89633,      1908902,              0.00,     26589911.00,             11.24
99/03,1464,得力實業,      2371053,         51525,      1918674,        182132,        258335,      4781719,      1632087,        150000,              0,        152644,      1934731,      1568490,         96329,         15257,        111468,              0,              0,      1055444,      2846988,              0.00,              0.00,             11.42
99/03,1465,偉全實業,      2279203,         14390,        834424,         82313,         19618,      3229948,        883328,              0,              0,         65299,        948627,        863394,        353488,        492747,         39321,              0,              0,        532371,      2281321,              0.00,              0.00,             20.26
99/03,1466,聚隆,      1160406,              0,        927226,              0,        201258,      2288890,      1186315,        302431,              0,         28042,      1516788,        715978,              0,        -20531,         76655,              0,              0,              0,        772102,              0.00,         87958.00,             10.80
99/03,1467,南緯實業,      3584509,        158614,      1522191,        378945,        272878,      5917137,      2437221,      1244895,         68902,         76851,      3827869,      1649115,         63250,        290919,        -88299,              0,              0,        174283,      2089268,              0.00,              0.00,             11.61
99/03,1468,昶和纖維,      1286785,         30131,      1282683,         52053,        502670,      3154322,      1101062,        437768,         59542,          7964,      1606336,      1604053,         43757,       -498011,        251999,              0,              0,        146188,      1547986,              0.00,              0.00,              8.74
99/03,1469,理隆纖維,        726477,         49181,      1284321,            709,         29607,      2090295,        555244,              0,              0,          9384,        564628,      1246000,        455920,       -165011,        -11262,              0,              0,             20,      1525667,              0.00,              0.00,             12.24
