年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
99/02,911602,華豐泰國,        955698,              0,        804812,              0,         14902,      1775412,        341972,        120000,          5318,        467290,        658434,        222105,        470691,              0,        -43108,              0,      1308122,Baht＄1：NT$1,99/6/30之匯率,經會計師核閱
99/02,911606,超級集團,      5765786,      1043635,      2283589,         67962,            490,      9161462,      1848849,        322651,              0,      2171500,      3171474,          2225,      3466397,        149764,        -40345,        240447,      6989962,SGD$1:NT$22.2533,99.6.30，www.oanda.com網站公佈之匯率,毋須經會計師查核或核閱
99/02,911609,揚子江,     69823085,     16379875,      9048745,     15001110,        442615,    110695430,     61774752,        211125,      1892703,     63878580,     23758030,              0,     23000623,       -352162,         -2858,        413217,     46816850,RMB$1：NT$ 4.685,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
99/02,911610,聯合環境,      1756054,        220659,         50062,         42245,      2150328,      4219348,        832574,        549759,         53959,      1436292,      1721103,         47734,      1110043,        -95824,              0,              0,      2783056,SGD1:NT$23.76,依臺灣銀行99.9.30即期匯率,毋須經會計師查核或核閱
99/02,911612,滬安電力,      5441225,              0,        577700,        157308,         15167,      6191400,      2961837,              0,          4251,      2966088,      2301349,         15346,        908617,              0,              0,              0,      3225312,4.7234,以99/6/30www.oanda.com網站公佈之匯率換算,毋須經會計師查核或核閱
99/02,911616,杜康控股,      3158696,              0,        103335,        116672,          2247,      3380950,        523785,              0,              0,        523785,      1022466,        593549,      1657788,       -416638,              0,              0,      2857165,RMB$1:NT$4.642,2009年12月底,毋須經會計師查核或核閱
99/02,911626,華運中國,      1405640,              0,        874011,        116956,              0,      2396607,        588316,              0,              0,        588316,        588544,        332974,        886773,              0,              0,              0,      1808291,4.778,匯率係採用各該期期末之台灣銀行匯率,毋須經會計師查核或核閱
99/02,911868,同方友友,     10232129,        601593,      6335621,         23706,        416511,     17609560,      3650367,        293779,              0,      3944146,        378139,      7155729,      5645966,        460024,              0,         25556,     13665414,HKD$1:NT$4.130,2010年6月末,經會計師核閱
99/02,912398,友佳國際,      4158816,         65387,      1085154,        209652,              0,      5519009,      2655539,         64391,              0,      2719930,         19068,      1655342,      1124669,              0,              0,              0,      2799079,RMB 1 : NT$ 4.7409,參考台灣銀行於財務報表日之即期匯率,經會計師核閱
99/02,9136,巨騰,     21809204,        263643,     18162071,        548241,              0,     40783159,     13022068,      7108250,              0,     20130318,        461693,      5957442,      9575673,      1424478,              0,      3233555,     20652841,HKD＄1：NT$4.13,台灣銀行2010年6月30日,毋須經會計師查核或核閱
99/02,913889,大成糖,      6726065,        379425,      4631349,      1174795,         37297,     12948931,      3619119,      1819715,              0,      5438834,        473517,      3108883,      3283646,        617782,              0,         26269,      7510097,HKD＄1：NT$4.1194,OANDA萬達亞太私人有限公司提供之匯率報價,經會計師核閱
99/02,9151,中國旺旺,     35901970,        300184,     21243530,      1854251,         17522,     59317457,     18745733,      9645000,              0,     28390733,      8495091,    -28181051,     46779504,      3704291,              0,        128889,     30926724,USD $ 1: NT$32.15,臺灣銀行於財務報表日之即期匯率,經會計師核閱
99/02,9157,陽光能源,      6842911,              0,      2890023,        301090,      1342964,     11376988,      3858951,        349098,        349188,      4557237,        773268,      4413001,      1177103,        366219,              0,         90160,      6819751,RMB$1 : NT$4.7598,中央銀行 99/06/30之匯率,經會計師核閱
99/02,9188,精熙國際,      4900785,              0,      1069598,          8038,         20447,      5998868,        775490,              0,              0,        775490,         34272,      2760234,      2159422,        269450,              0,              0,      5223378,USD$1:NTD$32.15,依臺灣銀行即期匯率(買入賣出平均價),經會計師核閱
