年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
100/02,911626,華運中國,      2093931,              0,      1121858,         85751,              0,      3301540,        759361,         19796,              0,        779157,        687232,        496403,      1338748,              0,              0,              0,      2522383,4.4655,匯率係採用各該期期末之台灣銀行匯率,經會計師查核
100/02,911868,同方友友,      9307169,        312755,      6918702,      1292726,              0,     17831352,      3980266,        145868,              0,      4126134,        369060,      7300344,      4830785,      1156080,              0,         48949,     13705218,HKD$1:NT$3.916,2011年9月末,毋須經會計師查核或核閱
100/02,912000,晨訊科技,      7492463,        342625,      1610302,      1234589,         15583,     10695562,      3717130,              0,         55066,      3772196,        631512,      3227042,      2299813,        712325,              0,         52674,      6923366,HKD$1:NT$3.691,臺灣銀行於財務報表日之即期匯率,經會計師核閱
100/02,912398,友佳國際,      5750263,         56353,      1220354,        192264,              0,      7219234,      4231516,         21113,              0,      4252629,         17876,      1551743,      1397702,           -716,              0,              0,      2966605,RMB 1: NT$ 4.4446,台灣銀行買入賣出平均價,經會計師核閱
100/02,9136,巨騰,     16610342,        122992,     18983491,        493926,         26036,     36236787,     11857197,      4559113,              0,     16416310,        418157,      4861000,      9480794,      1947813,              0,      3112713,     19820477,HKD＄1：NT$3.691,臺灣銀行100年6月30日即期中價匯率,毋須經會計師查核或核閱
100/02,913889,大成糖,      6965981,        384816,      4195266,      1064425,              0,     12610488,      4775728,        278865,              0,      5054593,        426925,      2803997,      3438554,        853403,              0,         33016,      7555895,HKD$1：NTD$3.713,100/06/30 OANDA 萬達亞太公司匯率,經會計師核閱
100/02,9151,中國旺旺,     47332588,        343582,     23628127,      2510542,         19651,     73834490,     24314887,     17238000,        492289,     42045176,      7596097,    -26333976,     44719135,      5728792,              0,         79266,     31789314,USD $ 1: NT$28.73,臺灣銀行於財務報表日之即期匯率,經會計師核閱
100/02,9157,陽光能源,     10289494,        329645,      7747385,      2401110,      1960824,     22728458,      7149813,      3894944,      1308080,     12352837,        884855,      6440512,      2326700,        449398,              0,        274156,     10375621,RMB$ 1 : NT$ 4.4558,中央銀行 100/06/30 之匯率,經會計師核閱
100/02,916665,爾必達,     99041044,      5459275,    209783496,      1623082,      6081178,    321988075,    114211718,     73051421,      2863301,    190126440,     94079371,     45427162,    -21634315,    -11032493,         -1992,     25023902,    131861635,JPY$ 1 : NT$ 0.3984,三菱東京UFJ銀行公表匯率（TTM）,經會計師核閱
100/02,9188,精熙國際,      4567360,              0,        873872,          7354,         16632,      5465218,        813549,              0,              0,        813549,         30621,      2466181,      1867704,        287163,              0,              0,      4651669,USD$1:NTD$28.725,依臺灣銀行於100年6月30日之即期匯率,經會計師核閱
