年季,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2014/02,1409,新纖,22385907,21049259,1336648,222282,1114366,--,1114366,-25830,1088536,914729,--,199637,896144,--,192392,0.54
2014/02,1718,中纖,17928510,15902019,2026491,316869,1709622,--,1709622,739234,2448856,182640,--,1526982,858834,--,1590022,0.16
2014/02,2514,龍邦國際,46986545,46516022,470523,2538,467985,--,467985,1546800,2014785,178951,--,289034,747035,--,1267750,0.34
2014/02,2905,三商,88763077,87453440,1309637,311888,997749,--,997749,2376036,3373785,486328,--,511421,1698006,--,1675779,0.76
2014/01,1409,新纖,11674304,10882084,792220,96479,695741,--,695741,-164516,531225,596988,--,98753,431479,--,99746,0.35
2014/01,1718,中纖,9008260,7875666,1132594,101133,1031461,--,1031461,58445,1089906,256120,--,775341,285749,--,804157,0.23
2014/01,2514,龍邦國際,23008909,22442678,566231,81053,485178,--,485178,1006812,1491990,185226,--,299952,506588,--,985402,0.36
2014/01,2905,三商,52451047,52881406,-430359,145985,-576344,--,-576344,1937503,1361159,-303279,--,-273065,737985,--,623174,-0.47
2013/04,1409,新纖,42251225,40277842,1973383,289643,1683740,--,1683740,1466089,3149829,1152261,--,531479,2604941,--,544888,0.65
2013/04,1718,中纖,33500385,29761847,3738538,550498,3188040,--,3188040,506224,3694264,958678,--,2229362,1224969,--,2469295,0.85
2013/04,2514,龍邦國際,77150173,76211131,939042,388918,550124,--,550124,-4841503,-4291379,258340,--,291784,-1781601,--,-2509778,0.50
2013/04,2905,三商,173585978,171672626,1913352,70907,1842445,--,1842445,-5368370,-3525925,918884,--,923561,-1393019,-2132906,--,1.43
2013/03,1409,新纖,32678521,30946915,1731606,323453,1408153,--,1408153,1014685,2422838,1002342,--,405811,2017263,--,405575,0.58
2013/03,1718,中纖,25682787,22310718,3372069,474621,2897448,--,2897448,151568,3049016,1045950,--,1851498,1203273,--,1845743,0.93
2013/03,2514,龍邦國際,54308825,52675330,1633495,580083,1053412,--,1053412,-5559826,-4506414,443481,--,609931,-1804475,--,-2701939,0.85
2013/03,2905,三商,122308107,120586600,1721507,79114,1642393,--,1642393,-4748475,-3106082,486564,--,1155829,-1511052,--,-1595030,0.76
2013/02,1409,新纖,21221783,20092348,1129435,258525,870910,--,870910,778431,1649341,618008,--,252902,1383010,--,266331,0.36
2013/02,1718,中纖,17080382,14736364,2344018,235726,2108292,--,2108292,277268,2385560,828339,--,1279953,1023136,--,1362424,0.73
2013/02,2514,龍邦國際,34146484,33314071,832413,452765,379648,--,379648,-4490008,-4110360,191250,--,188398,-1650570,--,-2459790,0.37
2013/02,2905,三商,81020642,79782484,1238158,98308,1139850,--,1139850,-3956204,-2816354,333153,--,806697,-1413417,--,-1402937,0.56
2013/01,1409,新纖,9568620,9141108,427512,119650,307862,--,307862,491347,799209,195508,--,112354,649632,--,149577,0.11
2013/01,1718,中纖,8363585,6978192,1385393,121550,1263843,--,1263843,43747,1307590,673986,--,589857,768845,--,538745,0.60
2013/01,2514,龍邦國際,18644952,17643772,1001180,156199,844981,--,844981,-1277565,-432584,433141,--,411840,-181218,--,-251366,0.83
2013/01,2905,三商,49979710,49919632,60078,-162743,222821,--,222821,73295,296116,-39712,--,262533,134430,--,161686,-0.07
