年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2015/04,4733,上緯企業,9655113,7146939,2508174,--,--,2508174,951032,--,1557142,-177824,1379318,360643,1018675,--,--,1018675,-30626,--,988049,1020215,--,-1540,989589,--,-1540,11.85
2015/04,4919,新唐科技,7313387,4263860,3049527,--,--,3049527,2563273,--,486254,85731,571985,102963,469022,--,--,469022,-12225,--,456797,469022,--,--,456797,--,--,2.26
2015/04,4934,太極能源,7825338,7197135,628203,--,--,628203,342509,--,285694,47540,333234,-26,333260,--,--,333260,-30993,--,302267,333260,--,--,302267,--,--,1.10
2015/04,4968,立積,1716217,1142413,573804,--,--,573804,412198,--,161606,7500,169106,23020,146086,--,--,146086,-834,--,145252,--,--,--,--,--,--,3.26
2015/04,4999,鑫禾,2158720,1418993,739727,--,--,739727,289515,--,450212,76289,526501,89555,436946,--,--,436946,45037,--,481983,436946,--,--,481983,--,--,5.89
2015/04,5007,三星科技,6697038,5198760,1498278,--,--,1498278,465951,--,1032327,88204,1120531,192310,928221,--,--,928221,-55862,--,872359,895100,--,33121,858613,--,13746,3.03
2015/04,5203,訊連,1976411,278308,1698103,13138,--,1684965,1053812,--,631153,61150,692303,135663,556640,--,--,556640,89635,--,646275,556640,--,--,646275,--,--,5.60
2015/04,5225,F-東科,8166474,6933662,1232812,--,--,1232812,1020798,--,212014,88965,300979,45705,255274,0,--,255274,-90421,--,164853,255274,--,--,164853,--,--,4.23
2015/04,6120,達運,41172141,39512458,1659683,--,--,1659683,1961600,--,-301917,117907,-184010,241239,-425249,--,--,-425249,-78736,--,-503985,-425249,--,--,-503985,--,--,-0.57
2015/04,6155,鈞寶,632332,463614,168718,0,0,168718,111416,--,57302,64861,122163,18077,104086,--,--,104086,-70702,--,33384,104086,--,0,33384,--,0,1.22
2015/04,6183,關貿,1313554,794333,519221,--,--,519221,306978,-2234,210009,11057,221066,36475,184591,--,--,184591,-6428,--,178163,184591,--,--,178163,--,--,1.23
2015/04,6196,帆宣科技,18031624,16017022,2014602,--,--,2014602,1440166,--,574436,11953,586389,126404,459985,--,--,459985,-47018,--,412967,458724,--,1261,411859,--,1108,2.78
2015/04,6202,盛群,3967840,2019362,1948478,-258,0,1948736,1102186,--,846550,100153,946703,128382,818321,--,--,818321,-25886,--,792435,806806,--,11515,780920,--,11515,3.57
2015/04,6251,定穎電子,11150214,9705359,1444855,--,--,1444855,1604984,--,-160129,67159,-92970,1,-92971,--,--,-92971,-81314,--,-174285,-93866,--,895,-175180,--,895,-0.33
2015/04,6269,台郡科技,18100327,13294378,4805949,--,--,4805949,1402308,--,3403641,259495,3663136,904357,2758779,--,--,2758779,-38127,--,2720652,2758779,--,--,2720652,--,--,10.83
2015/04,6282,康舒,20836093,17681335,3154758,--,--,3154758,2586380,--,568378,266388,834766,163115,671651,--,--,671651,-42182,--,629469,670773,--,878,634189,--,-4720,1.29
2015/04,6409,旭隼,8039323,5602291,2437032,--,--,2437032,758813,--,1678219,82452,1760671,343961,1416710,--,--,1416710,-13240,--,1403470,1416710,--,--,1403470,--,--,19.05
2015/04,6414,樺漢科技,11056658,9040108,2016550,--,--,2016550,829486,--,1187064,122870,1309934,234274,1075660,--,--,1075660,-46082,--,1029578,865701,--,209959,845076,--,184502,12.57
2015/04,6452,F-康友,4410116,2628689,1781427,--,--,1781427,626722,--,1154705,58925,1213630,183347,1030283,--,--,1030283,-113188,--,917095,1030283,0,--,917095,0,--,16.54
2015/04,8039,台虹科技,10267868,8103053,2164815,442,347,2164720,1115600,--,1049120,-181850,867270,159962,707308,--,--,707308,-38381,--,668927,729856,--,-22548,691601,--,-22674,3.61
2015/04,8201,無敵,960881,867637,93244,536,1516,94224,391487,--,-297263,58690,-238573,6094,-244667,--,--,-244667,33287,--,-211380,-244667,--,0,-211380,--,0,-2.75
2015/04,8222,寶一科技,883008,698560,184448,--,--,184448,95161,--,89287,8941,98228,12697,85531,--,--,85531,-208,--,85323,--,--,--,--,--,--,1.26
2015/04,8341,日友,1624504,708392,916112,--,--,916112,290543,--,625569,-1703,623866,110322,513544,--,--,513544,6860,--,520404,513544,--,--,520404,--,--,4.71
2015/04,8454,富邦媒,25639898,22536236,3103662,--,--,3103662,2043265,-1628,1058769,177290,1236059,242970,993089,0,--,993089,-154807,--,838282,1060781,--,-67692,907126,--,-68844,7.48
2015/04,8940,新天地,1652296,892241,760055,--,--,760055,755813,--,4242,1819,6061,17193,-11132,--,--,-11132,-10880,--,-22012,7078,--,-18210,-3446,--,-18566,0.10
2015/04,9919,康那香,4475154,3853347,621807,--,--,621807,606324,--,15483,-29026,-13543,-922,-12621,--,--,-12621,-31094,--,-43715,41403,--,-54024,16374,--,-60089,0.21
2015/03,1101,台泥,69118302,59033946,10084356,--,--,10084356,3476740,--,6607616,-723929,5883687,1191897,4691790,--,--,4691790,-3201731,--,1490059,4000652,--,691138,605877,--,884182,1.08
2015/03,1102,亞泥,49113910,44182685,4931225,418,--,4930807,2076259,--,2854548,2234539,5089087,682533,4406554,--,--,4406554,2328905,--,6735459,4421041,--,-14487,6774072,--,-38613,1.41
2015/03,1103,嘉泥,1957612,2088788,-131176,--,--,-131176,315622,45981,-400817,31022,-369795,14787,-384582,--,--,-384582,-4533845,--,-4918427,-401198,--,16616,-4768291,--,-150136,-0.62
2015/03,1104,環球水泥,3770779,3411936,358843,--,--,358843,262336,--,96507,886531,983038,73306,909732,--,--,909732,-117658,--,792074,916609,--,-6877,798951,--,-6877,1.46
2015/03,1108,幸福水泥,3765704,3011971,753733,--,--,753733,194484,4,559253,-17865,541388,102442,438946,-39452,--,399494,-7667,--,391827,407328,--,-7834,399392,--,-7565,1.01
2015/03,1109,信大水泥,3204963,2917823,287140,--,--,287140,293271,--,-6131,-48231,-54362,47133,-101495,--,--,-101495,26242,--,-75253,-35954,--,-65541,-22220,--,-53033,-0.09
2015/03,1110,東泥,1371851,1259335,112516,--,--,112516,43381,--,69135,53277,122412,124,122288,--,--,122288,-269548,--,-147260,121898,--,390,-147646,--,386,0.21
2015/03,1201,味全公司,15400616,11162417,4238199,--,--,4238199,5043392,--,-805193,-343565,-1148758,-164468,-984290,-425706,--,-1409996,-15183,--,-1425179,-1183332,--,-226664,-1197318,--,-227861,-2.34
2015/03,1203,味王公司,5106824,3887822,1219002,0,0,1219002,683417,--,535585,84106,619691,147787,471904,0,--,471904,-100829,--,371075,314934,--,156970,269761,--,101314,1.32
2015/03,1210,大成長城,58723159,52525419,6197740,--,--,6197740,5164937,--,1032803,-115352,917451,293673,623778,-3952,--,619826,4599,--,624425,598910,--,20916,626088,--,-1663,0.88
2015/03,1213,大飲,602085,506687,95398,--,--,95398,64407,--,30991,6203,37194,7619,29575,--,--,29575,-10,--,29565,29575,--,--,29565,--,--,0.57
2015/03,1215,卜蜂企業,12374527,10914623,1459904,--,--,1459904,845145,287,615046,20865,635911,145525,490386,--,--,490386,-469904,--,20482,468372,--,22014,-3215,--,23697,1.75
2015/03,1216,統一,320635395,212842018,107793377,--,--,107793377,89111627,--,18681750,5633725,24315475,4957813,19357662,--,--,19357662,-790676,--,18566986,12582297,--,6775365,12544056,--,6022930,2.21
2015/03,1217,愛之味,3291803,2231885,1059918,--,--,1059918,1179034,--,-119116,187310,68194,13353,54841,42349,--,97190,1371,--,98561,85281,--,11909,95855,--,2706,0.18
2015/03,1218,泰山企業,6213368,5175140,1038228,533,182,1037877,1085679,--,-47802,135335,87533,8271,79262,--,--,79262,-19192,--,60070,79054,--,208,59862,--,208,0.23
2015/03,1219,福壽實業,7127987,6552194,575793,--,--,575793,543844,--,31949,10618,42567,16002,26565,--,--,26565,1076,--,27641,45237,--,-18672,46118,--,-18477,0.14
2015/03,1220,台榮,2429927,2180957,248970,--,--,248970,180820,--,68150,26929,95079,14818,80261,--,--,80261,-11291,--,68970,86322,--,-6061,75978,--,-7008,0.49
2015/03,1225,福懋油,8051489,7504781,546708,275,--,546433,381181,11,165263,-30489,134774,26095,108679,--,--,108679,4833,--,113512,94086,--,14593,98919,--,14593,0.43
2015/03,1227,佳格,19233848,13071092,6162756,--,--,6162756,3604528,--,2558228,117361,2675589,523948,2151641,--,--,2151641,-10230,--,2141411,2133491,--,18150,2121896,--,19515,2.71
2015/03,1229,聯華實業,3928010,3398631,529379,--,--,529379,348964,--,180415,1171634,1352049,31091,1320958,--,--,1320958,-1852118,--,-531160,1323690,--,-2732,-529420,--,-1740,1.49
2015/03,1231,聯華食品,4893025,3920128,972897,0,0,972897,742382,--,230515,75520,306035,57332,248703,0,--,248703,252,--,248955,247062,--,1641,247301,--,1654,1.67
2015/03,1232,大統益,13366089,12139049,1227040,--,--,1227040,440027,--,787013,67300,854313,154978,699335,--,--,699335,222,--,699557,693034,--,6301,693256,--,6301,4.33
2015/03,1233,天仁,1591018,668077,922941,--,--,922941,781456,--,141485,23738,165223,28259,136964,0,--,136964,-6412,--,130552,136772,0,192,131356,--,-804,1.51
2015/03,1234,黑松,4830128,3122240,1707888,--,--,1707888,1505883,--,202005,476157,678162,110994,567168,0,--,567168,-12941,--,554227,567168,--,--,554227,--,--,1.41
2015/03,1235,興泰,78929,71301,7628,--,--,7628,17061,--,-9433,33248,23815,231,23584,--,--,23584,17087,--,40671,23584,--,0,40671,--,0,0.40
2015/03,1236,宏亞食品,1686359,1236341,450018,--,--,450018,389860,--,60158,8515,68673,10631,58042,--,--,58042,-110915,--,-52873,58042,--,0,-52873,--,--,0.54
2015/03,1262,F-綠悅,4614932,2938518,1676414,--,--,1676414,309270,--,1367144,-8528,1358616,205937,1152679,--,--,1152679,-789,--,1151890,1152679,--,--,1151890,--,--,7.76
2015/03,1301,台塑,145699706,128635155,17064551,--,--,17064551,7959573,--,9104978,19321591,28426569,3391698,25034871,--,--,25034871,-27221971,--,-2187100,25034871,--,--,-2187100,--,--,3.93
2015/03,1303,南亞塑膠,232854191,202543924,30310267,-12019,--,30322286,13306968,--,17015318,20627264,37642582,6736255,30906327,--,--,30906327,-17567429,--,13338898,30543664,--,362663,13690240,-351342,--,3.85
2015/03,1304,台聚,39546827,35538456,4008371,--,--,4008371,2722673,--,1285698,212708,1498406,318872,1179534,-32871,--,1146663,-781221,--,365442,641387,--,505276,-5437,--,370879,0.62
2015/03,1305,華夏,10310043,8904573,1405470,--,--,1405470,791147,--,614323,48640,662963,108379,554584,-32871,--,521713,605,--,522318,497601,--,24112,498281,--,24037,1.06
2015/03,1307,三芳化工,8477479,6181938,2295541,--,--,2295541,1267336,--,1028205,21740,1049945,210777,839168,--,--,839168,182319,--,1021487,839168,--,--,1021487,--,--,2.17
2015/03,1308,亞聚,3722115,3289618,432497,--,--,432497,141820,--,290677,187782,478459,73014,405445,--,--,405445,-655518,--,-250073,405445,--,--,-250073,--,--,0.82
2015/03,1309,台達化工,13191550,12518300,673250,--,--,673250,532558,--,140692,-28470,112222,21155,91067,--,--,91067,-97022,--,-5955,91067,--,--,-5955,--,--,0.28
2015/03,1310,台苯,9766655,8726279,1040376,--,--,1040376,267721,--,772655,-79801,692854,136931,555923,0,--,555923,-97520,--,458403,612720,--,-56797,514559,--,-56156,1.16
2015/03,1312,國喬石化,15751120,13223902,2527218,--,--,2527218,917576,--,1609642,137802,1747444,292381,1455063,--,--,1455063,62509,--,1517572,1305912,--,149151,1371574,--,145998,1.44
2015/03,1313,聯成,33466894,32087959,1378935,--,--,1378935,1274512,--,104423,206898,311321,-4891,316212,--,--,316212,-315180,--,1032,316212,--,0,1032,--,0,0.27
2015/03,1314,中石化,21480374,21336501,143873,521,931,144283,946796,--,-802513,977531,175018,32932,142086,--,--,142086,27205,--,169291,150892,--,-8806,178878,--,-9587,0.06
2015/03,1315,達新工業,2071424,1687803,383621,--,--,383621,325534,--,58087,172247,230334,24950,205384,--,--,205384,-405162,--,-199778,215091,--,-9707,-190118,--,-9660,1.13
2015/03,1316,上曜,698438,592335,106103,--,--,106103,182131,--,-76028,-7616,-83644,4832,-88476,--,--,-88476,-42430,--,-130906,-103905,--,15429,-119412,--,-11494,-0.68
2015/03,1319,東陽,16334937,12654247,3680690,--,435,3681125,2489505,--,1191620,89412,1281032,233194,1047838,--,--,1047838,116566,--,1164404,1026712,--,21126,1127908,--,36496,1.74
2015/03,1321,大洋,3651709,3353602,298107,--,--,298107,278515,--,19592,51758,71350,-1,71351,--,--,71351,-152,--,71199,71351,--,--,71199,--,--,0.32
2015/03,1323,永裕,2274857,1725017,549840,--,--,549840,290581,-15,259244,12011,271255,71041,200214,--,--,200214,-3471,--,196743,150805,--,49409,147596,--,49147,1.66
2015/03,1324,地球工業,971007,778783,192224,--,--,192224,144646,--,47578,7293,54871,11895,42976,--,--,42976,3902,--,46878,42976,--,0,46878,--,0,0.57
2015/03,1325,恒大,810474,689271,121203,--,--,121203,55732,--,65471,21533,87004,17434,69570,--,--,69570,-336,--,69234,71309,--,-1739,70862,--,-1628,0.71
2015/03,1326,台化,250678904,225036601,25642303,--,--,25642303,10730094,--,14912209,13122333,28034542,3530804,24503738,--,--,24503738,-23268122,--,1235616,21493787,--,3009951,-3664552,--,4900168,3.68
2015/03,1337,F-再生,3354193,2715682,638511,--,--,638511,359300,--,279211,42733,321944,108505,213439,--,--,213439,184778,--,398217,213439,--,--,398217,--,--,0.82
2015/03,1338,F-廣華,6032581,4609095,1423486,--,--,1423486,763609,--,659877,51320,711197,157458,553739,--,--,553739,81120,--,634859,552709,--,1030,636414,--,-1555,6.59
2015/03,1339,昭輝,1467439,1010083,457356,--,--,457356,205790,--,251566,56236,307802,66255,241547,--,--,241547,36683,--,278230,239114,--,2433,271354,--,6876,3.20
2015/03,1340,F-勝悅,2278102,1510431,767671,--,--,767671,86126,--,681545,78715,760260,120787,639473,--,--,639473,96707,--,736180,639473,--,--,736180,--,--,5.57
2015/03,1402,遠東新,160880353,121887684,38992669,--,278,38992947,26822073,--,12170874,4410489,16581363,4009966,12571397,--,--,12571397,963605,--,13535002,7079958,--,5491439,7949255,--,5585747,1.42
2015/03,1410,南染,476102,304325,171777,--,--,171777,60959,--,110818,8945,119763,19534,100229,--,--,100229,-5646,--,94583,92778,--,7451,87132,--,7451,1.29
2015/03,1413,宏洲纖維,1909006,1975273,-66267,--,--,-66267,76575,--,-142842,124113,-18729,9913,-28642,--,--,-28642,-2053,--,-30695,-28416,--,-226,-30469,--,-226,-0.25
2015/03,1414,東和,848076,826157,21919,--,--,21919,48699,--,-26780,13591,-13189,-4784,-8405,--,--,-8405,-53224,--,-61629,--,--,--,--,--,--,-0.04
2015/03,1416,廣豐,1128800,891968,236832,--,--,236832,217022,--,19810,-3809,16001,-12421,28422,--,--,28422,92211,--,120633,29230,--,-808,121441,--,-808,0.11
2015/03,1417,嘉裕,2635344,2053213,582131,--,--,582131,940105,--,-357974,46059,-311915,610,-312525,--,--,-312525,-81578,--,-394103,-312525,--,--,-394103,--,--,-0.82
2015/03,1418,東華,1041939,1080530,-38591,--,--,-38591,108661,--,-147252,38266,-108986,1864,-110850,--,--,-110850,-22542,--,-133392,-110825,--,-25,-133367,--,-25,-0.90
2015/03,1419,新紡,775649,618975,156674,--,--,156674,228271,--,-71597,204492,132895,1762,131133,--,--,131133,-369661,--,-238528,135362,--,-4229,-234299,--,-4229,0.45
2015/03,1423,利華羊毛,489214,459873,29341,--,--,29341,26579,--,2762,-19776,-17014,2111,-19125,--,--,-19125,5010,--,-14115,--,--,--,--,--,--,-0.11
2015/03,1432,大魯閣,252248,153390,98858,--,--,98858,275000,--,-176142,66846,-109296,11862,-121158,79645,--,-41513,-31465,--,-72978,-33987,--,-7526,-65452,--,-7526,-0.21
2015/03,1434,福懋興業,32891550,28224191,4667359,--,--,4667359,2122499,--,2544860,460156,3005016,498048,2506968,--,--,2506968,3025506,--,5532474,2223844,--,283124,5272195,--,260279,1.33
2015/03,1435,中福國際,22058,2375,19683,--,--,19683,20928,--,-1245,1877,632,0,632,--,--,632,--,--,632,632,--,0,632,--,--,0.00
2015/03,1436,華友聯,100320,70398,29922,--,--,29922,42193,--,-12271,-18562,-30833,12178,-43011,--,--,-43011,--,--,-43011,-43011,--,--,-43011,--,--,-0.62
2015/03,1437,勤益投控,618995,462603,156392,--,--,156392,72850,--,83542,-6986,76556,3462,73094,--,--,73094,15707,--,88801,72603,--,491,88253,--,548,0.36
2015/03,1438,裕豐,23502,5618,17884,0,0,17884,6877,0,11007,6429,17436,1772,15664,--,--,15664,--,--,15664,--,--,--,--,--,--,0.15
2015/03,1439,中和羊毛,266425,256507,9918,--,--,9918,22069,--,-12151,12730,579,-49,628,--,--,628,0,--,628,--,--,--,--,--,--,0.01
2015/03,1440,南紡,16690084,14505560,2184524,--,--,2184524,1598437,--,586087,600723,1186810,237420,949390,--,--,949390,-491604,--,457786,1008360,--,-58970,516773,--,-58987,0.61
2015/03,1441,大東紡織,1402920,1304495,98425,--,--,98425,135486,--,-37061,-25721,-62782,-3490,-59292,--,--,-59292,-9564,--,-68856,-59292,--,--,-68856,--,--,-0.66
2015/03,1442,名軒,1430881,809503,621378,--,--,621378,143376,--,478002,538,478540,37739,440801,--,--,440801,-3523,--,437278,440801,--,0,437278,--,0,1.95
2015/03,1443,立益紡織,984872,982605,2267,--,--,2267,104229,--,-101962,-19494,-121456,0,-121456,--,--,-121456,-36177,--,-157633,-55526,--,-65930,-80627,--,-77006,-0.41
2015/03,1444,力麗,7886031,7295279,590752,0,233,590985,372539,--,218446,168034,386480,40125,346355,--,--,346355,-128568,--,217787,343262,--,3093,215592,--,2195,0.36
2015/03,1445,大宇紡織,1384542,1212329,172213,0,0,172213,107767,--,64446,16879,81325,10604,70721,--,--,70721,48595,--,119316,70721,--,--,119316,--,--,0.51
2015/03,1446,宏和,658695,545874,112821,--,--,112821,132603,--,-19782,24440,4658,5179,-521,--,--,-521,-9769,--,-10290,-521,--,--,-10290,--,--,0.00
2015/03,1447,力鵬,13174963,12861126,313837,--,--,313837,485864,--,-172027,295330,123303,16155,107148,--,--,107148,-141221,--,-34073,82332,--,24816,-50634,--,16561,0.09
2015/03,1449,佳和實業,2206032,2188384,17648,--,--,17648,270785,--,-253137,-5559,-258696,-435,-258261,--,--,-258261,-24047,--,-282308,-253702,--,-4559,-277716,--,-4592,-2.14
2015/03,1451,年興紡織,9634133,8699888,934245,--,--,934245,543071,--,391174,123687,514861,96934,417927,--,--,417927,-163979,--,253948,420543,--,-2616,253631,--,317,1.05
2015/03,1452,宏益,1522589,1252657,269932,--,--,269932,84150,--,185782,190561,376343,41623,334720,--,--,334720,38063,--,372783,--,--,--,--,--,--,2.52
2015/03,1453,大將,307439,209264,98175,--,--,98175,40706,--,57469,5382,62851,235,62616,--,--,62616,-7350,--,55266,62697,--,-81,55347,--,-81,0.71
2015/03,1454,台富,1607037,1426892,180145,--,--,180145,92287,-239,87619,18619,106238,17188,89050,--,--,89050,13728,--,102778,89049,--,1,102777,--,1,0.67
