年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,營業費用,營業利益（損失）,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,營業外收入及支出,利息淨收益,利息以外淨收益,呆帳費用,會計原則變動之累積影響數,稀釋每股盈餘,利息收入,減：利息費用,淨收益,收回(提存)各項保險責任準備淨額,收入,費用,列計非常損益及會計原則變動累積影響數前損益,營業支出,換算匯率,換算匯率參考依據
2010/01,1313.0,聯成,7993520.0,6790289.0,1203231.0,279859.0,923372.0,1020043.0,183611.0,836432.0,0.0,0.0,0.0,836432.0,836614.0,0.0,-182.0,0.88,96671.0,,,,,,,,,,,,,,,
2010/01,1314.0,中石化,9602294.0,8181968.0,1420326.0,245905.0,1174386.0,937169.0,198936.0,738233.0,0.0,0.0,0.0,738233.0,738233.0,0.0,0.0,0.41,-237217.0,,,,,,,,,,,,,,,
2010/01,1315.0,達新工業,632817.0,514532.0,118285.0,146173.0,-27888.0,9129.0,-1278.0,10407.0,0.0,0.0,0.0,10407.0,12165.0,0.0,-1758.0,0.06,37017.0,,,,,,,,,,,,,,,
2010/01,1316.0,上曜,160948.0,158424.0,2524.0,24545.0,-22021.0,-14410.0,-77.0,-14333.0,0.0,0.0,0.0,-14333.0,-9871.0,0.0,-4462.0,-0.15,7611.0,,,,,,,,,,,,,,,
2010/01,1319.0,東陽,5926589.0,4429426.0,1497163.0,761090.0,736915.0,720830.0,104210.0,616620.0,0.0,0.0,0.0,616620.0,462285.0,0.0,154335.0,1.03,-16085.0,,,,,,,,,,,,,,,
2010/01,1321.0,大洋,1456749.0,1364743.0,92006.0,98098.0,-6092.0,254.0,5793.0,-5539.0,0.0,0.0,0.0,-5539.0,-5539.0,0.0,0.0,-0.03,6346.0,,,,,,,,,,,,,,,
2010/01,1323.0,永裕,583155.0,428918.0,154237.0,85862.0,68375.0,61174.0,10222.0,50952.0,0.0,0.0,0.0,50952.0,45308.0,0.0,5644.0,0.58,-7201.0,,,,,,,,,,,,,,,
2010/01,1324.0,地球工業,333975.0,262156.0,71819.0,47145.0,24674.0,22605.0,5420.0,17185.0,0.0,0.0,0.0,17185.0,17185.0,0.0,0.0,0.23,-2069.0,,,,,,,,,,,,,,,
2010/01,1325.0,恒大,278173.0,232928.0,45245.0,17640.0,27605.0,29281.0,2661.0,26620.0,0.0,0.0,0.0,26620.0,28060.0,0.0,-1440.0,0.31,1676.0,,,,,,,,,,,,,,,
2010/01,1326.0,台化,91325209.0,79090570.0,12234639.0,2897075.0,9337564.0,12259663.0,267653.0,11992010.0,0.0,0.0,0.0,11992010.0,11357477.0,0.0,634533.0,2.0,2922099.0,,,,,,,,,,,,,,,
2010/01,1402.0,遠東新,44487518.0,34139200.0,10348318.0,5732445.0,4615873.0,4411835.0,663905.0,3747930.0,0.0,0.0,0.0,3747930.0,2010732.0,0.0,1737198.0,0.43,-204038.0,,,,,,,,,,,,,,,
2010/01,1409.0,新纖,8864426.0,,,,,280912.0,62691.0,,0.0,0.0,,218221.0,165367.0,,52854.0,0.11,,,,,0.0,0.11,,,,,,,,8583514.0,,
2010/01,1410.0,南染,132639.0,102701.0,29938.0,16268.0,13670.0,12976.0,452.0,12524.0,0.0,0.0,0.0,12524.0,10875.0,0.0,1649.0,0.12,-694.0,,,,,,,,,,,,,,,
2010/01,1413.0,宏洲纖維,958975.0,931598.0,27377.0,27346.0,31.0,-1291.0,10072.0,-11363.0,0.0,0.0,0.0,-11363.0,-10987.0,0.0,-376.0,-0.07,-1322.0,,,,,,,,,,,,,,,
