證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 繼續營業單位淨利（淨損）,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
2547,2013年07月01日至2013年09月30日,,             23372420,,             14061428,              9310992,              9310992,,,                138621,,                292841,,,                431462,              8879530,,,                 49716,,                  3220,,                186873,               -133937,              8745593,,                 13138,              8732455,              8732455,,,,,                   -437,              8732018,,              8730495,                  1960,,              8730058,                  1960,,                             10.34,                   -437,,                             10.34,,                              9.65,                              9.65
2547,2013年04月01日至2013年06月30日,,                442517,,                145000,                297517,                297517,,,                158848,,                273725,,,                432573,               -135056,,,                 65331,,                 -7285,,                242626,               -184580,               -319636,,                 14956,               -334592,               -334592,,,,,                    377,               -334215,,               -334918,                    326,,               -334541,                    326,,                             -0.41,                    377,,,,,
2547,2013年01月01日至2013年12月31日,,             30391438,,             17832896,             12558542,             12558542,,,                620030,,              1155863,,,              1775893,             10782649,,,                225088,,                -26900,,                748541,               -550353,             10232296,,                 85342,             10146954,             10146954,,,,,                   -678,             10146276,,             10139438,                  7516,,             10138760,                  7516,,                             12.01,                    733,                 -1411,                             12.01,,                             11.24,                             11.24
2547,2013年01月01日至2013年09月30日,,             24264555,,             14342684,              9921871,              9921871,,,                424268,,                831793,,,              1256061,              8665810,,,                160822,,                  2080,,                652171,               -489269,              8176541,,                 36144,              8140397,              8140397,,,,,                    152,              8140549,,              8137441,                  2956,,              8137593,                  2956,,                              9.68,                    152,,                              9.68,,                              9.02,                              9.02
2547,2013年01月01日至2013年06月30日,,                892135,,                281256,                610879,                610879,,,                285647,,                538952,,,                824599,               -213720,,,                111106,,                 -1140,,                465298,               -355332,               -569052,,                 23006,               -592058,               -592058,,,,,                    589,               -591469,,               -593054,                    996,,               -592465,                    996,,                             -0.72,                    589,,,,,
2547,2013年01月01日至2013年03月31日,,                449618,,                136256,                313362,                313362,,,                126799,,                265227,,,                392026,                -78664,,,                 45775,,                  6145,,                222672,               -170752,               -249416,,                  8050,               -257466,               -257466,,,,,                    212,               -257254,,               -258136,                    670,,               -257924,                    670,,                             -0.32,                    212,,,,,
2547,2012年07月01日至2012年09月30日,,                385451,,                 89922,                295529,                295529,,,                190082,,                231630,,,                421712,               -126183,,,                145314,,                 14295,,                158732,                    877,               -125306,,                 15530,               -140836,               -140836,,,,,                    -77,               -140913,,               -138388,                 -2448,,               -138465,                 -2448,,                             -0.17,                    -77,,                             -0.17,,                              0.00,                              0.00
2547,2012年04月01日至2012年06月30日,,                358252,,                105920,                252332,                252332,,,                106654,,                277499,,,                384153,               -131821,,,                 81966,,                 17321,,                 89749,                  9538,               -122283,,                 78964,               -201247,               -201247,,,,,                     39,               -201208,,               -198779,                 -2468,,               -198740,                 -2468,,                             -0.25,                     39,,,,,
2547,2012年01月01日至2012年12月31日,,              1667111,,                407984,              1259127,              1259127,,,              1166769,,              1086443,,,              2253212,               -994085,,,                420907,,                 13000,,                624737,               -190830,             -1184915,,                200005,             -1384920,             -1384920,,,,,                 -4353,             -1389273,,             -1377143,                 -7777,,             -1381456,                 -7817,,                             -1.71,                   -450,                 -3903,                             -1.71,,                              0.00,                              0.00
2547,2012年01月01日至2012年09月30日,,              1123998,,                290473,                833525,                833525,,,                380654,,                751089,,,              1131743,               -298218,,,                299214,,                 16834,,                436875,               -120827,               -419045,,                102983,               -522028,               -522028,,,,,                   -448,               -522476,,               -515622,                 -6406,,               -516070,                 -6406,,                             -0.64,                   -448,,                             -0.64,,                              0.00,                              0.00
2547,2012年01月01日至2012年06月30日,,                738547,,                200551,                537996,                537996,,,                190572,,                519459,,,                710031,               -172035,,,                153900,,                  2539,,                278143,               -121704,               -293739,,                 87453,               -381192,               -381192,,,,,                   -371,               -381563,,               -377234,                 -3958,,               -377605,                 -3958,,                             -0.49,                   -371,,,,,
2547,2012年01月01日至2012年03月31日,,                380295,,                 94631,                285664,                285664,,,                 83918,,                241960,,,                325878,                -40214,,,                 71934,,                -14782,,                188394,               -131242,               -171456,,                  8489,               -179945,               -179945,,,,,                   -410,               -180355,,               -178455,                 -1490,,               -178865,                 -1490,,                             -0.24,                   -410,,,,,
