證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 利息收入,　　　　 利息收入合計
3557,2014年01月01日至2014年03月31日,,,                151137,                151137,,                175722,                -24585,                -24585,,,                 13509,,                 14893,,                 10710,                 39112,,                    663,                -63034,,,                    207,,                  6019,,                  2677,                  3549,                -59485,,                              0,                -59485,                -59485,,,                    632,                    632,                    632,                -58853,,                -57374,                 -2111,,                -56742,                 -2111,,                             -0.52,,                             -0.52,                              0,,,,,,,
3557,2013年第3季,,,                243072,                243072,,                285165,                -42093,                -42093,,,                 16065,,                 17470,,                  9935,                 43470,,                  2108,                -83455,,,                    236,,                 -5000,,                  3682,                 -8446,                -91901,,                 17337,               -109238,               -109238,,,,,                   -657,               -109895,,               -101346,                 -7892,,               -102003,                 -7892,,                             -0.93,,                             -0.93,,                   -657,                              0,,,,,
3557,2013年第2季,,,                334115,                334115,,                303174,                 30941,                 30941,,,                 19576,,                 18027,,                 10422,                 48025,,                  2117,                -14967,,,                  2051,,                -23448,,                  4928,                -26325,                -41292,,                      2,                -41294,                -41294,,,,,                  1407,                -39887,,                -38830,                 -2464,,                -37423,                 -2464,,                             -0.36,,                             -0.36,,                  1407,                              0,,,,,
3557,2013年度,,,              1092677,              1092677,,              1146318,                -53641,                -53641,,,                 63699,,                 66062,,                 36404,                166165,,                  5789,               -214017,,,                  1943,,                -47382,,                 14584,                -60023,               -274040,,                 28265,               -302305,               -302305,,,,,                  3775,               -298530,,               -283428,                -18877,,               -279653,                -18877,,                             -2.59,,                             -2.59,,                  3775,                              0,,,,,
3557,2013年07月01日至2013年09月30日,,,,                243072,,                285165,                -42093,                -42093,,,                 16065,,                 17470,,                  9935,                 43470,,                  2108,                -83455,,,                    236,,                 -5000,,                  3682,                 -8446,                -91901,,                 17337,               -109238,               -109238,,,,,                   -657,               -109895,,               -101346,                 -7892,,               -102003,                 -7892,,                             -0.93,,                             -0.93,,                   -657,                              0,,,                              0,,                    236
3557,2013年04月01日至2013年06月30日,,,,                334115,,                303174,                 30941,                 30941,,,                 19576,,                 18027,,                 10422,                 48025,,                  2117,                -14967,,,                  2051,,                -23448,,                  4928,                -26325,                -41292,,                      2,                -41294,                -41294,,,,,                  1407,                -39887,,                -38830,                 -2464,,                -37423,                 -2464,,                             -0.36,,                             -0.36,,                  1407,                              0,,,                              0,,                  2051
3557,2013年01月01日至2013年12月31日,,,              1092677,              1092677,,              1146318,                -53641,                -53641,,,                 63699,,                 66062,,                 36404,                166165,,                  5789,               -214017,,,                  1943,,                -47382,,                 14584,                -60023,               -274040,,                 28265,               -302305,               -302305,,,,,                  3775,               -298530,,               -283428,                -18877,,               -279653,                -18877,,                             -2.59,,                             -2.59,,                  3775,                              0,                 14584,,                              0,,
3557,2013年01月01日至2013年09月30日,,,                922189,                922189,,                894491,                 27698,                 27698,,,                 51729,,                 54337,,                 26726,                132792,,                  5338,                -99756,,,                  2509,,                -17083,,                 12343,                -26917,               -126673,,                 17440,               -144113,               -144113,,,,,                  3037,               -141076,,               -133748,                -10365,,               -130711,                -10365,,                             -1.22,,                             -1.22,,                  3037,                              0,,,,,
3557,2013年01月01日至2013年06月30日,,,                679117,                679117,,                609326,                 69791,                 69791,,,                 35664,,                 36867,,                 16791,                 89322,,                  3230,                -16301,,,                  2273,,                -12083,,                  8661,                -18471,                -34772,,                    103,                -34875,                -34875,,,,,                  3694,                -31181,,                -32402,                 -2473,,                -28708,                 -2473,,                             -0.30,,                             -0.30,,                  3694,                              0,,,,,
3557,2013年01月01日至2013年03月31日,,,                345002,                345002,,                306152,                 38850,                 38850,,,                 16088,,                 18840,,                  6369,                 41297,,                  1113,                 -1334,,,                    222,,                 11365,,                  3733,                  7854,                  6520,,                    101,                  6419,                  6419,,,,,                  2287,                  8706,,                  6428,                     -9,,                  8715,                     -9,,                              0.06,,                              0.06,,                  2287,                              0,                  3733,,,,
3557,2012年07月01日至2012年09月30日,,,,                361745,,                315322,                 46423,                 46423,,,                 21926,,                 17892,,                  8072,                 47890,,                  1149,                   -318,,,                    216,,                 -1681,,                  5016,                 -6481,                 -6799,,                 -2479,                 -4320,                 -4320,,,,,                 -2120,                 -6440,,                 -2159,                 -2161,,                 -4279,                 -2161,,                             -0.02,,                             -0.02,,                 -2120,                              0,,,                              0,,                    216
3557,2012年04月01日至2012年06月30日,,,,                340411,,                317721,                 22690,                 22690,,,                 17829,,                 16536,,                  7663,                 42028,,                  1039,                -18299,,,                    307,,                  1863,,                  4262,                 -2974,                -21273,,                -10746,                -10527,                -10527,,,,,                    762,                 -9765,,                 -8058,                 -2469,,                 -7296,                 -2469,,                             -0.08,,                             -0.08,,                    762,                              0,,,                   -882,,                    307
3557,2012年01月01日至2012年12月31日,,,              1299361,              1299361,,              1212502,                 86859,                 86859,,,                 76582,,                 67967,,                 29671,                174220,,                  4390,                -82971,,,                  1455,,                  4016,,                 18690,                -15086,                -98057,,                -13415,                -84642,                -84642,,,,,                 -3380,                -88022,,                -80090,                 -4552,,                -83470,                 -4552,,                             -0.73,,                             -0.73,,                 -3380,                              0,                 18690,,                 -1867,,
3557,2012年01月01日至2012年09月30日,,,,                924365,,                887087,                 37278,                 37278,,,                 54503,,                 51437,,                 22793,                128733,,                  3101,                -88354,,,                  1102,,                 -1657,,                 14143,                -16565,               -104919,,                -19633,                -85286,                -85286,,,,,                 -3447,                -88733,,                -80656,                 -4630,,                -84103,                 -4630,,                             -0.74,,                             -0.74,,                 -3447,                              0,,,                 -1867,,                  1102
3557,2012年01月01日至2012年06月30日,,,,                562620,,                571765,                 -9145,                 -9145,,,                 32577,,                 33545,,                 14721,                 80843,,                  1952,                -88036,,,                    886,,                     24,,                  9127,                -10084,                -98120,,                -17154,                -80966,                -80966,,,,,                 -1327,                -82293,,                -78497,                 -2469,,                -79824,                 -2469,,                             -0.72,,                             -0.72,,                 -1327,                              0,,,                 -1867,,                    886
3557,2012年01月01日至2012年03月31日,,,,                222209,,                254044,                -31835,                -31835,,,                 14748,,                 17009,,                  7058,                 38815,,                    913,                -69737,,,                    579,,                 -1839,,                  4865,                 -7110,                -76847,,                 -6408,                -70439,                -70439,,,,,                 -2089,                -72528,,                -70439,                              0,,                -72528,                              0,,                             -0.64,,                             -0.64,,                 -2089,,,,                   -985,,                    579
