年,季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2016,01,1234,黑松,7250506,14525633,21776139,1932125,2351028,4283153,4018711,184583,13245948,43744,0,17492986,--,--,0,17492986,0,--,0,                 43.53
2016,01,1235,興泰,2311944,810465,3122409,1020624,334508,1355132,606623,41515,317837,811110,-9953,1767132,--,--,145,1767277,0,--,1978138,                 30.11
2016,01,1236,宏亞食品,815067,2451693,3266760,600278,739277,1339555,1083425,33396,458341,352043,0,1927205,--,--,0,1927205,0,0,0,                 17.79
2016,01,1256,鮮活果汁-KY,1115909,643849,1759758,711334,137218,848552,271656,60109,541885,34244,--,907894,--,--,3312,911206,0,--,0,                 33.42
2016,01,1262,綠悅-KY,4377848,7446190,11824038,1484466,1779,1486245,1485000,4970783,3690804,191206,--,10337793,--,--,--,10337793,0,--,0,                 69.61
2016,01,1301,台塑,162989106,275217358,438206464,67417279,75538121,142955400,63657408,11443696,153362420,66787540,--,295251064,--,--,--,295251064,0,0,0,                 46.38
2016,01,1303,南亞塑膠,205296703,316432174,521728877,73734695,104121595,177856290,79308216,25104698,175075147,50817623,--,330305684,--,--,13566903,343872587,0,0,0,                 41.65
2016,01,1304,台聚,29671282,27881584,57552866,13809571,12185991,25995562,11426024,197714,6209779,14411,-475606,17372322,--,--,14184982,31557304,0,0,111943075,                 16.86
2016,01,1305,華夏,6684619,5918940,12603559,2866720,2768036,5634756,4683034,8221,1907220,46367,--,6644842,--,--,323961,6968803,0,--,0,                 14.19
2016,01,1307,三芳化工,8159999,6193120,14353119,3579959,2055610,5635569,3862312,137866,4377805,339567,--,8717550,--,--,--,8717550,0,--,0,                 22.57
2016,01,1308,亞聚,2500585,7909904,10410489,789651,752664,1542315,4931607,14046,4006546,-84025,0,8868174,--,--,0,8868174,0,0,0,                 17.98
2016,01,1309,台達化工,5652766,3545094,9197860,3967396,1818015,5785411,3276518,469,-19338,154800,--,3412449,--,--,--,3412449,0,0,0,                 10.41
2016,01,1310,台苯,5036147,6995500,12031647,3343212,1712190,5055402,5278698,84646,1520772,-279144,--,6604972,--,--,371273,6976245,0,--,0,                 12.51
2016,01,1312,國喬石化,6657996,16630000,23287996,2648312,1253415,3901727,9266203,115935,7160021,719728,-199604,17062283,--,--,2323986,19386269,0,0,8254473,                 18.58
2016,01,1313,聯成,17102025,19545299,36647324,9304313,9430565,18734878,11712366,1111644,3861751,1504980,-278295,17912446,--,--,--,17912446,0,--,28417000,                 15.67
2016,01,1314,中石化,15587280,60003678,75590958,5444129,17699254,23143383,23199897,18141,30361569,-1346942,--,52232665,--,--,214910,52447575,0,0,0,                 22.51
2016,01,1315,達新工業,4187709,5144169,9331878,1178312,979126,2157438,1980000,70498,3724793,1514638,-118879,7171050,0,--,3390,7174440,0,0,7137000,                 37.57
2016,01,1316,上曜,2769731,720989,3490720,1057266,596092,1653358,1699079,136492,-635176,-5375,-23932,1171088,0,--,666274,1837362,0,0,9269000,                  7.29
2016,01,1319,東陽,9913205,25463202,35376407,8722430,7001587,15724017,5914771,4149257,8341780,237170,--,18642978,--,--,1009412,19652390,0,--,0,                 31.52
2016,01,1321,大洋,1366640,9355925,10722565,1299207,4462819,5762026,2272283,7792,2732537,-15884,-36189,4960539,--,--,--,4960539,0,0,6542716,                 22.48
2016,01,1323,永裕,2076093,1601185,3677278,621549,1047806,1669355,912745,55817,771157,34183,-2813,1771089,--,--,236834,2007923,0,0,1200017,                 19.66
2016,01,1324,地球工業,892652,418759,1311411,244559,62100,306659,751219,0,240359,13174,0,1004752,--,--,0,1004752,0,0,0,                 13.37
2016,01,1325,恒大,1162689,949416,2112105,65203,65962,131165,1003308,2954,873114,8057,--,1887433,--,--,93507,1980940,0,0,0,                 18.81
2016,01,1326,台化,216400997,305716838,522117835,76651235,100068011,176719246,58611863,8839492,145118267,79954746,-352309,292172059,--,--,53226530,345398589,0,0,18256610,                 50.00
2016,01,1337,再生-KY,3679166,7445249,11124415,697540,70711,768251,2595884,2949789,4220740,589751,--,10356164,--,--,--,10356164,0,--,0,                 39.89
2016,01,1338,廣華-KY,5408968,3543328,8952296,1785826,451013,2236839,838400,2787090,2647732,286725,0,6559947,0,--,155510,6715457,0,0,0,                 78.24
2016,01,1339,昭輝,1508198,3871410,5379608,892991,1275718,2168709,741389,1164955,1052492,26259,--,2985095,--,--,225804,3210899,0,--,0,                 40.26
2016,01,1340,勝悅-KY,5596178,764176,6360354,561133,7197,568330,1148932,2540814,1925509,176769,--,5792024,--,--,--,5792024,0,--,0,                 50.41
2016,01,1402,遠東新,109090980,411434298,520525278,100527804,159629958,260157762,53528751,2807683,137767058,1487713,-25063,195566142,--,--,64801374,260367516,0,--,779000,                 36.54
2016,01,1410,南染,745693,819089,1564782,110462,180462,290924,720000,21784,493077,-16389,--,1218472,--,--,55386,1273858,0,0,0,                 16.92
2016,01,1413,宏洲纖維,811759,1506423,2318182,696132,784124,1480256,1321124,0,-483198,0,0,837926,--,--,0,837926,0,--,0,                  6.34
2016,01,1414,東和,814968,3928156,4743124,873784,796838,1670622,2200000,0,1007203,-134701,0,--,--,--,--,3072502,0,0,0,                 13.97
2016,01,1416,廣豐,4286809,6783173,11069982,3254129,2403730,5657859,2640202,175182,2139989,438009,0,5393382,--,--,18741,5412123,0,0,0,                 20.43
2016,01,1417,嘉裕,3163526,2546739,5710265,1332187,175059,1507246,3798837,--,-207112,611294,--,4203019,--,--,--,4203019,0,--,0,                 11.06
2016,01,1418,東華,517083,1352042,1869125,1040300,349104,1389404,1319276,8005,-687345,-61587,-98717,479632,--,--,89,479721,0,0,8733000,                  3.89
2016,01,1419,新紡,1981815,9340835,11322650,3278167,858407,4136574,3000413,1610,1864390,2273379,-13174,7126618,0,--,59458,7186076,0,0,803829,                 23.82
2016,01,1423,利華羊毛,1385431,1415563,2800994,17723,201706,219429,1730000,122705,397652,331208,0,--,--,--,--,2581565,0,--,0,                 14.92
2016,01,1432,大魯閣,1185091,5658259,6843350,2215517,1816666,4032183,1680197,648329,-14054,73678,-70174,2317976,--,--,493191,2811167,0,0,3500000,                 14.09
2016,01,1434,福懋興業,23134390,62198292,85332682,10121401,13593638,23715039,16846646,20791,12353965,28931732,-22285,58130849,--,--,3486794,61617643,0,0,2563228,                 34.56
2016,01,1435,中福國際,394357,713992,1108349,4869,168001,172870,1397801,1302,-304333,--,-159275,935495,--,--,-16,935479,0,--,14424000,                  7.46
2016,01,1436,華友聯,6302848,376388,6679236,4195784,266420,4462204,690000,245201,1281831,0,--,2217032,--,--,--,2217032,0,0,0,                 32.13
2016,01,1437,勤益投控,1466284,7713498,9179782,552695,3946448,4499143,2001899,310817,2273999,125043,-60710,4651048,--,--,29591,4680639,0,0,3303000,                 23.62
2016,01,1438,裕豐,582483,36085,618568,1871,68800,70671,1024115,81330,-557548,0,0,--,--,--,--,547897,0,0,0,                  5.35
2016,01,1439,中和羊毛,1373466,765939,2139405,8831,149515,158346,920000,8686,1052373,0,0,--,--,--,--,1981059,0,0,0,                 21.53
2016,01,1440,南紡,7958623,32582877,40541500,7746009,6618080,14364089,16568159,75112,7949279,1113702,--,25706252,--,--,471159,26177411,0,0,0,                 15.52
2016,01,1441,大東紡織,946669,1981620,2928289,813866,1363367,2177233,897991,16841,-166606,2830,0,751056,--,--,--,751056,0,0,0,                  8.36
2016,01,1442,名軒,13951997,579098,14531095,4037145,5521305,9558450,2439839,910431,1617484,4891,--,4972645,--,--,0,4972645,0,0,0,                 20.38
2016,01,1443,立益紡織,1673252,2979005,4652257,2674853,1096196,3771049,1353430,701,-161924,-71248,-9056,1111903,--,--,-230695,881208,0,0,460610,                  8.24
2016,01,1444,力麗,7469717,11306063,18775780,6154171,509587,6663758,9573029,45617,1537701,128713,-28470,11256590,--,--,855432,12112022,0,--,10774028,                 11.89
2016,01,1445,大宇紡織,1216637,1124392,2341029,178388,210424,388812,1386670,172064,347857,45626,0,1952217,--,--,0,1952217,0,0,0,                 14.08
2016,01,1446,宏和,3110993,700956,3811949,1802194,226410,2028604,1377095,295676,130172,-19598,0,1783345,--,--,0,1783345,0,0,0,                 12.95
2016,01,1447,力鵬,11046310,10560961,21607271,9043574,2046457,11090031,9144872,81899,1291730,-358558,-357738,9802205,--,--,715035,10517240,0,--,82948106,                 11.79
2016,01,1449,佳和實業,2143705,3033568,5177273,1892681,2290748,4183429,1200000,44100,-880067,411617,-14290,761360,--,--,232484,993844,0,--,317686,                  6.36
2016,01,1451,年興紡織,7801698,5890930,13692628,1852919,1577242,3430161,4000000,410589,5691363,91689,--,10193641,--,--,68826,10262467,0,--,0,                 25.48
2016,01,1452,宏益,1614447,1125805,2740252,189198,55228,244426,1326414,151915,999762,17735,--,--,--,--,--,2495826,0,0,0,                 18.82
2016,01,1453,大將,720406,432628,1153034,85535,54910,140445,879164,2762,122890,-4763,--,1000053,--,--,12536,1012589,0,--,0,                 11.38
2016,01,1454,台富,1218694,1021021,2239715,430105,108932,539037,1403098,67094,183883,123621,-77032,1700664,--,--,14,1700678,0,--,7714103,                 12.83
2016,01,1455,集盛,4473921,7140927,11614848,3156254,967697,4123951,6117634,360356,1012523,384,--,7490897,--,--,--,7490897,0,--,0,                 12.24
2016,01,1456,怡華,2540501,2028340,4568841,1652961,1853582,3506543,937200,18377,77683,29038,--,1062298,--,--,--,1062298,0,0,0,                 11.33
2016,01,1457,宜進,2585759,9356482,11942241,2279500,3222919,5502419,3351640,306284,540755,104888,-282628,4020939,--,--,2418883,6439822,0,0,72362089,                 15.30
2016,01,1459,聯發紡織,3018047,4088026,7106073,2219337,1320242,3539579,3586289,314967,766601,-742677,-513573,3411607,--,--,154887,3566494,0,0,41144531,                 10.75
2016,01,1460,宏遠,5770563,3909188,9679751,3509007,1255468,4764475,4711891,62039,607824,-811,-465679,4915264,--,--,12,4915276,0,--,33706585,                 11.24
2016,01,1463,強盛染整,2618333,1108050,3726383,1557229,100392,1657621,1732684,179073,191518,-9734,-124693,1968848,--,--,99914,2068762,0,0,11447523,                 12.17
2016,01,1464,得力實業,5184048,4061962,9246010,4408509,360222,4768731,2488360,395102,985072,5171,-12681,3861024,--,--,616255,4477279,1590611,--,1090005,                 15.77
2016,01,1465,偉全實業,2011657,776900,2788557,335232,45506,380738,1036073,353488,377880,63309,--,1830750,--,--,577069,2407819,0,--,0,                 17.67
2016,01,1466,聚隆,1552245,2043392,3595637,864867,923349,1788216,1111573,451883,243965,0,0,1807421,--,--,0,1807421,0,0,0,                 16.26
2016,01,1467,南緯實業,4041875,2803920,6845795,2682518,1492611,4175129,2102622,139350,359584,-401473,--,2200083,--,--,470583,2670666,0,0,0,                 10.46
2016,01,1468,昶和纖維,1269478,1191330,2460808,735721,550370,1286091,1604053,26753,-571131,69601,--,1129276,--,--,45441,1174717,0,--,0,                  7.04
2016,01,1469,理隆纖維,975296,1266749,2242045,464029,27606,491635,1246000,455920,-165960,214428,--,1750388,--,--,22,1750410,0,0,0,                 14.05
2016,01,1470,大統染,698241,382910,1081151,95120,10619,105739,857670,6918,131496,-20672,--,--,--,--,--,975412,0,--,0,                 11.37
2016,01,1471,首利,1126962,1415868,2542830,398700,5121,403821,2014677,396763,-441146,168715,--,2139009,--,--,--,2139009,0,0,0,                 10.62
2016,01,1472,三洋紡,552104,514650,1066754,596296,53156,649452,741500,4750,-279551,-7592,-226,458881,--,--,-41579,417302,0,--,8200,                  6.19
2016,01,1473,台南企業,4709201,2428595,7137796,2786458,181762,2968220,1467340,859858,1581459,106798,-40541,3974914,--,--,194662,4169576,0,0,1509000,                 27.37
2016,01,1474,弘裕,2013118,1402071,3415189,1462168,94350,1556518,1298970,5887,543503,10311,0,1858671,--,--,--,1858671,0,0,0,                 14.31
2016,01,1475,本盟光電,311759,45263,357022,153287,18633,171920,525168,188125,-319584,-4104,--,389605,--,--,-204503,185102,0,0,0,                  7.42
2016,01,1476,儒鴻,13384326,6856589,20240915,4930348,385528,5315876,2689874,3769437,8315698,150030,--,14925039,--,--,0,14925039,0,0,0,                 55.49
2016,01,1477,聚陽實業,7542507,5492444,13034951,3198263,173287,3371550,1988364,3404052,4028358,181951,--,9602725,0,--,60676,9663401,0,0,0,                 48.29
2016,01,1503,士電,12891687,22154712,35046399,8620295,4287113,12907408,5209722,2584302,13649132,214203,--,21657359,--,--,481632,22138991,0,--,0,                 41.57
2016,01,1504,東元電機,43131373,47559814,90691187,22693357,12602847,35296204,20026929,7638417,20033931,2129692,-321563,49507406,--,--,5887577,55394983,0,0,22443022,                 25.00
2016,01,1506,正道,1530215,1262239,2792454,486975,922878,1409853,1222557,119293,-20628,-39138,--,1282084,--,--,100517,1382601,0,--,0,                 10.49
2016,01,1507,永大機電,19024431,9763662,28788093,14423681,1805281,16228962,4108200,250581,7122487,963848,-69411,12375705,--,--,183426,12559131,0,--,2129800,                 30.28
2016,01,1512,瑞利,2372740,2446120,4818860,2016774,1290130,3306904,1818025,--,-359633,-23292,--,1435100,--,--,76856,1511956,0,--,0,                  7.89
2016,01,1513,中興電,8718017,5926162,14644179,5046449,1852764,6899213,4200000,390643,2747008,269327,-116880,7490098,--,--,254868,7744966,0,0,9038676,                 18.23
2016,01,1514,亞力電機,3122062,1796067,4918129,1756774,348890,2105664,2010670,60165,718754,2419,-41616,2750392,--,--,62073,2812465,0,0,2362712,                 13.84
2016,01,1515,力山,2669902,2703564,5373466,2350925,605152,2956077,1814735,433,490443,86705,--,2392316,--,--,25073,2417389,0,0,0,                 13.18
2016,01,1516,川飛,291312,68521,359833,21370,61,21431,233147,20185,85070,0,0,--,--,--,--,338402,0,0,0,                 14.51
2016,01,1517,利奇機械,3164022,1905862,5069884,748599,650863,1399462,2278250,60505,1166966,49510,--,3555231,--,--,115191,3670422,0,--,0,                 15.61
2016,01,1519,華城電機,5645829,2179470,7825299,3554631,1128277,4682908,2610585,1033,526109,-189,--,3137538,--,--,4853,3142391,0,--,0,                 12.02
2016,01,1521,大億,2079333,1439236,3518569,1318072,261982,1580054,762300,60472,1108343,7400,--,1938515,--,--,--,1938515,0,--,0,                 25.43
2016,01,1522,堤維西,8266039,10877460,19143499,7433826,5117912,12551738,3128979,1317683,1651137,36459,-5996,6128262,--,--,463499,6591761,0,0,939707,                 19.64
2016,01,1524,耿鼎企業,1270613,3339273,4609886,1188497,1493190,2681687,1796852,164239,-41061,8169,0,1928199,0,--,0,1928199,0,0,0,                 10.73
2016,01,1525,江申工業,840428,3440966,4281394,572739,206721,779460,692454,1251,2725023,83206,--,3501934,--,--,--,3501934,0,0,0,                 50.57
2016,01,1526,日馳,836852,466343,1303195,425393,264110,689503,500000,--,111297,2395,--,613692,--,--,0,613692,0,--,0,                 12.27
2016,01,1527,鑽全,12880056,1931806,14811862,10158473,1051178,11209651,1379606,305,2254961,-32661,0,--,--,--,--,3602211,0,--,0,                 26.11
2016,01,1528,恩德,3202993,1655246,4858239,1871232,681467,2552699,1800000,337206,191656,-9334,-34972,2284556,--,--,20984,2305540,0,--,3669000,                 12.96
2016,01,1529,樂士,231850,314794,546644,234599,4709,239308,2997089,0,-2694362,0,0,302727,0,--,4609,307336,0,0,0,                  1.01
2016,01,1530,亞崴機電,4353002,2232785,6585787,3094063,673231,3767294,919945,250067,1451388,18112,--,2639512,--,--,178981,2818493,0,0,0,                 28.69
2016,01,1531,高林股,3431690,1883645,5315335,977960,264414,1242374,1931511,338901,1923777,72615,-193843,4072961,--,--,0,4072961,0,0,8143000,                 22.02
2016,01,1532,勤美,21601346,14484031,36085377,10299777,6277966,16577743,3852521,1538760,6321961,711022,--,12424264,--,--,7083370,19507634,0,0,0,                 32.25
2016,01,1533,車王電,2825901,1573012,4398913,1551000,607693,2158693,947572,271128,1036306,-14774,0,2240232,--,--,-12,2240220,0,0,0,                 23.64
2016,01,1535,中宇,4924979,1618805,6543784,2596827,410450,3007277,1237426,628374,1524181,146526,0,3536507,0,--,0,3536507,0,--,0,                 28.58
2016,01,1536,和大工業,4070214,5706465,9776679,2435697,3187760,5623457,2349565,13804,1668376,71521,--,4103266,--,--,49956,4153222,0,0,0,                 17.46
2016,01,1537,廣隆光電,3246996,1357379,4604375,739605,295383,1034988,817854,640909,1907069,121096,--,3486928,--,--,82459,3569387,0,0,0,                 42.64
2016,01,1538,正峰新,361474,1290165,1651639,469019,440314,909333,831358,--,-109433,20381,--,742306,--,--,--,742306,0,0,0,                  8.93
2016,01,1539,巨庭機械,1754840,795948,2550788,1186694,315149,1501843,653700,0,395766,-521,--,1048945,--,--,0,1048945,0,0,0,                 16.05
2016,01,1540,喬福機械,1199099,412449,1611548,216072,18645,234717,854736,188163,364122,--,-30206,1376815,--,--,16,1376831,0,--,6105911,                 17.35
2016,01,1541,錩泰,1528535,793825,2322360,968606,75557,1044163,788000,1364,482171,6662,0,1278197,--,--,0,1278197,0,--,0,                 16.22
2016,01,1558,伸興,4338129,1739479,6077608,1403954,222526,1626480,605526,1387345,2420625,3795,-2163,4415128,--,--,36000,4451128,0,0,17000,                 72.93
2016,01,1560,中砂,1816168,3262820,5078988,986873,194685,1181558,1410000,1241869,1244732,829,--,--,--,--,--,3897430,0,0,0,                 27.64
2016,01,1568,倉佑,1579487,1475564,3055051,660468,723603,1384071,1030865,145471,361500,5638,--,1543474,--,--,127506,1670980,0,0,0,                 14.97
2016,01,1582,信錦,7906874,1365667,9272541,2467670,1131874,3599544,1498564,1940072,2031782,202579,--,5672997,--,--,0,5672997,0,0,0,                 37.86
2016,01,1583,程泰,8514231,4104468,12618699,5800174,1432222,7232396,1003303,488738,2242331,49903,0,3784275,--,--,1602028,5386303,0,0,0,                 37.72
2016,01,1589,永冠-KY,8736348,6901552,15637900,2245103,2370735,4615838,1187023,6189295,3246252,122850,--,10745420,--,--,276642,11022062,0,--,0,                 90.52
2016,01,1590,亞德客-KY,8844388,13122092,21966480,8180983,2983715,11164698,1790250,3906960,4576579,376886,0,10650675,--,--,151107,10801782,0,0,0,                 59.49
2016,01,1592,英瑞-KY,3854086,3222768,7076854,3421877,551348,3973225,1004333,895781,941752,304963,-43200,3103629,--,--,--,3103629,0,--,1455000,                 31.36
2016,01,1603,華電,3694262,5122859,8817121,2661734,787933,3449667,2738400,412208,4627598,-33834,-2384922,5359450,--,--,8004,5367454,0,--,46916871,                 23.62
2016,01,1604,聲寶,3330089,8438974,11769063,1626514,2329097,3955611,5250000,76905,3018810,-9018,-771254,7565443,--,--,248009,7813452,0,--,34201829,                 15.41
2016,01,1605,華新,48404148,54073711,102477859,16257124,21735882,37993006,35760002,15691489,12280714,-547781,-608810,62575614,--,--,1909239,64484853,0,--,70000000,                 17.85
2016,01,1608,華榮,4996091,6660129,11656220,2978963,919760,3898723,6327735,194806,920799,148722,-852003,6740059,--,--,1017438,7757497,0,0,208563824,                 15.89
2016,01,1609,大亞電線,10113807,7759681,17873488,7677682,2955574,10633256,5721808,521999,56779,-15066,-46562,6238958,0,--,1001274,7240232,0,0,12633667,                 11.15
2016,01,1611,中電,2815731,4563903,7379634,1913096,272481,2185577,3984392,514132,706735,-21114,-696,5183449,--,--,10608,5194057,0,0,116273,                 13.01
2016,01,1612,宏泰,2552371,2668396,5220767,650457,121558,772015,3160801,191704,1294340,-206741,0,4440104,--,--,8648,4448752,0,--,0,                 14.05
2016,01,1613,台一,11221183,4249488,15470671,10639749,3337661,13977410,2275280,73975,-1025513,-29223,--,1294519,--,--,198742,1493261,0,0,0,                  5.69
2016,01,1614,三洋電,2121746,4654662,6776408,902068,680447,1582515,2691134,223447,2344613,9170,-132298,5136066,--,--,57827,5193893,0,0,10182744,                 19.84
2016,01,1615,大山,774739,1350775,2125514,499078,175609,674687,1118618,0,336903,-4694,--,1450827,--,--,--,1450827,0,--,0,                 12.97
2016,01,1616,億泰,2424586,1120569,3545155,1638771,166100,1804871,1941485,2480,-126585,7981,-85077,1740284,--,--,--,1740284,0,--,4654499,                  9.18
2016,01,1617,榮星電線,2117782,926014,3043796,1256897,162517,1419414,1442332,90331,95977,2739,-7001,1624378,--,--,4,1624382,0,0,1000000,                 11.34
2016,01,1618,合機公司,2143445,2128682,4272127,246541,22713,269254,2408647,648415,1184891,-239080,0,4002873,--,--,0,4002873,0,0,0,                 16.62
2016,01,1626,艾美特-KY,5806994,3246746,9053740,6042618,202317,6244935,1228846,1021115,380049,156175,--,2786185,--,--,22620,2808805,0,0,0,                 22.67
2016,01,1701,中化,4173394,5745041,9918435,2491643,1842808,4334451,2980811,642640,1815967,120098,-28054,5531462,--,--,52522,5583984,0,0,827883,                 18.61
2016,01,1702,南僑化工,8345616,9367540,17713156,5853187,5951107,11804294,2941330,520786,2796775,47255,-530114,5776032,--,--,132830,5908862,0,0,46041259,                 23.28
2016,01,1704,榮化,22784352,16581337,39365689,8557370,5691573,14248943,8529594,9171710,6737298,603321,--,25041923,--,--,74823,25116746,0,--,0,                 29.36
2016,01,1707,葡萄王,2861631,6131838,8993469,1971612,2386014,4357626,1303324,64518,2398415,-978,--,3765279,--,--,870564,4635843,0,0,0,                 28.89
2016,01,1708,東鹼,2100924,6944533,9045457,1578254,2371449,3949703,1827191,9307,2988961,137916,--,4963375,--,--,132379,5095754,0,0,0,                 27.16
2016,01,1709,和益化工,5939608,5093259,11032867,2292040,1591166,3883206,4308336,248542,2070446,121386,--,6748710,--,--,400951,7149661,0,--,0,                 15.66
2016,01,1710,東聯,8102291,29567242,37669533,8941805,11174501,20116306,8857031,1351656,4404501,420051,-187798,14845441,--,--,2707786,17553227,0,--,13753554,                 17.03
2016,01,1711,永光化學,6040711,7209387,13250098,4107299,1053372,5160671,5216688,473558,1838327,233335,0,7761908,--,--,327519,8089427,0,0,0,                 14.88
2016,01,1712,興農,7860885,8300383,16161268,6491101,4128893,10619994,3448032,212494,1896374,-126779,0,5430121,--,--,111153,5541274,0,0,0,                 15.75
2016,01,1713,國化,967140,1465793,2432933,37302,138054,175356,1509517,3167,739980,4913,0,--,--,--,--,2257577,0,--,0,                 14.96
2016,01,1714,和桐化學,18129908,13021830,31151738,12410222,3872469,16282691,9585927,46321,1047228,657441,-144781,11192136,--,--,3676911,14869047,0,0,17884513,                 11.90
2016,01,1715,萬洲化學,6998134,8203127,15201261,4446502,3228568,7675070,4149211,794520,1680979,199995,-79994,6744711,0,--,781480,7526191,0,0,7676548,                 16.56
2016,01,1717,長興材料,28275516,20807162,49082678,10339838,15824480,26164318,10221690,359900,9250095,2523483,--,22355168,--,--,563192,22918360,0,0,0,                 21.87
2016,01,1720,生達化學,2552856,3291822,5844678,1217415,633189,1850604,1786961,335467,1251602,272229,--,3646259,--,--,347815,3994074,0,0,0,                 20.40
2016,01,1721,三晃,2414904,1836004,4250908,1005569,969696,1975265,2223473,35888,14090,-4345,0,2269106,0,--,6537,2275643,0,0,0,                 10.21
2016,01,1722,台肥,17980182,61554378,79534560,1962469,24706185,26668654,9800000,2232791,40259491,573624,--,52865906,--,--,--,52865906,0,0,0,                 53.94
2016,01,1723,中碳,3573129,5742835,9315964,2008521,152105,2160626,2369044,710086,3892174,-11659,-125656,6833989,--,--,321349,7155338,0,--,5077537,                 29.48
2016,01,1724,台硝,920997,1777938,2698935,575473,103631,679104,1278139,9826,729072,2794,--,2019831,--,--,--,2019831,0,--,0,                 15.80
2016,01,1725,元禎,3888225,730305,4618530,2075562,66005,2141567,1818300,1524,546659,120936,-10456,2476963,--,--,0,2476963,0,0,748000,                 13.68
