年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2015/03,1469,理隆纖維,923954,1269814,2193768,398858,25714,424572,1246000,455920,-146813,214067,--,1769174,--,--,22,1769196,0,0,0,14.2
2015/03,1470,大統染,675686,391686,1067372,114659,14703,129362,857670,6918,97488,-24066,--,--,--,--,--,938010,0,--,0,10.94
2015/03,1471,首利,1341202,1531530,2872732,468075,7008,475083,2014677,396763,-230056,216265,--,2397649,--,--,--,2397649,0,0,0,11.9
2015/03,1472,三洋紡,531967,510907,1042874,667328,51661,718989,716500,0,-343113,-8775,-226,364386,--,--,-40501,323885,0,--,8200,5.09
2015/03,1473,台南企業,5119946,2664096,7784042,3186639,255650,3442289,1464290,832683,1570367,179847,-28064,4019123,--,--,322630,4341753,0,0,1022000,27.64
2015/03,1474,弘裕,2091148,1420572,3511720,1565780,111305,1677085,1298970,5887,503834,25944,0,1834635,--,--,--,1834635,0,0,0,14.12
2015/03,1475,本盟光電,149356,417277,566633,403228,3319,406547,525168,188125,-442330,-6316,--,264647,--,--,-104561,160086,0,0,0,5.04
2015/03,1476,儒鴻,9225268,7000211,16225479,5347066,411293,5758359,2609874,1152238,6472958,232050,--,10467120,--,--,0,10467120,0,0,0,40.11
2015/03,1477,聚陽實業,8627705,5267852,13895557,5019430,227487,5246917,1983502,3374543,2928933,306194,--,8593172,0,--,55468,8648640,0,0,0,43.32
2015/03,1503,士電,12896560,22097674,34994234,9111715,4187754,13299469,5209722,2580210,13056854,376849,--,21223635,--,--,471130,21694765,0,--,0,40.74
2015/03,1504,東元電機,43605700,35601819,79207519,18104295,10868633,28972928,20026929,7606043,18848138,217093,-321563,46376640,--,--,3857951,50234591,0,0,22443022,23.42
2015/03,1506,正道,1460929,1207543,2668472,390486,922444,1312930,1222557,117812,-28104,-49197,--,1263068,--,--,92474,1355542,0,--,0,10.33
2015/03,1507,永大機電,21598559,9659983,31258542,17211946,1924366,19136312,4108200,250581,6353565,1307765,-69411,11950700,--,--,171530,12122230,0,0,2129800,29.24
2015/03,1512,瑞利,2357329,2602319,4959648,2362677,1018929,3381606,1818025,0,-334783,21178,--,1504420,--,--,73622,1578042,0,--,0,8.28
2015/03,1513,中興電,9325835,5906677,15232512,5866331,1675946,7542277,4200000,390643,2611961,341973,-116880,7427697,--,--,262538,7690235,0,0,9038678,18.07
2015/03,1514,亞力電機,3463850,1758840,5222690,2146000,323850,2469850,2010670,60165,658507,4963,-41616,2692689,--,--,60151,2752840,0,0,2362712,13.55
2015/03,1515,力山,3136188,2816231,5952419,2657001,846738,3503739,1814735,433,488306,119529,--,2423003,--,--,25677,2448680,0,0,0,13.35
2015/03,1516,川飛,278061,122866,400927,5367,63020,68387,233147,20185,79208,0,0,--,--,--,--,332540,0,0,0,14.26
2015/03,1517,利奇機械,3500914,1887748,5388662,901487,776461,1677948,2278250,60505,1150812,104305,--,3593872,--,--,116842,3710714,0,--,0,15.77
2015/03,1519,華城電機,5399409,2179758,7579167,3372456,1082095,4454551,2610585,1033,520379,-13676,--,3118321,--,--,6295,3124616,0,--,0,11.94
2015/03,1521,大億,1943195,1419369,3362564,1355402,277924,1633326,762300,60472,890644,15822,--,1729238,--,--,--,1729238,0,--,0,22.68
2015/03,1522,堤維西,8124382,10397569,18521951,7276546,4788158,12064704,3128979,1317683,1218702,117847,-5996,5777215,--,--,680032,6457247,0,0,939707,18.52
