年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 21
2013/02,1402,遠東新,114908599.0,249690638.0,364599237.0,100507095.0,96722868.00,197229963.0,51450165.0,4680957.00,48734994.0,3915365.00,-25063.00,108756418.00,--,--,58612856.00,167369274.0,0.0,734000.0,21.56,
2013/02,1410,南染,831989.0,895485.0,1727474.0,214721.0,200344.00,415065.0,900000.0,21784.00,358442.0,-10313.00,--,1269913.00,--,--,42496.00,1312409.0,0.0,0.0,14.11,
2013/02,1413,宏洲纖維,1635542.0,1916160.0,3551702.0,1935583.0,560710.00,2496293.0,1701874.0,0.00,-687892.0,11256.00,-15040.00,1010198.00,--,--,45211.00,1055409.0,0.0,2097951.0,6.01,
2013/02,1414,東和,952792.0,3417857.0,4370649.0,361549.0,812246.00,1173795.0,2200000.0,0.00,1074736.0,-77882.00,0.00,--,--,--,--,3196854.0,0.0,0.0,14.53,
2013/02,1416,廣豐,4586778.0,4937835.0,9524613.0,2259522.0,1268363.00,3527885.0,3848484.0,1160858.00,1230855.0,383425.00,-654365.00,5969257.00,--,--,27471.00,5996728.0,0.0,28205990.0,16.74,
2013/02,1417,嘉裕,3936377.0,2241220.0,6177597.0,1525777.0,276931.00,1802708.0,3798837.0,--,306472.0,269580.00,--,4374889.00,--,--,--,4374889.0,0.0,0.0,11.52,
2013/02,1418,東華,520809.0,1566655.0,2087464.0,771545.0,394051.00,1165596.0,1319276.0,3231.00,-250799.0,-26363.00,-123585.00,921760.00,--,--,108.00,921868.0,0.0,10933000.0,7.62,
2013/02,1419,新紡,1388306.0,9047221.0,10435527.0,2568784.0,826128.00,3394912.0,3000413.0,595.00,1838282.0,2214449.00,-13174.00,7040565.00,--,--,50.00,7040615.0,0.0,803829.0,23.53,
2013/02,1423,利華羊毛,1340620.0,1535424.0,2876044.0,26549.0,219042.00,245591.0,1750000.0,118304.00,498137.0,264012.00,0.00,--,--,--,--,2630453.0,0.0,0.0,15.03,
2013/02,1432,大魯閣,1160514.0,1055446.0,2215960.0,434696.0,273283.00,707979.0,1239899.0,4215.00,201334.0,49436.00,0.00,1494884.00,--,--,13097.00,1507981.0,0.0,0.0,16.88,
2013/02,1434,福懋興業,18502427.0,56505736.0,75008163.0,11290932.0,12376775.00,23667707.0,16846646.0,2032.00,8861802.0,22702301.00,-26488.00,48386293.00,--,--,2954163.00,51340456.0,0.0,3043228.0,28.77,
2013/02,1435,中福國際,403173.0,722853.0,1126026.0,2228.0,168570.00,170798.0,1397801.0,1302.00,-284584.0,0.00,-159275.00,955244.00,--,--,-16.00,955228.0,0.0,14424000.0,7.62,
2013/02,1436,華友聯,3962900.0,241115.0,4204015.0,1755563.0,402717.00,2158280.0,600000.0,245201.00,1200534.0,0.00,0.00,2045735.00,--,--,--,2045735.0,0.0,0.0,34.1,
2013/02,1437,勤益投控,1145186.0,8892953.0,10038139.0,1616688.0,3401999.00,5018687.0,2039649.0,316664.00,2484557.0,134652.00,-2969.00,4972553.00,--,--,46899.00,5019452.0,0.0,200000.0,24.4,
2013/02,1438,裕豐,479097.0,120528.0,599625.0,8120.0,69828.00,77948.0,1024115.0,81330.00,-583768.0,--,--,--,--,--,--,521677.0,0.0,0.0,5.09,
2013/02,1439,中和羊毛,1591721.0,689042.0,2280763.0,57036.0,148625.00,205661.0,920000.0,8686.00,1146416.0,0.00,0.00,--,--,--,--,2075102.0,0.0,0.0,22.56,
2013/02,1440,南紡,8671630.0,25098089.0,33769719.0,3958367.0,5146046.00,9104413.0,15926328.0,48179.00,7173115.0,1491307.00,--,24638929.00,--,--,26377.00,24665306.0,0.0,0.0,15.7,
2013/02,1441,大東紡織,914358.0,1469430.0,2383788.0,548050.0,744130.00,1292180.0,917531.0,17089.00,172152.0,4624.00,-19788.00,1091608.00,--,--,--,1091608.0,0.0,1954000.0,12.4,
2013/02,1442,名軒,10023563.0,620849.0,10644412.0,3045728.0,3436575.00,6482303.0,2067246.0,464194.00,1630720.0,-51.00,0.00,4162109.00,--,--,0.00,4162109.0,0.0,0.0,20.16,
2013/02,1443,立益紡織,2315261.0,3721586.0,6036847.0,3632619.0,782553.00,4415172.0,1353430.0,701.00,357933.0,-53126.00,-9056.00,1649882.00,--,--,-28207.00,1621675.0,0.0,460610.0,12.23,
2013/02,1444,力麗,5291246.0,10644744.0,15935990.0,3558971.0,746493.00,4305464.0,9117171.0,277269.00,1314189.0,256907.00,-68156.00,10897380.00,--,--,733146.00,11630526.0,0.0,13817009.0,12.14,
2013/02,1445,大宇紡織,1204097.0,1211263.0,2415360.0,316676.0,208648.00,525324.0,1386670.0,172064.00,322476.0,8826.00,0.00,1890036.00,--,--,0.00,1890036.0,0.0,0.0,13.63,
2013/02,1446,宏和,2308514.0,687557.0,2996071.0,344556.0,701123.00,1045679.0,1386215.0,297632.00,268983.0,-2438.00,0.00,1950392.00,--,--,0.00,1950392.0,0.0,0.0,14.07,
2013/02,1447,力鵬,9780340.0,8322143.0,18102483.0,7404373.0,917351.00,8321724.0,7917638.0,3421.00,1951524.0,-238462.00,-441204.00,9192917.00,--,--,587842.00,9780759.0,0.0,84002278.0,13.72,
2013/02,1449,佳和實業,2240339.0,1683646.0,3923985.0,1446683.0,2105862.00,3552545.0,1871941.0,304657.00,-1967349.0,-46115.00,-90403.00,72731.00,--,--,298709.00,371440.0,0.0,8804261.0,0.41,
2013/02,1451,年興紡織,7130301.0,6667588.0,13797889.0,3264936.0,665173.00,3930109.0,4331250.0,393116.00,5219727.0,-178182.00,--,9765911.00,--,--,101869.00,9867780.0,0.0,0.0,22.55,
2013/02,1452,宏益,1487423.0,853479.0,2340902.0,283838.0,69460.00,353298.0,1326414.0,151407.00,569322.0,-59539.00,--,--,--,--,--,1987604.0,0.0,0.0,14.98,
2013/02,1453,大將,642470.0,420102.0,1062572.0,33536.0,54890.00,88426.0,773606.0,405.00,200619.0,8.00,-13241.00,961397.00,--,--,12749.00,974146.0,0.0,1556000.0,12.68,
2013/02,1454,台富,1023219.0,1003617.0,2026836.0,350221.0,119798.00,470019.0,1403098.0,53877.00,110705.0,80754.00,-91622.00,1556812.00,--,--,5.00,1556817.0,0.0,9175103.0,11.87,
2013/02,1455,集盛,6436364.0,8238718.0,14675082.0,4590354.0,2714287.00,7304641.0,6117634.0,360356.00,892451.0,0.00,0.00,--,--,--,--,7370441.0,0.0,0.0,12.17,
2013/02,1456,怡華,1418291.0,1400726.0,2819017.0,1834665.0,863771.00,2698436.0,4075000.0,18656.00,-3019789.0,-953286.00,0.00,120581.00,--,--,0.00,120581.0,0.0,0.0,0.3,
2013/02,1457,宜進,1637613.0,6296487.0,7934100.0,1750268.0,2480830.00,4231098.0,3178746.0,298881.00,56149.0,112726.00,-259482.00,3387020.00,--,--,315982.00,3703002.0,0.0,64781032.0,13.38,
2013/02,1459,聯發紡織,2953859.0,4584437.0,7538296.0,2522327.0,1214329.00,3736656.0,3586289.0,269566.00,514687.0,-193835.00,-526664.00,3650043.00,--,--,151597.00,3801640.0,0.0,43081531.0,11.57,
2013/02,1460,宏遠,4867364.0,3543842.0,8411206.0,3318875.0,712152.00,4031027.0,4711891.0,125942.00,1896.0,6115.00,-465679.00,4380165.00,--,--,14.00,4380179.0,0.0,33706585.0,10.01,
2013/02,1463,強盛染整,2001272.0,1150306.0,3151578.0,949862.0,118181.00,1068043.0,1884108.0,189545.00,18428.0,29294.00,-273289.00,1848086.00,--,--,235449.00,2083535.0,0.0,26589911.0,11.42,
