年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2016,01,2069,運錩,1524774,1402961,121813,--,--,121813,85698,--,36115,-17879,18236,8550,9686,--,--,9686,-5589,--,4097,9686,--,--,4097,--,--,0.09
2016,01,2101,南港輪胎,2270371,1815864,454507,543,634,454598,275279,0,179319,69615,248934,77421,171513,--,--,171513,-83629,--,87884,171513,--,--,87884,--,--,0.21
2016,01,2102,泰豐輪胎,1618783,1203426,415357,--,--,415357,254072,--,161285,-22608,138677,26486,112191,--,--,112191,-50928,--,61263,112191,0,--,61263,0,0,0.25
2016,01,2103,台橡,6117401,5171645,945756,--,--,945756,533237,28258,440777,-99544,341233,95754,245479,--,--,245479,-198263,--,47216,224809,--,20670,32640,--,14576,0.27
2016,01,2104,中橡,3728202,2682914,1045288,--,--,1045288,389323,--,655965,-7606,648359,358683,289676,--,--,289676,384855,--,674531,302001,--,-12325,701637,--,-27106,0.51
2016,01,2105,正新,29345194,19933335,9411859,--,--,9411859,4019209,--,5392650,-105584,5287066,1243135,4043931,--,--,4043931,-491791,--,3552140,4029269,--,14662,3541352,--,10788,1.24
2016,01,2106,建大,7192238,5205810,1986428,--,--,1986428,1148251,--,838177,-93360,744817,106007,638810,0,--,638810,-348553,--,290257,638810,0,0,290257,0,0,0.75
2016,01,2107,厚生,363244,238221,125023,--,--,125023,64503,--,60520,-29442,31078,6086,24992,--,--,24992,48067,--,73059,24992,--,0,73059,--,0,0.05
2016,01,2108,南帝化工,2251307,1654485,596822,--,--,596822,277202,--,319620,-36547,283073,51241,231832,--,--,231832,-30128,--,201704,223548,--,8284,193420,--,8284,0.53
2016,01,2109,華豐橡膠,1570439,1147595,422844,--,--,422844,232580,--,190264,-20640,169624,50081,119543,--,--,119543,-26616,--,92927,60922,--,58621,31546,--,61381,0.19
